Label, 1
Date_and_Time_file_created, 14-June-23 13:06:30
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Blu,329.0801217463405,225.80088262707704,90,86.33806265441044,1,TR,Blu01,[0],901005561001241,1,Q,5.25092101106645
circular_magnet,Gre,273.531971085697,415.0061720209188,90,246.5040637705268,1,TR,Gre02,[0],901005481511277,2,E,4.15801900280187
circular_magnet,Blu,361.5456423747761,296.7127372485804,90,1.7322437047350832,1,TR,Blu03,[0],901005561103699,3,T,0.184407710198471
circular_magnet,Yel,171.54818203433504,206.1575736081656,90,149.05736882159903,1,TR,Yel04,[0],901005323203334,4,I,4.5270915746828
circular_magnet,Yel,189.829035555874,215.62895194891968,270,328.5938455735197,1,TL,Yel05,[0],901005401905022,5,S,1.21139264951476
circular_magnet,Gre,396.546995736842,376.8405131219396,90,312.3739420694088,1,TR,Gre06,[0],901005641508355,6,P,5.38763782283535
circular_magnet,Blu,345.16690814539186,300.9426694644179,90,351.4580443404208,1,TR,Blu07,[0],901005561104508,7,N,2.41766905684894
circular_magnet,Gre,246.44076675124475,243.1095271555216,90,144.95675499429558,1,TR,Gre08,[0],901005481300418,8,R,0.716587878612991
circular_magnet,Yel,511.93238035558096,306.73224807991943,90,357.2823898067568,1,TR,Yel09,[0],901005803409802,9,C,3.66777898373321
circular_magnet,Yel,415.9895460252137,425.2821183222682,90,305.68184633663884,1,TR,Yel10,[0],901005641606897,10,B,4.97888597925481
circular_magnet,Blu,349.2122410059956,270.4500126973527,90,47.90125586272434,1,TR,Blu11,[0],901005561009212,11,O,4.66932124857185
circular_magnet,Gre,256.41455138486936,387.9590375235863,270,52.94272325174615,1,TL,Gre12,[0],901005481506066,12,K,2.21183200687389
circular_magnet,Mag,255.807491484998,104.58232725335438,90,109.56017565293872,1,TR,Mag13,[0],901005481006636,13,D,2.49280910949159
circular_magnet,Yel,325.99226460434033,460.6462105290423,90,270.53568952497665,1,TR,Yel14,[0],901005561401522,14,L,4.9339484844459
circular_magnet,Yel,404.1174270570215,158.45054184392785,90,60.25520030017558,1,TR,Yel15,[0],901005641200178,15,J,4.78525287835633
circular_magnet,Gre,271.6981687012395,431.7755842701017,90,248.49598666373288,1,TR,Gre16,[0],901005481603157,16,F,5.10254069757834
circular_magnet,Yel,250.05022640199672,438.8760828517396,90,242.18197367299305,1,TR,Yel17,[0],901005481604361,17,M,0.256519350902769
circular_magnet,Blu,375.1855787049187,368.5880441748885,180,35.6324619026766,1,RO,Blu18,[0],901005641506785,18,A,1.87115757564222
circular_magnet,Yel,251.3930222831424,471.7135908404623,180,337.2042767562532,1,RO,Yel19,[0],901005481610363,19,G,4.66044504788604
circular_magnet,Blu,358.8926589499664,343.4822920996437,90,307.01937152751486,1,TR,Blu20,[0],901005561201900,20,H,5.52965919252331
circular_magnet,Blu,325.49920620202425,346.1251592933437,270,91.22093249627773,1,TL,Blu21,[0],901005561202446,21,U,0.869966344910884
circular_magnet,Gre,442.3279782320067,342.5854349980384,90,339.2079071541888,1,TR,Gre22,[0],901005722205655,22,GS1,5.72043324614489
circular_magnet,Blu,311.9751669692407,291.6954394730427,90,153.83567110623267,1,TR,Blu23,[0],901005561102701,23,GS2,0.550688162693893
circular_magnet,Yel,359.3632311571863,444.7689866557648,90,283.3588053847234,1,TR,Yel24,[0],901005561310704,24,GS3,5.07060600574411
circular_magnet,Gre,195.45229131842163,342.2192567220211,270,18.9844738488803,1,TL,Gre25,[0],901005402107685,25,GS4,1.96890240243362
circular_magnet,Gre,273.790781360176,168.2135200660947,90,111.35458239901874,1,TR,Gre26,[0],901005481107535,26,GS5,5.90031862358353
circular_magnet,Gre,377.4953959587903,209.8912087910056,90,58.91198535058329,1,TR,Gre27,[0],901005641209577,27,GS6,4.68069887586387
rectangular_magnet,R01,306.6750959581783,210.3783400535652,180,235.4583449427956,1,I,R01,[0],901005561001241,1,Q,5.25092101106645
rectangular_magnet,R02,300.4520769624429,411.1141417557756,180,98.22665317601286,1,I,R02,[0],901005481511277,2,E,4.15801900280187
rectangular_magnet,R03,388.4248717123895,300.8777138650795,180,81.19198128374273,1,I,R03,[0],901005561103699,3,T,0.184407710198471
rectangular_magnet,R04,162.09641771001571,231.6625564773526,180,339.66604946337645,1,I,R04,[0],901005323203334,4,I,4.5270915746828
rectangular_magnet,R05,194.92274064841988,188.91015391401223,180,169.20657622538076,1,I,R05,[0],901005401905022,5,S,1.21139264951476
rectangular_magnet,R06,423.6909562175866,375.0954029764831,180,93.67853566248198,1,I,R06,[0],901005641508355,6,P,5.38763782283535
rectangular_magnet,R07,322.3711833397476,315.7816360923652,180,303.0622733815129,1,I,R07,[0],901005561104508,7,N,2.41766905684894
rectangular_magnet,R08,239.89289652505087,216.70942496820192,180,193.92966042155345,1,I,R08,[0],901005481300418,8,R,0.716587878612991
rectangular_magnet,R09,489.0900662554464,291.96509918276286,180,237.1180520474755,1,I,R09,[0],901005803409802,9,C,3.66777898373321
rectangular_magnet,R10,441.48344412716665,415.800496121018,180,110.40103946506008,1,I,R10,[0],901005641606897,10,B,4.97888597925481
rectangular_magnet,R11,328.27197506321994,253.0907136836876,180,230.3415626937097,1,I,R11,[0],901005561009212,11,O,4.66932124857185
rectangular_magnet,R12,248.8089547789017,361.84400544879657,180,196.23737857636084,1,I,R12,[0],901005481506066,12,K,2.21183200687389
rectangular_magnet,R13,278.55226375120145,119.49927515024478,180,56.74150595723552,1,I,R13,[0],901005481006636,13,D,2.49280910949159
rectangular_magnet,R14,352.57929677096683,466.3881370847174,180,77.81316303481356,1,I,R14,[0],901005561401522,14,L,4.9339484844459
rectangular_magnet,R15,381.55161696940536,143.26422513810212,180,236.0602737476464,1,I,R15,[0],901005641200178,15,J,4.78525287835633
rectangular_magnet,R16,291.30469182171527,450.6282830457744,180,46.12288864686002,1,I,R16,[0],901005481603157,16,F,5.10254069757834
rectangular_magnet,R17,231.67019634664857,458.9263819807925,180,317.4886380396897,1,I,R17,[0],901005481604361,17,M,0.256519350902769
rectangular_magnet,R18,349.3871944098417,377.2068241212339,180,288.47355428434525,1,I,R18,[0],901005641506785,18,A,1.87115757564222
rectangular_magnet,R19,276.9794546334762,480.9425929307097,180,70.16567371200449,1,I,R19,[0],901005481610363,19,G,4.66044504788604
rectangular_magnet,R20,385.6947834362202,348.1176047129803,180,80.18799848104226,1,I,R20,[0],901005561201900,20,H,5.52965919252331
rectangular_magnet,R21,305.0995454479432,364.1166528699872,180,311.4107024846756,1,I,R21,[0],901005561202446,21,U,0.869966344910884
rectangular_magnet,R22,468.9867420707219,337.1863322400227,180,101.44904781442528,1,I,R22,[0],901005722205655,22,GS1,5.72043324614489
rectangular_magnet,R23,297.4501157444834,268.6984203853832,180,212.2767451747533,1,I,R23,[0],901005561102701,23,GS2,0.550688162693893
rectangular_magnet,R24,386.3513082575891,448.1577466683232,180,82.8431073747962,1,I,R24,[0],901005561310704,24,GS3,5.07060600574411
rectangular_magnet,R25,197.26063307804185,315.0794354241494,180,176.18798421265964,1,I,R25,[0],901005402107685,25,GS4,1.96890240243362
rectangular_magnet,R26,255.1357227660045,148.418854399607,180,223.30231380832208,1,I,R26,[0],901005481107535,26,GS5,5.90031862358353
rectangular_magnet,R27,353.77280662389046,196.5841146210638,180,240.70992354391257,1,I,R27,[0],901005641209577,27,GS6,4.68069887586387
