Label, 1
Date_and_Time_file_created, 16-July-23 17:43:37
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,303.5082812139047,456.23314132443977,90,262.46157634639326,1,TR,Yel01,[0],901005561902108,1,K,4.01024522634814
circular_magnet,Blu,403.6103626780446,261.5191806940658,90,24.64877961142952,1,TR,Blu02,[0],901005722604050,2,G,4.46210176193112
circular_magnet,Gre,236.64458571162496,226.4078438567481,90,140.87942688083774,1,TR,Gre03,[0],901005481710085,3,F,2.7530888226159
circular_magnet,Gre,208.87349549007288,331.82933677145627,270,16.38788200253805,1,TL,Gre04,[0],901005402606879,4,M,2.93478966597765
circular_magnet,Gre,290.75847002997983,431.7472696102554,90,255.8698828792964,1,TR,Gre05,[0],901005561807680,5,J,3.98939695340456
circular_magnet,Blu,303.38102085603833,386.93871115000127,90,256.68446089777706,1,TR,Blu06,[0],901005561800527,6,L,0.479470391821407
circular_magnet,Gre,193.76207249969596,317.32228626874775,90,188.4802135248079,1,TR,Gre07,[0],901005402604054,7,S,2.75020344962501
circular_magnet,Mag,150.91744636810844,410.5242525720346,90,212.99626280842529,1,TR,Mag08,[0],901005402710811,8,R,4.6636157171464
circular_magnet,Yel,167.77155395888616,366.172068781065,90,203.56259237093823,1,TR,Yel09,[0],901005402702834,9,Q,4.69023854902714
circular_magnet,Gre,323.05922718018235,199.88596550611896,90,90.82519000952747,1,TR,Gre10,[0],901005561409545,10,P,5.47345854556563
circular_magnet,Yel,157.93008361987714,279.43009091043905,270,353.69397336665327,1,TL,Yel11,[0],901005402508154,11,C,1.70109237178335
circular_magnet,Gre,179.628179790623,292.59648516426336,270,357.9290732270206,1,TL,Gre12,[0],901005402510459,12,D,1.74635928449642
circular_magnet,Gre,249.70733350655104,177.62153371673577,90,121.87835150809542,1,TR,Gre13,[0],901005481701039,13,B,2.74820713963746
circular_magnet,Mag,147.2545737985199,178.5570546798468,270,326.0570067403453,1,TL,Mag14,[0],901005402400486,14,I,1.69219065300751
circular_magnet,Blu,354.11276981213365,358.85618701585963,90,295.9091075264208,1,TR,Blu15,[0],901005642007352,15,O,4.86215813287466
circular_magnet,Mag,136.9593813330542,361.9783020038906,270,18.88497470499368,1,TL,Mag16,[0],901005324000768,16,E,1.87906524365583
circular_magnet,Yel,371.690820277982,142.3059689797277,270,253.11086334531265,1,TL,Yel17,[0],901005641611279,17,N,1.99257375040828
circular_magnet,Yel,463.59446216773864,390.8311982958876,90,326.2394085449812,1,TR,Yel18,[0],901005804106768,18,T,4.87422705269986
circular_magnet,Yel,497.84089098629113,285.05346807672043,90,4.216096360224611,1,TR,Yel19,[0],901005803908773,19,A,3.85860035827931
circular_magnet,Blu,322.802734691443,283.06556460234367,270,276.44106881585566,1,TL,Blu20,[0],901005561603024,20,H,1.74849793946016
circular_magnet,Blu,345.26590493450544,307.9919120673309,90,333.9664650045471,1,TR,Blu21,[0],901005641908986,21,U,5.77854287744214
circular_magnet,Gre,230.5746098827597,391.0257569725483,90,224.78451208403072,1,TR,Gre22,[0],901005482007457,22,GS1,5.6780567691544
circular_magnet,Gre,224.98956272273455,196.54267070374735,90,134.48322586349644,1,TR,Gre23,[0],901005481704517,23,GS2,0.689030336436782
circular_magnet,Yel,321.46896699529105,140.96452388965605,90,91.0959783734546,1,TR,Yel24,[0],901005561310704,24,GS3,5.07116611827545
circular_magnet,Yel,457.0312084587763,224.6865212636208,270,208.88998146527769,1,TL,Yel25,[0],901005803809091,25,GS4,1.16836232286116
circular_magnet,Gre,409.17767678273987,404.7807251326676,270,128.38115659328156,1,TL,Gre26,[0],901005722808790,26,GS5,1.54475646408772
circular_magnet,Blu,302.08996388507944,330.1535369977069,90,235.2988883726218,1,TR,Blu27,[0],901005561700830,27,GS6,6.18464763830222
rectangular_magnet,R01,326.4035875694496,441.548286987888,180,122.67576643873645,1,I,R01,[0],901005561902108,1,K,4.01024522634814
rectangular_magnet,R02,386.50197962467064,240.37341919680532,180,218.97525307258104,1,I,R02,[0],901005722604050,2,G,4.46210176193112
rectangular_magnet,R03,262.6766651729237,234.2926925503267,180,73.14898002995687,1,I,R03,[0],901005481710085,3,F,2.7530888226159
rectangular_magnet,R04,232.83568819682853,318.9586988430432,180,118.2412553768654,1,I,R04,[0],901005402606879,4,M,2.93478966597765
rectangular_magnet,R05,314.9339346878959,419.28184107474755,180,117.27667833005816,1,I,R05,[0],901005561807680,5,J,3.98939695340456
rectangular_magnet,R06,285.6210866352274,407.5402823636847,180,319.23646015434593,1,I,R06,[0],901005561800527,6,L,0.479470391821407
rectangular_magnet,R07,217.0988449540664,303.34963256900494,180,120.9106343376444,1,I,R07,[0],901005402604054,7,S,2.75020344962501
rectangular_magnet,R08,166.81955324784593,432.591490658968,180,35.77729918224156,1,I,R08,[0],901005402710811,8,R,4.6636157171464
rectangular_magnet,R09,179.184248354365,390.8619534838214,180,24.808348727452422,1,I,R09,[0],901005402702834,9,Q,4.69023854902714
rectangular_magnet,R10,303.09773204745994,181.40952883488012,180,227.21253537444272,1,I,R10,[0],901005561409545,10,P,5.47345854556563
rectangular_magnet,R11,164.39949570341773,253.01065285257457,180,166.2405537497712,1,I,R11,[0],901005402508154,11,C,1.70109237178335
rectangular_magnet,R12,185.3274238109805,266.0002708171722,180,167.90512916203932,1,I,R12,[0],901005402510459,12,D,1.74635928449642
rectangular_magnet,R13,271.8311325294329,193.44485564340872,180,54.42699747212003,1,I,R13,[0],901005481701039,13,B,2.74820713963746
rectangular_magnet,R14,165.06049738877127,157.99521903469756,180,139.10843403230544,1,I,R14,[0],901005402400486,14,I,1.69219065300751
