Label, test
Date_and_Time_file_created, 21-August-22 15:44:44
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Blu,360.32626486028806,363.7619066961121,90,298.5404792532304,1,TR,Blu01,[0],1346,1,E,3.55562565924923
circular_magnet,Yel,438.7428073668757,144.14216458033562,90,53.36849450228822,1,TR,Yel02,[0],2900,2,D,4.25549193436768
circular_magnet,Blu,334.31095239287714,335.943676498466,90,284.47902910258523,1,TR,Blu03,[0],4824,3,O,3.03955177181447
circular_magnet,Blu,300.6606077685552,299.5111713743499,270,4.029349865439144,1,TL,Blu04,[0],1029,4,J,0.959687997493953
circular_magnet,Gre,312.03578268956426,444.5148685135711,270,85.15458977585868,1,TL,Gre05,[0],2294,5,K,1.07822341996334
circular_magnet,Gre,446.0332958236546,360.320424408572,90,332.7957584679581,1,TR,Gre06,[0],4306,6,N,5.09149917852056
circular_magnet,Gre,287.5226562267937,415.2893979239001,90,252.53825533482163,1,TR,Gre07,[0],6419,7,B,0.765833864691107
circular_magnet,Gre,436.8572818938581,288.2352397113564,90,4.881664692515685,1,TR,Gre08,[0],3234,8,A,3.9788558450927
circular_magnet,Gre,397.7443161314041,183.0282044054375,90,57.45211666208221,1,TR,Gre09,[0],4730,9,P,4.44851720152757
circular_magnet,Gre,409.24065775103287,370.4238129948909,90,319.4262834741195,1,TR,Gre10,[0],152,10,M,4.70602120352346
circular_magnet,Blu,388.3675152338836,339.5446833347984,90,326.86451284852734,1,TR,Blu11,[0],4080,11,R,5.09844099162642
circular_magnet,Gre,386.5438766983298,401.7342005682971,270,120.8556785263456,1,TL,Gre12,[0],3757,12,I,1.40835771952132
circular_magnet,Gre,318.6423527164713,409.1300098409157,270,87.00263343408494,1,TL,Gre13,[0],2768,13,T,1.97122477269872
circular_magnet,Gre,427.22256950697465,403.4349520924057,90,314.2167632520526,1,TR,Gre14,[0],1798,14,G,4.7751556263305
circular_magnet,Yel,455.7916414419656,220.8976135095782,90,30.364425398245736,1,TR,Yel15,[0],5121,15,Q,3.78690765397744
circular_magnet,Blu,379.5952348802329,288.8599513987908,90,9.24628807271698,1,TR,Blu16,[0],3015,16,F,4.23858145756743
circular_magnet,Mag,481.3594748928109,168.65208924663588,270,219.46784914557176,1,TL,Mag17,[0],1508,17,L,1.76879197608635
circular_magnet,Yel,359.7271569562431,482.7223208617784,270,100.79635901750696,1,TL,Yel18,[0],1198,18,S,1.68646074134251
circular_magnet,Blu,285.7956600999676,369.9466046261196,90,241.79512471235927,1,TR,Blu19,[0],5942,19,C,2.37921876889246
circular_magnet,Yel,136.92114591012273,290.9308731427859,270,357.89206087373515,1,TL,Yel20,[0],481583704,20,H,1.91007479675294
circular_magnet,Mag,138.13665468641406,359.625430960155,270,18.346433409995484,1,TL,Mag21,[0],481606453,21,U,2.16859649345526
circular_magnet,Blu,325.19463884663264,244.98959173633287,90,89.21437013155415,1,TR,Blu22,[0],481589707,22,GS1,5.5967931642041
circular_magnet,Gre,257.277629240731,204.67734019450427,90,125.80229346633496,1,TR,Gre23,[0],481574184,23,GS2,0.204887443281166
circular_magnet,Yel,210.7522137005564,430.3040597845304,90,229.3558421849021,1,TR,Yel24,[0],481608681,24,GS3,2.43454776301472
circular_magnet,Yel,441.687691110399,181.54166479654475,270,224.772948890801,1,TL,Yel25,[0],481544685,25,GS4,1.60037843303053
circular_magnet,Yel,475.5357945621565,395.26359048084953,90,327.18008576617325,1,TR,Yel26,[0],481598597,26,GS5,4.79498728047573
circular_magnet,Yel,320.95133127062854,136.26429525461097,90,91.24759158620304,1,TR,Yel27,[0],481570430,27,GS6,5.03637757258507
rectangular_magnet,R01,358.05707081038065,336.65672714747484,180,184.78553428839783,1,I,R01,[0],1346,1,E,3.55562565924923
rectangular_magnet,R02,411.9963228795075,139.195896535944,180,259.52257564749823,1,I,R02,[0],2900,2,D,4.25549193436768
rectangular_magnet,R03,324.87472122311686,310.43294265345787,180,200.2990599488369,1,I,R03,[0],4824,3,O,3.03955177181447
rectangular_magnet,R04,283.486164278155,278.4190285056167,180,219.1544750867897,1,I,R04,[0],1029,4,J,0.959687997493953
rectangular_magnet,R05,287.072213083949,455.3158033131891,180,293.3965851346257,1,I,R05,[0],2294,5,K,1.07822341996334
rectangular_magnet,R06,466.55095919671874,342.4636192713246,180,131.03350033772313,1,I,R06,[0],4306,6,N,5.09149917852056
rectangular_magnet,R07,263.6593979865695,428.3425548662023,180,298.6785755986332,1,I,R07,[0],6419,7,B,0.765833864691107
rectangular_magnet,R08,417.0034554447526,269.643156037685,180,226.8796953392169,1,I,R08,[0],3234,8,A,3.9788558450927
rectangular_magnet,R09,371.79401738452754,174.87823539029054,180,252.56454567720635,1,I,R09,[0],4730,9,P,4.44851720152757
rectangular_magnet,R10,426.8087755612192,349.6584274553105,180,139.7678114001435,1,I,R10,[0],152,10,M,4.70602120352346
