Label, test
Date_and_Time_file_created, 26-August-22 19:43:42
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,223.57037975784937,219.687977973601,270,322.2424784405286,1,TL,Gre01,[0],934,1,J,0.809569534508378
circular_magnet,Yel,494.6471236464862,321.86133570922914,90,351.9635201427422,1,TR,Yel02,[0],3269,2,P,2.45633722801555
circular_magnet,Gre,460.0353156721574,257.3420558433943,90,16.63033609106219,1,TR,Gre03,[0],1103,3,Q,0.711396897910807
circular_magnet,Blu,399.4476881855039,277.46463897237766,90,15.198842874120215,1,TR,Blu04,[0],1203,4,S,2.5522371300769
circular_magnet,Gre,413.3513083936514,184.45663948962732,90,51.90560156795266,1,TR,Gre05,[0],2393,5,D,4.4342002481718
circular_magnet,Blu,269.23516360962225,297.1722164048047,90,179.31355653006807,1,TR,Blu06,[0],56,6,K,2.92106250236208
circular_magnet,Blu,268.48971017194344,265.6501457978029,90,150.10479997099463,1,TR,Blu07,[0],144,7,M,2.610179772081
circular_magnet,Gre,213.37768041779495,244.64344554751307,90,154.41508851274318,1,TR,Gre08,[0],249,8,B,2.69518804800596
circular_magnet,Yel,498.1064428643584,383.9764794582679,90,333.6136090217497,1,TR,Yel09,[0],2947,9,A,4.79763374847165
circular_magnet,Yel,437.921945590246,436.30986950669615,270,129.3274323238112,1,TL,Yel10,[0],3790,10,O,2.00970495764546
circular_magnet,Mag,124.51916642360943,357.5969659127641,90,196.64079024105263,1,TR,Mag11,[0],2847,11,E,4.56215821675697
circular_magnet,Mag,118.2407671930577,307.19244515502584,90,182.598234026116,1,TR,Mag12,[0],1663,12,F,4.25082853025253
circular_magnet,Gre,231.08073584835412,317.6460199075485,90,191.97740996345544,1,TR,Gre13,[0],1631,13,I,5.10854451405194
