Label, test
Date_and_Time_file_created, 21-August-22 16:47:27
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,245.6108500298292,467.3274098721389,90,245.04914554508255,1,TR,Yel01,[0],347670908706589,1,P,3.76944827336996
circular_magnet,Gre,404.8014315634018,202.61090703367623,270,229.84858857457192,1,TL,Gre02,[0],345680134503138,2,J,1.44944236612662
circular_magnet,Yel,450.59493156724494,184.81135875760964,270,221.86404442408917,1,TL,Yel03,[0],345680209605183,3,E,1.17612422897313
circular_magnet,Yel,506.4802572809878,286.09934480950346,90,3.688896230005852,1,TR,Yel04,[0],346680831407670,4,I,3.76353188803363
circular_magnet,Yel,430.2475814324381,404.2361440771895,270,134.8313472215702,1,TL,Yel05,[0],346680298104273,5,R,1.96593801638976
circular_magnet,Blu,288.7071810692676,285.6351320353896,90,161.16524656066798,1,TR,Blu06,[0],346670656408481,6,K,4.73782105340333
circular_magnet,Gre,228.1229862734655,307.2385220887528,90,185.5750332607616,1,TR,Gre07,[0],346670558405731,7,M,4.89837341498922
circular_magnet,Gre,252.96633229759735,223.91555926111505,90,134.0486756759052,1,TR,Gre08,[0],346670936406870,8,B,0.602702417232795
circular_magnet,Gre,310.94891884034416,163.69610518490944,270,275.75596444842114,1,TL,Gre09,[0],346671207409510,9,T,1.71274068509419
circular_magnet,Blu,391.5980226394077,308.0044842579606,90,351.3847091484003,1,TR,Blu10,[0],346680732402548,10,C,6.06867182164357
circular_magnet,Mag,415.2164847118446,471.973885030754,270,117.5245867635301,1,TL,Mag11,[0],347680985703573,11,A,1.9460402323835
circular_magnet,Yel,271.3542869485968,117.68487693681227,90,106.42778510093008,1,TR,Yel12,[0],344670339407774,12,Q,2.99583499744821
circular_magnet,Mag,514.6832383698417,242.1015246286372,90,16.33058353977981,1,TR,Mag13,[0],346681028308015,13,F,3.85897272220834
circular_magnet,Mag,241.07485928589855,111.81910450716862,90,114.14788947762702,1,TR,Mag14,[0],344670365006430,14,D,3.04555007978415
circular_magnet,Mag,387.7695818759325,108.45294403549104,270,251.51807712255112,1,TL,Mag15,[0],345680551502378,15,S,1.93082975691778
circular_magnet,Blu,326.819439769784,342.3353415141685,90,273.02211391044824,1,TR,Blu16,[0],346670397310219,16,N,0.705909372844275
circular_magnet,Yel,372.9898801355323,143.46754695875367,90,72.55122082569699,1,TR,Yel17,[0],345680400201719,17,G,4.89281706114641
circular_magnet,Blu,296.83990709727107,330.68390333079174,90,229.93276867111493,1,TR,Blu18,[0],346670450708850,18,L,6.06625321553033
circular_magnet,Gre,415.98048510634,362.4732300648344,90,324.7641938351956,1,TR,Gre19,[0],346680485303646,19,O,5.22026574486438
circular_magnet,Mag,115.81039588703572,279.3724565176886,90,174.94381628412043,1,TR,Mag20,[0],2661897,20,H,4.20406635294315
circular_magnet,Mag,118.77749215931708,335.3692995626275,90,190.3416912284208,1,TR,Mag21,[0],2662103,21,U,4.36267180427023
circular_magnet,Yel,137.4629947689067,279.316740109347,90,174.3450588869407,1,TR,Yel22,[0],2661977,22,GS1,2.86940689926841
circular_magnet,Gre,187.32208175174583,304.8064251454208,90,182.9103387090786,1,TR,Gre23,[0],2662951,23,GS2,4.63569606529018
circular_magnet,Yel,441.9327471734969,433.69271984380975,90,310.846523947631,1,TR,Yel24,[0],2680888,24,GS3,4.52835809222979
circular_magnet,Gre,412.6325433156192,257.5844054549848,270,204.53852277711684,1,TL,Gre25,[0],2677284,25,GS4,0.881764499231043
circular_magnet,Mag,183.17502613978095,136.52842453092163,90,131.2166091968175,1,TR,Mag26,[0],2660602,26,GS5,3.78176804619247
circular_magnet,Blu,348.64051461770083,271.6065157208616,270,227.33720198841596,1,TL,Blu27,[0],2666187,27,GS6,0.999045529152255
rectangular_magnet,R01,269.38371530972387,454.1103422554556,180,119.07287102410524,1,I,R01,[0],347670908706589,1,P,3.76944827336996
rectangular_magnet,R02,427.56856126931575,217.4937093556213,180,56.827478939315824,1,I,R02,[0],345680134503138,2,J,1.44944236612662
rectangular_magnet,R03,475.1473435422117,196.51687310818417,180,64.51023911407287,1,I,R03,[0],345680209605183,3,E,1.17612422897313
rectangular_magnet,R04,483.4008493453607,271.7055638836692,180,238.04972170823655,1,I,R04,[0],346680831407670,4,I,3.76353188803363
rectangular_magnet,R05,405.0654367828094,414.5171747086572,180,292.2085574933634,1,I,R05,[0],346680298104273,5,R,1.96593801638976
rectangular_magnet,R06,279.23548088587324,311.132718110073,180,339.6212579734008,1,I,R06,[0],346670656408481,6,K,4.73782105340333
rectangular_magnet,R07,225.7015101326651,334.330521891269,180,354.8924896144335,1,I,R07,[0],346670558405731,7,M,4.89837341498922
rectangular_magnet,R08,248.4604934617632,197.0913646527864,180,189.5353356310287,1,I,R08,[0],346670936406870,8,B,0.602702417232795
rectangular_magnet,R09,338.1259462769583,164.81377226840138,180,87.64501319258818,1,I,R09,[0],346671207409510,9,T,1.71274068509419
rectangular_magnet,R10,418.7424584202323,306.2667828622418,180,93.66289732655548,1,I,R10,[0],346680732402548,10,C,6.06867182164357
rectangular_magnet,R11,388.167806088827,474.8390176190833,180,276.0465112914559,1,I,R11,[0],347680985703573,11,A,1.9460402323835
rectangular_magnet,R12,282.7550445077821,142.38027584180426,180,24.780650989297385,1,I,R12,[0],344670339407774,12,Q,2.99583499744821
rectangular_magnet,R13,489.9881283134987,230.7001414096981,180,245.21789740941125,1,I,R13,[0],346681028308015,13,F,3.85897272220834
rectangular_magnet,R14,254.53201215708583,135.45689282590726,180,29.65315217109338,1,I,R14,[0],344670365006430,14,D,3.04555007978415
rectangular_magnet,R15,408.8776144146723,125.60785477100644,180,50.89856470872894,1,I,R15,[0],345680551502378,15,S,1.93082975691778
rectangular_magnet,R16,310.32295107299683,363.9618498009163,180,322.66396658605083,1,I,R16,[0],346670397310219,16,N,0.705909372844275
rectangular_magnet,R17,348.93223086901133,130.7762305664694,180,242.1866643752601,1,I,R17,[0],345680400201719,17,G,4.89281706114641
rectangular_magnet,R18,284.2124073350699,354.77511022782386,180,332.33854426262485,1,I,R18,[0],346670450708850,18,L,6.06625321553033
rectangular_magnet,R19,440.497496005136,350.69374889678977,180,115.66249506566498,1,I,R19,[0],346680485303646,19,O,5.22026574486438
rectangular_magnet,R20,126.90256578972313,304.20799087573926,180,24.066731811698787,1,I,R20,[0],2661897,20,H,4.20406635294315
rectangular_magnet,R21,132.52892457993303,358.8371095665719,180,30.369022786702374,1,I,R21,[0],2662103,21,U,4.36267180427023
rectangular_magnet,R22,164.25445613333983,274.6201884000515,180,99.94294033026785,1,I,R22,[0],2661977,22,GS1,2.86940689926841
rectangular_magnet,R23,190.77381939681035,331.78651979369147,180,7.290614068472792,1,I,R23,[0],2662951,23,GS2,4.63569606529018
rectangular_magnet,R24,458.9101683140112,412.4416687776243,180,141.37871415112318,1,I,R24,[0],2680888,24,GS3,4.52835809222979
rectangular_magnet,R25,437.08629183831545,269.4946608338057,180,64.03149405666016,1,I,R25,[0],2677284,25,GS4,0.881764499231043
rectangular_magnet,R26,185.3239308591583,163.64340578680745,180,4.53130930823437,1,I,R26,[0],2660602,26,GS5,3.78176804619247
rectangular_magnet,R27,375.4382521729268,276.2671231835463,180,80.13392043127556,1,I,R27,[0],2666187,27,GS6,0.999045529152255
