Label, test
Date_and_Time_file_created, 19-October-22 17:14:20
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,289.40842578650773,135.73752470699685,90,102.20509070744106,1,TR,Yel01,[0],342670281300150,1,G,5.32767487788371
circular_magnet,Yel,392.3458877352157,125.26806637839002,90,68.52864494764509,1,TR,Yel02,[0],342670319704779,2,P,3.1979066233059
circular_magnet,Gre,334.0610051903755,154.6737004873694,90,86.16720429997355,1,TR,Gre03,[0],342670195802149,3,Q,3.35932288325339
circular_magnet,Yel,432.0439971883629,189.40841379710028,270,225.22589026721232,1,TL,Yel04,[0],343671100506557,4,R,1.59040269258907
circular_magnet,Gre,433.7945821041372,244.84219093155423,270,205.86039502304493,1,TL,Gre05,[0],343670851006652,5,S,0.894250124132659
circular_magnet,Yel,498.4624018565885,225.21754363944467,270,202.6534212484671,1,TL,Yel06,[0],343670936209501,6,D,1.38329322310745
circular_magnet,Blu,408.4266097068953,285.320615466471,90,8.477292537549786,1,TR,Blu07,[0],343670667805507,7,E,0.253183540341428
circular_magnet,Blu,379.4981723872809,338.6260697887917,90,323.4506710062544,1,TR,Blu08,[0],343670425104192,8,T,5.28577093998456
circular_magnet,Gre,439.5061698188106,342.83907008843016,90,338.63330119993,1,TR,Gre09,[0],343670406406900,9,F,5.49282306768641
circular_magnet,Yel,474.3041764227885,371.9714993658312,90,333.6739332652745,1,TR,Yel10,[0],343670276108432,10,K,5.08238888548969
circular_magnet,Yel,412.0364383455741,428.83302016242607,270,123.76079089088884,1,TL,Yel11,[0],343670019705631,11,O,1.70506913398573
circular_magnet,Gre,339.3958555871786,406.37212678702895,270,97.83004179120314,1,TL,Gre12,[0],344671093202361,12,I,0.98027484926051
circular_magnet,Gre,278.4565579060109,409.8575954607752,90,247.66970201622237,1,TR,Gre13,[0],344660987610223,13,J,0.272285386531968
circular_magnet,Blu,257.46691068883734,309.76190187916643,270,10.094060431513752,1,TL,Blu14,[0],343660381109254,14,M,1.54999033527568
circular_magnet,Gre,225.8417637374666,379.7296132484415,90,219.70442697842265,1,TR,Gre15,[0],343660065707828,15,L,5.53448990862562
circular_magnet,Blu,276.0305667988225,224.9387093411067,90,123.60431735977475,1,TR,Blu16,[0],343660766610119,16,B,0.0901033177898896
circular_magnet,Gre,200.12575162277625,229.50768531745223,270,331.2115062023363,1,TL,Gre17,[0],343660745106700,17,C,1.15523724335719
circular_magnet,Yel,155.6687226303257,371.9866216746973,90,203.71537777938093,1,TR,Yel18,[0],343660105104722,18,A,4.74325605777373
circular_magnet,Mag,150.28799545101015,192.2131386973172,270,328.76812447264587,1,TL,Mag19,[0],343660909104539,19,N,1.65307865408846
circular_magnet,Blu,319.74335808937576,329.006068452415,90,261.3778812262894,1,TR,Blu20,[0],2251722,20,H,0.603901269086977
circular_magnet,Blu,344.8664087126851,331.4186804012323,270,121.27084863464653,1,TL,Blu21,[0],2251825,21,U,1.08475172631385
circular_magnet,Blu,324.7419825988818,297.8959165914165,90,347.17523068562406,1,TR,Blu22,[0],2251314,22,GS1,6.12518774533382
circular_magnet,Mag,324.2402247932781,99.63596191974128,90,90.06642418770309,1,TR,Mag23,[0],2186752,23,GS2,4.71661314072744
circular_magnet,Yel,461.866743067224,170.36970442403572,90,42.85238032340588,1,TR,Yel24,[0],2246210,24,GS3,4.74661289816989
circular_magnet,Yel,136.66574343609085,279.3395550964053,90,174.3758036881202,1,TR,Yel25,[0],2189293,25,GS4,4.64447266615599
circular_magnet,Mag,253.5574301477279,495.61603915027104,90,250.27526443813304,1,TR,Mag26,[0],2196699,26,GS5,4.42965023447796
circular_magnet,Gre,412.9444966251151,379.6223392516622,270,137.2488281600669,1,TL,Gre27,[0],2253188,27,GS6,1.72253541315213
rectangular_magnet,R01,264.3836765364849,125.0791043280906,180,246.9301092968236,1,I,R01,[0],342670281300150,1,G,5.32767487788371
rectangular_magnet,R02,380.9806891295864,149.97985022040763,180,335.3018219426774,1,I,R02,[0],342670319704779,2,P,3.1979066233059
rectangular_magnet,R03,326.4219178092611,180.7789555901969,180,343.6891296866474,1,I,R03,[0],342670195802149,3,Q,3.35932288325339
rectangular_magnet,R04,450.9799116757837,208.9345793839503,180,44.12079008021084,1,I,R04,[0],343671100506557,4,R,1.59040269258907
rectangular_magnet,R05,458.3725875619047,256.49387096998447,180,64.63580196517722,1,I,R05,[0],343670851006652,5,S,0.894250124132659
rectangular_magnet,R06,513.4447746768229,247.9192727514639,180,33.42346029008047,1,I,R06,[0],343670936209501,6,D,1.38329322310745
rectangular_magnet,R07,435.47705347037976,288.1690347120465,180,83.98889053869004,1,I,R07,[0],343670667805507,7,E,0.253183540341428
rectangular_magnet,R08,404.9653680184841,329.07295790406926,180,110.56179168424212,1,I,R08,[0],343670425104192,8,T,5.28577093998456
rectangular_magnet,R09,464.37375005459046,331.81893155858177,180,113.90066210759336,1,I,R09,[0],343670406406900,9,F,5.49282306768641
rectangular_magnet,R10,494.37216351673874,353.6107833123368,180,132.45619456357326,1,I,R10,[0],343670276108432,10,K,5.08238888548969
rectangular_magnet,R11,387.6043648478984,440.7876755152235,180,296.07258235301146,1,I,R11,[0],343670019705631,11,O,1.70506913398573
rectangular_magnet,R12,319.07957463502936,424.45772128301775,180,311.67554105656006,1,I,R12,[0],344671093202361,12,I,0.98027484926051
rectangular_magnet,R13,261.7390469953098,431.31370948337,180,322.0760948056805,1,I,R13,[0],344660987610223,13,J,0.272285386531968
rectangular_magnet,R14,252.12582271257727,283.091454203324,180,191.324388148988,1,I,R14,[0],343660381109254,14,M,1.54999033527568
rectangular_magnet,R15,222.32751237676987,406.70163648315344,180,352.5766100330065,1,I,R15,[0],343660065707828,15,L,5.53448990862562
rectangular_magnet,R16,263.0746690972188,201.02250741133577,180,208.44531485043552,1,I,R16,[0],343660766610119,16,B,0.0901033177898896
rectangular_magnet,R17,202.4741331516393,202.40925170598877,180,175.04705601907193,1,I,R17,[0],343660745106700,17,C,1.15523724335719
rectangular_magnet,R18,165.82361944989256,397.21989475973226,180,21.92186265588259,1,I,R18,[0],343660105104722,18,A,4.74325605777373
rectangular_magnet,R19,166.24382368345198,170.18471284759266,180,144.08309501609517,1,I,R19,[0],343660909104539,19,N,1.65307865408846
rectangular_magnet,R20,301.1184076674257,348.8290657479781,180,316.78477213951294,1,I,R20,[0],2251722,20,H,0.603901269086977
rectangular_magnet,R21,330.926272161363,354.7748914152322,180,329.1691675908996,1,I,R21,[0],2251825,21,U,1.08475172631385
rectangular_magnet,R22,351.8437501751639,300.2055040526709,180,85.12907549190868,1,I,R22,[0],2251314,22,GS1,6.12518774533382
rectangular_magnet,R23,297.04036698687827,99.54801129932687,180,269.8147349949824,1,I,R23,[0],2186752,23,GS2,4.71661314072744
rectangular_magnet,R24,444.0650418290096,149.8042131090839,180,220.87980138349369,1,I,R24,[0],2246210,24,GS3,4.74661289816989
rectangular_magnet,R25,135.8386984886161,306.5269785979962,180,358.25759229243783,1,I,R25,[0],2189293,25,GS4,4.64447266615599
rectangular_magnet,R26,280.7056841528605,497.29303183743457,180,86.46523599466786,1,I,R26,[0],2196699,26,GS5,4.42965023447796
