Label, test
Date_and_Time_file_created, 16-October-22 15:08:05
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Blu,408.9501432799156,314.19896327460884,90,349.0368065138851,1,TR,Blu01,[0],17690830206457,1,K,5.99555512479473
circular_magnet,Gre,281.1634943171526,183.5052471278917,90,110.74615035360488,1,TR,Gre02,[0],16680479110713,2,P,2.60857871662998
circular_magnet,Gre,393.3193908554201,196.7276554669912,270,235.74669693909425,1,TL,Gre03,[0],16690304705651,3,I,1.79629988912383
circular_magnet,Gre,457.58066705284017,237.7172940761935,270,204.30533978170547,1,TL,Gre04,[0],17691222008905,4,L,0.947901111066491
circular_magnet,Yel,481.5042197023836,388.2933239472371,90,330.055971698788,1,TR,Yel05,[0],17690455410092,5,A,4.94396448843892
circular_magnet,Gre,388.1257921397474,412.96721980746736,90,298.9376855589496,1,TR,Gre06,[0],17690324905380,6,R,4.31646309352669
circular_magnet,Mag,331.6461291231072,494.1153754747695,90,272.0938250644123,1,TR,Mag07,[0],19691147302510,7,F,4.18387913125198
circular_magnet,Blu,249.96068126149265,303.10002609793213,270,4.042718404062725,1,TL,Blu08,[0],18681089509077,8,S,1.55072137918498
circular_magnet,Gre,217.94196202358955,236.0757469308112,270,329.89754060760225,1,TL,Gre09,[0],16680211707456,9,G,1.08591846899597
circular_magnet,Yel,164.9044270297944,254.93902708494085,270,344.953272728934,1,TL,Yel10,[0],16680115904784,10,M,1.53781706833947
circular_magnet,Gre,223.27307798786504,368.2537694583637,270,34.832848128895904,1,TL,Gre11,[0],18680755607739,11,O,1.98575600410638
circular_magnet,Gre,302.08746586925423,443.5483866819427,270,81.26730674919517,1,TL,Gre12,[0],17690169700987,12,C,0.836251013057132
circular_magnet,Mag,287.769446993227,495.563858382038,90,259.4850158074224,1,TR,Mag13,[0],19681342511084,13,Q,3.97601753049386
circular_magnet,Gre,358.94365277258936,188.43621737572283,270,252.50921154896847,1,TL,Gre14,[0],16690349303894,14,T,2.1744128628035
circular_magnet,Gre,430.5128477730187,391.8914945651627,90,318.4277337680801,1,TR,Gre15,[0],17690433607537,15,N,4.85140604275213
circular_magnet,Blu,292.43515181538527,375.3300976991925,90,247.5410859563881,1,TR,Blu16,[0],17690515500477,16,E,0.102256081463936
circular_magnet,Yel,174.17915959961053,370.27451808498137,90,205.734169735664,1,TR,Yel17,[0],18680747405276,17,D,4.91756098873373
circular_magnet,Blu,360.9020374149909,267.5079467346572,90,39.7740204829449,1,TR,Blu18,[0],17691070703993,18,B,2.65489438084807
circular_magnet,Mag,127.6902319240376,280.6114910881426,90,174.9981189082556,1,TR,Mag19,[0],18681202002955,19,J,4.36917818517044
circular_magnet,Blu,355.74748003429227,344.74056311433003,90,303.6955114093097,1,TR,Blu20,[0],10044066,20,H,5.16423936975411
circular_magnet,Blu,304.36014571810904,286.09721358431113,90,149.73072885739464,1,TR,Blu21,[0],10042929,21,U,0.598556612571866
circular_magnet,Blu,324.6861201083658,297.86071135675525,270,172.9542615079858,1,TL,Blu22,[0],10043047,22,GS1,2.19377335624928
circular_magnet,Mag,473.1119382420564,168.81311142284943,90,40.95791168214698,1,TR,Mag23,[0],10045544,23,GS2,4.11864226931901
circular_magnet,Yel,236.90457292881015,127.12994246659473,90,117.15629453981752,1,TR,Yel24,[0],10040921,24,GS3,2.63801860751719
circular_magnet,Mag,444.4749378741677,465.0665670499146,90,305.662961215746,1,TR,Mag25,[0],10051712,25,GS4,4.50194475676671
circular_magnet,Yel,230.64322097842864,412.41640097991046,90,230.68737481351891,1,TR,Yel26,[0],10034413,26,GS5,5.8158656179771
