Label, test
Date_and_Time_file_created, 22-July-22 17:18:20
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,491.7717159029502,379.1977126202661,270,154.06499133676851,1,TL,Yel01,[0],17690619507641,1,L,2.30190058815442
circular_magnet,Gre,405.3921040197181,229.94936971912733,90,39.99290374578904,1,TR,Gre02,[0],16690254003301,2,B,4.33604910476065
circular_magnet,Mag,502.2106059086024,213.48595533279047,270,205.3870040291488,1,TL,Mag03,[0],16690329208149,3,O,1.49449474503808
circular_magnet,Yel,300.81418826099423,127.24702328630366,90,97.89502820873167,1,TR,Yel04,[0],16680878708778,4,I,5.12428418533009
circular_magnet,Mag,279.6349862939651,492.8989535730639,90,257.0555840914568,1,TR,Mag05,[0],18680246407708,5,M,4.05359340748438
circular_magnet,Yel,159.22554170794152,298.2609525798091,90,180.14803840741357,1,TR,Yel06,[0],18681227801522,6,Q,4.45337074465001
circular_magnet,Blu,371.65464530633767,322.9314025007332,90,331.9915928800538,1,TR,Blu07,[0],17690900901577,7,S,3.59570096846849
circular_magnet,Gre,417.059567500776,211.0786055098208,90,43.13679933484274,1,TR,Gre08,[0],16690349303894,8,T,4.38145781764222
circular_magnet,Yel,479.2057257472413,216.68408408745097,90,27.6744047147234,1,TR,Yel09,[0],16690315307017,9,R,4.02873482988843
circular_magnet,Yel,137.08770193389685,341.38065106612805,90,193.0830082754304,1,TR,Yel10,[0],18671211512449,10,E,4.48555010444679
circular_magnet,Blu,410.38338121511975,282.2901495115537,90,10.25528267508504,1,TR,Blu11,[0],17691110703557,11,J,4.05608410563317
circular_magnet,Yel,511.75387232270174,330.917855915565,90,349.9820039947089,1,TR,Yel12,[0],17690864808640,12,C,2.47059178911259
