Label, test
Date_and_Time_file_created, 13-September-22 12:39:09
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,279.6277684046253,472.2984554488937,270,75.58540540715666,1,TL,Yel01,[0],81130395749775712,1,A,0.985972223439028
circular_magnet,Gre,328.6520784931555,397.6407464765231,270,92.39939049915871,1,TL,Gre02,[0],81380392382363008,2,B,0.950238688793304
circular_magnet,Gre,391.566920367684,415.5949456470119,90,299.67329059877443,1,TR,Gre03,[0],81700393179874240,3,C,4.65058836702101
circular_magnet,Gre,461.5587736944955,341.66900056372634,90,342.2679946807385,1,TR,Gre04,[0],82060389776270448,4,D,5.55573874305546
circular_magnet,Gre,431.7218113270336,240.82310015777648,270,207.9933777391324,1,TL,Gre05,[0],81910385145230032,5,I,0.949405356735312
circular_magnet,Blu,389.309136042093,292.80752717791216,90,4.432829393881548,1,TR,Blu06,[0],81690387535953952,6,J,0.0880025590797975
circular_magnet,Yel,455.1294122765123,167.75038960051086,270,224.87347326336,1,TL,Yel07,[0],82020381846404176,7,K,1.93861802054168
circular_magnet,Gre,358.74038349079814,159.73695314272504,270,256.0629361019997,1,TL,Gre08,[0],81530381422426224,8,L,1.9929350453139
circular_magnet,Mag,275.40062393599567,104.77303926312266,90,104.26063219294662,1,TR,Mag09,[0],81110378967104352,9,M,2.572753783749
circular_magnet,Gre,286.7038069342896,190.6165416386085,90,109.40426245407872,1,TR,Gre10,[0],81160382818677568,10,N,5.88185656285066
circular_magnet,Mag,139.4851992763847,205.7541527941737,90,153.53726483955376,1,TR,Mag11,[0],80420383565417088,11,O,3.35720533873543
circular_magnet,Blu,273.5420497759394,259.7115582108182,90,143.1830757751306,1,TR,Blu12,[0],81090386001058048,12,P,0.557552665757171
circular_magnet,Mag,111.12671596479656,302.73377455967227,90,181.3156592208158,1,TR,Mag13,[0],80280387995955472,13,Q,4.52484598683871
circular_magnet,Gre,215.22704892019647,321.92877855342385,90,192.4380959673964,1,TR,Gre14,[0],80800388885500032,14,R,4.90668176910766
circular_magnet,Yel,163.13703294519908,389.96302556872047,90,209.72848303630332,1,TR,Yel15,[0],80540391992603312,15,S,4.8698014929921
circular_magnet,Blu,282.0403031890593,375.4719968681104,90,241.3430935078536,1,TR,Blu16,[0],81140391363873024,16,T,0.0162537284661997
circular_magnet,Mag,479.9129446462351,430.2840601605705,90,319.56629667253355,1,TR,Mag17,[0],82140393767357152,17,E,4.54324017635917
circular_magnet,Yel,411.9254783999477,122.50055605067216,270,243.4901998781517,1,TL,Yel18,[0],81800379795444992,18,F,2.25988569909238
circular_magnet,Blu,365.1783336005684,334.6576909564028,90,317.86833294261646,1,TR,Blu19,[0],81560389476289904,19,G,5.37967447302762
circular_magnet,Blu,258.1281210063857,347.6390294011038,90,216.89676212376324,1,TR,Blu20,[0],81010390079859472,20,H,5.71314595035685
circular_magnet,Blu,377.9999704498752,245.7512688650205,90,44.21490962964459,1,TR,Blu21,[0],81630385357645968,21,U,2.84503926411955
circular_magnet,Blu,324.69274,297.8721346273,90,350.284759549629,1,TR,Blu22,[0],81360387774271984,22,GS1,4.39921524005377
circular_magnet,Yel,331.42323169130253,106.25106549341164,270,267.92144302591,1,TL,Yel23,[0],81390379035967552,23,GS2,2.19094809964995
circular_magnet,Mag,112.16533982778137,258.63559158288365,90,169.53912478079263,1,TR,Mag24,[0],80290385984761088,24,GS3,3.23805737368021
circular_magnet,Yel,348.3627770159712,488.89917175177766,90,277.1278598668979,1,TR,Yel25,[0],81480396468794176,25,GS4,4.24299669751584
circular_magnet,Mag,489.4515942243709,187.55914984729435,270,213.75904413600549,1,TL,Mag26,[0],82190382766025984,26,GS5,1.61732632049644
circular_magnet,Yel,187.7909399058154,173.60297649561437,270,317.7315139844257,1,TL,Yel27,[0],80660382077208336,27,GS6,1.08820352081138
rectangular_magnet,R01,253.9274378667425,481.2053634558044,180,289.11467123780926,1,I,R01,[0],81130395749775712,1,A,0.985972223439028
rectangular_magnet,R02,307.21314384613686,414.380282945639,180,307.9827451521617,1,I,R02,[0],81380392382363008,2,B,0.950238688793304
rectangular_magnet,R03,414.3308659678241,400.70727354174767,180,123.18477721885309,1,I,R03,[0],81700393179874240,3,C,4.65058836702101
rectangular_magnet,R04,486.4219092409834,330.6388377908128,180,113.92376038010453,1,I,R04,[0],82060389776270448,4,D,5.55573874305546
rectangular_magnet,R05,456.0864940498335,252.91451181305052,180,63.60626767530266,1,I,R05,[0],81910385145230032,5,I,0.949405356735312
rectangular_magnet,R06,416.50761985760687,293.0947172495213,180,89.39503364818893,1,I,R06,[0],81690387535953952,6,J,0.0880025590797975
rectangular_magnet,R07,466.1125567178092,192.63433097203816,180,23.815454472457304,1,I,R07,[0],82020381846404176,7,K,1.93861802054168
rectangular_magnet,R08,380.1468434271671,176.51799819339544,180,51.90623867838934,1,I,R08,[0],81530381422426224,8,L,1.9929350453139
rectangular_magnet,R09,295.2479725487975,123.3720379738574,180,46.8597361095832,1,I,R09,[0],81110378967104352,9,M,2.572753783749
rectangular_magnet,R10,268.3704766590672,170.52353287885296,180,222.37805460528227,1,I,R10,[0],81160382818677568,10,N,5.88185656285066
rectangular_magnet,R11,160.67639550215833,222.806226055826,180,51.177158044419,1,I,R11,[0],80420383565417088,11,O,3.35720533873543
rectangular_magnet,R12,263.6859183996812,234.3600952492071,180,201.24506561148087,1,I,R12,[0],81090386001058048,12,P,0.557552665757171
rectangular_magnet,R13,116.80594210068992,329.3342706170278,180,12.051750117460584,1,I,R13,[0],80280387995955472,13,Q,4.52484598683871
rectangular_magnet,R14,215.83535010152465,349.1219756746304,180,1.2814704524794251,1,I,R14,[0],80800388885500032,14,R,4.90668176910766
rectangular_magnet,R15,172.75125312859635,415.407214890944,180,20.699334433436377,1,I,R15,[0],80540391992603312,15,S,4.8698014929921
