Label, test
Date_and_Time_file_created, 11-August-22 16:16:55
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,470.19523,278.76346763302,90,7.455721285307703,1,TR,Gre01,[0],82100087195133680,1,A,4.84197364685753
circular_magnet,Gre,433.75845,262.36209958204,90,17.98194559011624,1,TR,Gre02,[0],81920086433310272,2,B,5.02573595719849
circular_magnet,Gre,428.6942800000001,329.86292511488,270,162.91740307847374,1,TL,Gre03,[0],81890089535354400,3,C,1.273260320372233
circular_magnet,Blu,374.56322,325.1479849864,270,151.3979943485183,1,TL,Blu04,[0],81610089322457584,4,D,1.0729847215589232
circular_magnet,Blu,342.06117,328.44509751736,90,299.88453629684494,1,TR,Blu05,[0],81450089479390112,5,I,0.521944745442743
circular_magnet,Blu,297.41269,263.96767080518,90,128.62290615054735,1,TR,Blu06,[0],81220086486010032,6,J,0.674912142189393
circular_magnet,Blu,307.38910000000004,344.42694759414,90,249.86714453830987,1,TR,Blu07,[0],81270090219991360,7,K,5.931402916215909
circular_magnet,Blu,246.22331000000003,251.4127806475,270,329.32072062614105,1,TL,Blu08,[0],80950085909107696,8,L,1.03611605859415
circular_magnet,Blu,268.79071000000005,337.7752624429,90,215.6535779372703,1,TR,Blu09,[0],81070089909162768,9,M,5.334122476144209
circular_magnet,Gre,227.20641000000003,367.50696282044,90,215.6152138921368,1,TR,Gre10,[0],80860091273771152,10,N,5.33327871053427
circular_magnet,Gre,190.21545000000003,268.82635560808,270,347.80783511610315,1,TL,Gre11,[0],80670086715663312,11,O,1.35815272812244
circular_magnet,Yel,161.37109000000004,241.7092322511,270,341.0108956392977,1,TL,Yel12,[0],80530085474870928,12,P,1.23945911548475
circular_magnet,Blu,361.68876,275.1821257716,90,31.32529696215589,1,TR,Blu13,[0],81550087011831568,13,Q,5.25842471469118
circular_magnet,Blu,402.55554,347.01850073126,270,147.7940045965995,1,TL,Blu14,[0],81760090329530624,14,R,1.0091422278732032
circular_magnet,Gre,456.44875,347.34932100952,270,159.43509107036792,1,TL,Gre15,[0],82030090331464000,15,S,1.212090699714643
circular_magnet,Gre,210.35891000000004,240.998787273,270,333.5235211567705,1,TL,Gre16,[0],80770085430705776,16,T,1.10905952116792
circular_magnet,Yel,166.50352000000004,347.5084033244,90,197.45636326554688,1,TR,Yel17,[0],80550090336115888,17,E,5.01644840742058
circular_magnet,Gre,195.55415,333.42831811476003,90,195.4350981498916,1,TR,Gre18,[0],80700089697420272,18,F,4.9814091764499695
circular_magnet,Yel,515.0483800000001,276.39857554882,90,6.417408204869034,1,TR,Yel19,[0],82320087097135216,19,G,4.82399537450122
circular_magnet,Blu,388.0270200000001,252.86219928334,90,35.28253607093728,1,TR,Blu20,[0],81680085983296768,20,H,5.32810528910566
circular_magnet,Yel,137.64811000000003,343.65524762426,270,13.780732409729069,1,TL,Yel21,[0],80410090153384016,21,U,1.81151133268057
circular_magnet,Blu,324.7250354944533,297.89787438866153,90,345.9393343017981,1,TR,Blu22,[0],81360088062381024,22,GS1,6.16150810848946
circular_magnet,Gre,225.7773834508573,313.1654436789084,90,188.8300574590163,1,TR,Gre23,[0],80850088768422224,23,GS2,2.93668775753402
circular_magnet,Blu,414.59283367537455,284.36615388374025,90,8.499314942114296,1,TR,Blu24,[0],81820087439162576,24,GS3,0.376056889177452
circular_magnet,Yel,477.03062941580254,326.5771824352407,90,349.3302623703448,1,TR,Yel25,[0],82130089370848016,25,GS4,5.75125180432079
circular_magnet,Yel,327.5117632545949,466.638921702597,90,271.03232379618413,1,TR,Yel26,[0],81370095789026640,26,GS5,3.1334164532084
circular_magnet,Blu,337.9571003643673,237.37192206203457,90,77.4250706612493,1,TR,Blu27,[0],81420085259779536,27,GS6,5.84748372101953
rectangular_magnet,R01,470.19523,251.56346763302,180,180.00000000000034,1,I,R01,[0],82100087195133680,1,A,4.84197364685753
rectangular_magnet,R02,433.75845,235.16209958204,180,179.99999999999977,1,I,R02,[0],81920086433310272,2,B,5.02573595719849
rectangular_magnet,R03,428.6942800000001,357.06292511488,180,0.0,1,I,R03,[0],81890089535354400,3,C,1.273260320372233
rectangular_magnet,R04,374.56322,352.3479849864,180,0.0,1,I,R04,[0],81610089322457584,4,D,1.0729847215589232
rectangular_magnet,R05,342.06117,355.64509751736,180,0.0,1,I,R05,[0],81450089479390112,5,I,0.521944745442743
rectangular_magnet,R06,297.41269,236.76767080518,180,180.0,1,I,R06,[0],81220086486010032,6,J,0.674912142189393
rectangular_magnet,R07,307.38910000000004,371.62694759414,180,1.1368683772161605e-13,1,I,R07,[0],81270090219991360,7,K,5.931402916215909
rectangular_magnet,R08,246.22331000000003,224.2127806475,180,180.0,1,I,R08,[0],80950085909107696,8,L,1.03611605859415
rectangular_magnet,R09,268.79071000000005,364.9752624429,180,0.0,1,I,R09,[0],81070089909162768,9,M,5.334122476144209
rectangular_magnet,R10,227.20641000000003,394.70696282044,180,0.0,1,I,R10,[0],80860091273771152,10,N,5.33327871053427
rectangular_magnet,R11,190.21545000000003,241.62635560808,180,180.0,1,I,R11,[0],80670086715663312,11,O,1.35815272812244
rectangular_magnet,R12,161.37109000000004,214.5092322511,180,180.0,1,I,R12,[0],80530085474870928,12,P,1.23945911548475
rectangular_magnet,R13,361.68876,247.9821257716,180,180.00000000000034,1,I,R13,[0],81550087011831568,13,Q,5.25842471469118
rectangular_magnet,R14,402.55554,374.21850073126,180,0.0,1,I,R14,[0],81760090329530624,14,R,1.0091422278732032
rectangular_magnet,R15,456.44875,374.54932100952,180,0.0,1,I,R15,[0],82030090331464000,15,S,1.212090699714643
rectangular_magnet,R16,210.35891000000004,213.798787273,180,180.00000000000003,1,I,R16,[0],80770085430705776,16,T,1.10905952116792
rectangular_magnet,R17,166.50352000000004,374.7084033244,180,359.9999999999999,1,I,R17,[0],80550090336115888,17,E,5.01644840742058
rectangular_magnet,R18,195.55415,360.62831811476,180,0.0,1,I,R18,[0],80700089697420272,18,F,4.9814091764499695
rectangular_magnet,R19,515.0483800000001,249.19857554882,180,179.99999999999977,1,I,R19,[0],82320087097135216,19,G,4.82399537450122
rectangular_magnet,R20,388.0270200000001,225.66219928334,180,180.0,1,I,R20,[0],81680085983296768,20,H,5.32810528910566
rectangular_magnet,R21,137.64811000000003,316.45524762426,180,179.99999999999977,1,I,R21,[0],80410090153384016,21,U,1.81151133268057
rectangular_magnet,R22,351.6610969758558,301.67789976822,180,82.01166300174577,1,I,R22,[0],81360088062381024,22,GS1,6.16150810848946
rectangular_magnet,R23,251.24251881026865,303.60684121166133,180,110.57414482804592,1,I,R23,[0],80850088768422224,23,GS2,2.93668775753402
rectangular_magnet,R24,441.0916012496051,290.5025467204895,180,76.96167969244783,1,I,R24,[0],81820087439162576,24,GS3,0.376056889177452
rectangular_magnet,R25,502.6222778703296,317.36265426609907,180,109.80191809459654,1,I,R25,[0],82130089370848016,25,GS4,5.75125180432079
rectangular_magnet,R26,326.7993283510424,439.4482535146285,180,181.5008890415309,1,I,R26,[0],81370095789026640,26,GS5,3.1334164532084
rectangular_magnet,R27,332.1264969138477,210.8041960885383,180,192.3780073243089,1,I,R27,[0],81420085259779536,27,GS6,5.84748372101953
