Label, 1
Date_and_Time_file_created, 28-February-24 10:18:42
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Mag,348.1437331230601,499.8532831461834,270,96.68375174527952,1,TL,Mag01,[0],215990033510889,1,K,1.73377234146855
circular_magnet,Blu,366.42091206676423,298.6469427557479,90,358.88983677570974,1,TR,Blu02,[0],215991049811875,2,C,6.15603973590202
circular_magnet,Yel,282.9280779593527,110.32785032649464,270,282.4920804315766,1,TL,Yel03,[0],214990804607629,3,T,1.6566959394856
circular_magnet,Gre,187.57746433790783,281.0734948475627,270,353.01970387930754,1,TL,Gre04,[0],215991141602719,4,S,1.32720656493048
circular_magnet,Yel,212.0569251508792,409.2587005730468,90,224.7470073741908,1,TR,Yel05,[0],215990487903968,5,A,3.50999994666154
circular_magnet,Gre,372.2027174190829,387.0140096159935,270,118.1574756430402,1,TL,Gre06,[0],216000595900157,6,M,1.53581994054284
circular_magnet,Yel,196.36186477279247,390.4706601540965,90,215.8711814989911,1,TR,Yel07,[0],215990583803169,7,E,3.43223909316843
circular_magnet,Blu,309.4398060250408,229.71805164034825,90,102.44326546012036,1,TR,Blu08,[0],214990205308948,8,I,6.00864233885709
circular_magnet,Blu,292.36839872770656,325.18758642943425,90,220.43412243092436,1,TR,Blu09,[0],215990913708048,9,N,3.74031387528312
circular_magnet,Yel,137.3390359848642,280.580021527115,270,354.73206939665636,1,TL,Yel10,[0],215991143700234,10,G,1.53176714230818
circular_magnet,Yel,480.4287472632614,396.711444804401,270,147.62540771799894,1,TL,Yel11,[0],216000551105618,11,J,2.29209694157996
circular_magnet,Yel,172.29081868618127,302.28007691074936,90,181.67348119941164,1,TR,Yel12,[0],215991033701947,12,F,3.5196296093075
circular_magnet,Gre,204.61895480274657,259.62562186099643,270,342.3177771070436,1,TL,Gre13,[0],214990051303581,13,B,1.22090142211652
circular_magnet,Gre,250.7605744645197,204.9931630913561,90,128.44722871117193,1,TR,Gre14,[0],214990330905947,14,L,0.397352853754631
circular_magnet,Yel,185.33610189386056,429.5429991570214,270,43.42968431275611,1,TL,Yel15,[0],215990389002656,15,D,2.02734714639903
circular_magnet,Gre,432.9259482170315,232.02121109481317,90,31.250040129701667,1,TR,Gre16,[0],215000190203279,16,R,4.19595029463852
circular_magnet,Mag,151.6453995880314,420.7670704919501,270,35.42488795196104,1,TL,Mag17,[0],215990436900989,17,P,1.77585396392929
circular_magnet,Yel,469.06959460578264,236.077616687354,90,23.126623083920393,1,TR,Yel18,[0],215000167705097,18,O,4.47141474538016
circular_magnet,Mag,523.0248967844273,308.15900797634635,270,177.0232564018,1,TL,Mag19,[0],216001000107763,19,Q,1.73159425998482
circular_magnet,Blu,316.5492832599642,290.0956572106916,270,315.667267739538,1,TL,Blu20,[0],107632146710530752,20,H,2.178437390086
circular_magnet,Blu,290.30831285889076,296.8351064235298,270,358.3251388244712,1,TL,Blu21,[0],107492147001975376,21,U,1.3210396367552
circular_magnet,Gre,222.27162000000004,280.518275,270,350.3835608001384,1,TL,Gre22,[0],107142146295297200,22,GS1,1.40276445175191
circular_magnet,Gre,454.207960822768,358.6870410987691,270,154.87127333914378,1,TL,Gre23,[0],108332149648854016,23,GS2,2.0854224498306
circular_magnet,Blu,328.20061599862163,381.77157351934784,270,92.54484333088922,1,TL,Blu24,[0],107682150643399824,24,GS3,1.00611878687974
circular_magnet,Blu,351.88774197007973,230.9774321446164,90,67.70156611577514,1,TR,Blu25,[0],107812144181683840,25,GS4,5.21376800133483
circular_magnet,Yel,369.1744439141204,455.18739021453894,270,105.85996473131834,1,TL,Yel26,[0],107892153729987472,26,GS5,1.76556759298027
circular_magnet,Gre,416.9825461310288,194.09854906330048,90,48.273029428657566,1,TR,Gre27,[0],108142142638086032,27,GS6,4.37524261507711
