Label, 1
Date_and_Time_file_created, 06-July-24 07:13:59
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Mag,476.8626676349541,162.36206619705516,270,221.6360143690357,1,TL,Mag01,[0],215021156812828,1,J,1.69170546911375
circular_magnet,Yel,440.00444271963386,425.44409459716775,90,312.15676989013514,1,TR,Yel02,[0],216021021710968,2,R,4.83908336938121
circular_magnet,Gre,187.56700784746184,315.6193426586029,270,7.401954308336428,1,TL,Gre03,[0],215010863710113,3,D,1.77799325044663
circular_magnet,Yel,210.96409079567053,193.9830418101813,90,137.54339578023263,1,TR,Yel04,[0],214010285211333,4,N,3.89025628880168
circular_magnet,Gre,371.47671124696393,164.63713104421728,90,70.56147548348497,1,TR,Gre05,[0],215021153507530,5,M,4.60062535918081
circular_magnet,Yel,402.00863918710667,119.33684879224744,270,246.5200148817789,1,TL,Yel06,[0],214020177809053,6,G,2.03051086980999
circular_magnet,Yel,163.0855728896859,208.54724229107268,270,331.0462141425376,1,TL,Yel07,[0],214010208008938,7,S,1.4993769858449
circular_magnet,Gre,206.8519602214122,361.0192415268928,90,208.24500602125957,1,TR,Gre08,[0],215010632011088,8,E,5.06919065348033
circular_magnet,Yel,474.88523465679407,246.29958445316183,270,198.91219494392257,1,TL,Yel09,[0],215020734712784,9,K,0.916209474170745
circular_magnet,Yel,165.96093708567292,381.2621028062996,90,207.7591860307664,1,TR,Yel10,[0],215010531809056,10,I,4.81252839824049
circular_magnet,Blu,328.42893053882585,368.1088162870837,90,273.22434864902243,1,TR,Blu11,[0],215020111605304,11,F,4.53924906288063
circular_magnet,Yel,147.03646197388824,299.25033404040335,270,0.4573444248588316,1,TL,Yel12,[0],215010947808102,12,T,1.97730838012175
circular_magnet,Blu,382.6951847407737,265.56372375353476,90,28.996634591471263,1,TR,Blu13,[0],215020639308116,13,L,2.79597543609016
circular_magnet,Gre,389.03000743806626,217.13623294800377,270,231.33941516676688,1,TL,Gre14,[0],215020887408433,14,C,1.42412680508643
circular_magnet,Yel,281.9476374970433,479.77486064109087,90,256.8452244662567,1,TR,Yel15,[0],216020751102931,15,P,4.35822314758968
circular_magnet,Gre,247.35361,422.95356560808,90,238.3527455674121,1,TR,Gre16,[0],215010315513159,16,O,2.58918777248473
circular_magnet,Yel,307.21074213855326,134.98713337776695,90,96.04988472408849,1,TR,Yel17,[0],214020103704254,17,A,5.12315810129809
circular_magnet,Mag,351.53479271930945,500.2702950201525,90,277.6150225125832,1,TR,Mag18,[0],216020649506448,18,B,4.54188704191189
circular_magnet,Yel,370.8891107394911,446.9351866716487,90,287.2927355332119,1,TR,Yel19,[0],216020911307455,19,Q,4.39920846713832
circular_magnet,Blu,311.5219286761774,241.43330243619948,90,102.92952043190638,1,TR,Blu20,[0],110742135465545440,20,H,5.90450330399894
circular_magnet,Blu,368.9928798573903,313.3089579828081,90,340.83392068375855,1,TR,Blu21,[0],111042138560890784,21,U,5.93700018496563
circular_magnet,Blu,324.47313571680786,298.12172165920543,90,270.6244098084684,1,TR,Blu22,[0],110812137904511600,22,GS1,2.59112053179755
circular_magnet,Gre,297.63733581464305,176.2164589085846,270,282.44192750669805,1,TL,Gre23,[0],110672132693345248,23,GS2,2.35786577102666
circular_magnet,Gre,420.6635270182234,371.8412806866129,270,142.42682051946403,1,TL,Gre24,[0],111302141064753456,24,GS3,2.10418219061127
circular_magnet,Blu,236.30241771385883,280.83906461756743,270,349.0896391990211,1,TL,Blu25,[0],110352137154578832,25,GS4,1.29117977618752
circular_magnet,Gre,426.3262886045623,281.62413479495183,90,9.042475914624148,1,TR,Gre26,[0],111332137205175088,26,GS5,0.396011493681552
circular_magnet,Gre,318.42510940436046,441.9625832703288,90,267.5983677541425,1,TR,Gre27,[0],110772144028408672,27,GS6,4.18107765909595
rectangular_magnet,R01,492.35651745973365,184.71783989440632,180,34.724207698668124,1,I,R01,[0],215021156812828,1,J,1.69170546911375
rectangular_magnet,R02,462.3175595269744,409.888876233481,180,124.8816396842102,1,I,R02,[0],216021021710968,2,R,4.83908336938121
rectangular_magnet,R03,189.6798864696165,288.5015303587871,180,175.5448122737178,1,I,R03,[0],215010863710113,3,D,1.77799325044663
rectangular_magnet,R04,213.15569511440216,221.09460521973256,180,4.621542102499575,1,I,R04,[0],214010285211333,4,N,3.89025628880168
rectangular_magnet,R05,344.97954364124325,158.49383316161808,180,256.9467491140565,1,I,R05,[0],215021153507530,5,M,4.60062535918081
rectangular_magnet,R06,419.5653068257612,140.1119160948056,180,40.200602690605706,1,I,R06,[0],214020177809053,6,G,2.03051086980999
rectangular_magnet,R07,174.5168624706991,183.86596156022284,180,155.14849144066378,1,I,R07,[0],214010208008938,7,S,1.4993769858449
rectangular_magnet,R08,210.5241838361755,387.9702113373314,180,7.759095276857181,1,I,R08,[0],215010632011088,8,E,5.06919065348033
rectangular_magnet,R09,497.54952496762826,261.3385320462028,180,56.433635656639865,1,I,R09,[0],215020734712784,9,K,0.916209474170745
