Label, 1
Date_and_Time_file_created, 22-September-23 11:57:04
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,422.4349441640992,246.6814385021297,270,207.57138876937952,1,TL,Gre01,[0],340680257904312,1,T,0.861660836513757
circular_magnet,Yel,381.3958049836537,436.2264490416184,270,112.35913279123356,1,TL,Yel02,[0],341680505302205,2,N,1.59120781473154
circular_magnet,Gre,239.91458914296385,231.12097742012827,270,321.727059809684,1,TL,Gre03,[0],340670144306946,3,B,0.797081966469562
circular_magnet,Gre,202.3163862491919,329.45561791920755,90,194.513428241135,1,TR,Gre04,[0],341670846805032,4,K,5.0658760187442
circular_magnet,Yel,483.71627286752414,390.6841710015311,90,329.7552384927026,1,TR,Yel05,[0],341680741607365,5,C,4.80746644270101
circular_magnet,Yel,365.7306587034336,122.96488791831894,90,76.72378684007349,1,TR,Yel06,[0],340670683413441,6,G,4.61461278580151
circular_magnet,Yel,261.8572809592856,129.33198366531946,270,290.3842802422055,1,TL,Yel07,[0],340670656508156,7,D,2.20596398969502
circular_magnet,Mag,326.42783658400396,494.96318662409914,90,270.56902829589535,1,TR,Mag08,[0],341670011611389,8,I,4.40188611256592
circular_magnet,Gre,306.0301025269992,197.152062469694,270,280.37869517500565,1,TL,Gre09,[0],340670315910354,9,J,2.21763797369674
circular_magnet,Blu,413.1818599846225,314.7141567743506,90,349.22650992958353,1,TR,Blu10,[0],341681125203831,10,E,5.97245285822623
circular_magnet,Gre,353.1789939161807,397.5986767230216,90,286.0540788064566,1,TR,Gre11,[0],341670496612759,11,F,4.45968658166432
circular_magnet,Blu,238.5960189482181,287.49579512366387,90,173.13530711915968,1,TR,Blu12,[0],341671061906869,12,R,4.57684276773294
circular_magnet,Gre,255.1308675753361,409.09786573357906,90,238.06902810174975,1,TR,Gre13,[0],341670439507742,13,O,6.20335588466259
circular_magnet,Blu,374.06788596147055,352.7396971287635,90,312.09240520641947,1,TR,Blu14,[0],341670726513836,14,Q,5.14485750572716
circular_magnet,Yel,210.61797674215757,181.25910031631588,90,134.3229868082234,1,TR,Yel15,[0],340670397405515,15,P,4.70379701954237
circular_magnet,Yel,164.6369257417824,258.30585287118726,90,166.10896511150838,1,TR,Yel16,[0],340670007703136,16,M,4.45465874397417
circular_magnet,Gre,438.9514827836171,227.2199585454585,270,211.6669608588153,1,TL,Gre17,[0],340680356005148,17,L,0.991466571413117
circular_magnet,Blu,289.92109003356666,355.8884202998328,90,239.24259512866257,1,TR,Blu18,[0],341670709809505,18,S,3.70504617594567
circular_magnet,Blu,319.19033792740714,245.25956105032097,90,95.73456583192537,1,TR,Blu19,[0],340670068711008,19,A,5.62904307083753
circular_magnet,Blu,291.7966401347717,308.15444410848113,270,17.529620092795824,1,TL,Blu20,[0],2200375,20,H,1.63378105133298
circular_magnet,Blu,347.9214429066178,250.60245703516728,270,243.5946460130457,1,TL,Blu21,[0],2200207,21,U,1.51965988262945
circular_magnet,Blu,324.6664608917874,297.78718827700885,90,13.402245507794518,1,TR,Blu22,[0],2200619,22,GS1,0.0652751341611555
circular_magnet,Gre,328.53208953953146,168.35478971930448,270,268.2030762003047,1,TL,Gre23,[0],2198085,23,GS2,1.87156848233829
circular_magnet,Gre,221.49223269111076,358.98929281287684,90,210.70475884756783,1,TR,Gre24,[0],2149583,24,GS3,5.32276793085356
circular_magnet,Gre,204.62327124407935,218.2430528725804,90,146.41161961126687,1,TR,Gre25,[0],2147795,25,GS4,4.32367725339732
circular_magnet,Gre,294.25061089280524,435.65475764403186,90,257.6327080472911,1,TR,Gre26,[0],2207848,26,GS5,0.694480007078461
