Label, 1
Date_and_Time_file_created, 16-July-24 11:49:10
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,501.74218216390113,228.0841569543681,90,21.477745575150095,1,TR,Yel01,[0],18680275103938,1,O,4.40412943854342
circular_magnet,Yel,483.5620325538372,365.0470146069634,90,337.09697178934493,1,TR,Yel02,[0],19680795803048,2,B,5.19678642952671
circular_magnet,Gre,401.1185583432887,233.6448604328961,270,219.9444041824614,1,TL,Gre03,[0],18670457210896,3,R,1.12558274026664
circular_magnet,Gre,437.4683008848884,220.69058432069616,270,214.3211720834024,1,TL,Gre04,[0],18680318900731,4,N,1.08930520245917
circular_magnet,Gre,431.7719646384223,322.650754446895,90,346.9776233537077,1,TR,Gre05,[0],19681009400456,5,F,5.77868744200619
circular_magnet,Gre,422.323258837162,398.8053129369579,270,134.1015361179519,1,TL,Gre06,[0],19670822711968,6,S,1.81006265576466
circular_magnet,Blu,299.7210880894436,358.77942486961695,90,247.89875624229785,1,TR,Blu07,[0],19671021505682,7,G,0.278862951912443
circular_magnet,Blu,280.715396279113,239.31309903187287,90,126.78453948514972,1,TR,Blu08,[0],18670431504706,8,E,0.329187037304569
circular_magnet,Gre,309.2493253989288,192.25096665112827,90,98.20315093372568,1,TR,Gre09,[0],18670671806190,9,M,5.80256993414689
circular_magnet,Gre,222.9438189751545,294.7505171526236,270,358.2603870218451,1,TL,Gre10,[0],18670147901726,10,C,1.61141944687478
circular_magnet,Yel,185.80408000000003,381.256907273,270,31.03156774052809,1,TL,Yel11,[0],19661106311894,11,T,2.11267445793476
circular_magnet,Gre,205.21616000000003,242.5609822511,270,335.1327268501414,1,TL,Gre12,[0],18670415600855,12,P,1.13688779097054
circular_magnet,Yel,158.66999940000065,229.51500013178867,90,157.6055621136478,1,TR,Yel13,[0],18660680810548,13,A,4.6293335907997
circular_magnet,Yel,160.15530585880614,304.03585750977163,90,182.16153319696917,1,TR,Yel14,[0],18660302410585,14,K,4.93311092957129
circular_magnet,Gre,394.9625324832265,204.96231977813585,90,52.800356044664355,1,TR,Gre15,[0],18670603510583,15,J,5.14109582066072
circular_magnet,Gre,404.3337370705616,366.6169146812933,90,319.263212491106,1,TR,Gre16,[0],19670984811055,16,I,5.17049993414065
circular_magnet,Gre,343.90299008344977,419.0196771660601,270,99.11022833994014,1,TL,Gre17,[0],19670715707971,17,L,1.30939818910643
