Label, 1
Date_and_Time_file_created, 07-August-24 16:33:53
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,385.2877555263182,190.57773445689003,90,60.44536754756018,1,TR,Gre01,[0],20701078608663,1,Q,5.02930283613238
circular_magnet,Yel,393.7558914472277,137.1184355020593,270,246.67870161634852,1,TL,Yel02,[0],19700099509071,2,G,1.68544662356787
circular_magnet,Yel,471.0619048594168,209.96984723978807,270,210.9375995848555,1,TL,Yel03,[0],20710767101005,3,P,1.40619772663855
circular_magnet,Gre,419.5853897970871,279.6879131388157,90,10.801078685162324,1,TR,Gre04,[0],20700622210425,4,T,0.352204370788482
circular_magnet,Gre,450.21892519105427,342.9999134524058,90,340.2429629920956,1,TR,Gre05,[0],20700297411965,5,M,5.50906046522521
circular_magnet,Yel,458.27601782398995,392.4255292400882,90,324.7423517007538,1,TR,Yel06,[0],20700046312341,6,D,4.87863565987626
circular_magnet,Blu,383.679902627328,309.0538474679423,90,349.27008599514346,1,TR,Blu07,[0],20700471108588,7,F,4.04625819202625
circular_magnet,Yel,413.27311932073326,422.5727841745387,270,125.44754506550478,1,TL,Yel08,[0],21701036410084,8,A,1.75802365834123
circular_magnet,Blu,357.64356847701873,370.26089334747974,90,294.6091211177366,1,TR,Blu09,[0],20700156707236,9,O,3.39068573548179
circular_magnet,Gre,329.80424950682874,163.84406625947273,90,87.7202117803288,1,TR,Gre10,[0],20701214905823,10,J,5.22619726158175
circular_magnet,Yel,170.48907826062555,226.22789738083043,270,335.0600505952349,1,TL,Yel11,[0],20691100509706,11,C,1.5234738877461
circular_magnet,Blu,276.25696741201943,226.28571143333753,90,123.974180211511,1,TR,Blu12,[0],20700897703065,12,S,0.0468195653212771
circular_magnet,Gre,218.5144,257.562597273,270,339.1892991086259,1,TL,Gre13,[0],20700736800106,13,B,1.20800966296442
circular_magnet,Yel,163.53166861466465,308.8594684835968,90,183.9190621286868,1,TR,Yel14,[0],20690680709342,14,I,4.69260363411264
circular_magnet,Yel,191.70650840488844,382.58028571316777,90,212.5511170173752,1,TR,Yel15,[0],20690305410772,15,N,5.16372900838474
circular_magnet,Yel,291.43437465469947,452.9684198689252,270,77.97852191831464,1,TL,Yel16,[0],21700877403882,16,E,0.845003266708933
circular_magnet,Yel,332.5303136063041,483.6348726294657,90,272.48401723063193,1,TR,Yel17,[0],21700727405980,17,R,4.3495528867463
circular_magnet,Blu,245.8795564920056,318.4146456310714,90,194.67464264484315,1,TR,Blu18,[0],20700424901494,18,L,5.08909806756247
circular_magnet,Gre,427.23583331739303,217.8617798859104,270,217.89000120060345,1,TL,Gre19,[0],20700938410802,19,K,1.32296746484196
circular_magnet,Blu,288.15438840241023,283.25690305285383,90,158.1294596332699,1,TR,Blu20,[0],10053323,20,H,4.66265057820063
circular_magnet,Blu,295.9829086411487,349.67660002294673,90,241.21155972228692,1,TR,Blu21,[0],10054716,21,U,0.0770492016467972
circular_magnet,Blu,324.4523261205058,298.0636958737305,90,265.6000631727886,1,TR,Blu22,[0],10204797,22,GS1,2.99061527361112
circular_magnet,Blu,397.38683551552293,338.82697324899544,90,330.6558258926356,1,TR,Blu23,[0],10207523,23,GS2,5.40827167295981
circular_magnet,Gre,404.25182229472904,240.46088656175937,90,35.720860991079796,1,TR,Gre24,[0],10205797,24,GS3,4.3681962480137
circular_magnet,Gre,216.88500214028176,340.5114762607704,90,201.6375408983033,1,TR,Gre25,[0],10053700,25,GS4,5.0820572219966
circular_magnet,Gre,292.67996339546545,198.5328267775064,90,107.75182152073104,1,TR,Gre26,[0],10204377,26,GS5,5.89658505123788
circular_magnet,Gre,284.81332627700067,418.7711845583966,90,251.8450962952106,1,TR,Gre27,[0],10055310,27,GS6,0.52625286728084
rectangular_magnet,R01,366.991676334824,170.45080010963852,180,222.27192172170544,1,I,R01,[0],20701078608663,1,Q,5.02930283613238
rectangular_magnet,R02,417.3436986126054,150.66300463987088,180,60.134734996164866,1,I,R02,[0],19700099509071,2,G,1.68544662356787
rectangular_magnet,R03,488.6811995139,230.69182725808025,180,40.37354323446942,1,I,R03,[0],20710767101005,3,P,1.40619772663855
rectangular_magnet,R04,446.4227463970353,284.1146829235703,180,80.6335122511631,1,I,R04,[0],20700622210425,4,T,0.352204370788482
rectangular_magnet,R05,474.9534204084922,331.6842275987538,180,114.58343248592024,1,I,R05,[0],20700297411965,5,M,5.50906046522521
rectangular_magnet,R06,477.4486301764887,373.1317236128717,180,135.18051694271463,1,I,R06,[0],20700046312341,6,D,4.87863565987626
rectangular_magnet,R07,371.163362183732,284.9048057618244,180,207.39787958981793,1,I,R07,[0],20700471108588,7,F,4.04625819202625
rectangular_magnet,R08,388.5715761649732,433.9602231194518,180,294.7497543249932,1,I,R08,[0],21701036410084,8,A,1.75802365834123
rectangular_magnet,R09,352.7706990319771,343.500939248648,180,190.3202310337839,1,I,R09,[0],20700156707236,9,O,3.39068573548179
rectangular_magnet,R10,306.672141307212,149.53513302735433,180,238.2601198814648,1,I,R10,[0],20701214905823,10,J,5.22619726158175
