Label, 1
Date_and_Time_file_created, 07-September-23 11:50:54
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,303.9186186219885,468.36970414326345,270,83.1283813311833,1,TL,Yel01,[0],21700507000174,1,P,1.1849698098843
circular_magnet,Yel,142.3151473055093,307.34633150757537,270,2.9893347413378706,1,TL,Yel02,[0],20690399603947,2,I,1.94810782748107
circular_magnet,Yel,349.46874306872536,460.1022374410912,0,188.75802704443953,1,RI,Yel03,[0],21700549002486,3,F,4.7758887692517
circular_magnet,Yel,419.5885032452837,163.48775171426493,90,54.70112004323382,1,TR,Yel04,[0],20700921506057,4,C,4.38268372946172
circular_magnet,Blu,406.8886168418057,265.50406380661155,90,21.418337721777704,1,TR,Blu05,[0],20700403405428,5,N,4.21075021514377
circular_magnet,Gre,429.5922942606711,269.24612925260294,90,15.213589619189662,1,TR,Gre06,[0],20700383906580,6,B,0.473925778020617
circular_magnet,Gre,303.2360466191769,201.1902502710388,90,102.3917697083636,1,TR,Gre07,[0],20700736800106,7,E,2.65149109972545
circular_magnet,Gre,442.733243637595,313.45086501629504,90,352.47751697170065,1,TR,Gre08,[0],20700156707236,8,L,6.09633765724204
circular_magnet,Gre,219.26782984980517,345.5311454618935,90,204.38885357971105,1,TR,Gre09,[0],20690202807787,9,K,4.99006835855141
circular_magnet,Gre,283.30161513705104,415.9280142485309,90,250.78109411378423,1,TR,Gre10,[0],21691077711091,10,O,0.411593070908951
circular_magnet,Yel,340.5683978866005,482.689738108616,270,94.97711924199244,1,TL,Yel11,[0],21700437802041,11,J,1.42353401783854
circular_magnet,Gre,270.6658122616285,377.7409002052948,270,56.046200697718064,1,TL,Gre12,[0],20690035510412,12,M,2.33777354596084
circular_magnet,Blu,376.2480960474128,362.5657392572113,90,308.6558706503042,1,TR,Blu13,[0],21701043003847,13,A,5.11454737726271
circular_magnet,Yel,460.2773100561656,227.02564944847433,270,207.53701184419955,1,TL,Yel14,[0],20700598108124,14,G,1.14664522532235
circular_magnet,Yel,428.892263492575,427.7536555943092,90,308.7904037513834,1,TR,Yel15,[0],21700716006521,15,S,4.57065775138307
circular_magnet,Gre,224.5429950271993,321.9250999643087,270,13.554606249692029,1,TL,Gre16,[0],20690322808053,16,D,1.69719549690197
circular_magnet,Gre,354.29774254461466,403.21299553322007,90,285.8042750621417,1,TR,Gre17,[0],21700834502728,17,T,4.64171238280031
circular_magnet,Gre,309.78733953564694,419.9717697921309,90,263.1451439967444,1,TR,Gre18,[0],21700748300451,18,R,3.63744369199173
circular_magnet,Gre,228.4440604716802,211.80425183874613,90,138.14280237441417,1,TR,Gre19,[0],20690887008283,19,Q,0.686899153131787
circular_magnet,Blu,319.6107338573273,297.01398631282814,90,170.4214334801032,1,TR,Blu20,[0],10054320,20,H,2.93236103908945
circular_magnet,Blu,298.8311586768019,322.79029212847223,270,44.2271032138697,1,TL,Blu21,[0],10053995,21,U,1.90861944770807
circular_magnet,Yel,173.62521670659422,283.279092308517,270,354.48863198147245,1,TL,Yel22,[0],10050830,22,GS1,1.68034517359526
circular_magnet,Yel,211.29159541399576,402.6484953373258,90,222.80276441101697,1,TR,Yel23,[0],10118494,23,GS2,5.4572707672007
circular_magnet,Yel,328.96742708685184,452.1229517501121,90,271.66966358643117,1,TR,Yel24,[0],10121383,24,GS3,4.15351231128929
circular_magnet,Gre,408.9821948290417,241.26664820152064,90,33.79595894351267,1,TR,Gre25,[0],10204797,25,GS4,4.54770780628194
circular_magnet,Gre,268.1671087330068,161.4226919975461,90,112.42807303232765,1,TR,Gre26,[0],10051970,26,GS5,5.91215757188536
circular_magnet,Blu,301.9201193955349,283.83960191911007,90,148.17636788079022,1,TR,Blu27,[0],10053700,27,GS6,0.595502454298755
rectangular_magnet,R01,277.6750820236819,475.51930460855806,180,285.23941417544484,1,I,R01,[0],21700507000174,1,P,1.1849698098843
rectangular_magnet,R02,151.00053716274172,281.57029606711467,180,161.37844736045827,1,I,R02,[0],20690399603947,2,I,1.94810782748107
rectangular_magnet,R03,376.5609869773671,457.6834939667506,180,95.10173120534296,1,I,R03,[0],21700549002486,3,F,4.7758887692517
rectangular_magnet,R04,393.4993394176027,155.79388852517562,180,253.5688707958118,1,I,R04,[0],20700921506057,4,C,4.38268372946172
rectangular_magnet,R05,386.0215397198841,248.05685507891593,180,230.1006075026133,1,I,R05,[0],20700403405428,5,N,4.21075021514377
rectangular_magnet,R06,456.2051962943969,274.8669339408407,180,78.07405658381833,1,I,R06,[0],20700383906580,6,B,0.473925778020617
rectangular_magnet,R07,320.90155740102693,221.87284509896932,180,40.501451223075605,1,I,R07,[0],20700736800106,7,E,2.65149109972545
rectangular_magnet,R08,469.891471435508,311.9439931316726,180,93.17579499147786,1,I,R08,[0],20700156707236,8,L,6.09633765724204
rectangular_magnet,R09,223.26555253545175,372.43575869696286,180,8.451669560228652,1,I,R09,[0],20690202807787,9,K,4.99006835855141
rectangular_magnet,R10,264.82429964628045,435.88869590659385,180,317.2100128341324,1,I,R10,[0],21691077711091,10,O,0.411593070908951
rectangular_magnet,R11,314.1124080297953,489.0080132448078,180,283.4319033453346,1,I,R11,[0],21700437802041,11,J,1.42353401783854
rectangular_magnet,R12,264.9543958968937,351.1472971566547,180,192.12109480268103,1,I,R12,[0],20690035510412,12,M,2.33777354596084
rectangular_magnet,R13,402.4508644421402,355.26814181337545,180,105.5627765074413,1,I,R13,[0],21701043003847,13,A,5.11454737726271
rectangular_magnet,R14,481.6717742575952,243.82198540408513,180,51.86530010996307,1,I,R14,[0],20700598108124,14,G,1.14664522532235
