Label, 1
Date_and_Time_file_created, 29-May-23 11:47:53
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,364.20752017322496,192.6497622368024,90,69.30395218218501,1,TR,Gre01,[0],81533082754839536,1,A,4.88555367301997
circular_magnet,Gre,426.87926453152113,191.33294275505972,270,226.1220722779986,1,TL,Gre02,[0],81853082730198144,2,B,1.18139508866422
circular_magnet,Blu,385.9648638734154,257.3491838885224,90,33.35869570359537,1,TR,Blu03,[0],81653085732680160,3,C,2.40440560711805
circular_magnet,Yel,464.99394757175855,234.130974191415,270,204.38597749296804,1,TL,Yel04,[0],82053084701890816,4,D,1.06659612524886
circular_magnet,Yel,372.9941245406853,117.9489742064629,90,74.90373517700687,1,TR,Yel05,[0],81583079405844176,5,I,4.54650720128462
circular_magnet,Yel,220.15503260916185,137.03183242047496,90,122.97212709786449,1,TR,Yel06,[0],80803080230349024,6,J,3.74125379275137
circular_magnet,Mag,149.01326951206664,195.57588859645205,270,329.7658975158772,1,TL,Mag07,[0],80443082903068672,7,K,1.63248868865594
circular_magnet,Yel,174.77244744316053,422.2216317755825,90,219.7240831098121,1,TR,Yel08,[0],80573093266274704,8,L,4.9301568055262
circular_magnet,Yel,453.73227971845625,427.6663007692201,270,134.87394661946414,1,TL,Yel09,[0],81983093525318256,9,M,2.08865753710268
circular_magnet,Yel,508.6379309762102,296.1535269526093,90,0.5227910235507665,1,TR,Yel10,[0],82263087551407888,10,N,3.72886067939173
circular_magnet,Gre,420.06636158339865,359.02583168290806,270,147.37643706903089,1,TL,Gre11,[0],81823090431702720,11,O,2.07181872652564
circular_magnet,Gre,188.24238709525696,243.3563822198501,270,338.2034591304438,1,TL,Gre12,[0],80633085068628576,12,P,1.31482424291433
circular_magnet,Blu,264.58143954811453,260.5936591551045,90,148.12552378951142,1,TR,Blu13,[0],81023085864155200,13,Q,0.691437381443907
circular_magnet,Blu,247.69906604175176,342.4232084740144,90,210.14838258413275,1,TR,Blu14,[0],80933089654537840,14,R,5.57356700215631
circular_magnet,Blu,314.60244126672086,283.1734341049657,90,123.94323776685673,1,TR,Blu15,[0],81283086916221984,15,S,0.0766897418940786
circular_magnet,Blu,336.6747760870198,349.4704483146868,90,283.29835741442486,1,TR,Blu16,[0],81393089994905216,16,T,0.744018320855476
circular_magnet,Blu,280.1068006630793,301.05044854808426,90,184.14683862435675,1,TR,Blu17,[0],81103087739054032,17,E,5.11191268451862
circular_magnet,Gre,454.5482201433277,328.7665147639979,90,346.6235475497756,1,TR,Gre18,[0],81993089037607728,18,F,5.73757354347949
