Label, test
Date_and_Time_file_created, 13-April-23 10:53:19
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,387.58160989529193,144.10474187087533,90,67.68001613810938,1,TR,Yel01,[0],81721794843941760,1,A,4.49264055466296
circular_magnet,Blu,364.5381493906976,251.9226556153556,270,228.8878620844522,1,TL,Blu02,[0],81601799745334000,2,B,1.09621377863644
circular_magnet,Blu,404.0003758188388,341.36090574685994,90,331.3081503924992,1,TR,Blu03,[0],81801803883255696,3,C,5.43643514351276
circular_magnet,Gre,455.9286662773792,234.8731046388856,270,205.59165359462853,1,TL,Gre04,[0],82061798991719088,4,D,1.03470437693277
circular_magnet,Gre,286.23619128080384,185.90224447065705,270,288.8592140677843,1,TL,Gre05,[0],81201796698512928,5,I,2.29477624302887
circular_magnet,Yel,290.61071902275125,465.1961135574989,90,258.56277869507244,1,TR,Yel06,[0],81221809533326240,6,J,4.58771963174082
circular_magnet,Gre,207.3311289017761,337.6533223553558,90,198.77457216248763,1,TR,Gre07,[0],80791803703587552,7,K,4.94155125767257
circular_magnet,Blu,319.5204276772524,373.03231612255456,90,266.234209114917,1,TR,Blu08,[0],81371805349242272,8,L,0.658936093598472
circular_magnet,Gre,206.6674491647505,250.8961758203293,90,158.27544318926778,1,TR,Gre09,[0],80791799692434976,9,M,4.509492378253
circular_magnet,Yel,431.5028653102364,443.0572857374555,90,306.39105931608617,1,TR,Yel10,[0],81941808492311280,10,N,4.46251314733409
circular_magnet,Yel,475.8072695439519,338.9720986948536,90,344.79271170180607,1,TR,Yel11,[0],82161803756379152,11,O,5.58590669295489
circular_magnet,Yel,190.1084441976691,429.4374929422149,270,44.405862920384266,1,TL,Yel12,[0],80711807887977536,12,P,2.05772767513099
circular_magnet,Yel,218.91351351752343,139.87091326650662,90,123.75223832028456,1,TR,Yel13,[0],80861794641195504,13,Q,3.62940009347134
circular_magnet,Mag,235.430273686878,487.9532580209569,90,244.904607283555,1,TR,Mag14,[0],80951810515550016,14,R,4.3304391097906
circular_magnet,Blu,300.3387092124438,265.7508382873919,90,126.94858768015496,1,TR,Blu15,[0],81271800379813232,15,S,0.195313435047192
circular_magnet,Yel,324.6577573271028,112.79860578540844,90,89.94186140025195,1,TR,Yel16,[0],81401793425962176,16,T,4.80522819183263
circular_magnet,Mag,127.41215603426616,298.8265976705045,270,0.2886014337204301,1,TL,Mag17,[0],80401801911880832,17,E,1.74529768418191
circular_magnet,Gre,360.06334437099537,439.6173764532399,90,284.092329501197,1,TR,Gre18,[0],81571808379149680,18,F,4.39229121914254
circular_magnet,Mag,483.8314606485932,172.13123709328755,270,218.2660315343143,1,TL,Mag19,[0],82201796182214784,19,G,1.75157887651352
circular_magnet,Blu,243.99734595704095,288.5683172789965,90,173.43184391641495,1,TR,Blu20,[0],80981801436533712,20,H,4.69124764395447
circular_magnet,Gre,342.3658903245582,179.61827524138894,90,81.39173515923298,1,TR,Gre21,[0],81491796422631040,21,U,5.09645050610828
circular_magnet,Blu,324.7387791051863,297.89650087637955,270,166.90929855302574,1,TL,Blu22,[0],81391801874229120,22,GS1,1.95287545358685
circular_magnet,Blu,266.593010122661,368.5595668331776,90,230.70544143675093,1,TR,Blu23,[0],81101805140130192,23,GS2,6.01236987660725
circular_magnet,Blu,406.27003713656495,290.2500891072007,90,5.296910245439349,1,TR,Blu24,[0],81811801524408288,24,GS3,0.144924784509114
circular_magnet,Yel,197.03032848341903,200.2135866425871,90,142.5474247763123,1,TR,Yel25,[0],80741797371069392,25,GS4,4.32380716248633
circular_magnet,Gre,421.6836337033932,202.52142691156,90,44.43426294110261,1,TR,Gre26,[0],81891797500825728,26,GS5,4.47546014608836
circular_magnet,Gre,381.0988158349644,377.266490301408,270,125.48573701857242,1,TL,Gre27,[0],81681805540999120,27,GS6,1.5475475698872
rectangular_magnet,R01,360.7749971856878,139.49545613040627,180,260.243632317244,1,I,R01,[0],81721794843941760,1,A,4.49264055466296
rectangular_magnet,R02,390.9450168338056,258.4431887102892,180,76.1296613731364,1,I,R02,[0],81601799745334000,2,B,1.09621377863644
rectangular_magnet,R03,429.5938854931178,332.15154841029255,180,109.79034181378027,1,I,R03,[0],81801803883255696,3,C,5.43643514351276
rectangular_magnet,R04,478.56779898483,249.94989707807613,180,56.33791002215884,1,I,R04,[0],82061798991719088,4,D,1.03470437693277
rectangular_magnet,R05,311.34522859763405,196.3605543256014,180,67.38750253816045,1,I,R05,[0],81201796698512928,5,I,2.29477624302887
rectangular_magnet,R06,317.73369034005464,467.2417007398837,180,85.68697517259386,1,I,R06,[0],81221809533326240,6,J,4.58771963174082
rectangular_magnet,R07,209.994220808514,364.7226396998377,180,5.618704446174547,1,I,R07,[0],80791803703587552,7,K,4.94155125767257
rectangular_magnet,R08,301.5035837407616,393.409591076977,180,318.5180578100332,1,I,R08,[0],81371805349242272,8,L,0.658936093598472
rectangular_magnet,R09,201.8883420774229,277.67303402751736,180,349.88046010377803,1,I,R09,[0],80791799692434976,9,M,4.509492378253
rectangular_magnet,R10,448.73978200302304,422.0161664011195,180,140.67561411025417,1,I,R10,[0],81941808492311280,10,N,4.46251314733409
rectangular_magnet,R11,500.5096563958464,327.5864900673208,180,114.7455089355671,1,I,R11,[0],82161803756379152,11,O,5.58590669295489
rectangular_magnet,R12,182.37824954881097,403.359071005856,180,196.51093504305416,1,I,R12,[0],80711807887977536,12,P,2.05772767513099
rectangular_magnet,R13,221.66126749078484,166.93176780036097,180,5.797930743559164,1,I,R13,[0],80861794641195504,13,Q,3.62940009347134
rectangular_magnet,R14,262.58723454706745,489.48279286467255,180,86.77639179589937,1,I,R14,[0],80951810515550016,14,R,4.3304391097906
rectangular_magnet,R15,288.514480532447,241.2553771542933,180,205.7671150842005,1,I,R15,[0],81271800379813232,15,S,0.195313435047192
rectangular_magnet,R16,297.57817963660085,110.24195326618076,180,264.60654557304264,1,I,R16,[0],81401793425962176,16,T,4.80522819183263
rectangular_magnet,R17,131.98533230119287,272.0138011205059,180,170.3208028847755,1,I,R17,[0],80401801911880832,17,E,1.74529768418191
rectangular_magnet,R18,383.0256739802551,425.0375472733176,180,122.41332431454146,1,I,R18,[0],81571808379149680,18,F,4.39229121914254
rectangular_magnet,R19,496.5714467833526,196.1631482383908,180,27.929309647286917,1,I,R19,[0],82201796182214784,19,G,1.75157887651352
rectangular_magnet,R20,241.4554419249648,315.6492833602078,180,354.6377500620765,1,I,R20,[0],80981801436533712,20,H,4.69124764395447
rectangular_magnet,R21,318.9611064025294,165.75984497085898,180,239.3693951648085,1,I,R21,[0],81491796422631040,21,U,5.09645050610828
rectangular_magnet,R22,311.11301834778766,321.4375000858892,180,329.9373214442492,1,I,R22,[0],81391801874229120,22,GS1,1.95287545358685
rectangular_magnet,R23,255.61945414579787,393.4477381043386,180,336.2066212847528,1,I,R23,[0],81101805140130192,23,GS2,6.01236987660725
rectangular_magnet,R24,433.4325247479104,291.6781180857257,180,86.99052691933349,1,I,R24,[0],81811801524408288,24,GS3,0.144924784509114
rectangular_magnet,R25,189.8953643296564,226.46110626872556,180,344.7925378909448,1,I,R25,[0],80741797371069392,25,GS4,4.32380716248633
rectangular_magnet,R26,398.6132878136017,188.113125813742,180,238.0136675811371,1,I,R26,[0],81891797500825728,26,GS5,4.47546014608836
rectangular_magnet,R27,359.33601183209765,393.5827509616453,180,306.86005230655815,1,I,R27,[0],81681805540999120,27,GS6,1.5475475698872
