PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 12 08 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,06 21 11.78,-55 29 14.3 #Field centre
UTTIME,15 05 09.00 #Target observing time
UTDATE,2023 12 11 #Target observing date
PLATEID,A3391_A3395_T046
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901005920702034,182.1979113197117,-36.27529852684257,185.783272132951,1.16863580933858,2.94530358202208,4.50651753449609,96.6516055057978,-55.3245723462334,18.6921977996826,18.0370216369629,17.6781228054444,17.6081523895264,0.0,0.0,0.0,0.0,8.98052645941358,3.46122980117798,0.0343295335769653,21.9760484903645,0.0,0.0,8,305672.67389799,36777.1599296979,1,182215.69,-36233.5,-99,P,rectangular_magnet,R01,1,I,1.0,S,-156.9578996629558,4.50651753449609,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
2,C901005595405827,102.20701997985998,169.35562769790712,197.858869427236,0.14332422745742,4.16907598215069,2.25743355248632,96.0773666999722,-56.197340522185,18.5761165618896,18.1083087921143,17.9258692868459,17.8594074249268,0.0,0.0,0.0,0.0,8.66949452260956,4.18487644195557,0.0340862721204757,22.459596673944,0.0,0.0,8,175894.703781411,-160468.447835368,1,102288.04,169367.32,-99,P,rectangular_magnet,R02,1,I,2.0,L,-98.2118733352832,2.25743355248632,circular_magnet,Mag,1,TL,0.0818593524999998,0.0
3,C901005757006876,193.61684332900148,35.2854170961808,196.826718445363,1.12016517262857,3.32200298599527,4.08134749381288,96.7457398506845,-55.6254148906763,17.4870128631592,16.8947830200195,16.6573946657144,16.4909782409668,0.0,0.0,0.0,0.0,9.68746878351088,3.2266788482666,0.0513163618743419,20.6814364126195,0.0,0.0,8,326947.035842378,-31213.2551144041,1,193632.25,35317.26,-99,P,rectangular_magnet,R03,1,I,3.0,F,-154.18073674916036,4.08134749381288,circular_magnet,Mag,1,TR,0.0353742283999999,0.0
4,C901005838400443,55.212592893517765,26.03254923850518,61.0910520088384,1.35513393339947,3.58322085851164,4.05509838206742,95.7192693469506,-55.5980186296359,16.238790512085,15.4243431091309,15.1003592364279,14.7937412261963,0.0,0.0,0.0,0.0,10.5027727221382,9.4209508895874,0.0504749188853843,21.5376914902122,0.0,0.0,8,94964.7019985088,-25021.700119267,1,55229.79,26111.05,-99,P,rectangular_magnet,R04,1,I,4.0,A,-167.643455058752,4.05509838206742,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
5,C901005756903679,111.19465326208568,56.93553312375289,124.972688395682,-0.140731610011192,3.61454486614293,2.52790883102546,96.143214573654,-55.7259897754032,17.6582527160645,17.3829727172852,16.3071970101599,17.4477462768555,0.0,0.0,0.0,0.0,8.71166980460445,8.38399982452393,0.0157672595232725,23.2431037017701,0.0,0.0,8,190776.323233492,-53943.1790626746,1,111254.11,56927.11,-99,P,rectangular_magnet,R05,1,I,5.0,M,-81.93667270227763,2.52790883102546,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
6,C901005676100504,187.40822060526472,96.1462747494937,210.67600858555,1.04390490871738,3.61574391220536,3.7113463036916,96.7051384940008,-55.8812757779568,16.9760227203369,16.3060302734375,15.8686286144989,15.8278875350952,0.0,0.0,0.0,0.0,10.1226710869381,3.79648017883301,0.0520325750112533,20.4458106391611,0.0,0.0,8,317771.129231869,-89037.8156397759,1,187434.35,96191.19,-99,P,rectangular_magnet,R06,1,I,6.0,T,-149.81134548249534,3.7113463036916,circular_magnet,Mag,1,TR,0.0519627269999999,0.0
7,C901006085903665,-80.98330520968831,-172.10491625038847,190.19905384357,2.55439223697131,1.13073497902801,1.4236572579433,94.7024247032774,-54.7599156585168,17.2804374694824,16.7135524749756,16.4024946295009,16.3186416625977,0.0,0.0,0.0,0.0,9.79690513040788,3.45433712005615,0.0516539812088012,20.6482507543036,0.0,0.0,8,-134842.187471624,164389.571353656,1,-81023.84,-172077.94,-99,P,rectangular_magnet,R07,1,I,7.0,G,123.64410560056268,1.4236572579433,circular_magnet,Yel,1,TL,0.04869073126,0.0
8,C901005838007416,-147.36704618450972,-3.852713338536152,147.371593407312,-1.09237062595287,0.026777830842744,5.16403685038397,94.1933817810866,-55.4672894367751,17.1997928619385,16.6726341247559,16.4606832028112,16.3382949829102,0.0,0.0,0.0,0.0,9.35077840511741,4.07249164581299,0.0344538055360317,20.9648098169052,0.0,0.0,8,-249885.887886745,4523.09746727173,1,-147318.76,-3945.82,-99,P,rectangular_magnet,R08,1,I,8.0,N,-27.411773468836657,5.16403685038397,circular_magnet,Gre,1,TR,0.10488282044,0.0
9,C901005838105141,-94.97161044261756,13.561051075933374,95.9995511699284,2.42678160903267,-0.142266121883653,2.56904773091632,94.5798375188624,-55.5446481624967,18.6299819946289,18.1396999359131,17.9605044782266,17.8670444488525,0.0,0.0,0.0,0.0,8.73063550631985,4.61506938934326,0.0335407443344593,22.7034657936264,0.0,0.0,8,-162546.891149423,-12959.9745458136,1,-95029.69,13611.46,-99,P,rectangular_magnet,R09,1,I,9.0,R,130.95565600246098,2.56904773091632,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
10,C901005920008272,-199.71967957423547,-68.41873278810138,211.129953248288,-1.52487890717154,0.330304267441306,4.42800213256674,93.8264080638051,-55.192829258663,19.7794666290283,19.0783939361572,18.7178178430311,18.6409492492676,0.0,0.0,0.0,0.0,8.63468480042383,1.84464335441589,0.0338141210377216,21.6508306758383,0.0,0.0,8,-332821.947992363,66551.0977206065,1,-199717.05,-68475.96,-99,P,rectangular_magnet,R10,1,I,10.0,K,-2.6308743505495045,4.42800213256674,circular_magnet,Mag,1,TR,0.0572875941399999,0.0
11,C901005838104829,-96.8633664314238,-24.798061886015855,100.001023520526,2.01947270173109,0.249943967545898,1.76952873418519,94.5682282438395,-55.3803609501193,17.588436126709,17.1897087097168,16.9406320528223,16.9643230438232,0.0,0.0,0.0,0.0,8.40707961471311,7.58963298797607,0.0153928659856319,22.8336872675365,0.0,0.0,8,-165170.587304593,24168.9354514826,1,-96893.62,-24735.22,-99,P,rectangular_magnet,R11,1,I,11.0,O,154.2927373489268,1.76952873418519,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
12,C901005756904941,120.0486193493252,40.2123008130215,126.642932638961,1.14715209173505,3.46514032688793,3.9651970720267,96.2078279897904,-55.6542857895611,18.6522827148438,17.9762420654297,17.6350096878879,17.6002540588379,0.0,0.0,0.0,0.0,8.35606422703737,2.99477696418762,0.0159605480730533,21.6009391665522,0.0,0.0,8,205378.955280314,-37738.078262349,1,120071.87,40263.86,-99,P,rectangular_magnet,R12,1,I,12.0,J,-155.72697331602262,3.9651970720267,circular_magnet,Gre,1,RO,0.05655919482,0.0
13,C901005920110826,-129.300266846021,-33.8257028468625,133.668644414175,2.16305241515974,0.255506102756557,1.90754631240318,94.3287667827209,-55.3409635553447,18.4232559204102,18.0941352844238,17.8607757923692,17.9163665771484,0.0,0.0,0.0,0.0,7.9676582625782,4.9124698638916,0.0155958114191889,22.7935094619715,0.0,0.0,8,-219288.877517398,33072.7466705526,1,-129329.16,-33782.76,-99,P,rectangular_magnet,R13,1,I,13.0,Q,146.06622574576733,1.90754631240318,circular_magnet,Gre,1,TL,0.05175811476,0.0
14,C901005676007825,173.96702018185897,118.58706689598868,210.566584278219,-0.133059686054208,3.7399239457945,2.41020167533088,96.6080368829524,-55.976674057183,17.8807048797607,17.2855377197266,16.8736200598752,16.8829135894775,0.0,0.0,0.0,0.0,9.66210462807263,2.31996488571167,0.0521389544010162,20.3558194594141,0.0,0.0,8,295826.165134927,-110597.826744917,1,173986.26,118604.67,-99,P,rectangular_magnet,R14,1,I,14.0,C,-82.37624156575816,2.41020167533088,circular_magnet,Mag,1,TR,0.0167343919199998,0.02
15,C901006002605281,-190.48581894086513,-92.353311470795,211.736939404087,2.52978720472747,0.451066525252358,2.07872067947511,93.8970097483608,-55.0933846318402,17.5161304473877,16.8687553405762,16.5441383430805,16.4530639648438,0.0,0.0,0.0,0.0,9.66411468860317,6.53720664978027,0.0420223921537399,22.1885910913515,0.0,0.0,4,-316865.967282766,89025.5833825564,1,-190559.58,-92301.56,-99,P,rectangular_magnet,R15,1,I,15.0,P,125.05387010291804,2.07872067947511,circular_magnet,Mag,1,TL,0.0901049863999998,0.0
16,C901005837912220,-181.85716462297825,1.0004250063801767,181.866060888242,1.97182319944016,-0.0055795746611551,1.97740277410132,93.941445496273,-55.4862415224913,17.8770637512207,17.3047428131104,16.9691028967081,16.9222564697266,0.0,0.0,0.0,0.0,9.6631881641893,1.52959167957306,0.0536100678145885,19.4704950575114,0.0,0.0,4,-306823.488254611,239.926095421566,1,-181863.23,1014.73,-99,P,rectangular_magnet,R16,1,I,16.0,D,157.02285272609603,1.97740277410132,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
17,C901005756500582,-143.509689311199,43.4037799130012,149.909099344429,5.35602697339739,-0.293597353609218,5.64962432700661,94.2175854640944,-55.6688288185054,17.3785495758057,16.8939838409424,16.7047735139065,16.5615844726562,0.0,0.0,0.0,0.0,9.60840198681356,4.94096851348877,0.053296573460102,21.6059189543777,0.0,0.0,4,-244415.855526982,-41024.8028037775,1,-143494.34,43383.32,-99,P,rectangular_magnet,R17,1,I,17.0,I,-36.87774053389853,5.64962432700661,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
18,C901005595310012,66.63315988605194,195.4281905317497,206.492248962738,0.200224738903279,4.3836520459924,2.09975800009047,95.8085365932947,-56.3073154949138,18.0372905731201,17.1586685180664,16.8809472859402,16.5686225891113,0.0,0.0,0.0,0.0,9.97301413907592,4.82935285568237,0.0545614771544933,21.8209878907891,0.0,0.0,1,115139.099672287,-185322.791672063,1,66665.58,195434.77,-99,P,rectangular_magnet,R18,1,I,18.0,B,-101.47203249326674,2.09975800009047,circular_magnet,Mag,1,TL,0.0330810095199999,0.0
19,C901005595209437,-2.1244359793588585,209.04037943879865,209.097397942741,0.460509298549539,-1.56109088866128,2.02160018721082,95.2881173839157,-56.3660532878992,17.8150577545166,16.8768863677979,16.5385928671831,16.2369918823242,0.0,0.0,0.0,0.0,10.153280250178,1.73551392555237,0.0542302057147026,19.3169015632704,0.0,0.0,1,-2475.64164736733,-198597.532886761,1,-2029.35,209087.55,-99,P,rectangular_magnet,R19,1,I,19.0,E,-116.3852392334186,2.02160018721082,circular_magnet,Mag,1,TL,0.1061433243999999,0.0
