PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 05 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 09 19.72,-56 37 16.4 #Field centre
UTTIME,16 24 25.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,A3667_T004
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,901005561104508,-44.983528807544616,-40.00428038902887,60.1607584453961,1.80809217217293,0.725698386509779,1.08239378566315,301.983966782397,-56.4483600135838,16.9324073791504,16.3340377807617,16.1680493983815,15.938533782959,0.0,0.0,0.0,0.0,8.84774932268807,7.92568922042847,0.0143631100654602,22.0720976570809,0.0,0.0,8,-78691.8824315746,39069.5874724459,1,-45002.42,-39926.17,-99,P,rectangular_magnet,R01,1,I,1.0,I,166.40394956384972,1.08239378566315,circular_magnet,Blu,1,TL,0.0803623669799998,0.0
2,901005641300796,-126.40651667455498,-83.49831672671456,151.50724176898,2.29641205274303,0.58316998570136,1.71324206704167,301.366492190501,-56.2599451104454,16.8356990814209,16.176872253418,16.4988168787035,15.6963701248169,0.0,0.0,0.0,0.0,9.91200543199404,5.3128490447998,0.0535407774150371,21.0463843170342,0.0,0.0,8,-218241.140200118,81651.3555817326,1,-126466.31,-83430.91,-99,P,rectangular_magnet,R02,1,I,2.0,D,138.42528135485057,1.71324206704167,circular_magnet,Yel,1,TL,0.0901049863999998,0.0
3,901005481710085,181.9853728386886,32.810574482005826,184.952160453825,1.43635442595924,3.32051481854071,4.39902491459812,303.733728442976,-56.7561182177323,16.2176132202148,15.2415266036987,14.9577593664399,14.5395956039429,0.0,0.0,0.0,0.0,10.8362654216916,3.9509003162384,0.0534502875126389,19.4678816468839,0.0,0.0,8,316754.252859163,-30483.7666651003,1,181999.6,32915.76,-99,P,rectangular_magnet,R03,1,I,3.0,E,-172.29704649240054,4.39902491459812,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
4,901005641110349,-191.28676740418464,-88.035055457105,210.600393763285,2.51674904213469,0.431091097256298,2.08565794487839,300.887309921343,-56.2388530796616,18.4251518249512,17.958911895752,17.8995787152502,17.2152290344238,0.0,0.0,0.0,0.0,8.17125159567029,4.02794122695923,0.015647605061531,22.2272022024445,0.0,0.0,8,-326536.333029853,86418.1545388678,1,-191332.64,-88001.97,-99,P,rectangular_magnet,R04,1,I,4.0,M,125.80090179208968,2.08565794487839,circular_magnet,Mag,1,TL,0.05655919482,0.0
5,901005401906860,-119.89832956253623,103.03905177847707,158.042718436089,6.15256296285699,-0.710116888990642,0.579494544668046,301.392409844227,-57.0529406915964,18.5921173095703,18.1976928710938,18.0798143940712,17.9754486083984,0.0,0.0,0.0,0.0,8.6032965790114,3.98538732528686,0.0337781831622123,22.4429202292445,0.0,0.0,8,-212383.750457947,-97565.6457584039,1,-119841.53,103031.59,-99,P,rectangular_magnet,R05,1,I,5.0,K,-82.51589096021064,0.579494544668046,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
6,901005561303794,64.32950363688606,-33.837028855559026,72.6634088678648,1.6030246746125,2.65790915488705,5.22830082690504,302.83302539625,-56.4765856045777,18.1517677307129,17.4112148284912,17.0831675945517,16.9082469940186,0.0,0.0,0.0,0.0,9.70691564979743,2.81717944145203,0.0494962049027284,20.9031620624264,0.0,0.0,8,113195.364299217,32690.6039078442,1,64328.04,-33791.63,-99,P,rectangular_magnet,R06,1,I,6.0,J,178.15345168937165,5.22830082690504,circular_magnet,Blu,1,TR,0.0454224428999999,0.0
7,901005323404616,-19.1377620914884,148.43236882609628,149.66590423297,0.198024800842326,-1.44303605761138,1.64106085845371,302.17670530116,-57.2520562280789,17.7751235961914,17.124828338623,16.8986162087045,16.6604499816895,0.0,0.0,0.0,0.0,9.85491271443948,5.32768678665161,0.0621800012886524,22.0003964446125,0.0,0.0,8,-35132.9771912376,-142565.757003436,1,-19069.38,148446.09,-99,P,rectangular_magnet,R07,1,I,7.0,C,-101.34598532718394,1.64106085845371,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
8,901005561407819,147.25760096841316,-17.125784594946364,148.249074357611,1.47502313663579,3.02616506291893,4.73204338089645,303.469450463911,-56.5463696415527,16.3461112976074,15.4060258865356,15.1214204462681,14.7276201248169,0.0,0.0,0.0,0.0,10.835636632446,4.32126617431641,0.0603560839879565,19.8269556587678,0.0,0.0,8,257027.429590573,16919.4115514907,1,147262.57,-17074.06,-99,P,rectangular_magnet,R08,1,I,8.0,T,-174.51260041337932,4.73204338089645,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
9,901005561003094,-110.30905402820768,-28.86972581898421,114.01060821168,5.25431456767237,0.256385150516865,4.99792941715551,301.479197083327,-56.4924679463795,16.7859344482422,15.9389724731445,15.8240413656776,15.3602561950684,0.0,0.0,0.0,0.0,10.3522795970301,4.24734354019165,0.0533611997961998,20.3224341033176,0.0,0.0,4,-192769.834421493,29101.1946606152,1,-110283.94,-28911.44,-99,P,rectangular_magnet,R09,1,I,9.0,R,-31.05004896173261,4.99792941715551,circular_magnet,Gre,1,TR,0.04869073126,0.0
10,901005641600481,47.23742823243239,-80.02690801416408,92.8588764759342,1.25782787869993,2.10487591160087,5.43613727427864,302.700016090905,-56.2790857719856,18.2707862854004,17.4045276641846,17.0847952439322,16.8325080871582,0.0,0.0,0.0,0.0,9.88679028082981,2.58502244949341,0.0546512752771377,20.7097239411911,0.0,0.0,1,83135.2612912569,77325.5660736493,1,47269.72,-79927.12,-99,P,rectangular_magnet,R10,1,I,10.0,N,-162.06822880339925,5.43613727427864,circular_magnet,Gre,1,RO,0.10488282044,0.0
11,901005561203367,4.841502437273507,-41.47753030795186,41.7079053670129,1.5445643351731,1.68717255670112,6.14057708565157,302.371374124902,-56.4431502523229,17.177677154541,16.2883453369141,16.6717590939927,15.6775302886963,0.0,0.0,0.0,0.0,10.0204458327408,14.0431995391846,0.052522238343954,23.268550352457,0.0,0.0,1,8862.17697449433,40246.9935174271,1,4842.86,-41425.79,-99,P,rectangular_magnet,R11,1,I,11.0,F,-178.49701759184853,6.14057708565157,circular_magnet,Blu,1,TR,0.05175811476,0.0
12,901005561206267,18.609853868434275,-26.25256570909725,32.1948675262145,-0.884581387323424,2.18811138762326,3.2104925322329,302.47851572494,-56.5085114596324,18.399076461792,17.4944877624512,17.0420668815697,16.8951530456543,0.0,0.0,0.0,0.0,9.96687062248176,2.46928596496582,0.0584144033491611,20.7002193839537,0.0,0.0,1,33076.1785831992,25475.3606654703,1,18635.93,-26252.84,-99,P,rectangular_magnet,R12,1,I,12.0,O,-39.31721987054061,3.2104925322329,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
