PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 06 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 07 50.22,-56 32 16.1 #Field centre
UTTIME,16 22 56.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,A3667_T009
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,901005561001241,-72.03311737292294,-4.610121746340503,72.1623415911041,-0.967930716958532,0.0643335791546074,5.25092101106645,301.39948527612,-56.5151735938082,17.1985149383545,16.5560150146484,16.1996045219701,16.0889129638672,0.0,0.0,0.0,0.0,10.0254791601345,2.84416317939758,0.0554164201021194,20.0686622450671,0.0,0.0,8,-126504.217510682,5114.60007509177,1,-72013.06,-4639.26,-99,P,rectangular_magnet,R01,1,I,1.0,Q,-34.54165505720425,5.25092101106645,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
2,901005481511277,117.17217202091884,50.93802891430303,127.821255508057,1.42721414245382,3.55238044683154,4.15801900280187,302.869073108481,-56.7545948534981,16.9092330932617,15.9180269241333,15.6482275818213,15.2037954330444,0.0,0.0,0.0,0.0,10.6515268710982,2.88070178031921,0.0579429723394204,19.4583931109718,0.0,0.0,8,205622.632603074,-48994.6046148316,1,117187.36,51043.08,-99,P,rectangular_magnet,R02,1,I,2.0,E,-171.77334682398694,4.15801900280187,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
3,901005561103699,-1.1212627514196334,-37.07564237477604,37.0040124954524,1.72452525397087,1.5401175437724,0.184407710198471,301.951786314648,-56.3786283080298,17.6302680969238,17.1654758453369,17.4594087278662,16.8888626098633,0.0,0.0,0.0,0.0,9.00005170876656,7.32077598571777,0.0385246723890304,22.7311361157342,0.0,0.0,8,-1684.18280329968,35973.8346610206,1,-1135.06,-36986.6,-99,P,rectangular_magnet,R03,1,I,3.0,T,171.1919812837427,0.184407710198471,circular_magnet,Blu,1,TR,0.0901049863999998,0.0
4,901005323203334,-91.67642639183444,152.921817965665,178.301232063475,3.49648704039154,-1.03060453429126,4.5270915746828,301.237799421299,-57.180824930865,16.2962875366211,15.7493667602539,15.7186476011264,15.3592758178711,0.0,0.0,0.0,0.0,10.0516759260872,6.00096559524536,0.0515289802595234,20.883347126363,0.0,0.0,8,-163045.220700132,-145322.602099753,1,-91700.41,152912.93,-99,P,rectangular_magnet,R04,1,I,4.0,I,69.66604946337657,4.5270915746828,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
5,901005401905022,-82.20504805108034,134.640964444126,157.731394564962,0.188380782430142,-1.02301186708462,1.21139264951476,301.311824810409,-57.1063853489611,18.164966583252,17.567289352417,17.5777240183324,17.2287197113037,0.0,0.0,0.0,0.0,8.35393333488575,8.2321081161499,0.0157193560153245,23.3877193620805,0.0,0.0,8,-146315.482761252,-128499.256589465,1,-82146.06,134652.21,-99,P,rectangular_magnet,R05,1,I,5.0,S,-100.79342377461931,1.21139264951476,circular_magnet,Yel,1,TL,0.0600504179599999,0.0
6,901005641508355,79.00651312193959,-72.07699573684197,106.934769730992,1.50659376783256,2.40214125217679,5.38763782283535,302.56999598849,-56.2295787122045,17.1841125488281,16.5926456451416,16.3964811410554,16.1782302856445,0.0,0.0,0.0,0.0,9.85656917574686,5.48284482955933,0.0522102899849414,21.5305501021454,0.0,0.0,8,138031.203485054,69659.0433175183,1,79007.51,-72061.49,-99,P,rectangular_magnet,R06,1,I,6.0,P,-176.3214643375183,5.38763782283535,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
7,901005561104508,3.108669464417892,-20.69690814539182,20.9812696449476,4.13534345168281,1.71767439483387,2.41766905684894,301.983966782397,-56.4483600135838,16.9324073791504,16.3340377807617,16.1680493983815,15.938533782959,0.0,0.0,0.0,0.0,8.84774932268807,7.92568922042847,0.0143631100654602,22.0720976570809,0.0,0.0,8,5588.60290801624,20214.4692057993,1,3070.62,-20755.36,-99,P,rectangular_magnet,R07,1,I,7.0,N,33.06227338151291,2.41766905684894,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
8,901005481300418,-54.72447284447838,78.02923324875528,95.2484979091392,6.04006686913874,-0.95970631665384,0.716587878612991,301.528039985308,-56.8701029377048,19.8574562072754,19.5864887237549,18.1035755282804,19.5038204193115,0.0,0.0,0.0,0.0,8.69043865236945,2.30427145957947,0.0358237735927104,22.6420316092218,0.0,0.0,8,-97450.8532340285,-75099.4316455415,1,-54649.83,78010.72,-99,P,rectangular_magnet,R08,1,I,8.0,R,-76.07033957844669,0.716587878612991,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
9,901005803409802,8.89824807991944,-187.46238035558093,187.764135217958,-0.996898070553935,1.61850825289244,3.66777898373321,302.033172978157,-55.7453419613636,18.420223236084,17.6303539276123,17.2793424149214,17.0342044830322,0.0,0.0,0.0,0.0,9.78869268058733,4.24321317672729,0.0586913675069808,22.0117028645167,0.0,0.0,4,16709.2031498164,179096.549007571,1,8955.19,-187550.46,-99,P,rectangular_magnet,R09,1,I,9.0,C,-32.88194795252457,3.66777898373321,circular_magnet,Yel,1,TR,0.10488282044,0.0
10,901005641606897,127.4481183222682,-91.5195460252137,156.895236796577,1.2147310173003,2.51903034522507,4.97888597925481,302.934908573127,-56.1477306214478,17.1533145904541,16.2096061706543,15.8518221679554,15.5161104202271,0.0,0.0,0.0,0.0,10.4306872500876,5.55854368209839,0.0530145913362503,21.177285967068,0.0,0.0,4,220501.447613057,88156.7118285327,1,127459.65,-91488.54,-99,P,rectangular_magnet,R10,1,I,10.0,B,-159.59896053494018,4.97888597925481,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
