PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 08 08 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,20 53 29.52,-52 56 31.9 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,12 10 32.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A3716_T041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901006910002211,-106.07931557921700,-113.48257951108400,155.337238668043,2.33115798480761,0.818587290617644,1.51257069418996,312.635798032067,-52.4557891400817,16.0578346252441,15.0187339782715,14.499566541337,14.142448425293,0.0,0.0,0.0,0.0,10.9507448755702,10.5219841003418,0.0439191750605481,21.3720968660261,,,1,-166607.64475291,109928.854341546,1,-106134.7,-113424.35,-99,P,rectangular_magnet,R01,1,I,1.0,A,136.43448609230200,1.51257069418996,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
2,C901006910009076,-65.15980629907550,-83.88828892654180,106.192882887434,1.8935946883077,0.909989748227591,0.983604940080108,312.916454412482,-52.5813879884431,16.6036567687988,15.7336139678955,15.4267629384547,15.0957269668579,0.0,0.0,0.0,0.0,10.4890379608006,3.5624532699585,0.0490415276563954,19.7352345308789,,,1,-103179.302779121,81543.5146118663,1,-65176.29,-83839.01,-99,P,rectangular_magnet,R02,1,I,2.0,D,161.50501625157800,0.983604940080108,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
3,C901006822109528,-39.59605851453590,-60.231930485344900,72.0056898930168,1.76487892979968,0.988209237272282,0.776669692527393,313.09441896746,-52.6832148884218,16.1913452148438,15.2971458435059,14.9577766285132,14.6651077270508,0.0,0.0,0.0,0.0,10.5872147411553,4.11929607391357,0.0420205407193261,19.6141355649527,,,8,-62959.3133541404,58530.6352166744,1,-39616.53,-60127.78,-99,P,rectangular_magnet,R03,1,I,3.0,E,168.87988597091300,0.776669692527393,circular_magnet,Blu,1,RO,0.1061433244000000,0.0
4,C901006910407264,156.63660681594100,-102.06982553928000,186.972818794413,0.743258144283141,2.56438040551316,4.46206304594956,314.463511138375,-52.5088614966585,17.9369621276855,17.5747871398926,17.6461627089151,17.3885364532471,0.0,0.0,0.0,0.0,8.46317912061947,10.1056795120239,0.0242286622524261,23.8404894269165,,,8,246455.517272816,97934.5017551716,1,156680.82,-102029.19,-99,P,rectangular_magnet,R04,1,I,4.0,O,-132.58555475615000,4.46206304594956,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
5,C901006822508563,190.6616266650000,-39.58428654021870,194.774780341745,0.70295051216011,2.93719660645975,4.04893921287994,314.703485029376,-52.7713733761906,18.5789585113525,17.9364280700684,18.3835930804541,17.5483989715576,0.0,0.0,0.0,0.0,8.33413954274167,14.0431995391846,0.0239331424236297,24.9166330856113,,,8,300689.6166389,38606.8169809301,1,190720.3,-39534.57,-99,P,rectangular_magnet,R05,1,I,5.0,F,-130.27609755333400,4.04893921287994,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
6,C901006735001769,167.50051819218500,-0.0422438086385033,167.495879722582,4.40858221202976,3.14125192878391,1.26733028324585,314.551382141294,-52.939076260642,16.7119522094727,16.0020408630371,15.6496258531619,15.4957866668701,0.0,0.0,0.0,0.0,10.0345180785617,4.06162643432617,0.0392185822129249,20.288415429418,,,8,266314.363932427,705.965094913452,1,167495.87,-57.07,-99,P,rectangular_magnet,R06,1,I,6.0,P,17.406845614246100,1.26733028324585,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
7,C901006647905821,105.9187109478850,63.12516379707100,123.212944352274,3.59296408068425,3.67911202644437,6.19703736141946,314.125321309157,-53.2109343851808,18.1693954467773,17.7748641967773,17.9685885852074,17.5695610046387,0.0,0.0,0.0,0.0,8.38081529047307,7.48195695877075,0.024534860625863,23.3878149060954,,,8,170024.615869462,-60733.9710508719,1,105837.63,63085.86,-99,P,rectangular_magnet,R07,1,I,7.0,T,64.13832223469070,6.19703736141946,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
8,C901006647806125,43.87695018733350,53.79655580911430,69.4464863605964,-0.174335822570712,4.02813284437935,2.08071664022952,313.685530822983,-53.1734031628336,16.9911136627197,16.317699432373,16.0055986391295,15.8820486068726,0.0,0.0,0.0,0.0,10.0124890298267,2.55436897277832,0.0449299998581409,19.5969922656437,,,8,70631.9659940632,-52251.9148003972,1,43896.9,53813.35,-99,P,rectangular_magnet,R08,1,I,8.0,G,-80.01129314875660,2.08071664022952,circular_magnet,Blu,1,TL,0.0167343919199998,0.02
9,C901006561403243,104.63359642458200,137.58320522204300,172.826588298786,2.9298848291817,4.06249074513297,5.15057939122831,314.113765777794,-53.5243636037557,16.9502296447754,16.5205078125,16.2700619273696,16.3304138183594,0.0,0.0,0.0,0.0,8.01012350188892,3.56865572929382,0.0066842199303209,20.5259057606603,,,8,167413.06578136,-131568.974448781,1,104578.3,137595.09,-99,P,rectangular_magnet,R09,1,I,9.0,J,102.12996482848000,5.15057939122831,circular_magnet,Yel,1,TR,0.05655919482,0.0
10,C901006909903964,-153.32777386733400,-87.53687546683410,176.558377098271,2.13303500245398,0.518482126050181,1.6145528764038,312.307165302773,-52.5641732859324,17.0020408630371,16.2120590209961,15.8869615750043,15.6309185028076,0.0,0.0,0.0,0.0,10.1368447135028,4.50980567932129,0.0431583188474178,20.7257228486882,,,1,-240878.641573287,85434.0373792796,1,-153353.73,-87495.68,-99,P,rectangular_magnet,R10,1,I,10.0,R,147.78609680571000,1.6145528764038,circular_magnet,Yel,1,TL,0.04869073126,0.0
11,C901006822004801,-120.03704105401900,-47.679369894442000,129.146854402003,-0.795638071936949,0.378331206710361,5.10921602853228,312.528851877934,-52.7335643719919,17.0054836273193,16.1420783996582,15.7854902837401,15.5442714691162,0.0,0.0,0.0,0.0,10.2780972325927,2.00384449958801,0.0460607704832711,18.8942731653958,,,1,-190777.475586949,47151.6519298217,1,-120013.89,-47703.0,-99,P,rectangular_magnet,R11,1,I,11.0,I,-44.41329645808660,5.10921602853228,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
12,C901006734505099,-105.37215410260200,6.275428805506850,105.535551050683,-0.910954946411884,-0.0592325016205075,5.43146286238821,312.624416462139,-52.9647119134474,17.4640560150146,16.6178932189941,16.295550902104,16.0512371063232,0.0,0.0,0.0,0.0,10.0868507605918,3.49856948852539,0.047529999166727,20.5802204221452,,,1,-169179.879556588,-5087.69243910982,1,-105350.47,6247.48,-99,P,rectangular_magnet,R12,1,I,12.0,Q,-37.80612624403300,5.43146286238821,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
13,C901006647606037,-72.2872877539051,48.65321476241060,87.0783378229333,-0.514972438961397,-0.592462154145773,0.0774897151843756,312.855701853438,-53.1480608099127,17.9772052764893,17.6397132873535,17.5645364363,17.496000289917,0.0,0.0,0.0,0.0,8.41133928353495,3.73314118385315,0.0232483483850955,21.742960043297,,,8,-116909.381123008,-46524.5430402686,1,-72237.43,48625.0,-99,P,rectangular_magnet,R13,1,I,13.0,K,-60.494252681953500,0.0774897151843756,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
14,C901006561106955,-53.90033706542040,126.35416710331000,137.36320887284,0.118856310378599,-1.16776571134734,1.28662202172594,312.983729494362,-53.4787482853909,16.0932712554932,15.2581186294556,14.8878540748222,14.5651798248291,0.0,0.0,0.0,0.0,10.5802369786016,6.33135461807251,0.0443840385070661,20.508476505997,,,8,-87975.1342740777,-121259.912498335,1,-53874.94,126357.2,-99,P,rectangular_magnet,R14,1,I,14.0,B,-96.80996495319070,1.28662202172594,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
15,C901006561207644,11.809009545082600,152.1175422244170,152.576377700566,-0.0522495924839905,4.63461593911477,1.59631977558082,313.453355798668,-53.5888799648326,17.8507308959961,17.1021194458008,16.7569150951002,16.5925712585449,0.0,0.0,0.0,0.0,9.72461303003176,1.81204998493195,0.0449168533086776,19.6358449945732,,,8,18160.4104988769,-146149.672052176,1,11854.37,152115.17,-99,P,rectangular_magnet,R15,1,I,15.0,M,-87.00631886938890,1.59631977558082,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
