PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 05 29 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 52 00.00,+00 12 00.0 #Field centre
UTTIME,11 07 16.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,Commissioning_SAMI_MANGA_overlap_T001
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,107824,-31.15159345,-166.7584002,169.6755285,-0.794853725,1.38639136,4.101940222,222.8698425,0.907751024,,16.019,,,,,,,10.35,2,0.04339,20,,,8,-29415.58838,159951.7314,1,-31111.98,-166798.77,-99,P,rectangular_magnet,R01,1,I,1,J,-44.45823621,4.101940222,circular_magnet,Yel,1,TR,0.056559195,0
2,79810,60.80914467,-0.942696693,60.8197474,1.498198089,3.127031737,4.65435166,223.2610779,0.203137994,,16.517,,,,,,,10.00,2,0.0432,20,,,8,59003.60107,709.1866016,1,60813.3,-885.56,-99,P,rectangular_magnet,R02,1,I,2,K,-175.8404274,4.65435166,circular_magnet,Blu,1,TR,0.057287594,0
3,595088,100.0265575,49.55763231,111.548848,3.727026807,3.601497613,0.125529194,223.4266968,-0.012728,,16.332,,,,,,,9.72,2,0.04304,20,,,8,96433.47168,-48076.52801,1,99958.33,49512.4,-99,P,rectangular_magnet,R03,1,I,3,L,56.45709384,0.125529194,circular_magnet,Gre,1,TR,0.081859352,0
4,595027,31.27507084,85.50320689,91.05689346,-0.052793276,4.361252141,1.86913989,223.1331329,-0.166344002,,16.479,,,,,,,9.88,2,0.04247,20,,,8,30088.04321,-82793.74443,1,31320.43,85500.81,-99,P,rectangular_magnet,R04,1,I,4,S,-86.97516811,1.86913989,circular_magnet,Blu,1,TL,0.045422443,0
5,65406,11.12597892,106.6366455,107.1921681,3.262358427,4.609383557,4.936160178,223.0459747,-0.256101012,,14.283,,,,,,,11.00,2,0.04325,20,,,8,10390.28931,-103078.8288,1,11021.86,106624.01,-99,P,rectangular_magnet,R05,1,I,5,N,83.08063086,4.936160178,circular_magnet,Gre,1,TR,0.10488282,0
6,79693,-63.44755839,40.3407826,75.21181678,1.898461314,-0.566269243,2.464730557,222.727417,0.027666001,,16.656,,,,,,,10.07,2,0.0431,20,,,8,-61603.75977,-38947.48385,1,-63471.88,40350.19,-99,P,rectangular_magnet,R06,1,I,6,O,161.2261791,2.464730557,circular_magnet,Blu,1,TR,0.016734392,0.02
7,594964,-79.08818093,75.58343605,109.3832082,-0.347136709,-0.762800128,0.41566342,222.661087,-0.122322001,,18.215,,,,,,,8.92,2,0.04236,20,,,8,-76594.32984,-72844.77214,1,-79073.57,75578.15,-99,P,rectangular_magnet,R07,1,I,7,P,-70.11053168,0.41566342,circular_magnet,Gre,1,TR,0.015537749,0
8,65355,-63.43465013,133.9173952,148.1717643,0.156822836,-1.128650598,1.285473434,222.7288818,-0.369011015,,17.469,,,,,,,8.92,2,0.02686,20,,,8,-61272.70509,-128596.4893,1,-63399.71,133922.92,-99,P,rectangular_magnet,R08,1,I,8,Q,-98.98528663,1.285473434,circular_magnet,Yel,1,TL,0.035374228,0
9,224000103910988,117.20967229313634,-150.07413115317158,190.428610776028,0.574811726315683,2.23427177089454,4.62372526260073,223.496823277261,0.832256656018174,16.7486395625273,16.3621415711983,16.1648525767348,16.1035562739119,,,,,9.66645876336743,5.21195388983541,0.0427341982722282,21.1900190772014,,,4,112282.060660986,142890.004260107,1,117277.12,-150030.44,-99,P,rectangular_magnet,R09,1,I,9.0,A,-122.93428593251758,4.62372526260073,circular_magnet,Yel,1,TR,0.0803623669799998,0.0
10,223000427706555,-183.356590127886,-61.74219976108499,193.495511467784,4.78303347423129,0.325257764120785,4.45777571011051,222.226964504977,0.46287137370524,16.6559850110458,16.0418825554405,15.7782374336231,15.6143135688984,,,,,9.84485243470399,4.17830124320259,0.0344391390681266,20.3897559778007,,,4,-174706.0218752,59408.9304573842,1,-183350.23,-61832.08,-99,P,rectangular_magnet,R10,1,I,10.0,D,-4.047631343248156,4.45777571011051,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
11,223990460106188,47.90721660231159,181.71926931355856,187.941749780634,2.70641555441933,4.45502364827919,4.53457721331973,223.199967197743,-0.567704844502731,19.3671079087638,19.0141078937537,18.7693382825047,18.7741889387663,,,,,8.64997694611713,3.01352309983188,0.0435199998319149,22.6523551997569,,,8,45192.5866899196,-173501.294857617,1,47837.48,181751.69,-99,P,rectangular_magnet,R11,1,I,11.0,G,114.93381112321362,4.53457721331973,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
12,223990252610474,87.74293794145345,96.08137355159069,130.089279151459,3.39937452401388,3.97245849606914,5.71010133512432,223.372867495349,-0.210539670893811,19.9575750827037,19.3667731917409,19.0790354293841,18.8734957909534,,,,,8.74171863915336,2.0617956826941,0.0444499999284744,22.1808760029591,,,8,84268.0539488737,-92781.9656220013,1,87710.95,96072.94,-99,P,rectangular_magnet,R12,1,I,12.0,M,75.23018678971155,5.71010133512432,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
13,223000063208899,-110.59267253394536,-107.5129287133915,154.229435845863,2.17646594103362,0.770894646027396,1.40557129500623,222.530726151604,0.658179696264867,16.9903189287264,16.5332963064076,16.3402625828566,16.2555504246627,,,,,9.3164157190849,4.5300688310617,0.0291294902563095,21.0566949923828,,,8,-106055.889737496,103548.61135586,1,-110626.86,-107463.56,-99,P,rectangular_magnet,R13,1,I,13.0,B,145.29768732480449,1.40557129500623,circular_magnet,Yel,1,TL,0.0600504179599999,0.0
14,224000807309126,-21.18235066218907,-111.48308128599226,113.529391360719,4.60964754271897,1.38306835644447,3.2265791862745,222.910619257901,0.677123611915557,19.2044114500802,18.7945401043667,18.5711848846555,18.5350061510037,,,,,8.75166981758667,2.19030776163422,0.0433899983763694,21.7399404968067,,,8,-20200.0477143731,107829.936292916,1,-21187.68,-111534.77,-99,P,rectangular_magnet,R14,1,I,14.0,T,5.886650759352165,3.2265791862745,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
