PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2025 04 15 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,621000000000,331200000000000,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 52 00.00,+00 12 00.0 #Field centre
UTTIME,14 29 48.00 #Target observing time
UTDATE,2025 04 28 #Target observing date
PLATEID,Commissioning_SAMI_MANGA_overlap_T003
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W107824,-31.1042511802869,-166.831959522861,169.662647893031,2.06321449512973,1.38626321943928,0.676951275690443,222.869842529297,0.907751023769379,,,,,,,,,-1.2345,2,-1.2345,20,,,8,-29415.5883789062,159951.73137188,1,-31130.99,-166782.12,-99,P,rectangular_magnet,R01,1,I,1,J,151.786517198852,0.676951275690443,circular_magnet,Yel,1,TR,0.05655919482,0
2,W79810,60.795734536717,-0.949088083930581,60.8152307923541,1.34303351224593,3.12690369964984,4.49931511977568,223.261077880859,0.203137993812561,,,,,,,,,-1.2345,2,-1.2345,20,,,8,59003.6010742123,709.186601638785,1,60808.67,-893.28,-99,P,rectangular_magnet,R02,1,I,2,K,-166.950151996323,4.49931511977568,circular_magnet,Blu,1,TR,0.0572875941399999,0
3,W595088,100.030833755319,49.5315816070221,111.540476829639,3.59289017112128,3.60136951030745,6.27470596799341,223.426696777344,-0.0127280000597238,,,,,,,,,-1.2345,2,-1.2345,20,,,8,96433.4716796811,-48076.5280134976,1,99957.17,49495.88,-99,P,rectangular_magnet,R03,1,I,3,L,64.1425569407145,6.27470596799341,circular_magnet,Gre,1,TR,0.0818593524999998,0
4,W595027,31.2837680453278,85.4938605175452,91.0501066021342,-0.075817497276045,4.36112389084513,1.84624391905841,223.13313293457,-0.166344001889229,,,,,,,,,-1.2345,2,-1.2345,20,,,8,30088.0432128906,-82793.7444269657,1,31329.06,85490.42,-99,P,rectangular_magnet,R04,1,I,4,M,-85.655977392838,1.84624391905841,circular_magnet,Blu,1,TL,0.0454224428999999,0
5,W65406,11.1370734376189,106.637504973926,107.184141135387,3.36165552893842,4.60925519465737,5.03558564146064,223.045974731445,-0.256101012229919,,,,,,,,,-1.2345,2,-1.2345,20,,,8,10390.2893066406,-103078.828763962,1,11034.72,106614.61,-99,P,rectangular_magnet,R05,1,I,5,N,77.3913260150102,5.03558564146064,circular_magnet,Gre,1,TR,0.10488282044,0
6,W79693,-63.487084962402,40.3482489679896,75.2062340585918,-0.59867455718188,-0.566397583647117,6.25090833364482,222.727416992188,0.027666000649333,,,,,,,,,-1.2345,2,-1.2345,20,,,8,-61603.759765625,-38947.4838532507,1,-63461.99,40355.34,-99,P,rectangular_magnet,R06,1,I,6,O,-55.6984745716148,6.25090833364482,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
7,W594964,-79.0424646465813,75.5813750606385,109.375026579311,3.05944597987417,-0.762928546064085,3.82237452593825,222.6610870361,-0.1223220006,,,,,,,,,-1.2345,2,-1.2345,20,,,8,-76594.3298413969,-72844.7721356,1,-79057.95,75582.65,-99,P,rectangular_magnet,R07,1,I,7,P,94.7066577049435,3.82237452593825,circular_magnet,Gre,1,TL,0.0155377488999999,0
8,W65355,-63.4130842284,133.92093,148.160553511753,0,-1.12877905941937,1.12877905941937,222.7288818359,-0.3690110147,,,,,,,,,-1.2345,2,-1.2345,20,,,8,-61272.7050865973,-128596.4893222,1,-63377.71,133920.93,-99,P,rectangular_magnet,R08,1,I,8,Q,-90,1.12877905941937,circular_magnet,Yel,1,TL,0.0353742283999999,0
9,W224000103910988,117.294608292728,-149.967829548824,190.413968386772,4.10721913176207,2.2341437110639,1.87307542069817,223.496823277261,0.832256656018174,16.7486395625273,16.3621415711983,16.1648525767348,16.1035562739119,,,,,9.66645876336743,5.21195388983541,0.0427341982722282,21.1900190772014,,,4,112282.060660986,142890.004260107,1,117248.89,-150033.92,-99,P,rectangular_magnet,R09,1,I,9,A,34.673678214647,1.87307542069817,circular_magnet,Yel,1,TL,0.0803623669799998,0
10,W223000427706555,-183.300646762137,-61.8827349396235,193.480667507764,2.07401899378445,0.3251293876052,1.74888960617925,222.226964504977,0.46287137370524,16.6559850110458,16.0418825554405,15.7782374336231,15.6143135688984,,,,,9.84485243470399,4.17830124320259,0.0344391390681266,20.3897559778007,,,4,-174706.0218752,59408.9304573842,1,-183344.1,-61803.8,-99,P,rectangular_magnet,R10,1,I,10,D,151.167465026181,1.74888960617925,circular_magnet,Yel,1,TL,0.0901049863999998,0
11,W223990460106188,47.78020554882,181.73154,187.927261482531,0,4.45489534163507,1.82828996554452,223.199967197743,-0.567704844502731,19.3671079087638,19.0141078937537,18.7693382825047,18.7741889387663,,,,,8.64997694611713,3.01352309983188,0.0435199998319149,22.6523551997569,,,8,45192.5866899196,-173501.294857617,1,47857.11,181731.54,-99,P,rectangular_magnet,R11,1,I,11,G,-90,1.82828996554452,circular_magnet,Yel,1,TL,0.0769044511799999,0
12,W223990252610474,87.7493985322611,96.059128335773,130.079468218566,3.28348893078481,3.97233029618874,5.59434394177565,223.372867495349,-0.210539670893811,19.9575750827037,19.3667731917409,19.0790354293841,18.8734957909534,,,,,8.74171863915336,2.0617956826941,0.0444499999284744,22.1808760029591,,,8,84268.0539488737,-92781.9656220013,1,87716.65,96054.45,-99,P,rectangular_magnet,R12,1,I,12,S,81.8699421881071,5.59434394177565,circular_magnet,Gre,1,TR,0.0330810095199999,0
13,W223000063208899,-110.599950395135,-107.491858445177,154.217793853471,2.13950078571293,0.770766392256168,1.36873439345676,222.530726151604,0.658179696264867,16.9903189287264,16.5332963064076,16.3402625828566,16.2555504246627,,,,,9.3164157190849,4.5300688310617,0.0291294902563095,21.0566949923828,,,8,-106055.889737496,103548.61135586,1,-110632.29,-107441.26,-99,P,rectangular_magnet,R13,1,I,13,B,147.415634713726,1.36873439345676,circular_magnet,Yel,1,TL,0.0600504179599999,0
14,W224000807309126,-21.1838370391952,-111.57297570511,113.520908465315,1.89500048579665,1.38294019567731,0.512060290119339,222.910619257901,0.677123611915557,19.2044114500802,18.7945401043667,18.5711848846555,18.5350061510037,,,,,8.75166981758667,2.19030776163422,0.0433899983763694,21.7399404968067,,,8,-20200.0477143731,107829.936292916,1,-21200.39,-111523.72,-99,P,rectangular_magnet,R14,1,I,14,T,161.424469988611,0.512060290119339,circular_magnet,Gre,1,TR,0.0519627269999999,0
