PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 05 29 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 33 48.00,-01 36 00.0 #Field centre
UTTIME,10 49 08.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,Commissioning_SAMI_low_mass_T001
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,485834,-207.11712120570624,45.1517982502483,211.996500253577,1.62313344917746,-0.214900403852102,1.83803385302957,217.5787811279,-1.7877010107,,-99.0,,,0.0,,,,-99.0,2.0,-99.0,20.0,,,-99,-196895.4650946,-42420.4284182,1,-207120.08,45208.28,-99,P,rectangular_magnet,R01,1,I,1.0,J,177.00130377561942,1.83803385302957,circular_magnet,Mag,1,TL,0.05655919482,0.0
2,485919,-146.7097706411366,51.09598446586906,155.304654235696,5.38207385203975,-0.334943327919689,5.71701717995944,217.8258514404,-1.8153699636,,-99.0,,,0.0,,,,-99.0,2.0,-99.0,20.0,,,-99,-141057.5744696,-48673.6117736,1,-146674.21,51051.07,-99,P,rectangular_magnet,R02,1,I,2.0,K,-38.370116749595184,5.71701717995944,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
3,508682,-124.4118979456734,-4.745585959604609,124.45013502617,-0.840330174040099,0.0386319852778358,5.40422314786165,217.919052124,-1.5781389475,,-99.0,,,0.0,,,,-99.0,2.0,-99.0,20.0,,,-99,-119994.219976,4940.59786500001,1,-124357.28,-4806.56,-99,P,rectangular_magnet,R03,1,I,3.0,L,-41.85262763000839,5.40422314786165,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
4,505316,184.0688738572696,66.43810855106824,195.727847078354,1.00901882360762,3.4881242952152,3.804079835572,219.2259063721,-1.8820040226,,-99.0,,,0.0,,,,-99.0,2.0,-99.0,20.0,,,-99,175354.840094606,-63732.9091076,1,184093.07,66476.55,-99,P,rectangular_magnet,R04,1,I,4.0,T,-147.8125200419719,3.804079835572,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
5,486275,199.8981925953259,18.876548156750708,200.798875403476,1.55632820315089,3.23626351947006,4.60324999086042,219.2921142578,-1.6817970276,,-99.0,,,0.0,,,,-99.0,2.0,-99.0,20.0,,,-99,190317.822262801,-18486.1282376,1,199899.71,18981.42,-99,P,rectangular_magnet,R05,1,I,5.0,N,-179.17103757772497,4.60324999086042,circular_magnet,Mag,1,TR,0.10488282044,0.0
6,219981156409807,39.41630042036046,-78.05608728981665,87.4178825789741,1.31054803280644,2.03837181644533,5.5553615235407,218.619624218717,-1.26609840660337,18.0536136268839,17.6424553704583,17.4885858467414,17.3763036422424,0.0,,,,8.88374186056615,2.04260183117577,0.0322395898401737,20.4362486367602,,,8,38335.0734300462,75461.7601076384,1,39401.28,-78034.77,-99,P,rectangular_magnet,R06,1,I,6.0,O,-165.08887112898157,5.5553615235407,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
7,218990292900386,-26.236262478482825,-128.65807131827063,131.252218558698,1.8340670988178,1.36942715961586,0.464639939201943,218.339329108008,-1.05117289806709,17.7931772971361,17.3506014013992,17.1196666025491,17.0677149173643,0.0,,,,9.03774289649611,5.37993071609401,0.0296979397535324,22.2473594969574,,,8,-25011.621590189,124034.925036838,1,-26251.89,-128600.09,-99,P,rectangular_magnet,R07,1,I,7.0,B,164.91569589393674,0.464639939201943,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
8,218980460204679,-58.161706445809855,21.805138375117853,62.16042050453,1.65562832423832,-0.360230097743221,2.01585842198155,218.199960383657,-1.69344729112349,17.6069394325773,16.9054937096934,16.5493346627765,16.3432080545145,0.0,,,,10.0342537168039,2.88929460686317,0.0533999986946582,20.4523275260768,,,4,-56508.9532935186,-21119.0877939087,1,-58170.7,21910.9,-99,P,rectangular_magnet,R08,1,I,8.0,E,175.13948457882725,2.01585842198155,circular_magnet,Blu,1,TL,0.1061433243999999,0.0
9,219970456913496,82.8045315107059,83.81635140680702,117.77649969793,3.39450993517841,3.93328872681318,5.74440651554482,218.802733568065,-1.95871218413893,16.7402167670019,16.2597262824266,15.9770734274658,15.9218799254296,0.0,,,,10.0678499515776,2.69061270316387,0.054142490029335,19.6518569056303,,,4,79717.7863826944,-81068.9536153981,1,82754.42,83803.4,-99,P,rectangular_magnet,R09,1,I,9.0,F,75.50890719905044,5.74440651554482,circular_magnet,Gre,1,TR,0.05175811476,0.0
10,218980209702738,-9.370671892820368,59.49001828099515,60.2028988632549,3.55791181135206,-1.41327333900863,4.97118515036069,218.408824505411,-1.85515658890746,17.2342791199674,16.7036106043774,16.4161047711494,16.2960244682882,0.0,,,,9.93024464357352,5.76098181729551,0.0540999993681907,21.7489678086951,,,4,-9305.66177711358,-57665.3890930859,1,-9444.17,59457.52,-99,P,rectangular_magnet,R10,1,I,10.0,A,66.14666932978102,4.97118515036069,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
11,218980820109445,-129.30741002706424,-71.08695372405417,147.576648256595,2.2663462883091,0.502053230055599,1.7642930582535,217.899933457841,-1.29629054868139,16.9668955839093,16.3287873105886,15.9855214564208,15.7955405602869,0.0,,,,10.6599217425761,4.3277473632199,0.0922000035643577,20.7529714945425,,,8,-124315.038527931,68638.3359980059,1,-129365.15,-71017.78,-99,P,rectangular_magnet,R11,1,I,11.0,D,140.1479227647493,1.7642930582535,circular_magnet,Gre,1,TL,0.0901049863999998,0.0
12,219991153103429,40.41936783961867,-190.2402552280312,194.494360892689,3.86583108507209,1.78007856060268,2.08575252446941,218.622432306443,-0.797605006827825,17.8085127798074,17.5562261173107,17.40066409376,17.3343314605526,0.0,,,,8.92369848854108,3.76397556070441,0.0369199998676776,21.6773347736116,,,8,38969.7012561179,181341.268456912,1,40407.73,-190250.55,-99,P,rectangular_magnet,R12,1,I,12.0,P,48.50419451488975,2.08575252446941,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
13,219980879903633,93.6089028206828,42.02831927191879,102.541744702591,3.68847402360099,3.56351147575469,0.124962547846295,218.850054735142,-1.78061666236888,18.8376911463498,18.4872837630242,18.283314675857,18.2295334989625,0.0,,,,8.73982771529647,4.56194566222669,0.0398899987339973,23.0259089850002,,,8,90412.3701420967,-40819.3656953668,1,93549.33,41992.05,-99,P,rectangular_magnet,R13,1,I,13.0,C,58.66600560402608,0.124962547846295,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
