PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,22 05 56.64,-05 44 59.2 #Field centre
UTTIME,12 17 20.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,901030003901459,-69.1293990022976,-46.78375214521402,83.4544599184519,-0.604610856107652,0.595498901703542,5.08307554936839,331.188947381644,-5.54847123086419,0.0,16.861120223999023,0.0,0.0,0.0,0.0,0.0,0.0,10.2151390180873,2.78675699234009,0.0561694298082157,20.32949040325301,0.0,0.0,1,-67133.8917483962,45497.7907138321,1,-69089.34,-46811.43,-99,P,rectangular_magnet,R01,1,I,1.0,R,-55.35834969724005,5.08307554936839,circular_magnet,Blu,1,TR,0.04869073126,0.0
2,901030003904193,-41.25191672044216,-79.00254734688129,89.0447524664783,1.80052561592484,1.0888101990608,0.711715416864035,331.30911922019,-5.4114090521514,0.0,17.848106384277344,0.0,0.0,0.0,0.0,0.0,0.0,9.86654069584678,3.05757188796997,0.0579683835159156,21.517864449634672,0.0,0.0,1,-39975.0562370998,76473.8431029246,1,-41275.8,-78900.42,-99,P,rectangular_magnet,R02,1,I,2.0,N,166.83748130231362,0.711715416864035,circular_magnet,Blu,1,TR,0.10488282044,0.0
3,901030147702503,66.4339331011331,-117.40909254340244,134.863774497766,1.22945869906796,2.0860349128795,5.42660909336804,331.771507520967,-5.25004198278924,0.0,17.200868606567383,0.0,0.0,0.0,0.0,0.0,0.0,9.64026793189294,3.83625602722168,0.0549300014972686,21.363281207150287,0.0,0.0,1,64524.6997385746,112942.800778772,1,66453.11,-117355.11,-99,P,rectangular_magnet,R03,1,I,3.0,K,-160.44279454223886,5.42660909336804,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
4,901030147602828,13.836879424495905,-123.01114454620476,123.742210312779,1.50513013942244,1.6828751214587,6.10544032514333,331.546441737862,-5.22485526345749,0.0,16.89200782775879,0.0,0.0,0.0,0.0,0.0,0.0,9.83486867569801,1.91554296016693,0.0577099993824958,19.54634199157048,0.0,0.0,1,13659.832756926,118634.999347747,1,13839.86,-122965.82,-99,P,rectangular_magnet,R04,1,I,4.0,M,-176.23760460684298,6.10544032514333,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
5,901030004104750,78.52676861696057,-81.80217320306603,113.359977452783,3.48649187005967,2.33510871594562,1.15138315411405,331.823588700906,-5.40056506801388,0.0,17.78720474243164,0.0,0.0,0.0,0.0,0.0,0.0,9.69285309200552,4.12947750091553,0.0571699999272823,22.109554945373343,0.0,0.0,1,76295.0464048708,78924.5835180032,1,78449.73,-81829.85,-99,P,rectangular_magnet,R05,1,I,5.0,L,70.23873053890708,1.15138315411405,circular_magnet,Gre,1,TL,0.0818593524999998,0.0
6,901030004105599,87.51431803651971,-58.26050033653352,105.133493494718,4.12627459302983,2.55392735438776,1.57234723864207,331.862644093195,-5.50102728071065,0.0,16.295818328857422,0.0,0.0,0.0,0.0,0.0,0.0,10.2801453074884,3.52865409851074,0.0568500012159347,20.27673845105972,0.0,0.0,1,85121.5650620469,56220.123448533,1,87496.02,-58288.06,-99,P,rectangular_magnet,R06,1,I,6.0,S,33.58188070732936,1.57234723864207,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
7,901029860704045,72.25015666190033,22.356152389629685,75.529522520112,3.77239280649164,3.44121917796108,0.331173628530562,331.796807865727,-5.84593733639048,0.0,16.253116607666016,0.0,0.0,0.0,0.0,0.0,0.0,10.5013733960804,4.54620170593262,0.0589100010693073,20.78423479239776,0.0,0.0,1,70242.577654196,-21729.5491351082,1,72164.44,22293.55,-99,P,rectangular_magnet,R07,1,I,7.0,E,53.85781352251715,0.331173628530562,circular_magnet,Blu,1,TR,0.1061433243999999,0.0
8,901029860702896,61.22052216986909,-26.175767537406905,66.5937478850898,3.9142430564451,2.73720388127469,1.17703917517042,331.750233783397,-5.63783443193638,0.0,17.08931541442871,0.0,0.0,0.0,0.0,0.0,0.0,9.96141713595278,2.67579174041748,0.0580100007355213,20.469451640321687,0.0,0.0,1,59716.8350477484,25301.7072715191,1,61222.5,-26201.77,-99,P,rectangular_magnet,R08,1,I,8.0,O,45.730392877308105,1.17703917517042,circular_magnet,Blu,1,TL,0.0167343919199998,0.02
9,901029717301994,53.78285985743824,47.08802520949267,71.4247404229382,3.64606700022948,3.86089676246498,6.06835554494409,331.71725487568,-5.95205638844528,0.0,15.502107620239258,0.0,0.0,0.0,0.0,0.0,0.0,10.6378471949022,7.81888675689697,0.0589937228514899,21.21070691781518,0.0,0.0,1,52263.6019036305,-45712.454899494,1,53730.29,47059.0,-99,P,rectangular_magnet,R09,1,I,9.0,B,61.09574906492625,6.06835554494409,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
10,901029717200784,-16.224327794400647,62.6011448075548,64.7030392773547,2.13955908142802,-1.3170365617739,3.45659564320193,331.415343565337,-6.01841749801423,0.0,17.244897842407227,0.0,0.0,0.0,0.0,0.0,0.0,10.0021845409856,1.70916199684143,0.0593300014734268,19.651688662790338,0.0,0.0,1,-15968.3542337401,-60710.0656620763,1,-16243.38,62630.95,-99,P,rectangular_magnet,R10,1,I,10.0,Q,147.4122946152872,3.45659564320193,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
