PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 01 07 # Date the tile was created/configured
OBS_TEMP,285.149994
ROBOT_TEMP,285.149994
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,06 01 39.39,-39 51 47.9 #Field centre
UTTIME,12 00 00.00 #Target observing time
UTDATE,2022 01 13 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3565,-25.8481940705529,-31.17951501886764,40.5370190082127,-1.04650755887792,0.881040348144934,4.35563740015673,90.2699566207745,-39.7287221236384,0.0,16.7620582580566,0.0,0.0,0.0,0.0,0.0,0.0,10.0299402904847,1.7805939912796,0.045749113348806,19.28135135983,0.0,0.0,8,-32584.9806818275,30414.1574569446,1,-25795.69,-31270.31,-99,P,rectangular_magnet,R01,1,I,1.0,N,-30.03953364775657,4.35563740015673,circular_magnet,Blu,1,TR,0.10488282044,0.0
2,4857,-62.08564153353543,66.70784374443463,91.0545493508468,-0.403931939807428,-0.821635642878448,0.41770370307102,90.0668204264361,-40.1481002324264,0.0,17.42502784729,0.0,0.0,0.0,0.0,0.0,0.0,9.78319544062634,2.50529909133911,0.0479815972139371,20.8863196198648,0.0,0.0,8,-78493.760602296,-64365.2951291216,1,-62010.37,66675.67,-99,P,rectangular_magnet,R02,1,I,2.0,L,-66.85640463850197,0.41770370307102,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
3,3698,-75.10267972462972,25.50525737126726,79.3426417396276,1.83723776805317,-0.327893154704455,2.16513092275763,89.9940634915494,-39.9719638595479,0.0,15.96226978302,0.0,0.0,0.0,0.0,0.0,0.0,10.4387011961718,2.2548611164093,0.0437701404552279,18.996606146298,0.0,0.0,8,-94936.8278866865,-24558.4748585831,1,-75115.5,25552.23,-99,P,rectangular_magnet,R03,1,I,3.0,R,164.73402992851786,2.16513092275763,circular_magnet,Blu,1,TL,0.04869073126,0.0
4,4796,-42.69070601711219,-101.91259347524009,110.505170720773,-0.602817556091081,1.17463967363231,4.5057280774562,90.1782369673383,-39.4271159781049,0.0,13.5217533111572,0.0,0.0,0.0,0.0,0.0,0.0,11.347426411128,9.79360389709473,0.0468223920429646,19.9431804275725,0.0,0.0,8,-53313.6223584121,98577.1463475359,1,-42641.24,-101946.64,-99,P,rectangular_magnet,R04,1,I,4.0,B,-55.46109821959044,4.5057280774562,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
5,739,-75.94507396539838,-180.29515479035544,195.63933334496,-0.522583561738658,1.17220512444946,4.58839662099147,90.0015698020642,-39.1017917803551,0.0,16.1786117553711,0.0,0.0,0.0,0.0,0.0,0.0,10.2604231469112,2.50964689254761,0.0466954372823238,19.4919067174533,0.0,0.0,8,-93240.4017103548,172100.415038991,1,-75931.61,-180302.91,-99,P,rectangular_magnet,R05,1,I,5.0,P,-60.05816746946056,4.58839662099147,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
6,2431,-23.48477143037655,38.720575209986,45.1931815103794,-1.53242905819058,-1.02445703505365,5.77521328404266,90.2823025509597,-40.0291466003776,0.0,15.8213796615601,0.0,0.0,0.0,0.0,0.0,0.0,10.5796131250731,3.68479204177856,0.0494784228503704,19.987297879005,0.0,0.0,8,-29794.8004599776,-37481.7742860927,1,-23480.7,38614.51,-99,P,rectangular_magnet,R06,1,I,6.0,E,-2.198282562472116,5.77521328404266,circular_magnet,Blu,1,TR,0.1061433243999999,0.0
7,2512,-31.751760748504346,-134.1972260729277,137.85246480134,1.827485971622,1.33827098636041,0.489214985261593,90.2394689883658,-39.2917023583099,0.0,17.407133102417,0.0,0.0,0.0,0.0,0.0,0.0,9.74796288535557,1.85886800289154,0.0448384322226047,20.0216144656444,0.0,0.0,8,-39475.1856061987,129180.624421199,1,-31766.12,-134142.52,-99,P,rectangular_magnet,R07,1,I,7.0,J,165.29276670669483,0.489214985261593,circular_magnet,Gre,1,TR,0.05655919482,0.0
8,1657,20.711000818009637,105.04521804373556,107.05065419417,3.19076348802006,4.51835530037636,4.95559349482328,90.5297348822539,-40.3123753034559,0.0,15.5373611450195,0.0,0.0,0.0,0.0,0.0,0.0,10.4098935419938,5.91880798339844,0.0466661096300262,21.0251179425565,0.0,0.0,8,26124.9064125258,-101491.461181797,1,20641.34,105041.79,-99,P,rectangular_magnet,R08,1,I,8.0,C,87.18271871200966,4.95559349482328,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
9,5703,131.48427132040547,-106.19589063595022,169.025243381835,4.38457215177051,2.46200865426549,1.92256349750502,91.1355337305972,-39.4109481765233,0.0,15.8550643920898,0.0,0.0,0.0,0.0,0.0,0.0,10.4443918125893,1.94201195240021,0.0451097972691059,18.6200806388235,0.0,0.0,8,163035.446138108,102231.06950497,1,131473.62,-106227.21,-99,P,rectangular_magnet,R09,1,I,9.0,S,18.782520732955675,1.92256349750502,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
10,5784,50.37907300550499,19.985041629551848,54.141221048833,3.60977000745939,3.5191495416713,0.0906204657880885,90.6960190062545,-39.9487181403312,0.0,17.2884635925293,0.0,0.0,0.0,0.0,0.0,0.0,9.749123383024,4.602698802948,0.048709999769926,22.2011507334731,0.0,0.0,8,63705.1184366576,-19304.9423156146,1,50327.95,19959.19,-99,P,rectangular_magnet,R10,1,I,10.0,K,63.17541355966905,0.0906204657880885,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
