PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 07 22 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 49 29.95,-52 45 02.9 #Field centre
UTTIME,14 33 54.00 #Target observing time
UTDATE,2022 07 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3662,32.95227314243828,100.37583226610856,105.626503984548,3.21899627230121,4.39563760354098,5.10654397593982,312.606810089566,-53.1804510884211,0.0,16.1133251190186,0.0,0.0,0.0,0.0,0.0,0.0,9.63591764550717,18.2394561767578,0.0429974235594272,24.4085526998716,0.0,0.0,8,52435.3370710029,-97101.3693055589,1,32900.67,100371.83,-99,P,rectangular_magnet,R01,1,I,1.0,F,85.56509932879595,5.10654397593982,circular_magnet,Gre,1,TR,0.05175811476,0.0
2,3697,98.83576820689426,-18.928070692594936,100.646078880421,1.20799041484599,2.95317451953963,4.53800120248594,313.073246730933,-52.6696935430618,0.0,16.6342468261719,0.0,0.0,0.0,0.0,0.0,0.0,10.0448408130391,2.16302299499512,0.044934419264143,19.7012137348456,0.0,0.0,8,157850.018019896,18329.8359456342,1,98864.82,-18851.54,-99,P,rectangular_magnet,R02,1,I,2.0,L,-159.21275246293268,4.53800120248594,circular_magnet,Gre,1,RO,0.0818593524999998,0.0
3,10,113.35906330132325,27.93151128893081,116.730576186012,4.12083700503807,3.38303150761019,0.737805497427875,313.176138481322,-52.8692245485878,0.0,16.4197826385498,0.0,0.0,0.0,0.0,0.0,0.0,9.94356948127599,5.56331491470337,0.0420100018382072,21.7654699501172,0.0,0.0,8,181103.553607875,-26764.1713032332,1,113344.8,27910.28,-99,P,rectangular_magnet,R03,1,I,3.0,I,33.89343154998821,0.737805497427875,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
4,3984,92.54508386664514,-137.6484832773484,165.892429933523,4.32196332451519,2.16269186603224,2.15927145848294,313.018796159968,-52.1663895486453,0.0,15.582799911499,0.0,0.0,0.0,0.0,0.0,0.0,10.4231534040818,5.07274580001831,0.0456340296141152,20.5251469671422,0.0,0.0,8,145544.18898187,132076.538683763,1,92557.21,-137671.57,-99,P,rectangular_magnet,R04,1,I,4.0,O,22.36974229494942,2.15927145848294,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
5,4003,17.13166624146082,31.59730328507069,35.9519969471544,-0.36527346579531,4.21364035778211,1.70427148360216,312.496531361734,-52.8868626745299,0.0,15.7352933883667,0.0,0.0,0.0,0.0,0.0,0.0,10.3010905649432,6.60878610610962,0.0450000017881393,21.3208906177911,0.0,0.0,8,27512.3445810102,-30750.3877661525,1,17196.81,31572.39,-99,P,rectangular_magnet,R05,1,I,5.0,C,-69.07137204181248,1.70427148360216,circular_magnet,Blu,1,TL,0.0697451148799999,0.0
6,1111,-38.13838637289541,133.43301616780892,138.771539777396,0.128945372986277,-1.29263077028147,1.42157614326775,312.099488852359,-53.3180176042209,0.0,14.4696636199951,0.0,0.0,0.0,0.0,0.0,0.0,10.9428204324487,5.41129589080811,0.042599470597756,19.5023767348327,0.0,0.0,8,-62219.2625378325,-128191.401876329,1,-38105.58,133437.27,-99,P,rectangular_magnet,R06,1,I,6.0,S,-97.3880256598539,1.42157614326775,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
7,3379,-117.72341213199216,-21.69942440413369,119.676346983803,-1.04592020303872,0.182988639672697,5.05427646446817,311.546774955437,-52.6529234394609,0.0,14.1286716461182,0.0,0.0,0.0,0.0,0.0,0.0,11.2842580286433,6.32003688812256,0.0477196794590476,19.1966699672533,0.0,0.0,8,-187132.603242243,22119.8793594452,1,-117678.26,-21777.4,-99,P,rectangular_magnet,R07,1,I,7.0,D,-30.07318665841518,5.05427646446817,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
8,2088,31.29428619980288,-1.4250614826601673,31.3815236522416,-0.466874042610494,3.09530399352398,2.72100727104511,312.597747657313,-52.7448657747332,0.0,15.987491607666,0.0,0.0,0.0,0.0,0.0,0.0,10.203233118457,7.50891399383545,0.0442305990232749,21.9571327072313,0.0,0.0,8,50387.227381731,1340.91158789251,1,31347.91,-1452.09,-99,P,rectangular_magnet,R08,1,I,8.0,B,-63.25008779420773,2.72100727104511,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
9,4317,36.95519042948125,-200.51328619156317,203.969849165336,4.18428124980513,1.75271870717254,2.4315625426326,312.632093878144,-51.9060643755453,0.0,16.0008792877197,0.0,0.0,0.0,0.0,0.0,0.0,10.2728541766354,3.72313594818115,0.0461180210113525,20.2597879287629,0.0,0.0,8,58149.4732894914,190910.027804369,1,36902.34,-200603.88,-99,P,rectangular_magnet,R09,1,I,9.0,N,30.258344090440744,2.4315625426326,circular_magnet,Mag,1,TR,0.10488282044,0.0
10,2244,106.81981453901352,-175.43614283513355,205.399600262221,0.512899855619469,2.11795764759054,4.67812751520852,313.110474614911,-52.0116655347577,0.0,15.3057689666748,0.0,0.0,0.0,0.0,0.0,0.0,10.7181370233367,3.80525898933411,0.0521360680794711,19.7116655203723,0.0,0.0,8,166263.519798861,167044.165822363,1,106862.24,-175412.25,-99,P,rectangular_magnet,R10,1,I,10.0,R,-119.38699703986488,4.67812751520852,circular_magnet,Mag,1,TR,0.04869073126,0.0
