PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 01 06 # Date the tile was created/configured
OBS_TEMP,285.149994
ROBOT_TEMP,285.149994
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,08 39 16.94,-01 27 38.5 #Field centre
UTTIME,12 00 00.00 #Target observing time
UTDATE,2022 01 13 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3575292,-151.6414377510622,9.779947537013944,151.933049980992,-1.16718911737646,-0.0640994680619036,5.18009565786503,129.17548264,-1.50187584,0.0,18.6913,0.0,0.0,0.0,0.0,0.0,0.0,8.787932,3.6959815,0.0307,23.656322,0.0,0.0,8,-145792.160360809,-9307.42533877552,1,-151621.03,9732.16,-99,P,rectangular_magnet,R01,1,I,1.0,T,-23.12498968072913,5.18009565786503,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
2,3552615,-40.18047829534633,100.622490680571,108.334757310797,3.19409806140175,-1.19067147146188,4.38476953286363,129.64832867,-1.89082334,0.0,15.8035,0.0,0.0,0.0,0.0,0.0,0.0,10.31546,3.0377111,0.03853,21.02576,0.0,0.0,8,-38928.9575808095,-97209.5603387755,1,-40196.14,100601.64,-99,P,rectangular_magnet,R02,1,I,2.0,O,86.9916617307615,4.38476953286363,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
3,3575441,-121.32437362351872,0.0542650722195888,121.348891096455,2.06337469998297,-0.0008229989608619,2.06419769894384,129.30220308,-1.46097107,0.0,16.1452,0.0,0.0,0.0,0.0,0.0,0.0,9.760052,5.5959406,0.03001,22.95516,0.0,0.0,8,-117153.340920813,-62.9473187755174,1,-121348.85,99.87,-99,P,rectangular_magnet,R03,1,I,3.0,F,151.7773381369029,2.06419769894384,circular_magnet,Gre,1,TL,0.05175811476,0.0
4,3622141,-8.883570857766333,-159.89094042292527,160.173537431326,-0.97043838209344,1.51546614303909,3.79728078204706,129.78337748,-0.78141814,0.0,17.2009,0.0,0.0,0.0,0.0,0.0,0.0,9.96719,1.6654392,0.05073,21.809769,0.0,0.0,8,-8407.92652080933,153516.014861225,1,-8857.91,-159928.42,-99,P,rectangular_magnet,R04,1,I,4.0,M,-34.397976428542165,3.79728078204706,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
5,3896758,92.90634068263056,-131.26600333558738,160.814990506596,0.795138063747908,2.18681413718237,4.89150923374512,130.21555023,-0.9034051,0.0,16.008,0.0,0.0,0.0,0.0,0.0,0.0,10.456622,4.262993,0.05158,21.11388,0.0,0.0,8,89263.1149791857,125946.961901224,1,92917.22,-131254.91,-99,P,rectangular_magnet,R05,1,I,5.0,P,-135.55805518295932,4.89150923374512,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
6,3854798,138.37988407866973,55.83918446494626,149.246365477797,1.09624823832845,3.52527559234853,3.8541579531595,130.40931283,-1.69830184,0.0,18.1211,0.0,0.0,0.0,0.0,0.0,0.0,8.159825,5.086288,0.01721,23.62747,0.0,0.0,8,133053.462579189,-53699.7013387755,1,138395.0,55868.61,-99,P,rectangular_magnet,R06,1,I,6.0,S,-152.81039735487147,3.8541579531595,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
7,3576053,-50.43739819757871,33.92168298620319,60.7991621090464,3.45242794728357,-0.591734482196074,4.04416242947964,129.60375645,-1.6062338,0.0,14.5633,0.0,0.0,0.0,0.0,0.0,0.0,11.3740225,6.061998,0.05204,21.6496,0.0,0.0,8,-49002.2793008141,-32892.3242987755,1,-50461.75,33913.86,-99,P,rectangular_magnet,R07,1,I,7.0,I,72.1904495476374,4.04416242947964,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
8,3576949,43.87594899456268,4.477507557867603,44.032752015183,3.76210902027766,3.2423680267402,0.519740993537456,130.00897552,-1.47975853,0.0,17.558,0.0,0.0,0.0,0.0,0.0,0.0,9.827212,1.9985406,0.05135,21.36197,0.0,0.0,8,42577.2305191894,-4308.91327877551,1,43809.35,4429.91,-99,P,rectangular_magnet,R08,1,I,8.0,L,54.44703106999329,0.519740993537456,circular_magnet,Blu,1,TL,0.0818593524999998,0.0
9,3874874,5.447552723887866,-16.574377355657916,17.3479385086327,1.54479031799288,1.89038333289376,5.9375922922787,129.84415457,-1.38962321,0.0,16.9099,0.0,0.0,0.0,0.0,0.0,0.0,10.174587,2.046238,0.0495,21.132023,0.0,0.0,8,5327.69581918791,16061.6690412245,1,5450.28,-16469.53,-99,P,rectangular_magnet,R09,1,I,9.0,N,-178.50996545366434,5.9375922922787,circular_magnet,Blu,1,TR,0.10488282044,0.0
10,3576645,10.79678635566328,12.185213975118383,16.2147774006121,3.64071691636485,3.98879240416528,5.93510981937916,129.86691175,-1.51315609,0.0,15.7757,0.0,0.0,0.0,0.0,0.0,0.0,10.671742,6.382285,0.0499,21.400454,0.0,0.0,8,10470.818499191,-11856.7618387755,1,10735.55,12151.83,-99,P,rectangular_magnet,R10,1,I,10.0,C,61.40228629041036,5.93510981937916,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
11,3852386,-89.47626890079651,63.61322095580662,109.72892187926,-0.435123274925227,-0.618131474622974,0.183008199697746,129.43784194,-1.73248478,0.0,17.3433,0.0,0.0,0.0,0.0,0.0,0.0,9.715198,3.8871095,0.03885,21.935888,0.0,0.0,8,-86498.9585608126,-61425.0457787755,1,-89424.98,63589.38,-99,P,rectangular_magnet,R11,1,I,11.0,J,-65.06927277887384,0.183008199697746,circular_magnet,Gre,1,TR,0.05655919482,0.0
