PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 12 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,11 44 04.45,-02 20 44.7 #Field centre
UTTIME,11 43 58.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,177971003907717,53.01598920093914,21.97219488152148,57.4436576122726,-0.0255626646361407,3.53406420067861,2.72355844186484,176.246563623005,-2.44026784432283,16.7982556013351,16.4408608448575,16.2272385413703,16.1335007532043,0.0,0.0,0.0,0.0,9.70777590211402,6.45695468237891,0.0467000417411327,21.7338742183698,0.0,0.0,8,51535.8721329275,-21361.1309253485,1,53076.02,21970.66,-99,P,rectangular_magnet,R01,1,I,1.0,B,-88.53536720324081,2.72355844186484,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
2,177970845105946,84.25571114918542,56.559470573152254,101.402222213051,3.77598842901836,3.73275197888737,0.0432364501309901,176.379001921632,-2.58786916829254,19.1336875566165,18.6197771284181,18.3272240483722,18.2916810063172,0.0,0.0,0.0,0.0,8.9901706096871,3.47122944643015,0.0443699993193149,22.565068416432,0.0,0.0,8,81466.9276226346,-54719.0301425029,1,84193.77,56513.89,-99,P,rectangular_magnet,R02,1,I,2.0,G,53.65179952701397,0.0432364501309901,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
3,176980350403709,63.969934187564384,-134.367376171552,148.789874407959,0.961337867720086,2.01545782711492,5.22906534778475,176.291508909617,-1.77426662171825,19.5631812840279,18.8669448382499,18.6088852828987,18.4680427991651,0.0,0.0,0.0,0.0,8.50505945673551,2.62595091851246,0.0253500007092952,22.2062525422742,0.0,0.0,8,61693.5069072408,129155.145383287,1,64002.31,-134321.0,-99,P,rectangular_magnet,R03,1,I,3.0,J,-145.08060250646673,5.22906534778475,circular_magnet,Yel,1,TR,0.05655919482,0.0
4,176980483803477,37.8467538193398,-129.4922045749443,134.952841603153,4.28042363848548,1.85486812412032,2.42555551436516,176.180293707016,-1.79361355529748,18.6259265166134,18.2752971295366,18.124605673646,18.0550924237561,0.0,0.0,0.0,0.0,8.84597567507534,2.66708983221145,0.0438299998641014,21.6483600299101,0.0,0.0,8,36558.8711194175,124782.738394381,1,37822.77,-129544.23,-99,P,rectangular_magnet,R04,1,I,4.0,K,24.749790986750327,2.42555551436516,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
5,176970788702695,-139.92403969958394,121.58279257543316,185.404880025763,3.19439685612891,-0.715181313431245,3.90957816956016,175.42603443861,-2.85878459873092,16.2702015945093,15.5377589298214,15.2237352391592,14.9672252215994,0.0,0.0,0.0,0.0,10.579928656365,2.87214200613103,0.0549000017344951,19.0716631552758,0.0,0.0,8,-133903.723540339,-115945.917421577,1,-139975.93,121580.05,-99,P,rectangular_magnet,R05,1,I,5.0,T,86.97454205395462,3.90957816956016,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
6,177970438209699,164.88442197356335,-16.683456159134618,165.710398138366,4.38115269136958,3.04034335364492,1.34080933772466,176.718377738142,-2.27510964683362,16.5324679107273,15.6889831540154,15.27381086916,15.0277359591336,0.0,0.0,0.0,0.0,10.6618530914944,4.7870928954206,0.0518999993801116,20.3322171118455,0.0,0.0,8,158165.862153894,15964.6217072129,1,164861.74,-16749.41,-99,P,rectangular_magnet,R06,1,I,6.0,C,18.978441382141312,1.34080933772466,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
7,177970740501674,105.76664361449984,141.28421006455636,176.509637893987,0.0935414684114151,4.0696397626161,2.3070870129749,176.466248140749,-2.94386561038061,16.8880432612796,16.1224872556511,15.766771574417,15.539806148404,0.0,0.0,0.0,0.0,10.4576084397848,3.99285910448314,0.057745449244976,20.3717818652363,0.0,0.0,4,101184.573143075,-135174.226054407,1,105799.58,141287.3,-99,P,rectangular_magnet,R07,1,I,7.0,S,-95.35953134943036,2.3070870129749,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
8,176970326301123,-48.505460403708426,151.72974480514043,159.291229454519,0.106082588318691,-1.26147625512925,1.36755884344794,175.811868376264,-2.98973552680939,17.4306530862057,16.9378288230854,16.6611742615601,16.4972359713408,0.0,0.0,0.0,0.0,9.88219412829355,3.08971495944355,0.0597999989986419,20.6302955827689,0.0,0.0,4,-46705.2536305386,-145540.827167311,1,-48490.01,151731.39,-99,P,rectangular_magnet,R08,1,I,8.0,P,-96.07808459048482,1.36755884344794,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
9,177970201306694,213.80737237138283,42.66101715258538,218.04765839758,1.44798961024455,3.33889278511853,4.39228213230561,176.916021745895,-2.52547517643947,17.2150573415801,16.5264220340817,16.2083775016822,15.9998035877792,0.0,0.0,0.0,0.0,9.59033828083576,2.89862119310914,0.0281000006943941,20.0802540318268,0.0,0.0,4,202833.407906069,-40617.9879837091,1,213817.4,42742.26,-99,P,rectangular_magnet,R09,1,I,9.0,L,-172.96369344580577,4.39228213230561,circular_magnet,Mag,1,TR,0.0818593524999998,0.0
10,176970968106434,-175.23848811538704,47.7957553264952,181.685093186341,2.50806058800707,-0.266366549129105,2.77442713713618,175.276405285372,-2.54718895221702,16.9560725627852,16.1939166264719,15.8638762142491,15.5936907239281,0.0,0.0,0.0,0.0,10.3152605961154,2.16496661798328,0.0522999987006187,19.1140473295815,0.0,0.0,4,-167719.912172129,-45525.3013094355,1,-175277.73,47824.58,-99,P,rectangular_magnet,R10,1,I,10.0,R,126.2987135440953,2.77442713713618,circular_magnet,Yel,1,TR,0.04869073126,0.0
