PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 07 22 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 44 07.20,+01 05 42.0 #Field centre
UTTIME,08 29 00.00 #Target observing time
UTDATE,2022 07 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,16863,-78.2183817914605,101.79382084586211,128.326752151221,-0.340855050005083,-0.91586547392384,0.575010423918757,220.69559745,0.66173095,0.0,15.071,0.0,0.0,0.0,0.0,0.0,0.0,8.67,17.01,0.00607,21.56,0.0,0.0,1,-75574.9762999984,-97918.8053,1,-78164.39,101774.67,-99,P,rectangular_magnet,R01,1,I,1.0,K,-70.47044420898811,0.575010423918757,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
2,229163,-43.46649590655583,-0.581908866426127,43.5523112838538,3.58493010843485,0.0142490945167366,3.57068101391811,220.84274218,1.09811594,0.0,14.983,0.0,0.0,0.0,0.0,0.0,0.0,10.59,5.2,0.0381,20.22,0.0,0.0,1,-42320.267320003,704.202440000009,1,-43547.89,-620.56,-99,P,rectangular_magnet,R02,1,I,2.0,D,64.59863493730654,3.57068101391811,circular_magnet,Blu,1,TR,0.0901049863999998,0.0
3,321022,-77.34290538333974,-127.75912068997576,149.388387867374,-1.38343016202328,1.02668279126328,3.87307235389303,220.702086,1.63976897,0.0,18.208,0.0,0.0,0.0,0.0,0.0,0.0,8.47,3.72,0.02635,21.8,0.0,0.0,1,-74108.5639999984,123117.78722,1,-77332.37,-127814.69,-99,P,rectangular_magnet,R03,1,I,3.0,J,-10.735290464966395,3.87307235389303,circular_magnet,Yel,1,TR,0.05655919482,0.0
4,298516,-208.30127506790717,-53.55664912013569,215.062550850058,4.63712478099629,0.25176409492333,4.38536068607296,220.15550552,1.3220262,0.0,17.0192,0.0,0.0,0.0,0.0,0.0,0.0,9.687194,4.5399556,0.05017,22.348717,0.0,0.0,1,-197635.752480002,51307.9212,1,-208282.59,-53574.84,-99,P,rectangular_magnet,R04,1,I,4.0,O,4.31232097338642,4.38536068607296,circular_magnet,Mag,1,TR,0.0167343919199998,0.02
5,298789,181.8553358732811,-32.323162503792226,184.706830916392,4.61725926313539,2.96560476189789,1.6516545012375,221.79893815,1.22969968,0.0,17.3798,0.0,0.0,0.0,0.0,0.0,0.0,9.740314,4.8465476,0.04968,21.798786,0.0,0.0,1,173780.021899999,30442.12768,1,181853.86,-32338.63,-99,P,rectangular_magnet,R05,1,I,5.0,P,5.450531304657773,1.6516545012375,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
6,251893,-28.003427346908847,-195.2427978070235,197.282425682849,-1.16686229078538,1.42846740040777,3.68785561598644,220.91387586,1.91923042,0.0,18.1289,0.0,0.0,0.0,0.0,0.0,0.0,10.28058,4.1739035,0.05862,22.480766,0.0,0.0,1,-26244.0556400024,186276.07492,1,-27984.29,-195287.57,-99,P,rectangular_magnet,R06,1,I,6.0,R,-23.14371546503071,3.68785561598644,circular_magnet,Mag,1,TR,0.04869073126,0.0
7,93604,55.30645690521335,133.39449545259842,144.396610518665,2.99735713983405,4.3195905041314,4.96095194288224,221.26371937,0.52697745,0.0,14.884,0.0,0.0,0.0,0.0,0.0,0.0,10.15,13.57,0.02884,21.59,0.0,0.0,1,52820.5776199974,-128373.0963,1,55271.45,133399.58,-99,P,rectangular_magnet,R07,1,I,7.0,Q,98.2640861941052,4.96095194288224,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
8,298663,-4.364632880758017,-33.72327767652319,34.0273838956465,3.77431961538638,1.44138316222933,2.33293645315705,221.01144912,1.24027383,0.0,16.8998,0.0,0.0,0.0,0.0,0.0,0.0,10.378572,1.5169911,0.04929,20.891323,0.0,0.0,1,-4192.49887999825,32831.88558,1,-4391.31,-33742.84,-99,P,rectangular_magnet,R08,1,I,8.0,S,53.7474155049203,2.33293645315705,circular_magnet,Blu,1,TL,0.0330810095199999,0.0
9,240022,-177.57903097155406,-78.89101793272539,194.348246705438,-1.47652959872696,0.418586926635441,4.38806878181718,220.28142275,1.43002887,0.0,16.2955,0.0,0.0,0.0,0.0,0.0,0.0,10.796346,2.056747,0.08431,20.45953,0.0,0.0,1,-169178.458500002,75716.52462,1,-177569.04,-78996.69,-99,P,rectangular_magnet,R09,1,I,9.0,E,-5.401085666800213,4.38806878181718,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
10,251974,80.28032887021448,-188.99167186584387,205.368493973399,4.34726262228414,1.97232915782818,2.37493346445595,221.37004337,1.89014253,0.0,17.5171,0.0,0.0,0.0,0.0,0.0,0.0,9.306745,2.2657743,0.03334,21.82975,0.0,0.0,1,76849.8016199976,179702.21178,1,80264.11,-189034.1,-99,P,rectangular_magnet,R10,1,I,10.0,M,20.920199308143825,2.37493346445595,circular_magnet,Mag,1,TR,0.0454224428999999,0.0
11,251918,22.83246763538029,-212.6658303896417,213.937734419744,4.22434411900199,1.67759243060087,2.54675168840112,221.12804947,1.98875812,0.0,18.8274,0.0,0.0,0.0,0.0,0.0,0.0,7.5896134,6.606737,0.00639,24.897583,0.0,0.0,1,22159.1802200015,201989.33512,1,22804.31,-212718.87,-99,P,rectangular_magnet,R11,1,I,11.0,B,27.962910770275982,2.54675168840112,circular_magnet,Mag,1,TR,0.0600504179599999,0.0
12,16828,-135.78227860872894,96.5185149042186,166.665953015295,2.94555288970328,-0.617758311415368,3.56331120111865,220.45287105,0.68697063,0.0,14.339,0.0,0.0,0.0,0.0,0.0,0.0,8.93,22.24,0.00633,22.45,0.0,0.0,1,-130431.142700001,-92214.63762,1,-135862.57,96534.46,-99,P,rectangular_magnet,R12,1,I,12.0,L,101.23225108743836,3.56331120111865,circular_magnet,Yel,1,TL,0.0818593524999998,0.0
13,107503,-137.83736219446308,41.399068222091,143.829242006363,-0.81294913296616,-0.291412235975109,5.76164841018854,220.44323142,0.92049724,0.0,16.295,0.0,0.0,0.0,0.0,0.0,0.0,9.64,2.23,0.03337,19.56,0.0,0.0,1,-132609.699080003,-39437.62376,1,-137765.27,41322.89,-99,P,rectangular_magnet,R13,1,I,13.0,N,-43.42144572221946,5.76164841018854,circular_magnet,Gre,1,TR,0.10488282044,0.0
14,240202,22.7584567825216,-99.732406601788,102.345671562969,4.02973782095182,1.79453144413579,2.23520637681603,221.12827673,1.52201141,0.0,14.914,0.0,0.0,0.0,0.0,0.0,0.0,8.66,10.75,0.00475,22.73,0.0,0.0,1,22210.5409800021,96504.57866,1,22707.76,-99794.76,-99,P,rectangular_magnet,R14,1,I,14.0,A,39.113030315215696,2.23520637681603,circular_magnet,Gre,1,TL,0.0803623669799998,0.0
15,321013,-78.47055983565122,-147.37356148521906,166.940645118631,2.20864110102352,1.08123898068327,1.12740212034025,220.69830675,1.72094433,0.0,18.1994,0.0,0.0,0.0,0.0,0.0,0.0,8.618013,4.2513313,0.03357,23.432302,0.0,0.0,1,-74962.6745000002,141463.41858,1,-78501.38,-147331.98,-99,P,rectangular_magnet,R15,1,I,15.0,F,143.45418645222503,1.12740212034025,circular_magnet,Yel,1,TL,0.05175811476,0.0
16,107509,-106.07794293342084,60.00486199421593,121.821417927276,-0.54913657154386,-0.514777851889679,6.24882658752541,220.57668047,0.83999824,0.0,15.962,0.0,0.0,0.0,0.0,0.0,0.0,10.69,4.79,0.04954,20.52,0.0,0.0,1,-102450.213779997,-57630.39776,1,-106033.62,59977.74,-99,P,rectangular_magnet,R16,1,I,16.0,T,-58.53679207425307,6.24882658752541,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
17,16920,-42.70654848433707,104.10463329273284,112.572216863729,2.85151519194801,-1.18097316326133,4.03248835520934,220.84609538,0.65042042,0.0,19.326,0.0,0.0,0.0,0.0,0.0,0.0,9.01,2.47,0.03872,23.66,0.0,0.0,1,-41562.4441199984,-100474.98508,1,-42780.24,104126.63,-99,P,rectangular_magnet,R17,1,I,17.0,G,106.6202142839422,4.03248835520934,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
18,107594,10.89087943658298,56.1143658612801,57.1286595889567,3.44016374172545,4.52176569675743,5.2015833521476,221.07589747,0.85401457,0.0,17.034,0.0,0.0,0.0,0.0,0.0,0.0,8.93,6.19,0.02619,22.5,0.0,0.0,1,10372.82822,-54462.70718,1,10824.22,56093.85,-99,P,rectangular_magnet,R18,1,I,18.0,C,72.89313676519834,5.2015833521476,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
19,321063,-4.378595144565671,-151.20871379724073,151.246616832644,1.62927376711818,1.54183235675903,0.0874414103591503,221.01291562,1.73829301,0.0,16.4789,0.0,0.0,0.0,0.0,0.0,0.0,9.455171,4.957638,0.03668,22.075865,0.0,0.0,1,-3861.06988,145384.22026,1,-4380.09,-151183.18,-99,P,rectangular_magnet,R19,1,I,19.0,I,176.64948947274772,0.0874414103591503,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
20,109712208937687024,-31.9704087889148,-78.20789635777506,84.4968925563757,3.84011467572485,1.18269547117151,2.65741920455335,220.89375,1.4305074,0.0,16.0035991668701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-30792.4999999977,75824.6724,0,-31976.26,-78212.81,-99,P,rectangular_magnet,R20,1,I,20.0,H,49.97763623471735,2.65741920455335,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,108822218148388464,186.9964028053377,95.86891752454356,210.171893807292,1.04448650232077,3.61543076121135,3.712241048289,221.81483,0.6900315,0.0,15.6203002929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,177371.58,-91522.881,0,187015.89,95902.46,-99,P,rectangular_magnet,R21,1,I,21.0,U,-149.84466834136137,3.712241048289,circular_magnet,Mag,1,TR,0.0387923757399998,0.0
22,109942203222109728,-168.51479544692975,-125.49675049950676,210.117844105863,2.41080217408394,0.639956338176613,1.77084583590733,220.32216,1.624368,,14.4820995330811,,,,,,,,,,,-3.18423053626486,5.93982135012026,-99,-159971.840000001,119637.168,2,-168540.11,-125474.06,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,131.87121018402706,1.77084583590733,circular_magnet,Mag,1,TL,0.0339953727,0.0
23,108952202332052672,-188.98383852836665,71.99488247019123,202.25969963663,2.1359732272697,-0.364082667628367,2.50005589489806,220.23322,0.79352105,,13.5172996520996,,,,,,,,,,,3.79245570528453,-4.89027796509905,-99,-180072.280000003,-68134.2427,2,-189001.74,72023.11,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,147.61774892450842,2.50005589489806,circular_magnet,Mag,1,TR,0.0334253814599998,0.0
24,108742210385695472,2.2950481223155075,110.93312891603,110.955673232903,3.15227779941976,4.69204810401478,4.74341500258457,221.03854,0.62085485,,13.641900062561,,,,,,,,,,,-6.73691877458019,-8.42741361164669,-99,1930.04000000241,-107156.8039,2,2256.78,110932.72,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,89.38778624046108,4.74341500258457,circular_magnet,Gre,1,TR,0.0382703069999998,0.0
