PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 15 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,23 07 41.21,-32 43 51.9 #Field centre
UTTIME,14 53 25.00 #Target observing time
UTDATE,2022 08 26 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,347670908706589,169.49340987213887,78.85914997017086,186.953157177338,1.0633790044166,3.57711603822623,3.76944827336996,347.775055402388,-33.0624770395684,0.0,15.7218373717487,0.0,0.0,0.0,0.0,0.0,0.0,10.6132294880273,2.92485894835787,0.06047,19.295236688606,0.0,0.0,8,192858.619853307,-74894.7148663189,1,169500.96,78872.73,-99,P,rectangular_magnet,R01,1,I,1.0,P,-150.9271289758945,3.76944827336996,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
2,345680134503138,-95.22309296632372,-80.33143156340181,124.574745608609,2.149766040491,0.700323674364377,1.44944236612662,346.440817882842,-32.3867105597102,0.0,18.1570683403182,0.0,0.0,0.0,0.0,0.0,0.0,8.51261224774945,1.91161037314861,0.0289,20.8069399145914,0.0,0.0,8,-108679.059564084,77828.5095816336,1,-95254.04,-80284.09,-99,P,rectangular_magnet,R02,1,I,2.0,J,146.82747893931565,1.44944236612662,circular_magnet,Gre,1,TL,0.05655919482,0.0
3,345680209605183,-113.02264124239038,-126.12493156724491,169.315634468872,2.01567657980039,0.839552350827262,1.17612422897313,346.35611397442,-32.1944780056868,0.0,15.4172118028503,0.0,0.0,0.0,0.0,0.0,0.0,10.8718287718107,3.32700376612822,0.0616,19.2703529470118,0.0,0.0,8,-127822.142867456,121273.066790923,1,-113068.32,-126029.12,-99,P,rectangular_magnet,R03,1,I,3.0,E,154.510239114073,1.17612422897313,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
4,346680831407670,-11.734655190496566,-182.0102572809878,182.408933760099,-1.01315877367516,1.5064946454708,3.76353188803363,346.864809449654,-31.9608876535483,0.0,16.0506159898567,0.0,0.0,0.0,0.0,0.0,0.0,10.3769699060367,5.09014984080193,0.0541,20.8271435067293,0.0,0.0,8,-12856.9654645737,174064.486374223,1,-11721.12,-182031.96,-99,P,rectangular_magnet,R04,1,I,4.0,I,-31.95027829176314,3.76353188803363,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
5,346680298104273,106.40214407718943,-105.77758143243804,150.053108951008,4.32477653000704,2.35883851361728,1.96593801638976,347.457975185905,-32.2804827954733,0.0,16.513630147518,0.0,0.0,0.0,0.0,0.0,0.0,10.6516536656257,2.27955308948582,0.0849,19.5457533848808,0.0,0.0,8,121198.490928158,101835.984299174,1,106383.74,-105822.66,-99,P,rectangular_magnet,R05,1,I,5.0,R,22.20855749336337,1.96593801638976,circular_magnet,Yel,1,TL,0.04869073126,0.0
6,346670656408481,-12.198867964610436,35.76281893073243,37.7846295130943,3.49726879936849,-1.24055225403484,4.73782105340333,346.858622629249,-32.8847292006027,0.0,17.5510898998074,0.0,0.0,0.0,0.0,0.0,0.0,9.82374386967709,1.76148758978303,0.0557,20.0233625204979,0.0,0.0,8,-14255.1868761018,-34723.7032600706,1,-12252.57,35742.87,-99,P,rectangular_magnet,R06,1,I,6.0,K,69.62125797340084,4.73782105340333,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
7,346670558405731,9.404522088752817,96.34701372653451,96.7965081526152,3.23073552639773,4.6155474185881,4.89837341498922,346.968715693563,-33.1436744613417,0.0,16.969439463358,0.0,0.0,0.0,0.0,0.0,0.0,10.0475473986753,2.72728957406222,0.05837,20.3909704063832,0.0,0.0,8,10625.8456588655,-93245.3321870856,1,9359.28,96342.97,-99,P,rectangular_magnet,R07,1,I,7.0,M,84.89248961443371,4.89837341498922,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
8,346670936406870,-73.91844073888494,71.50366770240265,102.793659232692,-0.166423002044181,-0.769125419276977,0.602702417232795,346.544039617022,-33.0359321700136,0.0,14.3578891761509,0.0,0.0,0.0,0.0,0.0,0.0,11.5358066237709,7.81029312951922,0.07896796,20.0641005267245,0.0,0.0,8,-85350.9476394015,-68895.5743469347,1,-73859.22,71493.72,-99,P,rectangular_magnet,R08,1,I,8.0,B,-80.46466436897134,0.602702417232795,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
9,346671207409510,-134.13789481509056,13.521081159655871,134.824975347303,1.61189860042526,-0.100842084668928,1.71274068509419,346.241518502987,-32.786117958515,0.0,15.7962852808005,0.0,0.0,0.0,0.0,0.0,0.0,10.8483731737572,3.2832036054684,0.08836,19.6206490426302,0.0,0.0,8,-153720.719411315,-12437.5625482506,1,-134140.03,13573.0,-99,P,rectangular_magnet,R09,1,I,9.0,T,177.64501319258832,1.71274068509419,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
10,346680732402548,10.170484257960604,-67.12802263940759,67.8259618206775,1.506866708284,1.72138019382002,6.06867182164357,346.974026112233,-32.4433590227288,0.0,16.3752757166938,0.0,0.0,0.0,0.0,0.0,0.0,9.64947560122496,6.21678013671028,0.0369,21.5859779401099,0.0,0.0,8,11826.0002782806,65025.9569394307,1,10174.94,-67058.42,-99,P,rectangular_magnet,R10,1,I,10.0,C,-176.3371026734442,6.06867182164357,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
