PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 08 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,01 15 58.56,-30 07 32.5 #Field centre
UTTIME,15 26 48.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,17700583709392,-97.50205593301467,-29.01202561815901,101.727858276013,1.88235850008232,0.288763899093932,1.59359460098839,18.5119578199794,-30.0006617714286,0.0,17.5061431419971,0.0,0.0,0.0,0.0,0.0,0.0,8.48657266150547,2.98029955614069,0.0214,21.1203174143161,0.0,0.0,1,-108941.532684655,28256.1285485366,1,-97515.98,-28968.79,-99,P,rectangular_magnet,R01,1,I,1.0,M,162.14880241470703,1.59359460098839,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
2,18711233102261,-21.4164368024572,-124.54140603623912,126.374539171829,-1.24257897275079,1.40070183920289,3.63990449522591,18.8891703601289,-29.5939741693144,0.0,18.0298380757499,0.0,0.0,0.0,0.0,0.0,0.0,8.71252574892534,1.58874351316913,0.0357,20.277981709204,0.0,0.0,1,-23691.4986108683,120167.526626346,1,-21392.11,-124550.8,-99,P,rectangular_magnet,R02,1,I,2.0,O,-18.8054691496784,3.63990449522591,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
3,18710860703650,51.63451307134205,-152.2013860741665,160.70493459994,1.02912686509731,1.897985051779,5.41432712049789,19.2462173387908,-29.4791177118306,0.0,17.9933684670835,0.0,0.0,0.0,0.0,0.0,0.0,8.42823352726463,3.83025268585119,0.027,22.1523802777362,0.0,0.0,1,57001.1185667207,146125.086017685,1,51647.7,-152179.47,-99,P,rectangular_magnet,R03,1,I,3.0,I,-148.9646259536051,5.41432712049789,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
4,18700878611002,88.04260961219809,-60.44165882174734,106.796942637446,4.38274863423208,2.53984138408834,1.84290725014374,19.4284238715802,-29.8664344916899,0.0,19.0032860855669,0.0,0.0,0.0,0.0,0.0,0.0,8.74931745472886,1.61475280622315,0.0398,21.2866910071084,0.0,0.0,1,98179.7949771254,58591.4937694826,1,88037.58,-60456.36,-99,P,rectangular_magnet,R04,1,I,4.0,P,18.887000591776086,1.84290725014374,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
5,18700471108588,168.75435609401194,-13.087487658251524,169.245461312456,4.43018132667301,3.06374919832339,1.36643212834962,19.8204561317082,-30.067524667609,0.0,14.9095906387511,0.0,0.0,0.0,0.0,0.0,0.0,10.7262770100944,3.71270970992448,0.0812,19.0009202897434,0.0,0.0,1,186779.085766054,13145.1140117663,1,168732.94,-13161.35,-99,P,rectangular_magnet,R05,1,I,5.0,G,16.169307503968696,1.36643212834962,circular_magnet,Yel,1,TL,0.0769044511799999,0.0
6,18700510004984,160.7999411222203,57.64889615045831,170.842069562014,1.29776040402045,3.48600021097632,4.09494550022371,19.7835588190656,-30.3679129304015,0.0,17.6518629759841,0.0,0.0,0.0,0.0,0.0,0.0,8.79180600075201,1.80734690698904,0.0324,20.1799452587397,0.0,0.0,1,178440.293108826,-54742.6333793384,1,160809.48,57682.96,-99,P,rectangular_magnet,R06,1,I,6.0,Q,-164.35619396956434,4.09494550022371,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
7,17690171413922,23.87519732038878,116.28347439741306,118.698573092375,3.07190662759467,4.5105554113507,4.84453652342356,19.1118993676987,-30.6222254244705,0.0,16.8468576173231,0.0,0.0,0.0,0.0,0.0,0.0,9.03363997148052,7.49664821531051,0.0361,22.4640679580416,0.0,0.0,1,26645.2570999065,-112217.257038933,1,23795.03,116289.07,-99,P,rectangular_magnet,R07,1,I,7.0,A,93.99271518055951,4.84453652342356,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
8,17690401212676,-21.083205383389,141.2509364769627,142.826450027925,0.336462921800573,-1.42302355630038,1.75948647810096,18.8897019988857,-30.7267307240068,0.0,17.9540490160505,0.0,0.0,0.0,0.0,0.0,0.0,8.25200690348236,2.14347449727833,0.0169,20.8525153013364,0.0,0.0,1,-23571.3482518321,-135835.454734136,1,-21029.13,141269.85,-99,P,rectangular_magnet,R08,1,I,8.0,K,-109.2779053818131,1.75948647810096,circular_magnet,Gre,1,RO,0.0572875941399999,0.0
9,17690912512621,-122.03085324358818,143.87520035386615,188.699858149552,3.35417011602538,-0.86694359834504,4.22111371437042,18.394042442274,-30.7314728327875,0.0,15.5343884825067,0.0,0.0,0.0,0.0,0.0,0.0,9.22844084239545,3.91658734347877,0.0206,19.7418022449953,0.0,0.0,1,-135590.408046076,-136907.171318575,1,-122118.93,143856.19,-99,P,rectangular_magnet,R09,1,I,9.0,D,77.82020858284008,4.22111371437042,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
10,17700683006551,-116.85327799340028,26.54982556266029,119.788368594326,-0.993403564099743,-0.223064664068484,5.51284640714833,18.4164458587659,-30.2374573011167,0.0,13.7695594388816,0.0,0.0,0.0,0.0,0.0,0.0,11.0621317537733,4.13791715269033,0.0703,18.0963430765652,0.0,0.0,1,-130527.235918906,-25259.6611609737,1,-116820.5,26499.51,-99,P,rectangular_magnet,R10,1,I,10.0,B,-33.08216842383098,5.51284640714833,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
