PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 15 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,00 54 34.64,-31 26 27.7 #Field centre
UTTIME,16 35 20.00 #Target observing time
UTDATE,2022 08 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,13700884001977,-4.635971366246996,-194.8726120647081,194.983096237862,4.03435320096084,1.54679337739028,2.48755982357056,13.6218786266387,-30.6184961951754,0.0,17.3539926984954,0.0,0.0,0.0,0.0,0.0,0.0,8.34566356003117,4.48376909658327,0.0168,21.8550835770736,0.0,0.0,8,-5075.13796279911,185890.992829424,1,-4679.72,-194926.93,-99,P,rectangular_magnet,R01,1,I,1.0,C,38.84858851984978,2.48755982357056,circular_magnet,Yel,1,TR,0.0697451148799999,0.0
2,12690828005455,-196.3293801729319,-25.582636179792832,197.983713538893,-1.37352999954179,0.129979578786105,4.77967572885169,12.6751757739426,-31.3287310599085,0.0,15.6836593497248,0.0,0.0,0.0,0.0,0.0,0.0,9.41823308715266,8.75490417252251,0.0379,21.6377910156691,0.0,0.0,8,-219029.982672118,25377.9133997436,1,-196313.63,-25661.44,-99,P,rectangular_magnet,R02,1,I,2.0,A,-11.302527991649526,4.77967572885169,circular_magnet,Mag,1,TR,0.0803623669799998,0.0
3,12690199005037,-70.66713407065839,-18.128408205494488,73.0275098248003,2.90071191864789,0.250587756749846,2.65012416189804,13.2889787121322,-31.3626972553035,0.0,18.1079801046595,0.0,0.0,0.0,0.0,0.0,0.0,8.55251264503719,1.83944205994956,0.0275,20.6742853497299,0.0,0.0,8,-80310.5186412682,17701.5532404729,1,-70746.63,-18108.88,-99,P,rectangular_magnet,R03,1,I,3.0,L,103.8014494781805,2.65012416189804,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
4,12690619806128,-154.15303951323162,-38.957247713393215,159.000453643983,-1.34231442018064,0.247861888847471,4.69300899815148,12.8782431494144,-31.2726845905019,0.0,18.1694559518411,0.0,0.0,0.0,0.0,0.0,0.0,8.98739371841615,2.3532214451872,0.0376,21.2706446211302,0.0,0.0,8,-173136.755815491,38044.415485635,1,-154141.27,-39007.86,-99,P,rectangular_magnet,R04,1,I,4.0,T,-13.0910489440991,4.69300899815148,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
5,12690388303100,-107.47253514789718,19.88550107022394,109.351500832616,3.25725177272663,-0.182805367756831,3.44005714048346,13.1047647285968,-31.5246769183825,0.0,17.1762749069027,0.0,0.0,0.0,0.0,0.0,0.0,8.07425307487953,2.85865440250623,0.0102,20.6999578607816,0.0,0.0,8,-121942.878920269,-18905.8506153807,1,-107529.44,19878.89,-99,P,rectangular_magnet,R05,1,I,5.0,K,83.37322061125849,3.44005714048346,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
6,12690795607154,-190.1911431654937,-59.33479339006526,199.251110983485,2.28211247527957,0.302181859410187,1.97993061586938,12.7069236708747,-31.1871748425552,0.0,17.7966757683455,0.0,0.0,0.0,0.0,0.0,0.0,8.9388796441204,1.55262618339962,0.0362,19.9948849791138,0.0,0.0,8,-211854.957965463,57369.6185215888,1,-190222.93,-59297.91,-99,P,rectangular_magnet,R06,1,I,6.0,R,139.24458679232723,1.97993061586938,circular_magnet,Mag,1,TL,0.04869073126,0.0
7,12690069106334,-45.675743205296456,-43.51647042579566,63.0574766775868,1.6271153325642,0.760645010901309,0.866470321662893,13.4150365957702,-31.2540774691552,0.0,16.2873588417365,0.0,0.0,0.0,0.0,0.0,0.0,8.6481553417377,3.3820316554815,0.0145,20.1761218646424,0.0,0.0,8,-51821.4369390803,42249.6249099894,1,-45678.3,-43471.12,-99,P,rectangular_magnet,R07,1,I,7.0,M,176.773158663046,0.866470321662893,circular_magnet,Blu,1,RI,0.0454224428999999,0.0
8,12690020804378,-35.89073921524127,-5.572127372736124,36.3461870525162,3.20820925300149,0.153961445911168,3.05424780709032,13.4632576749258,-31.416832816879,0.0,16.7920527002718,0.0,0.0,0.0,0.0,0.0,0.0,9.67636794357122,3.63133164805816,0.0547,20.8352569553297,0.0,0.0,8,-40923.4730499148,5466.91632441005,1,-35916.26,-5573.83,-99,P,rectangular_magnet,R08,1,I,8.0,I,86.1831500081961,3.05424780709032,circular_magnet,Blu,1,TL,0.0255775173599999,0.0
9,13681104407829,11.693150184144558,138.40659581808566,138.901413244786,3.00440201114092,4.62834290264015,4.65924441568035,13.7025384184292,-32.0303385009683,0.0,16.9832734027161,0.0,0.0,0.0,0.0,0.0,0.0,8.97724636718504,2.24725233973407,0.03203455,19.9844072907861,0.0,0.0,8,13153.9749818536,-133185.368279771,1,11660.38,138411.12,-99,P,rectangular_magnet,R09,1,I,9.0,S,97.86044480100875,4.65924441568035,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
10,12690208601287,-72.14274764307906,54.87707187986984,90.6321675405752,3.59699741839474,-0.650033184832978,4.24703060322772,13.2812026022325,-31.6752110030664,0.0,18.204014909553,0.0,0.0,0.0,0.0,0.0,0.0,8.82496343426275,1.75488112216159,0.0398,20.6681281020273,0.0,0.0,8,-82067.9194786003,-52926.5537539424,1,-72148.98,54851.75,-99,P,rectangular_magnet,R10,1,I,10.0,O,63.90722900652864,4.24703060322772,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
