PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 10 21 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,02 51 24.00,-30 44 58.2 #Field centre
UTTIME,14 36 59.00 #Target observing time
UTDATE,2022 10 26 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,41690610712518,-175.18798183075845,-1.629510303738692,175.221620639174,2.24067186382476,0.0092958474680706,2.23137601635669,41.9866276042927,-30.7401894324049,17.7138292752249,17.3456823866657,17.223065263904,,0.0,0.0,0.0,0.0,8.48239044499279,2.38693578195727,0.024839973,20.4777607429975,0.0,0.0,1,-195122.16142985,2101.67716789258,1,-175214.05,-1628.81,-99,P,rectangular_magnet,R01,1,I,1.0,O,141.61895892912932,2.23137601635669,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
2,40700192703388,-196.2409260890526,-58.52112747014164,204.792940912998,2.35001401433052,0.289704116849959,2.06030989748056,41.890675142141,-30.5001200670057,17.6963291545042,17.211604706806,16.9730569687471,,0.0,0.0,0.0,0.0,8.35814578237096,6.99042180932713,0.0174,22.6769963001282,0.0,0.0,1,-216807.417876134,56357.3537481119,1,-196258.9,-58502.93,-99,P,rectangular_magnet,R02,1,I,2.0,I,135.35411518226505,2.06030989748056,circular_magnet,Mag,1,TL,0.0255775173599999,0.0
3,41700907202464,-90.56810702438376,-39.89141993928427,98.9581657372902,-1.05541166408195,0.415494034776796,4.81227960832084,42.3994969227535,-30.5778825308348,13.5374711005944,13.0313002809679,12.8060402438105,,0.0,0.0,0.0,0.0,8.79429864828192,9.95522872673427,0.0042395997,19.26443117584,0.0,0.0,1,-101813.695457709,38783.0369227355,1,-90538.51,-39943.67,-99,P,rectangular_magnet,R03,1,I,3.0,B,-29.52936599922532,4.81227960832084,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
4,41700577810178,-27.089371173445468,-192.97465858792384,194.879344249723,-1.08380595344653,1.43137654429576,3.7680028094373,42.7175570224,-29.9351580657749,17.4994889385032,17.0915829914797,16.8521848215248,,0.0,0.0,0.0,0.0,8.49522796071077,2.16362744258952,0.019274862,20.0103700793318,0.0,0.0,1,-29932.1129376001,184038.766026273,1,-27082.1,-192988.39,-99,P,rectangular_magnet,R04,1,I,4.0,P,-27.902493056361664,3.7680028094373,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
5,43700778307082,159.16966989966542,-131.44837030057607,206.476596053589,4.55559728421826,2.45091841113296,2.1046788730853,43.6245566374487,-30.1931867426001,17.5689168262422,17.0736707130442,16.8668169826319,,0.0,0.0,0.0,0.0,8.56175440876797,7.35052770191681,0.021535138,22.6481379880263,0.0,0.0,1,175049.800063406,125724.285063777,1,159155.6,-131537.37,-99,P,rectangular_magnet,R05,1,I,5.0,D,8.983502453033964,2.1046788730853,circular_magnet,Mag,1,TL,0.0901049863999998,0.0
6,43700867104493,139.9257732821719,-79.66539848910627,161.023867739232,4.39343478801503,2.62374556090153,1.76968922711351,43.5385882850666,-30.4088581549775,17.7353596217249,17.3932391524617,17.2150421881593,,0.0,0.0,0.0,0.0,8.43605084481126,5.36058727716823,0.0224,22.2821756905545,0.0,0.0,1,155620.952425052,76982.5458664847,1,139911.53,-79708.53,-99,P,rectangular_magnet,R06,1,I,6.0,M,18.27472908078525,1.76968922711351,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
7,43700595504444,195.1470715525672,-78.99597495053979,210.575367923785,-1.50488035780824,2.7565048957194,2.02180005365195,43.8010255818579,-30.4130018013017,18.1294143392259,17.5055687969258,17.2568927583967,,0.0,0.0,0.0,0.0,8.47836037310747,3.56040457102782,0.022641037,21.5059402283316,0.0,0.0,1,214931.781499885,76046.0817972158,1,195153.98,-79100.63,-99,P,rectangular_magnet,R07,1,I,7.0,N,-3.776706825450674,2.02180005365195,circular_magnet,Mag,1,TL,0.10488282044,0.0
8,41700326006615,22.4725169386386,-121.33284787434222,123.320413505116,1.37328712969515,1.754181416935,5.90229101993973,42.9607717869341,-30.2316308832585,17.8932062348663,17.5143689310456,17.2906417476627,,0.0,0.0,0.0,0.0,8.32753358670038,4.92642083229285,0.0197,22.2199011530736,0.0,0.0,1,25034.423847107,117035.909274979,1,22488.58,-121252.58,-99,P,rectangular_magnet,R08,1,I,8.0,L,-168.68355659116702,5.90229101993973,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
9,41700283302596,30.72762158716852,-42.64082050881947,52.5141786379879,1.24384523541529,2.1964167782349,5.33061376435998,43.0033272828744,-30.566415040778,18.1039256420103,17.803567315791,17.6639851380089,,0.0,0.0,0.0,0.0,8.24968524339983,6.48778479005338,0.022941168,23.1069241736078,0.0,0.0,1,34651.9659296145,41374.6896755719,1,30752.32,-42567.99,-99,P,rectangular_magnet,R09,1,I,9.0,G,-161.26708235675244,5.33061376435998,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
10,42690705210172,48.99550894021685,43.495029255707934,65.4696842861129,3.41547863198202,3.86793542277542,5.83072851638618,43.0949966217763,-30.9357101114732,16.3184987263691,15.9528172695441,15.7923458792254,,0.0,0.0,0.0,0.0,8.99584949432494,3.57615086538712,0.022485033,19.9627711107119,0.0,0.0,1,55369.2365214442,-42085.9963015429,1,48945.68,43481.03,-99,P,rectangular_magnet,R10,1,I,10.0,F,74.30748937031416,5.83072851638618,circular_magnet,Blu,1,TR,0.05175811476,0.0
