PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 13 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,02 35 06.48,-22 12 00.3 #Field centre
UTTIME,16 45 36.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,81130395749775712,174.4644554488937,44.84223159537473,180.090772396449,4.37877503184866,3.39280280840963,0.985972223439028,39.5749544,-22.38717514,0.0,15.6472,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,180337.6944,-42281.4927485996,1,174438.14,44766.3,-99,P,rectangular_magnet,R01,1,I,1.0,A,19.114671237809176,0.985972223439028,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
2,81380392382363008,99.80674647652306,-4.182078493155492,99.8593956800871,4.04946501853355,3.09922632974025,0.950238688793304,39.23827681,-22.18116119,0.0,14.1253,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,104248.55906,4277.65995140015,1,99769.79,-4229.41,-99,P,rectangular_magnet,R02,1,I,2.0,B,37.98274515216187,0.950238688793304,circular_magnet,Gre,1,TL,0.0600504179599999,0.0
3,81700393179874240,117.76094564701188,-67.09692036768396,135.53892377792,0.991612702785104,2.62420964294368,4.65058836702101,39.31800803,-21.9132904,0.0,15.6209,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,122267.81478,64816.4584914001,1,117799.12,-67038.55,-99,P,rectangular_magnet,R03,1,I,3.0,C,-146.81522278114696,4.65058836702101,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
4,82060389776270448,43.83500056372636,-137.0887736944955,143.859196449374,1.1532479387039,1.88069450282803,5.55573874305546,38.97765788,-21.61658684,0.0,15.1065,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,45348.6808800003,131871.4630514,1,43871.54,-137006.41,-99,P,rectangular_magnet,R04,1,I,4.0,D,-156.07623961989532,5.55573874305546,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
5,81910385145230032,-57.01089984222354,-107.25181132703358,121.447833538367,2.03145385775092,1.08204850101561,0.949405356735312,38.51458227,-21.74194823,0.0,15.8785,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-59306.4069800006,103539.788911401,1,-57022.27,-107228.9,-99,P,rectangular_magnet,R05,1,I,5.0,I,153.60626767530275,0.949405356735312,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
6,81690387535953952,-5.026472822087849,-64.83913604209302,64.9773353119478,1.58135498149778,1.49335242241798,0.0880025590797975,38.75361769,-21.92199094,0.0,15.3063,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-5284.40206000053,62850.1364514002,1,-5027.07,-64782.58,-99,P,rectangular_magnet,R06,1,I,6.0,J,179.3950336481888,0.0880025590797975,circular_magnet,Blu,1,TR,0.05655919482,0.0
7,82020381846404176,-130.08361039948915,-130.65941227651228,184.394200976275,2.72593456018661,0.787316539644924,1.93861802054168,38.18468191,-21.64679135,0.0,15.4615,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-133863.88834,125045.2437914,1,-130136.02,-130636.28,-99,P,rectangular_magnet,R07,1,I,7.0,K,113.81545447245696,1.93861802054168,circular_magnet,Yel,1,TL,0.0572875941399999,0.0
8,81530381422426224,-138.09704685727496,-34.270383490798096,142.319335546946,2.23565788632587,0.242722841011969,1.9929350453139,38.1422632,-22.05344417,0.0,15.928,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-143450.5168,33141.7064714006,1,-138147.55,-34205.96,-99,P,rectangular_magnet,R08,1,I,8.0,L,141.9062386783893,1.9929350453139,circular_magnet,Gre,1,TL,0.0818593524999998,0.0
9,81110378967104352,-193.06096073687732,49.06937606400436,199.237510670132,2.32373597186189,-0.249017811887112,2.572753783749,37.89672213,-22.40501942,0.0,15.4465,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-198942.79862,-46314.3000285993,1,-193092.02,49102.52,-99,P,rectangular_magnet,R09,1,I,9.0,M,136.85973610958308,2.572753783749,circular_magnet,Mag,1,TR,0.0454224428999999,0.0
10,81160382818677568,-107.2174583613915,37.76619306571042,113.577841301243,-0.739636583452125,-0.338307839123195,5.88185656285066,38.28187012,-22.36065082,0.0,15.624,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-111899.35288,-36286.9964285996,1,-107139.98,37695.5,-99,P,rectangular_magnet,R10,1,I,10.0,N,-47.6219453947175,5.88185656285066,circular_magnet,Gre,1,TR,0.10488282044,0.0
