PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 11 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,00 35 13.44,-22 12 02.8 #Field centre
UTTIME,16 20 32.00 #Target observing time
UTDATE,2022 08 26 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,82100087195133680,-19.07053236698,-145.72523,146.957372102191,0.0,1.44121166032205,4.84197364685753,8.7195754,-21.58053822,0.0,14.5268,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-19531.9595999998,140176.6511714,1,-18990.17,-145725.23,-99,P,rectangular_magnet,R01,1,I,1.0,A,-90.0,4.84197364685753,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
2,81920086433310272,-35.47190041796,-109.28845,114.882393880982,0.0,1.2574493499811,5.02573595719849,8.6433918,-21.73337622,0.0,14.9959,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-36749.4531999999,105635.2631714,1,-35411.85,-109288.45,-99,P,rectangular_magnet,R02,1,I,2.0,B,-90.0,5.02573595719849,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
3,81890089535354400,32.02892511488,-104.22428,109.014172141932,3.141592653589793,1.86833233321756,1.273260320372233,8.95355057,-21.7549508,0.0,15.6381,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,33346.4288200004,100759.4080914,1,31959.18,-104224.28,-99,P,rectangular_magnet,R03,1,I,3.0,C,90.0,1.273260320372233,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
4,81610089322457584,27.3139849864,-50.09322,57.012896192202,3.141592653589793,2.06860793203087,1.0729847215589232,8.93227636,-21.98565266,0.0,14.7717,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,28538.4573600001,48620.7877314001,1,27223.88,-50093.22,-99,P,rectangular_magnet,R04,1,I,4.0,D,90.0,1.0729847215589232,circular_magnet,Blu,1,TL,0.0901049863999998,0.0
5,81450089479390112,30.61109751736,-17.59117,35.2834705724834,3.141592653589793,2.61964790814705,0.521944745442743,8.94813834,-22.12512294,0.0,15.6459,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,32123.2648400002,17100.5044513999,1,30585.52,-17591.17,-99,P,rectangular_magnet,R05,1,I,5.0,I,90.0,0.521944745442743,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
6,81220086486010032,-33.86632919482,27.05731,43.3035630391888,0.0,-0.674912142189393,0.674912142189393,8.64876555,-22.31694801,0.0,14.9858,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-35534.9856999998,-26251.9613686002,1,-33809.77,27057.31,-99,P,rectangular_magnet,R06,1,I,6.0,J,-90.0,0.674912142189393,circular_magnet,Blu,1,TR,0.05655919482,0.0
7,81270090219991360,46.59294759414,17.0809,49.5714110798311,3.141592653589793,3.49337504455347,5.931402916215909,9.02204262,-22.27419228,0.0,15.1509,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,48825.6321200003,-16589.1663886003,1,46535.66,17080.9,-99,P,rectangular_magnet,R07,1,I,7.0,K,90.0,5.931402916215909,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
8,80950085909107696,-46.4212193525,78.24669,90.9388848687166,0.0,-1.03611605859415,1.03611605859415,8.59094856,-22.53549707,0.0,15.6538,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-48601.62544,-75644.0489286004,1,-46339.36,78246.69,-99,P,rectangular_magnet,R08,1,I,8.0,L,-90.0,1.03611605859415,circular_magnet,Blu,1,TL,0.0818593524999998,0.0
9,81070089909162768,39.9412624429,55.67929,68.4971633296569,3.141592653589793,4.09065548462517,5.334122476144209,8.99098944,-22.43967768,0.0,15.1729,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,41807.6134400002,-53988.8667885998,1,39895.84,55679.29,-99,P,rectangular_magnet,R09,1,I,9.0,M,90.0,5.334122476144209,circular_magnet,Blu,1,TR,0.0454224428999999,0.0
10,80860091273771152,69.67296282043999,97.26359,119.582288381576,3.141592653589793,4.09149925023511,5.33327871053427,9.12744965,-22.61597602,0.0,14.822,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,72647.6209000004,-93832.2916286003,1,69568.08,97263.59,-99,P,rectangular_magnet,R10,1,I,10.0,N,90.0,5.33327871053427,circular_magnet,Gre,1,TR,0.10488282044,0.0
11,80670086715663312,-29.00764439192,134.25455,137.368583163439,0.0,-1.35815272812244,1.35815272812244,8.67164664,-22.77250352,0.0,14.2929,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-30363.8593599997,-129207.5066286,1,-28990.91,134274.55,-99,P,rectangular_magnet,R11,1,I,11.0,O,-90.0,1.35815272812244,circular_magnet,Gre,1,TL,0.0167343919199998,0.02
12,80530085474870928,-56.1247677489,163.09891,172.480434062479,0.0,-1.23945911548475,1.23945911548475,8.54752123,-22.89115433,0.0,15.441,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-58416.20202,-156022.5896886,1,-56109.23,163098.91,-99,P,rectangular_magnet,R12,1,I,12.0,P,-90.0,1.23945911548475,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
13,81550087011831568,-22.6518742284,-37.21876,43.5516035087986,0.0,1.0247605924884,5.25842471469118,8.70119914,-22.04063201,0.0,15.3165,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-23684.9943599998,36195.4546314001,1,-22616.5,-37218.76,-99,P,rectangular_magnet,R13,1,I,13.0,Q,-90.0,5.25842471469118,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
14,81760090329530624,49.18450073126,-78.08554,92.2587631688595,3.141592653589793,2.13245042571659,1.0091422278732032,9.0329715,-21.86641746,0.0,15.7264,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,51295.5590000003,75567.9429313998,1,49135.81,-78085.54,-99,P,rectangular_magnet,R14,1,I,14.0,R,90.0,1.0091422278732032,circular_magnet,Blu,1,TL,0.04869073126,0.0
15,82030090331464000,49.51532100952,-131.97875,140.949929148546,3.141592653589793,1.92950195387515,1.212090699714643,9.033173,-21.63864272,0.0,15.2664,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,51341.0980000001,127045.0341714,1,49482.24,-131978.75,-99,P,rectangular_magnet,R15,1,I,15.0,S,90.0,1.212090699714643,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
16,80770085430705776,-56.835212727000005,114.11109,127.458535773602,0.0,-1.10905952116792,1.10905952116792,8.54310695,-22.68713123,0.0,14.5741,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-59413.8292999997,-109913.3690886,1,-56783.25,114111.09,-99,P,rectangular_magnet,R16,1,I,16.0,T,-90.0,1.10905952116792,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
17,80550090336115888,49.6744033244,157.96648,165.560928974858,3.141592653589793,4.4083295533488,5.01644840742058,9.03358399,-22.87060605,0.0,15.7487,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,51433.9817400003,-151378.6784086,1,49568.26,157966.48,-99,P,rectangular_magnet,R17,1,I,17.0,E,90.0,5.01644840742058,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
18,80700089697420272,35.59431811476,128.91585,133.725726592066,3.141592653589793,4.44336878431941,4.9814091764499695,8.96978851,-22.75012748,0.0,15.8658,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,37016.2032600004,-124150.5215886,1,35542.56,128915.85,-99,P,rectangular_magnet,R18,1,I,18.0,F,90.0,4.9814091764499695,circular_magnet,Gre,1,TR,0.05175811476,0.0
19,82320087097135216,-21.43542445118,-190.57838,191.771492407018,0.0,1.45918993267837,4.82399537450122,8.70976467,-21.39595618,0.0,15.7437,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-21749.1845799998,181892.1922114,1,-21358.52,-190578.38,-99,P,rectangular_magnet,R19,1,I,19.0,G,-90.0,4.82399537450122,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
20,81680085983296768,-44.97180071666,-63.55702,77.8541615829623,0.0,0.955080018073926,5.32810528910566,8.59836229,-21.92797284,0.0,15.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-46926.1224599996,61656.4270514002,0,-44964.16,-63557.02,-99,P,rectangular_magnet,R20,1,I,20.0,H,-90.0,5.32810528910566,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,80410090153384016,45.82124762426,186.82189,192.368297419231,0.0,4.47167397449902,1.81151133268057,9.01545519,-22.98865113,0.0,14.2985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47336.8729400004,-178056.8664886,0,45860.04,186821.89,-99,P,rectangular_magnet,R21,1,I,21.0,U,-90.0,1.81151133268057,circular_magnet,Yel,1,TL,0.0387923757399998,0.0
22,81360088062381024,0.0638743886615275,-0.2550354944533233,0.229136202726675,1.71021910917332,1.83189630786344,6.16150810848946,8.80629619,-22.19943939,,13.8632,,,,,,,,,,,12.1544566650309,-6.48236876271799,-99,66.9389400000568,304.986751400357,2,59.15,-221.37,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,172.01166300174538,6.16150810848946,circular_magnet,Blu,1,TR,0.0339953727,0.0
23,80850088768422224,15.331443678908371,98.6926165491427,99.9090780913536,1.21170975876333,4.5582073084089,2.93668775753402,8.87690122,-22.62344208,,13.8115,,,,,,,,,,,-12.1751312451505,5.70562203629072,-99,16023.6757200003,-95519.6211886,2,15343.19,98723.91,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,-159.4258551719539,2.93668775753402,circular_magnet,Gre,1,TR,0.0334253814599998,0.0
24,81820087439162576,-13.467846116259745,-90.12283367537454,91.0879895046153,1.79835794509133,1.42230105591387,0.376056889177452,8.74395086,-21.81481109,,13.3796,,,,,,,,,,,26.5243817412075,-14.8140987888229,-99,-14023.1056399998,87230.9825514002,2,-13476.48,-90085.55,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,166.96167969244735,0.376056889177452,circular_magnet,Blu,1,TR,0.0382703069999998,0.0
