PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 11 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 35 07.44,-22 11 08.5 #Field centre
UTTIME,12 21 18.00 #Target observing time
UTDATE,2022 08 26 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,81363079777556240,-175.62509,3.1167776330200003,175.654188511654,1.5707963267948966,-0.0182023359799715,1.588998662774868,307.97775104,-22.19509266,0.0,15.4751,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-181534.264960004,-2125.25226860013,1,-175625.09,3197.14,-99,P,rectangular_magnet,R01,1,I,1.0,A,180.0,1.588998662774868,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
2,81203079731000352,-176.55649,35.95463041796,180.168296418922,4.71238898038469,-0.200570125129837,4.912959105514527,307.97305849,-22.33336658,0.0,15.7943,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-182594.781259995,-33375.1581886,1,-176556.49,35894.58,-99,P,rectangular_magnet,R02,1,I,2.0,B,0.0,4.912959105514527,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
3,81403081970160464,-126.73222,-3.90564511488,126.790258754127,1.5707963267948966,0.0302585186312592,1.5405378081636374,308.19712132,-22.16670598,0.0,15.532,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-131956.58168,4290.1374114,1,-126732.22,-3835.9,-99,P,rectangular_magnet,R03,1,I,3.0,C,180.0,1.5405378081636374,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
4,81183081784529600,-130.68607,37.4879249864,135.931769034311,4.71238898038469,-0.27871659590463,4.99110557628932,308.17845776,-22.34230868,0.0,15.2355,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-136174.546239998,-35396.0727885998,1,-130686.07,37397.82,-99,P,rectangular_magnet,R04,1,I,4.0,D,0.0,4.99110557628932,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
5,81383083669519136,-89.54072,-1.89191751736,89.5601683959672,1.5707963267948966,0.0208404599934413,1.5499558668014553,308.36693591,-22.17605651,0.0,14.8229,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-93578.4843400024,2176.91763140023,1,-89540.72,-1866.34,-99,P,rectangular_magnet,R05,1,I,5.0,I,180.0,1.5499558668014553,circular_magnet,Blu,1,TL,0.0255775173599999,0.0
6,81133083889294736,-84.51033,47.67181919482,97.0010766000898,4.71238898038469,-0.51309209857276,5.22548107895745,308.38894106,-22.38807814,0.0,14.7306,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-88605.320440006,-45739.9707486003,1,-84510.33,47615.26,-99,P,rectangular_magnet,R06,1,I,6.0,J,0.0,5.22548107895745,circular_magnet,Gre,1,TR,0.05655919482,0.0
7,81423085158050032,-57.21037,-8.08451759414,57.7707785736855,1.5707963267948966,0.139400706180556,1.4313956206143406,308.51583379,-22.15028485,0.0,15.4176,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-59927.5634600041,8001.31279140027,1,-57210.37,-8027.23,-99,P,rectangular_magnet,R07,1,I,7.0,K,180.0,1.4313956206143406,circular_magnet,Blu,1,TL,0.0572875941399999,0.0
8,81193085276722608,-54.48956,36.1927493525,65.3690180864429,4.71238898038469,-0.585259818035818,5.297648798420507,308.52770093,-22.33977946,0.0,15.373,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-57245.5898200058,-34824.4690685999,1,-54489.56,36110.89,-99,P,rectangular_magnet,R08,1,I,8.0,L,0.0,5.297648798420507,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
9,81443086531365776,-27.54182,-13.1573224429,30.5036681486407,1.5707963267948966,0.444322944548869,1.1264733822460276,308.65317155,-22.12884225,0.0,14.1385,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-28889.2296999958,12847.3403913995,1,-27541.82,-13111.9,-99,P,rectangular_magnet,R09,1,I,9.0,M,180.0,1.1264733822460276,circular_magnet,Blu,1,TL,0.0454224428999999,0.0
10,81143086785716544,-21.91297,44.99149282044,49.9498349498074,4.71238898038469,-1.1166453092188,5.82903428960349,308.67857182,-22.37824708,0.0,15.2466,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-23148.7686800009,-43518.1511886004,1,-21912.97,44886.61,-99,P,rectangular_magnet,R10,1,I,10.0,N,0.0,5.82903428960349,circular_magnet,Blu,1,TR,0.10488282044,0.0
