LABEL,A3391_A3395_commissioning_tile
PLATEID,1
UTDATE,2012 12 11 #Target observing date
UTTIME,12 00 00.00 #Target observing time
CENTRE,06 25 18.00,-54 46 55.2 #Field centre
EQUINOX,J2000.0
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
ROBOT_TEMP,285.149994
OBS_TEMP,285.149994
TILING_DATE,2021 12 11 # Date the tile was created/configured
PROXIMITY,220 # tiling proximity value in arcseconds
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3933,48.241973185295656,94.11867095960643,105.743352373974,3.26892653833517,4.23899769178694,5.31311415372781,96.6858803958078,-55.18401868727,0.0,16.1178741455078,0.0,0.0,0.0,0.0,0.0,0.0,10.6039308867856,2.33198690414429,0.0498702563345432,19.1546234275969,0.0,0.0,1,81558.9694525621,-90856.2233230138,1,48209.16,94114.47,-99,P,rectangular_magnet,R01,1,I,1.0,S,82.70430581508481,5.31311415372781,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
2,2952,-30.44952851143485,43.02754211930306,52.6608432741995,-0.400495170960069,-0.955538056981258,0.555042886021189,96.0974523197952,-54.9664272579805,0.0,17.0438385009766,0.0,0.0,0.0,0.0,0.0,0.0,9.71255321282549,5.55115222930908,0.0477599985897541,22.6050968403014,0.0,0.0,1,-51425.7757262801,-41680.5603035855,1,-30394.23,43004.13,-99,P,rectangular_magnet,R02,1,I,2.0,B,-67.0533169886177,0.555042886021189,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
3,5199,56.6609701420349,200.80676442665492,208.670457544496,2.57838481933053,4.43774151816918,4.42382860834094,96.7457323146071,-55.6254017066793,0.0,16.4251804351807,0.0,0.0,0.0,0.0,0.0,0.0,9.70539274310504,7.24216794967651,0.0513132959604263,22.6318115296384,0.0,0.0,1,95085.5031012095,-190608.785709529,1,56593.02,200849.67,-99,P,rectangular_magnet,R03,1,I,3.0,A,122.26943189175928,4.42382860834094,circular_magnet,Mag,1,TR,0.0803623669799998,0.0
4,3326,121.7653516291302,37.1657417226243,127.224614139714,4.04043066059667,3.43736819642971,0.603062464166965,97.2284452648502,-54.9370269330165,0.0,16.813325881958,0.0,0.0,0.0,0.0,0.0,0.0,10.3971902607193,2.03898096084595,0.0541742332279682,19.6432787759939,0.0,0.0,1,204178.629856143,-35036.086861726,1,121700.06,37083.66,-99,P,rectangular_magnet,R04,1,I,4.0,N,38.50037573255559,0.603062464166965,circular_magnet,Gre,1,TR,0.10488282044,0.0
5,2259,88.24235974411539,-6.247704035001191,88.4497492412556,4.40023698674431,3.07028806447086,1.32994892227345,96.9796308993279,-54.7534292382469,0.0,17.7011394500732,0.0,0.0,0.0,0.0,0.0,0.0,9.84819370129358,1.59346199035645,0.0546399988234043,20.1685789669854,0.0,0.0,1,147946.583248105,6456.9921562058,1,88224.99,-6301.53,-99,P,rectangular_magnet,R05,1,I,5.0,J,17.884991802188097,1.32994892227345,circular_magnet,Blu,1,TL,0.05655919482,0.0
6,894,5.213638603243304,190.74815714523905,190.860413278523,0.369189607067256,4.68455022544231,1.96782468880453,96.3641514935975,-55.5867276810829,0.0,15.2088317871094,0.0,0.0,0.0,0.0,0.0,0.0,10.8360581851441,2.68504595756531,0.0502647735054095,18.6253413911466,0.0,0.0,1,8848.23755303845,-181868.455924742,1,5312.63,190786.46,-99,P,rectangular_magnet,R06,1,I,6.0,E,-111.1530063250471,1.96782468880453,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
7,1466,-91.14715254288068,-51.86708549207079,104.883094725969,-1.31500131090812,0.517767876439236,4.45041611983223,95.6525992624338,-54.5578529196067,0.0,16.8713836669922,0.0,0.0,0.0,0.0,0.0,0.0,10.0612805921236,2.36829590797424,0.0484811961650848,20.2215093539432,0.0,0.0,1,-151962.566689972,50657.2401688941,1,-91135.66,-51911.03,-99,P,rectangular_magnet,R07,1,I,7.0,M,-14.655974830794094,4.45041611983223,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
8,3084,-85.19066764646018,103.24978532081693,133.847111377245,-0.0879846867661707,-0.881023694210584,0.793039007444413,95.6884268669982,-55.2200965789948,0.0,16.6229248046875,0.0,0.0,0.0,0.0,0.0,0.0,10.462013555692,1.55161905288696,0.0550874583423137,18.8837222741921,0.0,0.0,1,-143865.528058398,-99009.8268528189,1,-85175.19,103248.42,-99,P,rectangular_magnet,R08,1,I,8.0,P,-84.95884878651786,0.793039007444413,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
9,800,176.02813125792093,73.41048823637084,190.723688050801,1.03936730128784,3.53683700650634,3.78571560196109,97.6223294980052,-55.0852262557375,0.0,16.2524261474609,0.0,0.0,0.0,0.0,0.0,0.0,10.4556944539555,2.20148396492004,0.0463926009833812,19.352711622149,0.0,0.0,1,293196.466549184,-68529.1337966668,1,176019.37,73435.05,-99,P,rectangular_magnet,R09,1,I,9.0,O,-149.5513597276955,3.78571560196109,circular_magnet,Yel,1,TR,0.0167343919199998,0.02
10,755,164.580364448625,-44.42577070630267,170.475729885532,4.51709405194116,2.87753454091327,1.63955951102789,97.528588416449,-54.5878279434079,0.0,15.7493047714233,0.0,0.0,0.0,0.0,0.0,0.0,10.5247275111555,4.79443311691284,0.0481132850913814,20.716810561883,0.0,0.0,1,272010.982117463,43882.8847898053,1,164566.83,-44494.19,-99,P,rectangular_magnet,R10,1,I,10.0,C,11.189575160123752,1.63955951102789,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
