PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 13 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,11 48 35.62,-02 32 21.9 #Field centre
UTTIME,11 48 28.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G12_T001
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,178970597503268,102.27842681163511,63.552857634354616,120.454527051688,-0.0778683061260708,3.69733875513261,2.50797824592091,177.585559964248,-2.81103548195628,14.3360217659705,13.6693417256579,13.3748492300575,13.1260807370041,0.0,0.0,0.0,0.0,10.6485383780405,15.8045675903155,0.0267193596810102,20.9061294980501,0.0,0.0,8,98790.6845744251,-61385.9335140389,1,102326.97,63549.07,-99,P,rectangular_magnet,R01,1,I,1.0,R,-85.53847470114346,2.50797824592091,circular_magnet,Gre,1,TR,0.04869073126,0.0
2,178970467113478,128.9521889144525,-137.24524123025307,188.333696661838,0.602814420460454,2.3254804736265,4.56051925401354,177.694229302198,-1.96021304838758,16.335000331385,15.8581118312056,15.6761036463301,15.487649443144,0.0,0.0,0.0,0.0,9.23394621411635,4.41194274069525,0.0192696806043386,20.3241358500484,0.0,0.0,8,123349.954951126,130899.936472487,1,129019.62,-137198.83,-99,P,rectangular_magnet,R02,1,I,2.0,L,-124.53872212200866,4.56051925401354,circular_magnet,Yel,1,TR,0.0818593524999998,0.0
3,177980448200614,14.296758779746636,-118.79652020626196,119.597072813295,1.53987335658117,1.69063884097963,6.13241982278112,177.209997082221,-2.03217938951042,14.3013833359827,13.8976810653657,13.7833265001257,13.6973346263378,0.0,0.0,0.0,0.0,8.83681075945641,24.3711098070833,0.0056839319877326,22.0749322793845,0.0,0.0,8,13913.4732363236,114635.543378725,1,14298.53,-118739.26,-99,P,rectangular_magnet,R03,1,I,3.0,K,-178.2282443167447,6.13241982278112,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
4,176980057700582,-145.0097502229208,-119.29333975227854,187.785989035504,2.51119255948712,0.68813761874094,1.82305494074618,176.535590490984,-2.03477063363127,16.8606692567941,15.9876216383787,15.6103547040377,15.3596317175659,0.0,0.0,0.0,0.0,10.8508387780542,3.26947632772563,0.0771006420254707,19.802887306364,0.0,0.0,8,-138502.416383242,114049.922207413,1,-145051.56,-119262.83,-99,P,rectangular_magnet,R04,1,I,4.0,F,126.11926479673308,1.82305494074618,circular_magnet,Yel,1,TL,0.05175811476,0.0
5,177970910206518,-195.09733390863656,0.3783719762167595,195.119837907012,2.07781935499052,-0.0021426848463619,2.07996203983688,176.324703336892,-2.54019645342317,18.2996368454043,17.7289084333371,17.4477901071779,17.3219532556226,0.0,0.0,0.0,0.0,9.36295202600073,2.8312394504412,0.0438000001013278,21.2316661206892,0.0,0.0,8,-186162.913208035,-176.313065556048,1,-195119.39,418.08,-99,P,rectangular_magnet,R05,1,I,5.0,M,150.94972036844823,2.07996203983688,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
6,178970119805290,198.1287257145076,24.269117755212037,199.642404113732,1.27202592250362,3.26384458607095,4.29136664361225,177.984043392063,-2.64244720607058,15.0323808266998,14.5787884510956,14.4142093373986,14.2367421600293,0.0,0.0,0.0,0.0,9.3638815666867,8.90724718847805,0.0128955878317356,20.5703806566203,0.0,0.0,8,188847.939260614,-23284.9831638707,1,198152.38,24345.92,-99,P,rectangular_magnet,R06,1,I,6.0,A,-162.88171679069256,4.29136664361225,circular_magnet,Mag,1,RO,0.0803623669799998,0.0
7,177970361404309,-85.34467922309273,43.26587709879185,95.6286271636255,-0.498010087553522,-0.469178752221122,6.25435397184719,176.782523187437,-2.72425745123654,19.3987728804167,19.0130656361847,18.8329758690087,18.753041035463,0.0,0.0,0.0,0.0,8.61860999650456,2.3752206015935,0.0443800017237663,22.1344600753152,0.0,0.0,8,-82695.6269848637,-41774.0985713776,1,-85294.99,43238.86,-99,P,rectangular_magnet,R07,1,I,7.0,J,-61.46612382824259,6.25435397184719,circular_magnet,Gre,1,TR,0.05655919482,0.0
8,178971099109676,4.272309477754265,-61.08415088271363,61.2667472566228,-0.627276854364701,1.64127426061482,4.01463419220006,177.16720181165,-2.27700442139267,17.073851987194,16.2438105268741,15.8873201220154,15.6456459324205,0.0,0.0,0.0,0.0,10.7756950084945,3.56524006789861,0.0850000008940696,20.2471291020641,0.0,0.0,8,4241.74208727317,59305.086173337,1,4314.38,-61114.65,-99,P,rectangular_magnet,R08,1,I,8.0,T,-54.05968365866022,4.01463419220006,circular_magnet,Blu,1,TR,0.0519627269999999,0.0
9,178970186004429,184.70726758437496,41.27871431334647,189.29039530906,0.930898964960984,3.36158355037162,3.85250072176895,177.928845128163,-2.71421475204655,17.2584396444811,16.4305104492718,16.0625416168423,15.7942305937208,0.0,0.0,0.0,0.0,10.6414749279791,2.60551694836485,0.0780000016093254,19.7528546435592,0.0,0.0,8,176373.131619215,-39504.4485544399,1,184728.39,41307.09,-99,P,rectangular_magnet,R09,1,I,9.0,Q,-143.33658184536108,3.85250072176895,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
10,178970970207883,29.33155651381573,-26.276177941138783,39.3652429673335,3.52197142055317,2.41033146472408,1.11163995582909,177.274674315869,-2.42643963244889,17.4054947989366,16.5268870155061,16.1829416212481,15.9252534944402,0.0,0.0,0.0,0.0,10.6921788896878,3.03952901270924,0.0860000029206276,20.183793162936,0.0,0.0,8,28530.528040768,25532.7284746312,1,29300.84,-26288.46,-99,P,rectangular_magnet,R10,1,I,10.0,S,68.20590203660825,1.11163995582909,circular_magnet,Blu,1,TL,0.0330810095199999,0.0
