PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 26 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,12 20 23.74,+01 16 16.8 #Field centre
UTTIME,12 20 12.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,G12_T052
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,185010253803388,-171.5304403120815,17.324358254090903,172.382602943621,4.96004539195803,-0.100329968814101,5.06037536077213,184.371946076016,1.19893584768071,17.7428199844718,17.3389947295341,17.1694101652031,17.1209900089493,0.0,0.0,0.0,0.0,8.62090238942276,5.90324544398199,0.0203000009059906,22.4373236143066,0.0,0.0,8,-164293.987971619,-16363.6712235822,1,-171515.72,17266.14,-99,P,rectangular_magnet,R01,1,I,1.0,B,-14.18966715250724,5.06037536077213,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
2,186000167211964,80.91212905749634,83.67250604914243,116.370392432203,3.37309957492856,3.94369407156651,5.71259081054164,185.444077660203,0.913590378109603,19.4973608472437,18.8851616653389,18.7063535665458,18.6035398610109,0.0,0.0,0.0,0.0,8.78010656405231,2.0117193724357,0.0419499985873699,21.6458733375851,0.0,0.0,8,78007.7500546407,-80851.7473466524,1,80900.43,83649.2,-99,P,rectangular_magnet,R02,1,I,2.0,O,76.7356304792215,5.71259081054164,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
3,186000919108779,-66.21160555968441,146.87173262356893,161.094804044827,0.255807487639989,-1.14769384167198,1.40350132931197,184.817447879223,0.64820471292862,17.3723480673702,16.8306728100035,16.5840117023732,16.4441533084082,0.0,0.0,0.0,0.0,9.06835285764711,5.48923255104269,0.0218000002205371,21.7711056419078,0.0,0.0,8,-63610.5804468354,-140828.907677555,1,-66144.13,146889.38,-99,P,rectangular_magnet,R03,1,I,3.0,C,-104.65668940961636,1.40350132931197,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
4,186010019306774,109.64475232884836,-49.2013972502037,120.174998540803,4.22449990715577,2.71941436517035,1.50508554198542,185.567462679578,1.48105239108514,18.4939560612012,18.0814566772122,17.879993399017,17.8247633824153,0.0,0.0,0.0,0.0,8.7171347563662,1.97588707698827,0.0306000001728534,20.8031419629327,0.0,0.0,8,105892.764433392,47394.667585819,1,109623.46,-49241.52,-99,P,rectangular_magnet,R04,1,I,4.0,M,27.953984766566265,1.50508554198542,circular_magnet,Gre,1,RO,0.0454224428999999,0.0
5,186010187410019,76.8920044163837,-112.80928748106336,136.490859328306,1.17767076100672,2.1694247075591,5.29143136062721,185.42739598498,1.75149135014228,18.9291196196994,18.6388991410272,18.4229670737645,18.4109333930007,0.0,0.0,0.0,0.0,8.39424415977067,3.24138149158715,0.0295599997043609,22.4354245625287,0.0,0.0,8,74237.6914542432,108513.872332733,1,76913.95,-112756.37,-99,P,rectangular_magnet,R05,1,I,5.0,K,-157.4755642616449,5.29143136062721,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
6,186010379309937,39.268664759060464,-110.90206255403724,117.571236835305,1.38251260466387,1.91149146401328,5.75420644783018,185.267411257843,1.74468785488993,16.2673727571025,15.6391816039987,15.2707964263618,15.1242773487803,0.0,0.0,0.0,0.0,10.835592195824,4.92943228959167,0.0795999988913536,20.3460408134644,0.0,0.0,8,38081.1431212842,106976.282405702,1,39285.53,-110813.55,-99,P,rectangular_magnet,R06,1,I,6.0,D,-169.21213737087825,5.75420644783018,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
7,186010821603601,-46.64966259656355,12.822420012435831,48.2803718272602,5.69149419634481,-0.267551440566992,5.9590456369118,184.898686834231,1.21670874025249,17.5155446113758,17.1346233181894,16.9175697305225,16.8507184022186,0.0,0.0,0.0,0.0,8.77223445192956,4.28639857308946,0.0210999995470047,21.5379607583784,0.0,0.0,8,-45250.5766150296,-12346.9975023599,1,-46562.61,12763.92,-99,P,rectangular_magnet,R07,1,I,7.0,N,-56.09859657375989,5.9590456369118,circular_magnet,Blu,1,TR,0.10488282044,0.0
8,186000594005395,-2.3019731075677057,215.7062162643993,215.74228844811,0.488140245556932,-1.56033801031455,2.04847825587148,185.088376494138,0.366208140881446,15.6854619060189,15.4873245848131,15.4050913498775,15.4084085361802,0.0,0.0,0.0,0.0,7.49664036753127,15.6224182245721,0.0031099999323487,22.6989405667198,0.0,0.0,8,-2380.71347604688,-204560.132960216,1,-2256.26,215730.49,-99,P,rectangular_magnet,R08,1,I,8.0,F,-117.96837588089184,2.04847825587148,circular_magnet,Mag,1,TL,0.05175811476,0.0
9,185010290507934,-179.53872524165598,-72.39310517237428,193.586242176124,-1.24349283385307,0.383447377207907,4.65624509611861,184.341416756429,1.57776362111239,16.7333473457411,15.9091561868207,15.5467126486284,15.3554402002042,0.0,0.0,0.0,0.0,10.8067503945569,3.85668953608441,0.0747999995946884,20.0831042661631,0.0,0.0,8,-171193.614198282,69251.4055719775,1,-179528.09,-72424.43,-99,P,rectangular_magnet,R09,1,I,9.0,S,-18.7531087654566,4.65624509611861,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
10,187001133213246,126.98263914642658,58.81990911672729,139.865302359219,3.76811740823096,3.57526931628299,0.192848091947976,185.639004081495,1.02042376903157,17.1098342840296,16.241965422739,15.7972369506845,15.5472900597212,0.0,0.0,0.0,0.0,10.8142730958805,7.29101914553507,0.0766000002622604,21.7987812977422,0.0,0.0,4,122061.121266632,-56707.4009982878,1,126917.54,58772.79,-99,P,rectangular_magnet,R10,1,I,10.0,A,54.10277579859172,0.192848091947976,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
