PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2025 04 16 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,11 39 25.31,-02 31 12.3 #Field centre
UTTIME,11 17 44.00 #Target observing time
UTDATE,2025 04 28 #Target observing date
PLATEID,G12_T170
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W175980429801262,86.86776164837028,-127.48561085084728,154.273871711723,3.97476685106675,2.16876345690984,1.80600339415692,175.225333619532,-1.97818194342176,18.9201669154607,18.5606287728581,18.3815310906041,18.2307657943007,0.0,0.0,0.0,0.0,8.77141578811927,5.48663737134781,0.0439300015568733,23.5000347410605,0.0,0.0,8,83593.3467555977,122471.914031438,1,86850.56,-127504.54,-99,P,rectangular_magnet,R01,1,I,1.0,I,42.26263488537094,1.80600339415692,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
2,W176971105305927,71.38966931447051,16.063873773417455,73.2109176581779,1.14450454865096,3.36357722794591,4.06411262788463,175.161950814621,-2.58941325150579,15.5887910316912,14.9047272390447,14.588898375911,14.351841258612,0.0,0.0,0.0,0.0,10.8700111386414,6.07113374608406,0.0595999993383884,20.0639509228539,0.0,0.0,8,69268.8328457148,-15666.3615955532,1,71414.5,16118.55,-99,P,rectangular_magnet,R02,1,I,2.0,B,-155.5752802712252,4.06411262788463,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
3,W175971196103217,-182.09153483515465,70.09675448111746,195.149856389015,1.80106312016904,-0.3677109103542,2.16877403052324,174.086138945348,-2.81521515860148,17.8571032903664,17.3541579169084,17.0952161092604,16.9785379075568,0.0,0.0,0.0,0.0,9.44506044953079,3.59558493244746,0.0440294109284877,21.3758803577319,0.0,0.0,8,-173864.649609982,-66697.5925991792,1,-182104.61,70152.53,-99,P,rectangular_magnet,R03,1,I,3.0,K,166.8066845776506,2.16877403052324,circular_magnet,Yel,1,RO,0.0572875941399999,0.0
4,W175970826907452,-107.71513484493332,-13.461983677769291,108.578975661383,2.03797162241451,0.123665920094578,1.91430570231993,174.394194113771,-2.46237081203448,18.8616182707111,18.4364121158281,18.2362115244087,18.1279603424666,0.0,0.0,0.0,0.0,8.54034679366675,4.31156663265753,0.0291200000792741,22.8524623088003,0.0,0.0,8,-104244.181546389,13045.2297249628,1,-107749.77,-13393.32,-99,P,rectangular_magnet,R04,1,I,4.0,G,153.23282726821958,1.91430570231993,circular_magnet,Gre,1,TL,0.0769044511799999,0.0
5,W175970988902250,-140.33817053938537,88.73633735398661,166.084899592098,3.20098757245078,-0.563635384274292,3.76462295672507,174.258991063876,-2.89584312484658,19.4006799080844,18.8967039967488,18.6512180897039,18.6655792997057,0.0,0.0,0.0,0.0,8.82936330640238,2.28600734161277,0.0448400005698204,21.9349667825705,0.0,0.0,8,-134800.070822655,-84919.5129705717,1,-140394.63,88732.98,-99,P,rectangular_magnet,R05,1,I,5.0,J,86.59692182474348,3.76462295672507,circular_magnet,Yel,1,TL,0.05655919482,0.0
6,W174980044204411,-73.35414502313002,-190.91713457448236,204.520170259621,2.69538107499907,1.20371386652146,1.49166720847761,174.546766344673,-1.7157125681816,17.2979529565154,16.4305872853776,16.0659756717787,16.08346855668,0.0,0.0,0.0,0.0,10.6534109001959,2.69107380032173,0.0768806263804435,19.8230900074608,0.0,0.0,8,-69762.8573625376,181789.992835714,1,-73401.02,-190894.71,-99,P,rectangular_magnet,R06,1,I,6.0,T,115.56604022311848,1.49166720847761,circular_magnet,Mag,1,TL,0.0519627269999999,0.0
7,W176970839509116,123.70223983380026,-46.2129521726475,132.087945392343,0.873862486609912,2.78482332282055,4.37222447096895,175.383696740541,-2.32370410760944,15.6292131459204,14.8232806287881,14.4567722426038,14.1668084432271,0.0,0.0,0.0,0.0,10.8745411614987,3.23415749127293,0.048700001090765,18.6149611334672,0.0,0.0,8,119383.412103636,44383.9049250219,1,123770.37,-46131.56,-99,P,rectangular_magnet,R07,1,I,7.0,E,-140.06863235755537,4.37222447096895,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
8,W175980507402480,71.76037932784942,-151.76035351359707,167.851138680917,0.840932255992182,2.01277577445141,5.11134178872035,175.160623932602,-1.87669553599673,19.180571015744,18.9101073410042,18.4882602982385,18.8764570742086,0.0,0.0,0.0,0.0,8.24029842166731,3.65713105074835,0.0218400005251169,22.9686846390279,0.0,0.0,8,68968.9575094174,145407.842109494,1,71794.89,-151721.78,-99,P,rectangular_magnet,R08,1,I,8.0,F,-138.18186912476696,5.11134178872035,circular_magnet,Yel,1,TR,0.05175811476,0.0
9,W174980404002504,-144.73860204791723,-153.2995200148676,210.857101706422,2.85344830125394,0.814086527768692,2.03936177348525,174.246833647362,-1.8746856071298,17.8316485310365,17.1391985478823,16.8391665294791,16.6389115690309,0.0,0.0,0.0,0.0,9.78102099033689,4.42331478442634,0.0478999987244606,21.6108124644204,0.0,0.0,4,-137547.646954822,145862.086033421,1,-144760.33,-153313.94,-99,P,rectangular_magnet,R09,1,I,9.0,O,106.50945527937496,2.03936177348525,circular_magnet,Mag,1,TL,0.0167343919199998,0.02
10,W176971028804664,86.43948125837571,40.73849493458455,95.5105035671433,3.76219608245163,3.58192234147549,0.180273740976143,175.225742072499,-2.69467675808485,15.2547283125062,14.5273073564271,14.1887033869008,13.8956784496276,0.0,0.0,0.0,0.0,10.1228477615976,4.80144708042793,0.0194000005722045,19.1770427712189,0.0,0.0,4,83685.6571261416,-39455.9140824207,1,86399.87,40710.18,-99,P,rectangular_magnet,R10,1,I,10.0,R,54.44204277486932,0.180273740976143,circular_magnet,Gre,1,TR,0.04869073126,0.0
11,W175970995803439,-141.56295872742166,65.2872152187473,155.823613900088,-0.583143950783197,-0.432051930397949,6.13209328679434,174.253252589347,-2.79676311818803,16.2369601997171,15.5645417011086,15.228381000437,15.3158624816818,0.0,0.0,0.0,0.0,10.3876799882458,5.81490552708816,0.0452000014483928,20.6301296992346,0.0,0.0,4,-136096.966066211,-62527.4314657394,1,-141504.74,65248.81,-99,P,rectangular_magnet,R11,1,I,11.0,C,-56.5883127715382,6.13209328679434,circular_magnet,Yel,1,TR,0.0697451148799999,0.0
12,W176971013709568,89.41526424724238,-54.718134808346505,104.825339529014,4.07764394579013,2.59199718873873,1.4856467570514,175.238420458073,-2.28601886240637,18.0723030617045,17.3829197801391,17.0573514441854,16.8592662039746,0.0,0.0,0.0,0.0,9.72178987757254,2.17796572835791,0.048599999397993,20.3160496697764,0.0,0.0,4,86550.9722658637,52900.7703409156,1,89388.33,-54754.71,-99,P,rectangular_magnet,R12,1,I,12.0,M,36.3682115491537,1.4856467570514,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
13,W174970046806664,-191.85529360075157,2.0293270756198787,191.880168670548,1.9714417399047,-0.0107459759815107,1.98218771588621,174.044888834246,-2.52792749291804,16.5340993896261,15.9554355676503,15.6397903048207,15.4950771501296,0.0,0.0,0.0,0.0,10.104375215837,4.97262804649585,0.0432000011205673,20.6812401250805,0.0,0.0,4,-183187.174719038,-1770.58015472177,1,-191869.09,2061.9,-99,P,rectangular_magnet,R13,1,I,13.0,Q,157.04470874753292,1.98218771588621,circular_magnet,Yel,1,TL,0.0353742283999999,0.0
