PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2025 04 17 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,11 59 24.39,+00 54 15.9 #Field centre
UTTIME,11 37 40.00 #Target observing time
UTDATE,2025 04 28 #Target observing date
PLATEID,G12_T175
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W181010040602922,164.8093520607462,-60.45398436845597,175.541071363945,4.30308390443353,2.78941644007697,1.51366746435656,180.549627807405,1.16007562265529,17.0417245631693,16.1672346541727,15.8271775042166,15.5093188504866,0.0,0.0,0.0,0.0,10.8164111134116,2.92845314404453,0.0847000032663345,19.7433007339244,0.0,0.0,8,157748.224768473,57776.2604410772,1,164767.11,-60551.36,-99,P,rectangular_magnet,R01,1,I,1.0,E,23.45145338528306,1.51366746435656,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
2,W181010505109164,73.55475063623541,-184.0011027855624,198.158298031861,3.52196478485565,1.95084290344094,1.57112188141471,180.162526978969,1.68028431528058,16.9055784175364,16.0494573537974,15.6764068968819,15.488632046558,0.0,0.0,0.0,0.0,10.8117619117076,2.63717259236952,0.0772999972105026,19.3980248033108,0.0,0.0,8,70263.4375419397,175343.424974393,1,73509.54,-184019.18,-99,P,rectangular_magnet,R02,1,I,2.0,R,68.20628223407027,1.57112188141471,circular_magnet,Mag,1,TL,0.04869073126,0.0
3,W180000388006981,-139.42148394350062,95.93091474818397,169.277627451863,3.31624720701762,-0.602432917313795,3.91868012433142,179.260049718578,0.49836986700222,17.8300313229909,17.441024129219,17.2529858883298,17.1968447982952,0.0,0.0,0.0,0.0,8.59847110298762,2.04780042135081,0.0205000005662441,20.2403369510631,0.0,0.0,8,-133696.423306428,-91769.2403365166,1,-139477.9,95920.96,-99,P,rectangular_magnet,R03,1,I,3.0,K,79.99303121584336,3.91868012433142,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
4,W180000711309680,-204.62214426819705,43.20089167951481,209.217400308457,2.58125472545962,-0.208218222349373,2.78947294780899,178.990624324231,0.72329052654513,18.4777216298337,18.1106317228488,17.9422703965447,17.7649057005062,0.0,0.0,0.0,0.0,8.68668397572836,3.65394305769473,0.03243999928236,22.1673152801461,0.0,0.0,8,-194586.56242885,-40937.171279819,1,-204698.47,43248.78,-99,P,rectangular_magnet,R04,1,I,4.0,D,122.10499838296376,2.78947294780899,circular_magnet,Mag,1,TR,0.0901049863999998,0.0
5,W181010248203331,123.18534920826356,-68.20377172461056,140.807198008642,1.03692772966182,2.63618889511437,4.68392414172704,180.376612683555,1.19418544569264,17.0241813823725,16.2586824227148,15.7792626005122,15.6342434807758,0.0,0.0,0.0,0.0,10.7890597575671,2.16272491743184,0.0780000016093254,19.1765635240248,0.0,0.0,8,118646.806778378,65485.0804475183,1,123203.35,-68173.32,-99,P,rectangular_magnet,R05,1,I,5.0,Q,-149.41158256970468,4.68392414172704,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
6,W181010229406688,127.81394090992428,-134.83935250715788,185.785753226569,3.8187188287049,2.32914959256788,1.48956923613702,180.392331977852,1.47392379499043,19.3011368853818,18.854747164086,18.6089900185408,18.5733423596353,0.0,0.0,0.0,0.0,8.20204921156773,2.53260493720311,0.0220999997109174,22.1154590917067,0.0,0.0,8,122199.367289497,128705.947388819,1,127769.86,-134874.79,-99,P,rectangular_magnet,R06,1,I,6.0,J,51.20352796806807,1.48956923613702,circular_magnet,Yel,1,TL,0.05655919482,0.0
7,W180010028005268,-68.30427521720677,-105.67040836013462,125.809263629321,2.38150677571623,0.996335497080901,1.38517127863533,179.560178831178,1.35556053879573,16.8719655508283,16.1972468820588,15.8413948054688,15.6474492169097,0.0,0.0,0.0,0.0,10.6154024981968,5.50484496685705,0.0781000033020973,21.1438470259401,0.0,0.0,8,-65867.2438588243,101955.851488817,1,-68362.52,-105615.04,-99,P,rectangular_magnet,R07,1,I,7.0,A,133.5497128696513,1.38517127863533,circular_magnet,Gre,1,TL,0.0803623669799998,0.0
8,W181000272207546,118.83213641886957,84.28889797297157,145.65849201487,3.49238333976045,3.75859980795149,6.01696883898854,180.356553109257,0.545447762744265,16.9283427416626,16.0799320289184,15.694053149708,15.4294309850013,0.0,0.0,0.0,0.0,10.8126353561115,2.52941548300335,0.0777093172073364,19.3379075737758,0.0,0.0,8,114113.342987026,-81129.6358988144,1,118801.07,84277.53,-99,P,rectangular_magnet,R08,1,I,8.0,S,69.90117418992321,6.01696883898854,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
9,W180010348105153,-131.59916880042007,-104.01800092145928,167.772602344699,2.59496968334809,0.668411804404908,1.92655787894318,179.293368998371,1.34602439914253,18.6285175105422,18.2033431891702,17.9927275209376,17.8784153530574,0.0,0.0,0.0,0.0,8.83506601666728,3.30653866462456,0.0363800004124641,22.0430858981136,0.0,0.0,8,-126166.266073209,99800.6839271934,1,-131669.1,-103975.45,-99,P,rectangular_magnet,R09,1,I,9.0,L,121.31918917975476,1.92655787894318,circular_magnet,Yel,1,RO,0.0818593524999998,0.0
10,W181001173609483,-57.33023157451408,46.15408125629059,73.6200434068563,3.69401013360785,-0.677047804596027,4.37105793820388,179.605353779114,0.706857334723565,16.231888283605,15.4300616213208,15.0629376269591,14.8392644478403,0.0,0.0,0.0,0.0,10.6068306249086,4.8726217533392,0.0474000014364719,20.1117498017712,0.0,0.0,8,-55657.7056252873,-44651.0726314926,1,-57381.35,46122.57,-99,P,rectangular_magnet,R10,1,I,10.0,B,58.34880986571284,4.37105793820388,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
