PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 51 26.50,+00 03 13.2 #Field centre
UTTIME,14 50 50.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G15_T016
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,224000900801291,-6.343418894580924,6.821406136203799,9.32503412150862,3.58646388573686,-0.818305489778822,4.40476937551568,222.832714561534,0.0242191662933174,19.4090016945095,18.8868775369898,18.5482772215761,18.4435696888561,0.0,0.0,0.0,0.0,8.91398826424457,2.537012612164,0.0430300012230873,22.1513653498271,0.0,0.0,8,-6260.2705585835,-6653.42622426141,1,-6373.28,6807.17,-99,P,rectangular_magnet,R01,1,I,1.0,S,64.51075597118839,4.40476937551568,circular_magnet,Blu,1,RO,0.0330810095199999,0.0
2,223991184407103,-61.790708812076886,128.22461245632468,142.313400437163,0.113189142502747,-1.122200613255,1.23538975575775,222.596366833075,-0.491446138951685,18.6814285574962,18.2589717983238,18.1134290910299,17.9742561939975,0.0,0.0,0.0,0.0,8.87144200432856,3.80659190416603,0.0425099991261959,22.4045280781199,0.0,0.0,8,-59674.8571903195,-123193.785209632,1,-61721.41,128232.49,-99,P,rectangular_magnet,R02,1,I,2.0,C,-96.48526015211225,1.23538975575775,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
3,223990631609888,46.14757619564472,72.98886252904974,86.3088389569603,3.49589690364898,4.14898754964913,5.63009466117944,223.057041729283,-0.259376286117998,19.318428272654,18.9344198000777,18.7377028485577,18.6807328822133,0.0,0.0,0.0,0.0,8.65819833989821,2.83128889550258,0.0439100004732608,22.4372154099196,0.0,0.0,8,44437.6693526863,-70745.9984692187,1,46094.53,72969.24,-99,P,rectangular_magnet,R03,1,I,3.0,J,69.69986180806083,5.63009466117944,circular_magnet,Blu,1,TL,0.05655919482,0.0
4,224000981901452,-22.16979493805291,3.7854803029780855,22.4137529862917,-0.167750009742115,-0.169123161912578,0.0013731521704633,222.76513391252,0.0376347207023585,19.5669971622627,18.8013653428481,18.5009085608229,18.3534063744181,0.0,0.0,0.0,0.0,9.11296432620929,3.33717186847832,0.0448700003325939,22.6611328942518,0.0,0.0,8,-21533.4972357454,-3621.51092781812,1,-22093.97,3772.64,-99,P,rectangular_magnet,R04,1,I,4.0,G,-80.38863242849834,0.0013731521704633,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
5,223990914606689,-8.831271932155177,136.10738448956332,136.381661003726,3.55048302151187,-1.50575838950229,5.05624141101416,222.821201398703,-0.525955770734235,19.3271465807832,18.7203198700649,18.5460526543204,18.3949264200894,0.0,0.0,0.0,0.0,8.8585982479825,2.30951908717459,0.0430199988186359,21.7808023310659,0.0,0.0,8,-8862.24535838812,-130992.961992488,1,-8863.73,136093.32,-99,P,rectangular_magnet,R05,1,I,5.0,Q,66.57230763451358,5.05624141101416,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
6,223990727009442,27.538392071953396,81.69568504899438,86.2144815318778,-0.179563850161694,4.38708739575403,1.71653406126386,222.977541508612,-0.296542499064304,19.6835399589327,19.0395959605607,18.8303800085551,18.6241895144934,0.0,0.0,0.0,0.0,8.81045405321134,1.85893543617256,0.0437799990177154,21.6287921737243,0.0,0.0,8,26470.6194810449,-79145.5625950838,1,27553.68,81692.91,-99,P,rectangular_magnet,R06,1,I,6.0,P,-79.71174923261543,1.71653406126386,circular_magnet,Blu,1,RO,0.0155377488999999,0.0
7,223990252610474,120.47821715016184,61.73156656499082,135.32770078865,3.73970329310644,3.61505959080306,0.124643702303376,223.372867495349,-0.210539670893811,19.9575750827037,19.3667731917409,19.0790354293841,18.8734957909534,0.0,0.0,0.0,0.0,8.74171863915336,2.0617956826941,0.0444499999284744,22.1808760029591,0.0,0.0,8,115814.292483605,-59708.9234285524,1,120440.68,61705.99,-99,P,rectangular_magnet,R07,1,I,7.0,M,55.730784673825525,0.124643702303376,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
8,223991169411851,-58.604376410132,35.01732873964984,68.1873784437267,5.76607634835918,-0.53862029201741,0.0215113331970036,222.608890260909,-0.0957961403310354,19.142217190438,18.7282905215739,18.5446250369572,18.3545629911722,0.0,0.0,0.0,0.0,8.73719876771577,2.29912147143657,0.0433899983763694,21.7789747899318,0.0,0.0,8,-56844.5624998361,-33776.8855213651,1,-58533.22,34976.86,-99,P,rectangular_magnet,R08,1,I,8.0,L,-60.37183911118643,0.0215113331970036,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
9,223991071011806,-39.32198618411953,35.77034947514017,53.1873452741082,3.36651882146532,-0.737334414626399,4.10385323609172,222.690885082769,-0.0995467385858908,19.797476840582,19.0878046855993,18.7782348668448,18.5796764360352,0.0,0.0,0.0,0.0,8.92176424818012,1.88618563891997,0.0424299985170364,21.7086015367829,0.0,0.0,8,-38313.7327594744,-34624.5207269625,1,-39372.64,35758.76,-99,P,rectangular_magnet,R09,1,I,9.0,T,77.11267987868129,4.10385323609172,circular_magnet,Blu,1,TR,0.0519627269999999,0.0
10,224000807309126,11.503500298483734,-146.4508603656251,146.968900493073,3.91195139324175,1.64863441560081,2.26331697764094,222.910619257901,0.677123611915557,19.2044114500802,18.7945401043667,18.5711848846555,18.5350061510037,0.0,0.0,0.0,0.0,8.75166981758667,2.19030776163422,0.0433899983763694,21.7399404968067,0.0,0.0,8,11346.1908203585,140902.978486365,1,11428.23,-146523.9,-99,P,rectangular_magnet,R10,1,I,10.0,N,45.861695506925486,2.26331697764094,circular_magnet,Gre,1,TL,0.10488282044,0.0
