PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 13 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 49 24.12,-00 38 11.2 #Field centre
UTTIME,14 48 48.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G15_T025
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,224001090901108,75.94799449626571,-152.42353972240383,170.286331558839,0.681144999024176,2.03333765620374,4.93099265000003,222.674307131679,0.0089702102028621,19.9286386009056,19.1036014185661,18.8535396311635,18.5667195058165,0.0,0.0,0.0,0.0,8.93912174811159,2.29868330726601,0.0428400002419948,22.1538718105391,0.0,0.0,8,73176.4927904462,145860.82199226,1,75985.82,-152392.88,-99,P,rectangular_magnet,R01,1,I,1.0,R,-129.02673368052783,4.93099265000003,circular_magnet,Yel,1,TR,0.04869073126,0.0
2,224000826101126,128.76587969565125,-153.77992079887994,200.592537079663,-1.11724193390221,2.26797042213656,2.89797295114081,222.89496228316,0.0104702277050363,19.1628542705643,18.6341251620798,18.407337251806,18.3301976247133,0.0,0.0,0.0,0.0,8.89390037785334,3.08912448871608,0.0429099984467029,22.3261768953143,0.0,0.0,8,123044.557025152,146199.825947751,1,128791.19,-153786.2,-99,P,rectangular_magnet,R02,1,I,2.0,O,-25.986752492369305,2.89797295114081,circular_magnet,Mag,1,TR,0.0167343919199998,0.02
3,222980393306786,-21.960328601133533,209.8425754983072,211.026002997467,2.77063732901603,-1.46617951010389,4.23681683911992,222.255713017537,-1.51785988948888,19.0454334719334,18.612448653124,18.4457124989461,18.3766430244748,0.0,0.0,0.0,0.0,8.76246829083547,1.67138892365116,0.0425899997353553,20.9707109336444,0.0,0.0,8,-21425.7770056449,-199202.780538074,1,-22036.62,209872.25,-99,P,rectangular_magnet,R03,1,I,3.0,L,111.25417448598222,4.23681683911992,circular_magnet,Mag,1,TR,0.0818593524999998,0.0
4,222981196811934,-181.60147174960383,108.1263772488629,211.381954804815,3.15450824315996,-0.536951989183642,3.6914602323436,221.585984764257,-1.08885363522288,15.9032920277634,15.6440686284,15.547333466571,15.5294004337929,0.0,0.0,0.0,0.0,9.42218351532987,13.2561847434568,0.0290047693997621,22.4990360499047,0.0,0.0,8,-172784.362246925,-102247.367073958,1,-181634.55,108125.95,-99,P,rectangular_magnet,R04,1,I,4.0,S,89.25999122770625,3.6914602323436,circular_magnet,Mag,1,TR,0.0330810095199999,0.0
5,223991071011806,79.65336201919631,-126.31677976508202,149.36883242428,-1.14944081849599,2.13336781226244,3.00037667642116,222.690885082769,-0.0995467385858908,19.797476840582,19.0878046855993,18.7782348668448,18.5796764360352,0.0,0.0,0.0,0.0,8.92176424818012,1.88618563891997,0.0424299985170364,21.7086015367829,0.0,0.0,8,76923.109736786,121335.991566001,1,79667.83,-126349.06,-99,P,rectangular_magnet,R05,1,I,5.0,Q,-24.141892300116865,3.00037667642116,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
6,223990932307182,106.56910587415624,-35.70006261217235,112.384169365198,4.01774706878996,2.81821897997917,1.19952808881079,222.80645214567,-0.484872233982344,19.1019401895376,18.573206754832,18.3922327823809,18.2938384013652,0.0,0.0,0.0,0.0,8.90080266914464,3.20756145128769,0.0446199998259544,22.3469563638279,0.0,0.0,8,103041.265952411,34252.429606403,1,106559.16,-35712.0,-99,P,rectangular_magnet,R06,1,I,6.0,P,39.800049807277645,1.19952808881079,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
7,223990634308842,166.22453016415938,-68.90206300760968,180.015527110983,-0.278566282134358,2.74868762444769,3.25593140059753,223.054792455643,-0.346541875156371,19.7247465109088,19.0607098229912,18.849535226993,18.698895739588,0.0,0.0,0.0,0.0,8.81191390119698,3.14545684199542,0.0434500016272068,22.7920031583214,0.0,0.0,8,159166.176006309,65515.0907010729,1,166298.47,-68923.21,-99,P,rectangular_magnet,R07,1,I,7.0,G,-74.03932771905073,3.25593140059753,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
8,223991184407103,57.15353754400007,-33.88343162631619,66.5017149291851,-0.708145596190599,2.60629221195802,2.96874749903097,222.596366833075,-0.491446138951685,18.6814285574962,18.2589717983238,18.1134290910299,17.9742561939975,0.0,0.0,0.0,0.0,8.87144200432856,3.80659190416603,0.0425099991261959,22.4045280781199,0.0,0.0,8,55561.9853059409,32766.7270833319,1,57199.15,-33922.49,-99,P,rectangular_magnet,R08,1,I,8.0,B,-49.42624605750319,2.96874749903097,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
9,222980822107836,-107.36002534472895,189.5276231134557,217.832037276764,0.713751102329931,-1.05560736821886,1.76935847054879,221.898260146188,-1.43037278015493,18.7531983458103,18.3529809029677,18.1832154951969,18.1296469380685,0.0,0.0,0.0,0.0,8.85445771166759,3.16262331225638,0.0429899990558624,22.0960929240626,0.0,0.0,8,-102210.125930521,-179430.693828601,1,-107325.69,189557.36,-99,P,rectangular_magnet,R09,1,I,9.0,M,-130.89492578631518,1.76935847054879,circular_magnet,Mag,1,TL,0.0454224428999999,0.0
10,223991169411851,60.30223727149192,-127.03110790860356,140.670752316624,-0.753169216693186,2.01415246897814,3.51586362150826,222.608890260909,-0.0957961403310354,19.142217190438,18.7282905215739,18.5446250369572,18.3545629911722,0.0,0.0,0.0,0.0,8.73719876771577,2.29912147143657,0.0433899983763694,21.7789747899318,0.0,0.0,8,58392.2799964243,122183.626771599,1,60344.03,-127070.29,-99,P,rectangular_magnet,R10,1,I,10.0,K,-46.84658262430628,3.51586362150826,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
