PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 51 44.86,+02 15 54.5 #Field centre
UTTIME,14 51 07.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G15_T085
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,225020993504638,97.66250662168596,-9.061579397675976,98.0242747533426,3.92427539636847,3.04836726495298,0.875908131415486,223.355263567148,2.30310478682177,17.3524935305411,16.9650806099234,16.7868100657195,16.7464871906546,0.0,0.0,0.0,0.0,9.01859494463656,6.33480439842266,0.0271700005978345,22.2166213396131,0.0,0.0,8,94551.6249769792,8580.63012879603,1,97598.62,-9125.12,-99,P,rectangular_magnet,R01,1,I,1.0,D,45.1555821410584,0.875908131415486,circular_magnet,Gre,1,TL,0.0901049863999998,0.0
2,224020717007540,-82.12558923399885,-65.17648669545116,104.8239930614,-0.801650312084771,0.670978543527157,4.81055645156766,222.585861059216,2.54495824671931,19.2256220868429,18.671384628602,18.4815002356914,18.33114338385,0.0,0.0,0.0,0.0,8.89349099374898,2.62977915251534,0.0448400005698204,22.01385570132,0.0,0.0,8,-79333.3418156528,63239.5120656402,1,-82099.58,-65174.6,-99,P,rectangular_magnet,R02,1,I,2.0,O,-44.06882047219733,4.81055645156766,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
3,224010966508243,-37.106410731260006,155.94546,160.288056654917,0.0,-1.33749104106192,1.33749104106192,222.77787282049,1.60352950966783,17.8537732008843,17.3826714103546,17.16925620229,17.0918865370014,0.0,0.0,0.0,0.0,9.36493415827039,3.79314444721954,0.0442360714077949,21.5205429992974,0.0,0.0,8,-35938.6837677314,-149523.382507994,1,-37057.72,155945.46,-99,P,rectangular_magnet,R03,1,I,3.0,R,-90.0,1.33749104106192,circular_magnet,Yel,1,TL,0.04869073126,0.0
4,225021188211415,59.70380417753798,-141.89953802358588,153.92074999045,1.04504553935975,1.96929463246865,5.35893621407069,223.192713472372,2.86779760857794,18.844402832495,18.2376875620528,17.9845039481248,17.8194990972972,0.0,0.0,0.0,0.0,8.75118295601622,2.84568930383599,0.0272899996489286,21.7514996512093,0.0,0.0,8,57815.3035576012,136201.207845691,1,59726.6,-141860.25,-99,P,rectangular_magnet,R04,1,I,4.0,M,-149.87669880428643,5.35893621407069,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
5,224020433210068,-26.970896581533992,-114.77084285895248,117.827649737301,1.89276860722951,1.33962166581958,0.553146941409933,222.822629099795,2.75560253387996,18.3381600125986,18.0116066129627,17.845077365414,17.7910605133473,0.0,0.0,0.0,0.0,8.73701838609539,2.42771712698782,0.0340499989688396,21.1804717055916,0.0,0.0,8,-25823.7646448002,110845.120963947,1,-26996.8,-114693.19,-99,P,rectangular_magnet,R05,1,I,5.0,L,161.55234721089408,0.553146941409933,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
6,225020949409974,106.66391421745936,-113.80882027981286,155.985909693076,4.31214209540149,2.32370756657981,1.98843452882168,223.391972006562,2.74777203819231,18.4866081256344,17.769315892454,17.4930149746299,17.2645232024946,0.0,0.0,0.0,0.0,9.09091595304554,1.60914311495221,0.0288900006562471,20.0451639310113,0.0,0.0,8,102847.732284546,109075.428938538,1,106657.86,-113823.13,-99,P,rectangular_magnet,R06,1,I,6.0,P,22.932457272795432,1.98843452882168,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
7,224020211012741,16.334054672854087,-168.10345461442466,168.951602822585,-1.53621809675439,1.6676380954981,3.07932911492709,223.008071784387,2.97828848126637,18.0866721536713,17.5738434191565,17.4429421612916,17.3534842827657,0.0,0.0,0.0,0.0,7.51638558698371,4.40660785584321,0.0060512130148708,22.0372401226484,0.0,0.0,8,16086.2820729928,161172.145073276,1,16336.01,-168159.98,-99,P,rectangular_magnet,R07,1,I,7.0,J,-1.9811866443535,3.07932911492709,circular_magnet,Yel,1,TR,0.05655919482,0.0
8,225021123308481,72.2424481010055,-83.89715702355595,110.723303131267,4.02283640051206,2.2812290916099,1.74160730890216,223.246926921289,2.62332506931473,17.398390337247,16.5929337014802,16.2392704011067,16.0194742907077,0.0,0.0,0.0,0.0,10.6002130162691,2.77034762190813,0.0834038779139518,20.0484797209642,0.0,0.0,8,70067.5430128457,80950.413972205,1,72209.52,-83937.09,-99,P,rectangular_magnet,R08,1,I,8.0,F,39.50845257905928,1.74160730890216,circular_magnet,Gre,1,TL,0.05175811476,0.0
9,224010258106531,103.29685240586,191.50478,217.61470312915,0.0,4.21749201863241,2.06569328854717,223.368406249434,1.46084482032611,19.0188841031987,18.6794607818662,18.5024482972739,18.4253690941724,0.0,0.0,0.0,0.0,8.70373724624293,2.86104034880186,0.0437400005757808,22.2049553767775,0.0,0.0,8,97521.8711736156,-181770.122299223,1,103354.14,191504.78,-99,P,rectangular_magnet,R09,1,I,9.0,K,-90.0,2.06569328854717,circular_magnet,Mag,1,TL,0.0572875941399999,0.0
10,224010104207590,133.86199273578774,170.31589485645793,216.629484264138,2.31271057260919,4.04638248845334,4.54951339133543,223.496710585753,1.54906680395222,18.0995739565533,17.639804060352,17.3895804414754,17.282154159769,0.0,0.0,0.0,0.0,9.28855240184764,4.6677559906779,0.0439141392707824,22.2282194670946,0.0,0.0,8,126518.651181707,-161831.953999722,1,133844.71,170334.75,-99,P,rectangular_magnet,R10,1,I,10.0,I,137.4914449542095,4.54951339133543,circular_magnet,Mag,1,TR,0.0255775173599999,0.0
