PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 07 08 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 51 51.02,-01 18 23.4 #Field centre
UTTIME,09 20 58.00 #Target observing time
UTDATE,2023 07 16 #Target observing date
PLATEID,G15_T122
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,223990853103194,-21.348170286857556,-114.39764036506244,116.409091721079,3.89273474396177,1.3860731780539,2.50666156590787,222.872447524785,-0.817203067716431,18.4584155137352,17.8632179255064,17.6709303699286,17.5572504136252,0.0,0.0,0.0,0.0,8.79836952888561,3.21308805304817,0.0264400001615285,21.6407057439146,0.0,0.0,8,-20372.2122268778,110583.514053154,1,-21381.37,-114428.64,-99,P,rectangular_magnet,R01,1,I,1.0,M,46.96272840705146,2.50666156590787,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
2,223990460106188,55.631516262573754,-174.8831988982336,183.484266693452,0.767883005816433,1.87915647339532,5.1719118396007,223.199967197743,-0.567704844502731,19.3671079087638,19.0141078937537,18.7693382825047,18.7741889387663,0.0,0.0,0.0,0.0,8.64997694611713,3.01352309983188,0.0435199998319149,22.6523551997569,0.0,0.0,8,53647.2338616313,166970.112499451,1,55686.84,-174829.78,-99,P,rectangular_magnet,R02,1,I,2.0,G,-133.99645539310126,5.1719118396007,circular_magnet,Yel,1,RO,0.0769044511799999,0.0
3,222980319811407,-151.99189969880123,-40.57727918229813,157.319103716853,1.86915308873829,0.260219355485503,1.60893373325279,222.316927201043,-1.1327793689349,18.7091794072263,18.342249053709,18.1377978504861,18.1981737976739,0.0,0.0,0.0,0.0,8.86984948372909,3.15825560098037,0.0428000018000602,22.082360110486,0.0,0.0,8,-145919.80539257,39263.2699777805,1,-152022.73,-40477.03,-99,P,rectangular_magnet,R03,1,I,3.0,N,162.90541675145414,1.60893373325279,circular_magnet,Yel,1,TL,0.10488282044,0.0
4,223991184407103,-87.5940995029323,-193.57716663788975,212.531633896226,4.51747833854917,1.14592791483281,3.37155042371636,222.596366833075,-0.491446138951685,18.6814285574962,18.2589717983238,18.1134290910299,17.9742561939975,0.0,0.0,0.0,0.0,8.87144200432856,3.80659190416603,0.0425099991261959,22.4045280781199,0.0,0.0,8,-82766.4485533393,184204.579953987,1,-87605.73,-193636.08,-99,P,rectangular_magnet,R04,1,I,4.0,B,11.167557159361309,3.37155042371636,circular_magnet,Mag,1,TR,0.0600504179599999,0.0
5,223991050706842,-60.84534183994641,-187.86524985863724,197.495225823767,3.5148777510477,1.25744141679869,2.257436334249,222.707782485667,-0.513201658783525,19.0205397248082,18.3276477895874,18.0307781085397,17.8027715609532,0.0,0.0,0.0,0.0,9.19738383566189,2.1082898227689,0.0423000007867813,21.1901740329091,0.0,0.0,8,-57586.5110675471,179287.832471991,1,-60878.28,-187878.15,-99,P,rectangular_magnet,R05,1,I,5.0,Q,68.61233936053233,2.257436334249,circular_magnet,Mag,1,TL,0.0353742283999999,0.0
6,222980393306786,-166.72795690414634,50.26872124626709,174.165142676511,1.57462113859108,-0.293283183636174,1.86790432222726,222.255713017537,-1.51785988948888,19.0454334719334,18.612448653124,18.4457124989461,18.3766430244748,0.0,0.0,0.0,0.0,8.76246829083547,1.67138892365116,0.0425899997353553,20.9707109336444,0.0,0.0,8,-159754.210864925,-47764.927667419,1,-166728.27,50350.58,-99,P,rectangular_magnet,R06,1,I,6.0,L,179.78085442664684,1.86790432222726,circular_magnet,Yel,1,TL,0.0818593524999998,0.0
7,223981071302952,-63.52505322475435,124.8674853507866,140.113428752692,3.30040562867293,-1.09982979852211,4.40023542719504,222.690474233246,-1.83734430821587,19.7129143469725,19.2722238854495,18.9603126029946,18.8478097012242,0.0,0.0,0.0,0.0,8.2640928713971,2.84354999492154,0.0266299992799758,22.7844029090033,0.0,0.0,8,-61498.1761146938,-119968.406299719,1,-63576.16,124859.3,-99,P,rectangular_magnet,R07,1,I,7.0,F,80.90068679581995,4.40023542719504,circular_magnet,Gre,1,TR,0.05175811476,0.0
8,222990095001911,-107.78060499228432,-89.4668490514492,140.123319005828,3.72989618642758,0.692780733183048,3.03711545324453,222.504247088774,-0.924081471922846,18.539278447616,17.7868780074455,17.4790254724806,17.2238579269771,0.0,0.0,0.0,0.0,9.30460785581265,2.01002420289771,0.0348999984562397,20.545759123352,0.0,0.0,8,-103585.510765362,86428.9947025047,1,-107821.11,-89493.87,-99,P,rectangular_magnet,R08,1,I,8.0,R,56.29269049575876,3.03711545324453,circular_magnet,Gre,1,TR,0.04869073126,0.0
9,222980508305610,-190.42071389851412,73.98942220099144,204.315298304218,1.62300941685282,-0.370638043981442,1.99364746083427,222.159854492941,-1.61586855635032,18.6576657917049,18.2479002483456,18.0968610735348,17.9725964593437,0.0,0.0,0.0,0.0,8.87240197241,1.81610132722015,0.0424799993634223,20.7864753091145,0.0,0.0,8,-181418.23742362,-69914.8863781044,1,-190441.56,74005.09,-99,P,rectangular_magnet,R09,1,I,9.0,O,177.00841030434452,1.99364746083427,circular_magnet,Mag,1,TL,0.0167343919199998,0.02
10,223991037903465,-57.51524967233465,-119.85013459662432,132.989500856438,3.88507463737568,1.12320352451636,2.76187111285932,222.718437243964,-0.794612809667507,19.4760497969933,18.9758005188924,18.8462742653853,18.6465051156905,0.0,0.0,0.0,0.0,8.64795565355146,2.54772152598943,0.0438399985432624,22.2494349831212,0.0,0.0,8,-55178.5356924265,115688.912372211,1,-57557.42,-119888.91,-99,P,rectangular_magnet,R10,1,I,10.0,K,47.40162018505478,2.76187111285932,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
