PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 11 09 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,01 19 47.67,-30 13 31.1 #Field centre
UTTIME,12 03 23.00 #Target observing time
UTDATE,2023 11 11 #Target observing date
PLATEID,H01_T120
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W21700858600572,121.26898933237304,120.75088911683852,171.18290202174,0.422162171451928,3.92474284186269,2.78060463676882,20.5462900837882,-30.7356021499145,17.250202556914,16.8283857055669,16.6250433613527,16.5360489400438,0.0,0.0,0.0,0.0,9.39590928655871,3.65782300843278,0.0373000018298625,20.8873738242226,0.0,0.0,8,135074.978936938,-115325.075464844,1,121316.39,120772.18,-99,P,rectangular_magnet,R01,1,I,1.0,T,-114.18811069427372,2.78060463676882,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
2,W20690623311296,-14.949039566224585,145.02189984977923,145.791474702877,0.175320372375651,-1.46818416018586,1.64350453256151,19.8744913208588,-30.8420250089856,17.662182262524,17.2368120581067,17.0423368611376,16.8416350289249,0.0,0.0,0.0,0.0,9.18311409213201,5.13197907399652,0.0355000011622905,22.0311111240439,0.0,0.0,8,-16751.5414851059,-139376.641614914,1,-14933.74,145024.61,-99,P,rectangular_magnet,R02,1,I,2.0,P,-100.04511739978682,1.64350453256151,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
3,W20690540209790,1.3929479214764622,175.34193377660776,175.37166115664,0.306414676238381,4.7043894840412,1.88521049937677,19.9553507777081,-30.9674500203779,18.0560790414558,17.4665095276917,17.2090560576475,17.0522991168623,0.0,0.0,0.0,0.0,9.17751572289584,3.51380693031862,0.031599998474121,21.4382736847499,0.0,0.0,8,1522.69576283586,-167722.694189573,1,1402.87,175366.05,-99,P,rectangular_magnet,R03,1,I,3.0,O,-107.55626772932678,1.88521049937677,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
4,W20690314808565,46.146778961885325,200.662923440791,205.911381275159,2.61147118152032,4.48651145219087,4.40814503650904,20.1748055626327,-31.0690833178928,17.8650242127455,17.2766648736161,17.0038155553305,16.8014767996111,0.0,0.0,0.0,0.0,9.24218900582814,3.21670411549818,0.0306000001728534,21.0565951288755,0.0,0.0,8,51119.4771557948,-190691.819427941,1,46116.26,200680.81,-99,P,rectangular_magnet,R04,1,I,4.0,Q,120.37372297884318,4.40814503650904,circular_magnet,Mag,1,TR,0.0353742283999999,0.0
5,W20700424901494,-16.56043468787756,101.2774146569642,102.604002668743,-0.0653372079693497,-1.40949241020446,1.34415520223511,19.8665399964367,-30.6585932398977,17.5446520173938,17.0943605020204,16.9073791526945,16.7558185391581,0.0,0.0,0.0,0.0,8.91876188780315,2.54421623437313,0.0241153948009014,20.3650052811459,0.0,0.0,8,-18548.540804501,-97921.0618010483,1,-16478.75,101272.07,-99,P,rectangular_magnet,R05,1,I,5.0,L,-86.25645373818776,1.34415520223511,circular_magnet,Gre,1,TL,0.0818593524999998,0.0
6,W21710717301250,109.56603384912876,-128.53290905545722,168.907270814535,4.36058313064093,2.27657078228447,2.08401234835646,20.4834549849207,-29.6791961322233,18.2958921034063,17.9299914849521,17.7514849403912,17.5804723888551,0.0,0.0,0.0,0.0,8.94411172245529,5.24968207843662,0.0398233644664287,22.7735311829921,0.0,0.0,8,120874.246592883,123422.684533366,1,109557.22,-128556.92,-99,P,rectangular_magnet,R06,1,I,6.0,I,20.156990398331004,2.08401234835646,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
7,W20690305410772,47.53776146326376,155.57196739536275,162.668414438468,2.94431988674131,4.41610996212376,4.81139523179714,20.183206538489,-30.8851469473309,18.4615767207036,18.094743676679,17.8762958587881,17.8293863424214,0.0,0.0,0.0,0.0,8.97826795556656,1.92551043605722,0.0425000004470348,20.7603477423844,0.0,0.0,8,53018.0976993188,-149122.199680951,1,47493.22,155580.87,-99,P,rectangular_magnet,R07,1,I,7.0,M,101.3028969532864,4.81139523179714,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
8,W20700383906580,-8.76960395607286,2.1830968866201954,8.96750775424811,-0.254762958376515,-0.243896009703759,6.27231835850683,19.9049373383477,-30.2346886356231,18.6456042339739,18.3128394883019,18.0988210782582,18.0186667979247,0.0,0.0,0.0,0.0,8.70898287073865,6.31051723369348,0.0355000011622905,23.5560389555866,0.0,0.0,8,-9870.74153261482,-2118.62123498858,1,-8702.11,2165.52,-99,P,rectangular_magnet,R08,1,I,8.0,C,-75.40315770875861,6.27231835850683,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
9,W21710959604984,62.80188896325565,-203.95469840348528,213.426008890119,-0.398334815956286,1.86962279895737,4.01522769226593,20.2518158494683,-29.3678114520113,17.2861091099713,16.8824875627507,16.6801895692158,16.5764927942775,0.0,0.0,0.0,0.0,9.35110317371688,4.66795714118875,0.0368999987840652,21.4709965440876,0.0,0.0,8,68523.8019806409,193795.622261279,1,62832.38,-203967.53,-99,P,rectangular_magnet,R09,1,I,9.0,S,-67.17709621258439,4.01522769226593,circular_magnet,Mag,1,RI,0.0330810095199999,0.0
10,W20700156707236,35.28284702576607,-10.610573983666098,36.7765443652948,3.7233914937095,2.84728023333844,0.876111260371064,20.1237787887905,-30.179334571257,18.8971321347732,18.274623576237,18.0020511029021,17.8035240415146,0.0,0.0,0.0,0.0,9.00053639703056,3.21416014940623,0.0357999987900257,22.0528358190365,0.0,0.0,8,39587.4262674577,10391.3973117499,1,35195.22,-10668.21,-99,P,rectangular_magnet,R10,1,I,10.0,N,56.66538193553424,0.876111260371064,circular_magnet,Blu,1,TL,0.10488282044,0.0
