PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 11 09 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,00 52 01.88,-32 24 07.4 #Field centre
UTTIME,11 35 22.00 #Target observing time
UTDATE,2023 11 11 #Target observing date
PLATEID,H01_T130
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W13680788702883,-38.37191580272657,9.62615371655105,39.5162053735983,-0.652239877126698,-0.245305061996556,5.87625049204944,12.8124641782151,-32.443090624705,16.9697950547506,16.2781072292784,15.9820280312635,15.7561696489282,0.0,0.0,0.0,0.0,9.17908926245504,2.15103196039068,0.0159000009298324,19.184216227289,0.0,0.0,8,-44157.3965356969,-9274.80307495587,1,-38333.22,9596.6,-99,P,rectangular_magnet,R01,1,I,1.0,R,-52.62940781050884,5.87625049204944,circular_magnet,Blu,1,TL,0.04869073126,0.0
2,W13671059905687,-52.81404435281102,191.6113404801029,198.76491194699,0.502908252981368,-1.30201660466719,1.80492485764856,12.7415920981072,-33.2089445071182,18.638524135967,18.2066148461466,17.9616390853165,17.7888584945018,0.0,0.0,0.0,0.0,9.02054641462087,3.60347537218916,0.0430999994277954,22.2330973190671,0.0,0.0,8,-60174.4866400824,-182357.780500338,1,-52783.05,191628.39,-99,P,rectangular_magnet,R02,1,I,2.0,Q,-118.81452037812988,1.80492485764856,circular_magnet,Mag,1,TL,0.0353742283999999,0.0
3,W13670902508098,-21.453535317389267,142.55401879195296,144.159915059107,0.167990942133257,-1.42165264510315,1.58964358723641,12.8988199797,-33.0083803920263,17.7221481158695,17.3337713843647,17.1140965997234,17.0159893326151,0.0,0.0,0.0,0.0,9.2046012043337,3.57624715200515,0.0380245149135589,21.3437836908847,0.0,0.0,8,-24640.9854001093,-137030.290489569,1,-21420.92,142559.55,-99,P,rectangular_magnet,R03,1,I,3.0,S,-99.62517198066206,1.58964358723641,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
4,W12680266109594,-157.4804819516313,-122.45184160152164,199.510533119522,2.55994206002749,0.660547791290823,1.89939426873667,12.2258710337487,-31.8831661660652,15.5812554845117,14.8086237180798,14.4904737668147,14.2406474964321,0.0,0.0,0.0,0.0,10.7754587452962,5.09554779318273,0.0471000000834465,19.5874527966483,0.0,0.0,8,-176727.447185103,117268.124577639,1,-157544.74,-122409.59,-99,P,rectangular_magnet,R04,1,I,4.0,G,123.32612416239915,1.89939426873667,circular_magnet,Mag,1,TL,0.0769044511799999,0.0
5,W13680005011168,115.3758751913439,-154.065173917871,192.482539489532,0.55750725379533,2.21387114236334,4.62682141861158,13.5811146743552,-31.750900942205,17.5960069594665,17.0656273992948,16.8234165653567,16.7134503830155,0.0,0.0,0.0,0.0,7.81893806945865,4.02814705556103,0.0057999999262392,21.3340286658264,0.0,0.0,8,129557.615591966,147160.065170044,1,115423.87,-154035.25,-99,P,rectangular_magnet,R05,1,I,5.0,J,-121.94281269040124,4.62682141861158,circular_magnet,Yel,1,TR,0.05655919482,0.0
6,W13680295102281,57.4128823349703,21.106461195908267,61.203201712631,1.22059637279369,3.49453072030826,4.00925095966501,13.3000748547544,-32.492652598124,17.4256806795552,16.9656672441869,16.7879246675974,16.6976324521419,0.0,0.0,0.0,0.0,9.23265091449215,4.60635552211962,0.0329000018537044,21.525329196469,0.0,0.0,8,66042.6163621848,-20475.8090676505,1,57430.71,21155.27,-99,P,rectangular_magnet,R06,1,I,6.0,T,-159.9350206500553,4.00925095966501,circular_magnet,Blu,1,RO,0.0519627269999999,0.0
7,W12670230810521,-127.2007154260806,95.53589121936508,159.034525939909,-0.241555346548775,-0.644309310743351,0.402753964194576,12.3652303570748,-32.8057674253632,17.8808904771573,17.383474043786,17.1162005460511,17.0857893160733,0.0,0.0,0.0,0.0,9.44434107041595,3.24950537546597,0.0443267226219177,21.1854350241791,0.0,0.0,8,-145232.240113405,-91239.760023709,1,-127150.46,95523.51,-99,P,rectangular_magnet,R07,1,I,7.0,F,-76.15989812393519,0.402753964194576,circular_magnet,Yel,1,TR,0.05175811476,0.0
8,W13670629508417,32.14729092299878,136.22979317884386,139.961985437883,3.0005223886955,4.48139629910035,4.80231139677473,13.1700865131618,-32.9819389256643,18.4223478986586,18.0182584937189,17.8172057467489,17.6518533604759,0.0,0.0,0.0,0.0,8.90948271167922,2.76304299702037,0.0375000014901161,21.4680713916101,0.0,0.0,8,36665.2511622575,-131054.519091758,1,32043.45,136244.54,-99,P,rectangular_magnet,R08,1,I,8.0,N,98.08273079323556,4.80231139677473,circular_magnet,Gre,1,TR,0.10488282044,0.0
9,W14680981903748,162.0044198333103,-6.820734463028533,162.147387409639,4.6486244534347,3.09935764801089,1.54926680542381,13.8219146314692,-32.3707344811009,16.5256350864597,16.1762359380643,16.0079450497934,15.8987936735664,0.0,0.0,0.0,0.0,9.42816286734642,5.20122985501182,0.031700000166893,20.9996408534474,0.0,0.0,8,183978.40589973,7077.68537957159,1,162002.79,-6846.26,-99,P,rectangular_magnet,R09,1,I,9.0,I,3.653438276882582,1.54926680542381,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
10,W13680183708518,79.31328422995371,-100.6352273876637,128.105705561091,1.00670760942398,2.23885782729036,5.0510350893132,13.4072298407881,-31.9725333317651,17.8141746829083,17.3289689983405,17.1222629627125,16.994728451331,0.0,0.0,0.0,0.0,8.55054980339423,4.04773826607091,0.0165999997407197,21.60790579252,0.0,0.0,8,90259.643205801,97071.1451294618,1,79357.05,-100566.05,-99,P,rectangular_magnet,R10,1,I,10.0,L,-147.68009722369857,5.0510350893132,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
11,W14681104407829,138.78344744016314,-87.12047043579719,163.869185506908,4.21732472528912,2.58037624589595,1.63694847939317,13.7025384184292,-32.0303385009683,17.4640827715101,16.9832734027161,16.7415115472512,16.5909560451642,0.0,0.0,0.0,0.0,9.28829584038914,2.24725233973407,0.0320331826806068,19.9844072907861,0.0,0.0,8,156999.38175269,84007.1768895388,1,138733.02,-87213.87,-99,P,rectangular_magnet,R11,1,I,11.0,E,28.365092404764113,1.63694847939317,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
12,W13681072009003,-94.35119828225262,-110.06821968805453,144.964887988633,2.25392613787668,0.861825014278495,1.39210112359819,12.5347764495567,-31.9326029551458,18.5215687674328,18.1056343372028,17.9275941252836,17.8052000805971,0.0,0.0,0.0,0.0,8.8726235499353,1.6179668368059,0.0381742864847183,20.3933570974708,0.0,0.0,8,-106914.823212495,106095.410245423,1,-94379.87,-110032.99,-99,P,rectangular_magnet,R12,1,I,12.0,M,140.85954496544454,1.39210112359819,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
13,W14681216507486,116.2774746185297,-80.41042755570699,141.377830364036,4.4323438537576,2.53646355249369,1.89588030126391,13.5921944847773,-32.0585293635995,17.8020060535886,17.3869978085868,17.2042776257416,17.0124711413448,0.0,0.0,0.0,0.0,8.98152548418664,3.0947714446123,0.0307999998331069,21.0830153952145,0.0,0.0,8,132061.65274736,77636.0419348878,1,116273.18,-80425.36,-99,P,rectangular_magnet,R13,1,I,13.0,P,16.04540382893896,1.89588030126391,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
14,W13670665110099,24.959899461327296,102.76167375654474,105.806197044085,1.47708681832986,4.47419012654777,3.28608199896168,13.1346651959764,-32.8417886365142,18.6928735241448,18.4590741308072,18.3366827660762,18.2005347376652,0.0,0.0,0.0,0.0,8.30941511276511,2.18360107228665,0.0291000008583068,21.3978153070431,0.0,0.0,4,28660.0334783568,-99380.5537438355,1,24965.26,102818.71,-99,P,rectangular_magnet,R14,1,I,14.0,K,-174.63084066470793,3.28608199896168,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
15,W14680803702866,198.2055041951914,10.81823764854344,198.514085651221,1.42973410766304,3.19646410144518,4.51645531339745,13.9976511382337,-32.4444961265779,17.3457963540834,17.0073583931578,16.8464651459928,16.7161383308126,0.0,0.0,0.0,0.0,8.76677388039916,5.74624469501006,0.0219999998807907,22.0471536539611,0.0,0.0,4,223694.856428507,-9592.44649823182,1,198215.31,10887.29,-99,P,rectangular_magnet,R15,1,I,15.0,C,-171.91773019499504,4.51645531339745,circular_magnet,Mag,1,TR,0.0697451148799999,0.0
16,W13670352311517,86.0139212110243,75.31610625276932,114.308958285399,3.73417068936703,3.86062254278846,6.15673345375815,13.4444503639249,-32.7231595314982,17.8034264429311,17.5415673673476,17.4031606924869,17.4124112033668,0.0,0.0,0.0,0.0,8.9237947852582,4.38457845032027,0.0372000001370906,21.9940812741949,0.0,0.0,4,98671.4814347181,-72570.3760102184,1,86011.21,75290.17,-99,P,rectangular_magnet,R16,1,I,16.0,O,56.047779517812046,6.15673345375815,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
17,W13690465401715,4.346631943283308,-179.92830659466546,180.055029452137,4.13368532282597,1.59466546335353,2.53901985947244,13.0296743762207,-31.6402440670486,17.0069902341174,16.6843577854261,16.4801819929963,16.4208845143422,0.0,0.0,0.0,0.0,9.77151976396271,5.21453754228749,0.0588999986648559,21.5133114597964,0.0,0.0,4,4932.10821356891,172168.518955391,1,4297.35,-180003.74,-99,P,rectangular_magnet,R17,1,I,17.0,D,33.157277166898695,2.53901985947244,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
18,W12680054203754,-112.79758351169708,-7.321150295848302,112.993723235863,-0.967362163450319,0.0654248089388716,5.2503983347904,12.437198704637,-32.3689374236679,15.7773136522225,15.1733525819674,14.8897532539624,14.7072556029201,0.0,0.0,0.0,0.0,10.1630281418895,8.3748190903299,0.0326999984681606,21.0311044354293,0.0,0.0,4,-128967.393564347,7483.82035942848,1,-112751.98,-7387.32,-99,P,rectangular_magnet,R18,1,I,18.0,A,-34.57423077365223,5.2503983347904,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
19,W13680263601418,63.69517872993576,37.97297248188695,74.0953436640994,3.68214415295389,3.6791867127321,0.0029574402217851,13.3315357340972,-32.5644609068414,16.5326183368332,16.0000478288591,15.7566613922902,15.6251006146075,0.0,0.0,0.0,0.0,10.0979206750001,6.01780565469723,0.050000000745058,21.1401133009485,0.0,0.0,4,73152.7750936576,-36704.4868377815,1,63643.69,37942.07,-99,P,rectangular_magnet,R19,1,I,19.0,B,59.028680476968646,0.0029574402217851,circular_magnet,Blu,1,TL,0.0600504179599999,0.0
20,9622798,-2.237551264022447,21.30148137417275,21.4262929767914,1.59419102792143,-1.46616702531873,3.06035805324016,12.996337,-32.493828,17.2159,16.9511,16.8024,16.7676,0.0,16.984879,17.319656,16.488848,0.0,0.0,0.0,0.0,2.6025165764199,-12.1386351726173,5,-2602.13881230936,-20741.4498916259,0,-2237.73,21309.12,-99,P,rectangular_magnet,R20,1,I,20.0,H,178.65958236247968,3.06035805324016,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,9622936,-45.678879729266065,-7.218236303612448,46.247134155009,1.76457742575605,0.155887136247477,1.60869028950857,12.775283,-32.370867,16.891,16.5906,16.4138,16.3415,0.0,16.599016,16.96316,16.067402,0.0,0.0,0.0,0.0,8.2494463435746,-0.762497746398196,5,-52560.3428123095,7047.7361083749,0,-45686.35,-7180.17,-99,P,rectangular_magnet,R21,1,I,21.0,U,168.89716088011895,1.60869028950857,circular_magnet,Blu,1,RO,0.0387923757399998,0.0
22,9611135,-10.869721828861252,158.1846076403251,158.57348537675,3.16309882872493,-1.50230391826224,4.66540274698717,12.952147,-33.073672,,14.2971,,,,,,,,,,,38.933425960708,2.74233138523975,-99,-12589.0788123095,-151786.193891626,2,-10852.59,158201.68,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,88.76778693128745,4.66540274698717,circular_magnet,Yel,1,TR,-0.017495,-0.0167
