PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 09 04 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,01 19 35.81,-31 25 41.5 #Field centre
UTTIME,15 58 02.00 #Target observing time
UTDATE,2023 09 12 #Target observing date
PLATEID,H01_T167
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,21700858600572,132.20212785978694,-164.37935040375996,210.957061619364,0.436169422168351,2.24834762524579,4.47100710410215,20.5462900837882,-30.7356021499145,17.250202556914,16.8283857055669,16.6250433613527,16.5360489400438,0.0,0.0,0.0,0.0,9.39590928655871,3.65782300843278,0.0373000018298625,20.8873738242226,0.0,0.0,8,146243.092251537,156525.706776626,1,132246.26,-164358.78,-99,P,rectangular_magnet,R01,1,I,1.0,R,-114.99066704290637,4.47100710410215,circular_magnet,Mag,1,TR,0.04869073126,0.0
2,19690224809793,-170.41701952221092,-108.82991729217451,202.221607709654,-1.34414899699952,0.568589596440185,4.37044671373988,19.0618632732468,-30.9664716183985,19.1126762862732,18.6073505508762,18.3727822139082,18.2749871740258,0.0,0.0,0.0,0.0,8.74975624507761,1.82578993794447,0.0360944159328937,21.1574792792179,0.0,0.0,8,-189237.366930819,104349.206899242,1,-170404.31,-108885.03,-99,P,rectangular_magnet,R02,1,I,2.0,M,-12.985935435184729,4.37044671373988,circular_magnet,Mag,1,TR,0.05655919482,0.0
3,20700424901494,-6.705444931398269,-181.8576523167613,182.017224927686,-0.951529329974274,1.53409331797126,3.79756265923405,19.8665399964367,-30.6585932398977,17.5446520173938,17.0943605020204,16.9073791526945,16.7558185391581,0.0,0.0,0.0,0.0,8.91876188780315,2.54421623437313,0.0241153948009014,20.3650052811459,0.0,0.0,8,-7380.42748990199,173929.720440422,1,-6679.08,-181894.64,-99,P,rectangular_magnet,R03,1,I,3.0,J,-35.48138530956305,3.79756265923405,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
4,20690226309768,72.55601701068305,-107.69355931048098,129.827701961545,1.08648612537522,2.16405925732474,5.20561217523006,20.2604157012438,-30.9685600263879,18.4927801630868,18.0804890295211,17.8674451061483,17.7814715371885,0.0,0.0,0.0,0.0,8.7630446147407,3.30065144885278,0.0318000018596649,21.9163620359794,0.0,0.0,8,81635.4817965029,103877.226693637,1,72582.69,-107642.86,-99,P,rectangular_magnet,R04,1,I,4.0,K,-152.25106948352172,5.20561217523006,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
5,20690399603947,38.599933006476505,6.09701078939069,39.0089497472695,3.73903108476046,3.29741116495394,0.441619919806521,20.0934983987996,-31.4541220358095,18.5090457080443,18.1243066238988,17.9217179404374,17.8602956029781,0.0,0.0,0.0,0.0,8.81745235699508,5.51129316398734,0.0358780436217784,23.073448871663,0.0,0.0,8,43912.1714441134,-5859.78743564444,1,38536.35,6053.75,-99,P,rectangular_magnet,R05,1,I,5.0,O,55.76929937500364,0.441619919806521,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
6,21690817507710,200.8734515371692,-67.55051570811985,211.947483158959,0.642129737034685,2.81732625434378,4.10798878987049,20.885646682636,-31.1408245108278,17.3961285131034,17.0193032448748,16.8414212802284,16.7572126323586,0.0,0.0,0.0,0.0,9.24120996292198,4.06383175223763,0.0364999994635582,21.3068565231527,0.0,0.0,8,222937.68359114,64945.4532102196,1,200901.78,-67529.33,-99,P,rectangular_magnet,R06,1,I,6.0,Q,-126.79132383193286,4.10798878987049,circular_magnet,Mag,1,TR,0.0353742283999999,0.0
7,20690379606745,42.49266863101712,-48.195559164752936,64.2601853438426,3.95232211008204,2.29212368245518,1.66019842762686,20.1122636133969,-31.2209144733276,18.7869470059812,18.2494076982621,17.999241742865,17.8677622734668,0.0,0.0,0.0,0.0,8.78932207701345,1.85374206202923,0.0305000003427267,20.8325289016651,0.0,0.0,8,48153.1099431036,46845.1216852652,1,42436.27,-48254.89,-99,P,rectangular_magnet,R07,1,I,7.0,L,43.54862381605915,1.66019842762686,circular_magnet,Blu,1,RI,0.0818593524999998,0.0
8,20700736800106,-67.81407095500785,-154.0071545442831,168.256162950244,2.32631377433804,1.15572807154498,1.17058570279306,19.5643576560378,-30.774517536808,15.2517680826976,14.8738224560875,14.7007534914613,14.5958534813809,0.0,0.0,0.0,0.0,10.0755388735115,12.7794225132651,0.03568135201931,21.649253282925,0.0,0.0,8,-75673.6364200535,147730.829338695,1,-67849.7,-153969.33,-99,P,rectangular_magnet,R08,1,I,8.0,E,136.7120389072813,1.17058570279306,circular_magnet,Yel,1,TL,0.0519627269999999,0.0
9,20680971905741,-33.43670715074503,183.9219674730044,186.942516532695,0.412008322832716,-1.39109518952827,1.80310351236098,19.7322691866653,-32.2046761331671,16.7542242108337,16.0736458704241,15.7919645942464,15.5860635741089,0.0,0.0,0.0,0.0,9.35324468399375,5.80870019252045,0.0182000007480382,21.1369153600922,0.0,0.0,8,-37725.6304982386,-175485.013438461,1,-33413.27,183932.21,-99,P,rectangular_magnet,R09,1,I,9.0,T,-113.60633802257814,1.80310351236098,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
10,21690846804429,193.7384889166549,-2.519741972826728,193.768961100153,0.422559611085205,3.12862132697266,3.57712359129214,20.8567054454473,-31.4142109610658,17.5775030612953,17.1629822773074,16.9526550901258,16.8714936779686,0.0,0.0,0.0,0.0,9.22968641536068,4.63153972524157,0.0357999987900257,21.7344839260247,0.0,0.0,8,216396.963986494,3160.11545643239,1,193752.66,-2513.37,-99,P,rectangular_magnet,R10,1,I,10.0,P,-114.21088230787171,3.57712359129214,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
