PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 28 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,02 40 14.78,-33 02 34.8 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,14 11 58.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 10 29 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,H03_T083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W41681143802428,139.99418911413200,-132.8226448056650,192.98685549702,0.643768409449407,2.38276814019239,4.54418557643661,40.7616527269505,-32.4802764280106,18.37673361213,17.9617212288345,17.8353912473195,17.7078781428473,0.0,0.0,0.0,0.0,8.38912767635405,4.54986046694573,0.0217000003904104,22.4945863011469,,,8,158211.916290814,127175.527269605,1,140040.01,-132788.26,-99,P,rectangular_magnet,R01,1,I,1.0,K,-126.88521284530100,4.54418557643661,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
2,W40680244902565,77.02671307745820,-134.95205018777000,155.344849841659,0.934222762826041,2.09006426818837,5.12734380181725,40.4495515951402,-32.468821071229,17.9447536903776,17.5680830811885,17.3873199200359,17.3112234582796,0.0,0.0,0.0,0.0,9.16745794047555,2.53111448972887,0.0431665927171707,20.8275167129998,,,8,87677.0605016855,129764.437902246,1,77089.06,-134867.71,-99,P,rectangular_magnet,R02,1,I,2.0,N,-143.52702143498300,5.12734380181725,circular_magnet,Yel,1,TR,0.10488282044,0.0
3,W41670393210190,126.79247879993200,-48.568593614996700,135.770150973558,4.207562945717,2.77544681517128,1.43211613054572,40.7043205054121,-32.8338420405508,16.3048274896984,16.0850829399058,16.0155313427855,15.9993588418901,0.0,0.0,0.0,0.0,9.0443934983619,3.59374731386233,0.0245384518057107,20.1056953087485,,,4,145254.834223135,47269.6988355193,1,126770.51,-48608.35,-99,P,rectangular_magnet,R03,1,I,3.0,M,28.92440117478360,1.43211613054572,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
4,W41670634010760,79.36941209705570,-59.60360900131500,99.2551358313564,4.02238745460163,2.49690532882264,1.52548212577899,40.4654708330477,-32.7866944266118,18.1766306825016,17.8944687104195,17.7733090587103,17.6638255608695,0.0,0.0,0.0,0.0,8.24172317770016,1.72476369258012,0.0198966730386018,20.3209913992345,,,4,91274.8082687813,57925.0595857325,1,79333.41,-59647.23,-99,P,rectangular_magnet,R04,1,I,4.0,J,39.53417528495660,1.52548212577899,circular_magnet,Gre,1,TL,0.05655919482,0.0
5,W41670661008740,73.86667461554330,-20.259452320687400,76.5800270272615,4.26197773416192,2.87287282632824,1.38910490783368,40.4387816087971,-32.9550359850116,17.5376960644626,17.2540303467147,17.1209646149804,16.9951842744239,0.0,0.0,0.0,0.0,8.58392160565684,11.1503053198347,0.0216287896037101,23.7333388258659,,,8,85243.043588145,19879.8673873787,1,73831.69,-20331.8,-99,P,rectangular_magnet,R05,1,I,5.0,F,25.80666345379250,1.38910490783368,circular_magnet,Blu,1,TL,0.0803623669799998,0.0
6,W41670460306818,113.14748283541600,17.31049596887740,114.378304251211,3.92434696398008,3.2928586235263,0.63148834045378,40.6385348270131,-33.1149811242381,17.1798232604107,16.4004508037358,16.0477542700293,15.847648390601,0.0,0.0,0.0,0.0,10.3018834962943,2.31259180564231,0.0543414577841758,19.4638203976994,,,4,130387.270904962,-16267.7340778106,1,113072.23,17235.64,-99,P,rectangular_magnet,R06,1,I,6.0,P,45.15148161896330,0.63148834045378,circular_magnet,Gre,1,TR,0.1061433244000000,0.0
7,W40660020713166,42.59024066763030,127.13214980918800,134.061618440673,3.03384715430624,4.38964052531989,4.92739193616594,40.2795183743967,-33.5843651442131,15.0630115112834,14.6682527167269,14.4870763828568,14.4133933558905,0.0,0.0,0.0,0.0,10.1675184594942,6.13007701877471,0.0352210327982902,19.8484570537776,,,4,49249.5526136549,-122348.522592161,1,42520.9,127139.65,-99,P,rectangular_magnet,R07,1,I,7.0,B,96.17336237047740,4.92739193616594,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
8,W39670056301073,-42.56089130706200,128.97888130634800,135.830316476555,3.3421612475023,-1.25140498700182,4.59356623450412,39.843972241601,-33.5922781447619,16.6659366713292,16.0014136453796,15.6700828846372,15.4599416762666,0.0,0.0,0.0,0.0,10.6907805586642,5.71363926521373,0.0811000019311904,21.0288524141803,,,8,-49183.8733981734,-124136.860716189,1,-42649.19,128960.93,-99,P,rectangular_magnet,R08,1,I,8.0,E,78.50826606594010,4.59356623450412,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
9,W39670270800426,-84.88421508939240,142.60277976317100,165.940050624883,3.38994096932409,-1.03374628195778,4.42368725128188,39.6296732929137,-33.6471151694209,15.7673953641453,15.3346806583979,15.1549705371042,15.2368090863686,0.0,0.0,0.0,0.0,9.29148941918714,12.0894380882781,0.0167999994009733,21.9895859177078,,,8,-97615.4358015033,-136530.028289124,1,-84895.52,142579.28,-99,P,rectangular_magnet,R09,1,I,9.0,O,75.77068965924240,4.42368725128188,circular_magnet,Yel,1,TR,0.0167343919199998,0.02
10,W41670999703030,7.592844556234530,90.53474648118440,90.8491283989918,3.2821318301651,4.62888489521926,4.93643224212543,40.1007949687444,-33.4305121224592,17.7270810817201,17.190605379947,16.9655308289772,16.8379380320057,0.0,0.0,0.0,0.0,9.31950246199444,3.4532292084536,0.0357388108968734,21.1246070899239,,,8,8858.0629362353,-87577.739675779,1,7577.46,90532.57,-99,P,rectangular_magnet,R10,1,I,10.0,D,81.94769832599110,4.93643224212543,circular_magnet,Blu,1,TR,0.0155377488999999,0.0
11,W41670853405392,36.05081232262290,44.541694383403500,57.3383436531349,-0.202200629156897,4.03076854068336,2.05021613733933,40.2472201336592,-33.2339480446033,18.3832038459242,18.0410335461422,17.8721722456222,17.8566658854446,0.0,0.0,0.0,0.0,8.38787651020576,5.09621015158132,0.0226000007241964,22.8201448710116,,,8,41950.1502069791,-43154.2580803465,1,36126.15,44526.25,-99,P,rectangular_magnet,R11,1,I,11.0,T,-78.4147573344199,2.05021613733933,circular_magnet,Blu,1,TL,0.0769044511799999,0.0
12,W39670437802558,-117.8247961171410,100.73451147612000,154.971864833301,-0.297902072774056,-0.707486858257594,0.409584785483538,39.4619788084014,-33.4699276416748,16.9130017308562,16.428400670879,16.2189698604366,16.1005730504972,0.0,0.0,0.0,0.0,9.56957683913554,2.21309767996435,0.0357000008225441,19.3962782671067,,,4,-135514.389301284,-96485.6470185051,1,-117778.25,100720.22,-99,P,rectangular_magnet,R12,1,I,12.0,R,-72.93146852184750,0.409584785483538,circular_magnet,Yel,1,TR,0.04869073126,0.0
13,W39670719010207,-174.81657077468700,-49.11074675503110,181.595131494794,2.19220826110548,0.273697100880033,1.91851116022545,39.1812063388322,-32.832792199669,15.3469088112108,14.9298857546218,14.7717458334102,14.6261487303514,0.0,0.0,0.0,0.0,9.62901882467662,4.62177999926201,0.0214615128934383,19.4968067805619,,,4,-198968.967423923,47506.9628748056,1,-174835.83,-49083.85,-99,P,rectangular_magnet,R13,1,I,13.0,S,144.39571882494300,1.91851116022545,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
14,W39670496209105,-129.77368338940000,-27.43763514457570,132.632962218588,-1.1769171479328,0.208741880460237,4.89752627878655,39.4023782032567,-32.9244624811653,13.0846875657317,12.4740221550482,12.1674963886885,11.9221052281998,0.0,0.0,0.0,0.0,10.6104952195302,24.8623780317055,0.0151004455983638,20.694610164799,,,8,-148984.126063985,26789.4792566421,1,-129753.82,-27485.43,-99,P,rectangular_magnet,R14,1,I,14.0,A,-22.56761458687660,4.89752627878655,circular_magnet,Gre,1,TR,0.05175811476,0.0
15,W39670381311604,-107.6290059377720,-76.49756013412460,132.043663825415,2.13669717051643,0.617712416368947,1.51898475414748,39.5157002092928,-32.7159852217905,17.452663258277,17.0029294077359,16.763786323929,16.6632697056134,0.0,0.0,0.0,0.0,8.92986623432808,5.18040149289084,0.0218962281942367,21.8176211887668,,,8,-123373.352699826,73905.3398753475,1,-107642.72,-76475.97,-99,P,rectangular_magnet,R15,1,I,15.0,Q,147.57627003186400,1.51898475414748,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
