PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 05 29 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 35 02.40,-22 13 22.8 #Field centre
UTTIME,16 49 33.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,StarFields_T001
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,82033083217615472,-96.36792198875082,-137.6580344017541,168.026735061949,2.39961886273779,0.959560622799453,1.44005823993833,308.32177287,-21.63740568,0.0,14.4425,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-99039.3313799939,132344.31632,1,-96427.16,-137603.73,-99,P,rectangular_magnet,R01,1,I,1.0,A,132.51196672514223,1.44005823993833,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
2,81513079760059200,-171.65532900466584,-35.669330048515576,175.319347444155,-1.31920975856002,0.205222718445659,4.75875283017391,307.97599672,-22.06762496,0.0,14.8158,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-177184.741279995,35114.7590399998,1,-171640.38,-35727.49,-99,P,rectangular_magnet,R02,1,I,2.0,B,-14.4148485420385,4.75875283017391,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
3,81883087303426608,-6.756725659781998,-107.91796121485837,108.060027223266,1.62795460334034,1.5081910458308,0.119763557509535,308.73033424,-21.76145325,0.0,15.2402,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-6704.46176000007,104309.5655,1,-6760.71,-107848.33,-99,P,rectangular_magnet,R03,1,I,3.0,C,176.72507198970447,0.119763557509535,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
4,82213091101857984,76.56515732816362,-174.86981001664273,190.881259892272,0.588786609128104,1.98395762386976,4.88801429243793,309.11016474,-21.48534652,0.0,14.5599,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,79137.2312400057,166709.68648,1,76640.09,-174819.77,-99,P,rectangular_magnet,R04,1,I,4.0,D,-123.73498773685924,4.88801429243793,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
5,81663092826669712,113.50578623800084,-65.96400672117029,131.274232929639,3.90064260438096,2.61496102040726,1.2856815839737,309.28266855,-21.94222723,0.0,14.8004,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,118123.092299998,63454.6460199997,1,113487.23,-65981.61,-99,P,rectangular_magnet,R05,1,I,5.0,I,46.50964138005333,1.2856815839737,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
6,81183095503438736,172.76145457786913,28.341137242033305,175.047233617458,4.44755018372362,3.30389813300309,1.14365205072053,309.55034362,-22.34302796,0.0,15.418,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,178617.658119997,-27126.3189600004,1,172746.65,28286.55,-99,P,rectangular_magnet,R06,1,I,6.0,J,15.174145300002692,1.14365205072053,circular_magnet,Yel,1,TL,0.05655919482,0.0
7,81413087112356576,-10.525773747997142,-16.216131545867057,19.2803351112163,1.41032259595415,0.993860428495105,0.416462167459048,308.7112395,-22.15314451,0.0,15.7836,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-11019.8730000033,15787.3407399996,1,-10516.62,-16159.58,-99,P,rectangular_magnet,R07,1,I,7.0,K,-170.8055325001069,0.416462167459048,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
8,80723087326028832,-5.480504500316383,117.858233998165,117.99139259929,3.11745132184663,-1.52363693495983,4.64108825680646,308.73261862,-22.72627976,0.0,15.5033,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-6188.19188000191,-113741.22576,1,-5562.34,117860.21,-99,P,rectangular_magnet,R08,1,I,8.0,L,91.38319642070844,4.64108825680646,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
9,81073081671714720,-128.50883231452593,51.14204950602228,138.268922539131,5.53925187988336,-0.378633735341001,5.91788561522436,308.16720344,-22.43801407,0.0,15.2985,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-133972.022560002,-48593.1798200005,1,-128475.41,51111.29,-99,P,rectangular_magnet,R09,1,I,9.0,M,-47.37575437722376,5.91788561522436,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
10,80613082903087584,-101.922306268033,141.18476799771892,174.095816369498,0.291896260106042,-0.946087597003306,1.23798385710935,308.29032161,-22.81898663,0.0,15.7753,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-106147.316140003,-134692.978380001,1,-101821.86,141214.95,-99,P,rectangular_magnet,R10,1,I,10.0,N,-106.72442375972912,1.23798385710935,circular_magnet,Yel,1,TL,0.10488282044,0.0
11,81183091023841648,73.9755019393788,29.273142046649195,79.5450165896953,3.74416213384568,3.51810661201108,0.226055521834602,309.10240141,-22.34894356,0.0,14.6362,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,77382.7186600082,-28463.2445599999,1,73973.05,29247.18,-99,P,rectangular_magnet,R11,1,I,11.0,O,55.4753119179461,0.226055521834602,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
12,81133083889294736,-80.00575775977451,38.892388020179055,88.9432595836267,-0.75855650518649,-0.452429330720935,5.97705813271403,308.38894106,-22.38807814,0.0,14.7306,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-83859.3204400026,-37307.6596400005,1,-79994.48,38881.7,-99,P,rectangular_magnet,R12,1,I,12.0,P,-46.53791373062057,5.97705813271403,circular_magnet,Blu,1,TR,0.0155377488999999,0.0
13,81663083879887664,-80.77912573149607,-64.88046243199219,103.601162360979,2.03553250628892,0.676345293746437,1.35918721254248,308.38800512,-21.94393621,0.0,14.9257,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-84070.8428799974,63068.4165399997,1,-80794.98,-64848.84,-99,P,rectangular_magnet,R13,1,I,13.0,Q,153.3725783279582,1.35918721254248,circular_magnet,Gre,1,TL,0.0353742283999999,0.0
14,81063087430726128,-3.431553744112166,51.70192355397853,51.8044892244688,3.44018396227449,-1.50360700887024,4.94379097114472,308.74311604,-22.44502272,0.0,15.8697,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-3815.77495999386,-50177.1347200004,1,-3478.09,51687.6,-99,P,rectangular_magnet,R14,1,I,14.0,R,72.89197821307891,4.94379097114472,circular_magnet,Blu,1,TR,0.04869073126,0.0
15,81653089909837312,49.766467845354704,-63.21989333418072,80.4360225003033,1.38527294818965,2.23799087851466,5.43046737685458,308.99091795,-21.95259587,0.0,15.6029,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,52187.4566999981,61111.3333799998,1,49772.57,-63187.38,-99,P,rectangular_magnet,R15,1,I,15.0,S,-169.3702934049117,5.43046737685458,circular_magnet,Blu,1,TR,0.0330810095199999,0.0
16,81433090753472816,68.06952719467084,-19.535823742457485,70.7931247825161,3.94575815292182,2.86145786834757,1.08430028457425,309.07536805,-22.13959602,0.0,15.8407,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,71273.179300004,18849.29948,1,68033.48,-19573.25,-99,P,rectangular_magnet,R16,1,I,16.0,T,43.92471085824442,1.08430028457425,circular_magnet,Blu,1,TL,0.0519627269999999,0.0
