PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 05 29 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 35 02.40,-22 13 22.8 #Field centre
UTTIME,16 49 33.00 #Target observing time
UTDATE,2023 06 19 #Target observing date
PLATEID,StarFields_T002
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,81303087515032176,-1.8581686501117705,5.894082466126793,6.12543105201585,-0.446652964186401,-1.27498011281503,0.828327148628627,308.7515142,-22.24849856,0.0,15.8484,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-1917.79080000379,-5762.67456000059,1,-1785.69,5859.37,-99,P,rectangular_magnet,R01,1,I,1.0,A,-64.4086702451113,0.828327148628627,circular_magnet,Blu,1,TL,0.0803623669799998,0.0
2,81473087180593296,-9.102323160417912,-27.21657756178977,28.6423232321158,1.61655451583879,1.24729451522968,0.369260000609113,308.71805031,-22.10591627,0.0,15.0582,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-9480.62993999258,26460.9229799994,1,-9105.07,-27156.59,-99,P,rectangular_magnet,R02,1,I,2.0,B,177.37824888962314,0.369260000609113,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
3,80993086790329888,-17.308373960874317,64.72317717161961,66.962569049463,6.01892390527267,-1.31039026253109,1.04612886062418,308.6790307,-22.50039884,0.0,15.7994,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-18299.0617999983,-62692.13784,1,-17241.05,64704.96,-99,P,rectangular_magnet,R03,1,I,3.0,C,-74.85893698252329,1.04612886062418,circular_magnet,Blu,1,TL,0.0697451148799999,0.0
4,81743093885479344,137.0230949066234,-81.92134248006236,159.664530309454,0.810492569458376,2.60329488216355,4.49038299447442,309.38854768,-21.87585465,0.0,15.9151,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,142051.775679999,78454.8490999996,1,137085.19,-81856.05,-99,P,rectangular_magnet,R04,1,I,4.0,D,-136.43780355667866,4.49038299447442,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
5,81543093185592448,121.21347901968404,-41.11033841820355,128.005894948377,0.811870236169684,2.81479190583193,4.28026363751734,309.31856881,-22.04828231,0.0,14.1146,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,126236.551059999,39486.1979399995,1,121231.08,-41091.78,-99,P,rectangular_magnet,R05,1,I,5.0,I,-136.51673804481229,4.28026363751734,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
6,81263094757911200,155.93799644924815,13.886511628770158,156.559006719625,1.59036025157437,3.23077026244596,4.642775296308,309.4757752,-22.28264608,0.0,15.8175,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,161765.195199999,-13480.0140800001,1,155936.89,13943.06,-99,P,rectangular_magnet,R06,1,I,6.0,J,178.87906967942476,4.642775296308,circular_magnet,Yel,1,TR,0.05655919482,0.0
7,80983091563023280,85.87885346882712,67.99027168563403,109.481211307009,3.44601829399009,3.81143886399062,5.91776473717906,309.1562883,-22.51424258,0.0,15.6465,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,89561.1558000085,-65820.8230800005,1,85824.2,67973.1,-99,P,rectangular_magnet,R07,1,I,7.0,K,72.5576956294957,5.91776473717906,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
8,80743093044852304,118.87107096027844,115.89490516927783,165.958151401616,3.16279119950534,3.9146511059325,5.53132540075243,309.30445536,-22.71501136,0.0,15.1439,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,123046.911360007,-111194.56736,1,118789.23,115893.17,-99,P,rectangular_magnet,R08,1,I,8.0,L,88.78541278722486,5.53132540075243,circular_magnet,Yel,1,TR,0.0818593524999998,0.0
9,81083089126554224,32.975921684310634,48.18670516072012,58.3794829582491,-0.829886325627548,4.11149534958831,1.34180363196372,308.91265964,-22.43011733,0.0,15.9272,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,34501.0786400055,-46808.5165800006,1,33006.58,48153.19,-99,P,rectangular_magnet,R09,1,I,9.0,M,-42.451016065921976,1.34180363196372,circular_magnet,Blu,1,TL,0.0454224428999999,0.0
10,81573090874070288,70.66036666908543,-46.422079130109424,84.5238044978058,1.19592302150939,2.56154439458127,4.9175639341077,309.08742725,-22.02507675,0.0,15.5454,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,73998.5585000063,44730.6544999997,1,70698.77,-46324.48,-99,P,rectangular_magnet,R10,1,I,10.0,N,-158.5213417550212,4.9175639341077,circular_magnet,Blu,1,TR,0.10488282044,0.0
11,81283083732898640,-83.5183893623129,8.943941236333211,83.9705532947312,5.53557373581111,-0.106754652344602,5.64232838815572,308.37328837,-22.25981687,0.0,14.3607,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-87396.8283799953,-8320.6126200006,1,-83492.52,8947.23,-99,P,rectangular_magnet,R11,1,I,11.0,O,-47.16501224544277,5.64232838815572,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
12,80513083056301472,-98.70474349752256,162.61852497440478,190.228760948465,0.472758907144339,-1.02534824798578,1.49810715513012,308.30564908,-22.90741891,0.0,15.9077,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-102683.307919993,-154678.67366,1,-98690.91,162625.6,-99,P,rectangular_magnet,R12,1,I,12.0,P,-117.0870901065878,1.49810715513012,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
13,81953081178507840,-141.5016034037275,-122.55086718477727,187.2014546926,2.5103100642005,0.713568009627535,1.79674205457296,308.11786667,-21.70209325,0.0,15.8161,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-145122.132579995,117724.9255,1,-141530.16,-122529.99,-99,P,rectangular_magnet,R13,1,I,13.0,Q,126.16982805209662,1.79674205457296,circular_magnet,Yel,1,TL,0.0353742283999999,0.0
14,81003079383088992,-179.64672698869356,64.91348178687021,191.053079833444,2.12400323764078,-0.346899437111183,2.47090267475196,307.93830246,-22.49283908,0.0,15.0771,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-185703.644040001,-60983.6320800001,1,-179672.31,64954.91,-99,P,rectangular_magnet,R14,1,I,14.0,R,148.30357881106087,2.47090267475196,circular_magnet,Yel,1,TR,0.04869073126,0.0
15,80413090377692416,61.197111721460814,181.69793472966583,191.731814018965,2.66944409827921,4.38768618230603,4.56494322315276,309.03776133,-22.98996328,0.0,15.0849,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,62774.0605800074,-173333.701280001,1,61167.65,181712.98,-99,P,rectangular_magnet,R15,1,I,15.0,S,117.05211952249552,4.56494322315276,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
16,81233091888157904,92.70573785859156,18.33715364176983,94.4554603897017,3.80291898758582,3.33662430233943,0.466294685246391,309.18880313,-22.30203818,0.0,14.446,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,96909.5073800013,-17862.6286800003,1,92664.73,18305.24,-99,P,rectangular_magnet,R16,1,I,16.0,T,52.10879218116861,0.466294685246391,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
17,82143090083821760,53.92019431728643,-159.1123762882231,167.943543664065,0.892328068059978,1.89806522524364,5.27744814999592,309.00839111,-21.54885011,0.0,14.1917,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,56136.39086,152357.87514,1,53986.81,-159029.74,-99,P,rectangular_magnet,R17,1,I,17.0,E,-141.1266322408992,5.27744814999592,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
18,81903084869674048,-59.71577268726816,-111.33631580400616,126.310667500693,2.0509377671074,1.07815098438648,0.972786782720921,308.48697404,-21.74693988,0.0,15.8823,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-61703.8669599964,107589.58712,1,-59739.68,-111290.41,-99,P,rectangular_magnet,R18,1,I,18.0,F,152.48992190076103,0.972786782720921,circular_magnet,Gre,1,TL,0.05175811476,0.0
19,80963096092640080,186.462498236826,73.6272709287833,200.493406543638,1.67224183657973,3.51803255611216,4.43739458764715,309.6092711,-22.53357904,0.0,15.5255,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,191935.268600002,-70190.8630400001,1,186454.71,73703.78,-99,P,rectangular_magnet,R19,1,I,19.0,G,174.18760043877597,4.43739458764715,circular_magnet,Mag,1,TR,0.0769044511799999,0.0
20,80793084755395392,-61.18030713747951,105.13298384224905,121.634660674873,-0.0306095330573086,-1.04382094772276,1.01321141466545,308.47553862,-22.67078937,0.0,15.9447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-64288.2718799959,-101200.397620001,0,-61172.67,105132.75,-99,P,rectangular_magnet,R20,1,I,20.0,H,-88.24620294295005,1.01321141466545,circular_magnet,Gre,1,TL,0.0076407166599999,0.0
