PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 12 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,12 00 44.88,-22 10 08.7 #Field centre
UTTIME,12 00 37.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,81721794843941760,-153.72925812912467,-63.11160989529191,166.197402052697,-1.40051558769563,0.390029164820993,4.49264055466296,179.48437429,-21.89879766,0.0,15.2221,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-158793.410460001,61085.8177313999,1,-153715.64,-63190.81,-99,P,rectangular_magnet,R01,1,I,1.0,A,-9.756367682756265,4.49264055466296,circular_magnet,Yel,1,TR,0.0803623669799998,0.0
2,81601799745334000,-45.91134438464438,-40.068149390697535,60.9094548618693,1.81287940420022,0.716665625563775,1.09621377863644,179.97450951,-21.99694949,0.0,15.6896,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-48022.8507400049,38903.5041514001,1,-45925.74,-40009.85,-99,P,rectangular_magnet,R02,1,I,2.0,B,166.12966137313614,1.09621377863644,circular_magnet,Blu,1,TL,0.0600504179599999,0.0
3,81801803883255696,43.52690574685993,-79.53037581883878,90.6161921779596,1.22538970204932,2.07213986571615,5.43643514351276,180.38828579,-21.82885102,0.0,15.5963,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,45490.5885399968,76893.7583714002,1,43550.52,-79464.75,-99,P,rectangular_magnet,R03,1,I,3.0,C,-160.20965818621949,5.43643514351276,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
4,82061798991719088,-62.96089536111438,-131.45866627737914,145.712163871705,2.15831063001082,1.12360625307804,1.03470437693277,179.89916006,-21.60935442,0.0,14.1781,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-65051.8264399995,126499.9899714,1,-63010.84,-131383.67,-99,P,rectangular_magnet,R04,1,I,4.0,D,146.33791002215827,1.03470437693277,circular_magnet,Gre,1,TL,0.0901049863999998,0.0
5,81201796698512928,-111.93175552934298,38.233808719196176,118.298561938785,1.96545885960285,-0.329317383426012,2.29477624302887,179.66989114,-22.33119642,0.0,14.4509,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-116866.602360002,-36636.3020286004,1,-111941.59,38257.42,-99,P,rectangular_magnet,R05,1,I,5.0,I,157.3875025381609,2.29477624302887,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
6,81221809533326240,167.36211355749887,33.8592809772488,170.759850824607,1.64607281075339,3.34153848619216,4.58771963174082,180.95328773,-22.31172247,0.0,15.4205,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,173181.026979997,-32235.1893286,1,167357.86,33915.68,-99,P,rectangular_magnet,R06,1,I,6.0,J,175.6869751725941,4.58771963174082,circular_magnet,Yel,1,TR,0.05655919482,0.0
7,80791803703587552,39.819322355355794,117.13887109822387,123.708813311771,3.0435277613076,4.38516181081462,4.94155125767257,180.3703039,-22.66900522,0.0,15.6696,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,41426.6813999997,-112981.0908286,1,39762.31,117144.48,-99,P,rectangular_magnet,R07,1,I,7.0,K,95.61870444617468,4.94155125767257,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
8,81371805349242272,75.19831612255453,4.949572322747598,75.2962928561732,3.86558912492666,3.20665303132819,0.658936093598472,180.53490516,-22.1900415,0.0,15.4985,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,78626.5661599959,-4735.29010860005,1,75136.99,4895.35,-99,P,rectangular_magnet,R08,1,I,8.0,L,48.51805781003324,0.658936093598472,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
9,80791799692434976,-46.937824179670685,117.80255083524952,126.818452073571,3.31821194356579,-1.19128043468721,4.509492378253,179.96926212,-22.67117684,0.0,15.6549,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-49208.7608800035,-113471.8769486,1,-46982.54,117794.57,-99,P,rectangular_magnet,R09,1,I,9.0,M,79.88046010377812,4.509492378253,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
10,81941808492311280,145.2232857374555,-107.03286531023636,180.430555063427,0.686340010100865,2.50701216994636,4.46251314733409,180.84917468,-21.71585958,0.0,14.891,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,149651.477679998,102429.8238114,1,145304.42,-106966.4,-99,P,rectangular_magnet,R10,1,I,10.0,N,-129.32438588974586,4.46251314733409,circular_magnet,Yel,1,TR,0.10488282044,0.0
11,82161803756379152,41.13809869485357,-151.33726954395186,156.803255710631,1.13890572078757,1.83618433501227,5.58590669295489,180.3756193,-21.52602083,0.0,15.4613,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,42627.9617999998,145333.3813114,1,41126.94,-151313.7,-99,P,rectangular_magnet,R11,1,I,11.0,O,-155.2544910644327,5.58590669295489,circular_magnet,Yel,1,TR,0.0167343919199998,0.02
12,80711807887977536,131.60349294221487,134.36155580233094,188.083071155199,-0.288170179084206,3.93728745296439,2.05772767513099,180.78872201,-22.7356762,0.0,14.5846,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,135989.174259994,-128048.7323086,1,131618.39,134357.14,-99,P,rectangular_magnet,R12,1,I,12.0,P,-73.48906495694587,2.05772767513099,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
13,80861794641195504,-157.96308673349338,105.55648648247656,190.016795968572,3.04039967231208,-0.589000421159257,3.62940009347134,179.46409012,-22.61235405,0.0,15.7097,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-163377.632880001,-100177.9264086,1,-157998.28,105560.06,-99,P,rectangular_magnet,R13,1,I,13.0,Q,95.7979307435593,3.62940009347134,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
14,80951810515550016,190.1192580209569,89.03972631312199,209.954812997621,1.62705890375075,3.57980510113974,4.3304391097906,181.05155306,-22.5419869,0.0,15.6956,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,195388.991559998,-84274.9505086005,1,190116.52,89088.34,-99,P,rectangular_magnet,R14,1,I,14.0,R,176.7763917958996,4.3304391097906,circular_magnet,Mag,1,TR,0.04869073126,0.0
15,81271800379813232,-32.08316171260812,24.13129078755624,40.112889154298,-0.449720996959595,-0.645034432006787,0.195313435047192,180.03791899,-22.27259858,0.0,15.2004,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-33692.3082600007,-23393.1901886002,1,-32053.37,24116.91,-99,P,rectangular_magnet,R15,1,I,15.0,S,-64.2328849157995,0.195313435047192,circular_magnet,Blu,1,TR,0.0330810095199999,0.0
16,81401793425962176,-185.03539421459155,-0.1877573271026898,185.030664989131,4.80652251819136,0.0012943263587303,4.80522819183263,179.34253063,-22.16509455,0.0,15.0481,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-190850.077620003,902.720591400026,1,-185030.51,-239.49,-99,P,rectangular_magnet,R16,1,I,16.0,T,-5.393454426957419,4.80522819183263,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
17,80401801911880832,0.992597670504496,197.05784396573387,197.078744421231,0.168933858610199,4.70682148160788,1.74529768418191,180.19109188,-22.99961634,0.0,15.5948,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,924.764879994541,-187699.2039486,1,1097.23,197075.69,-99,P,rectangular_magnet,R17,1,I,17.0,E,-99.6791971152242,1.74529768418191,circular_magnet,Mag,1,TL,0.1061433243999999,0.0
18,81571808379149680,141.78337645323987,-35.59334437099533,146.19908129252,1.00507709598941,2.89597118402646,4.39229121914254,180.83788823,-22.01719149,0.0,15.1007,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,147100.739979998,34328.8121514002,1,141811.12,-35549.65,-99,P,rectangular_magnet,R18,1,I,18.0,F,-147.58667568545832,4.39229121914254,circular_magnet,Gre,1,TR,0.05175811476,0.0
19,82201796182214784,-125.70276290671246,-159.36146064859315,202.98489432738,2.65413424243562,0.9025553659221,1.75157887651352,179.61820718,-21.49624211,0.0,14.8953,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,19.0,0.0,0.0,1,-128547.17732,152063.3720314,1,-125770.71,-159325.44,-99,P,rectangular_magnet,R19,1,I,19.0,G,117.92930964728694,1.75157887651352,circular_magnet,Mag,1,TL,0.0769044511799999,0.0
20,80981801436533712,-9.26568272100347,80.47265404295905,81.0044877447398,3.23518157032142,-1.45606607363305,4.69124764395447,180.14360211,-22.51385618,0.0,15.5285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-9807.92314000513,-77917.4077886004,0,-9273.29,80471.94,-99,P,rectangular_magnet,R20,1,I,20.0,H,84.63775006207646,4.69124764395447,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,81491796422631040,-118.21572475861106,-17.895890324558202,119.548081051326,5.24699388663608,0.150543380527797,5.09645050610828,179.64221538,-22.09107876,0.0,14.6966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-123121.32412,17630.2891314002,0,-118195.96,-17929.27,-99,P,rectangular_magnet,R21,1,I,21.0,U,-30.63060483519172,5.09645050610828,circular_magnet,Gre,1,TR,0.0387923757399998,0.0
22,81391801874229120,0.0625008763795276,-0.2687791051863071,0.266444974619526,3.66628537635634,1.71340992276949,1.95287545358685,180.18734349,-22.16766487,,13.248,,,,,,,,,,,-15.6367782074273,11.6499260199484,-99,77.6287399949069,321.828271399973,2,37.87,-263.74,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,59.93732144424911,1.95287545358685,circular_magnet,Blu,1,TL,0.0187931543999999,-0.0167
23,81101805140130192,70.72556683317751,57.87698987733901,91.3354933775145,3.55686545234479,3.82768088291713,6.01236987660725,180.51397756,-22.41681671,,13.5375,,,,,,,,,,,-4.00901190393078,9.26515201850585,-99,73896.9285599975,-55986.4875686,2,70669.02,57862.44,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,66.20662128475311,6.01236987660725,circular_magnet,Blu,1,TR,0.0576107045,-0.0095
24,81811801524408288,-7.583910892799262,-81.80003713656491,82.1590142526503,1.62332154080267,1.47839675629355,0.144924784509114,180.15240886,-21.81839099,,13.6854,,,,,,,,,,,-2.65221460907538,-1.58442864502252,-99,-7817.59764000077,79257.7251513996,2,-7580.66,-81808.54,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,176.99052691933315,0.144924784509114,circular_magnet,Blu,1,TR,-0.0086618122,-0.0028
25,80741797371069392,-97.6204133574129,127.439671516581,160.574801280193,3.40701293826508,-0.916794224221243,4.32380716248633,179.73703966,-22.70909502,,13.5281,,,,,,,,,,,-21.7564899492391,14.1945107703078,-99,-101691.036840004,-122041.3856286,2,-97688.5,127441.06,-99,G,rectangular_magnet,R25,1,I,25.0,GS4,74.79253789094523,4.32380716248633,circular_magnet,Yel,1,TR,0.0653381878,-0.0192
26,81891797500825728,-95.31257308844002,-97.21363370339314,136.121943970965,-1.01252951044834,0.795195650642889,4.47546014608836,179.75007574,-21.75383322,,13.6297,,,,,,,,,,,3.29159378319028,0.442565192417556,-99,-98744.8827600027,93847.7811713997,2,-95305.11,-97191.15,-99,G,rectangular_magnet,R26,1,I,26.0,GS5,-31.98633241886273,4.47546014608836,circular_magnet,Gre,1,TR,-0.0151167789999999,0.01824
