PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 18 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329,-0.9996937766,0,0.9996937766,-0.0008665329,0,1,0,0,0,13366713.7,1089450000,621000000000,331200000000000,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,00 42 33.02,-09 22 30.0 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,15 58 23.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A0085_SAMI_T001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901028017603094,30.1906796812,-166.7139051969,169.4401927875,3.5326550568,1.7495451066,1.7831099503,10.7672862063,-8.6678536147,17.4739646912,16.6391086578,33,15.9954051971,0,0,0,0,10.144365,4.3353238106,0.056612495,33,,,8,29309.0826130086,159815.083082523,1,30126.2,-166740.49,33,P,rectangular_magnet,R01,1,I,1,C,67.5937747672,1.7831099503,circular_magnet,Yel,1,TL,0.0697451149,0
2,C901027875303735,101.5861721828,-76.4750522853,127.1542655243,4.0705644447,2.4960946305,1.5744698141,11.0766810699,-9.0485706832,17.1894264221,16.2977828979,33,15.5781440735,0,0,0,0,10.387881,3.6148741245,0.057120357,33,,,8,99232.3217877727,73773.0256026361,1,101570.86,-76495.54,33,P,rectangular_magnet,R02,1,I,2,I,36.7738370849,1.5744698141,circular_magnet,Gre,1,RO,0.0255775174,0
3,C901027875001219,-108.9450617277,-90.601065442,141.6645216038,1.9655742873,0.6930196931,1.2725545941,10.1679051967,-8.9889332591,18.0594902039,17.1921539307,33,16.5641765594,0,0,0,0,10.063623,2.2943079472,0.058626965,33,,,8,-106151.025544688,87251.0834438538,1,-108985.4,-90504.25,33,P,rectangular_magnet,R03,1,I,3,N,157.3808890201,1.2725545941,circular_magnet,Gre,1,TL,0.1048828204,0
4,C901027732800121,-116.9240998912,-35.5607474927,122.2124178341,-1.2796084708,0.2957376836,4.7078391528,10.1319141065,-9.2222211848,17.0197906494,16.19962883,33,15.5632362366,0,0,0,0,10.204299,7.6000061035,0.051402226,33,,,8,-114285.011920808,34528.0122291584,1,-116906.86,-35618.27,33,P,rectangular_magnet,R04,1,I,4,B,-16.6838351922,4.7078391528,circular_magnet,Gre,1,TR,0.060050418,0
