PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 18 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,00 43 01.32,-09 40 04.8 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,12 14 45.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 10 29 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A0085_T035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901027875401821,106.87202348290500,-143.35214430582300,178.802736302742,0.697210299310975,2.21171481004849,4.76868079644207,11.2140881956065,-9.06136114413298,17.9063339233398,17.0782375335693,16.8268493053768,16.4874877929688,0.0,0.0,0.0,0.0,9.99187749825894,2.19392538070679,0.0547591745940542,20.0272214771262,,,4,103640.932207073,137100.381425947,1,106911.86,-143318.78,-99,P,rectangular_magnet,R01,1,I,1.0,T,-129.94720758357200,4.76868079644207,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
2,C901027591003904,135.4900068329680,-12.054983456061700,136.049411077918,1.04057892832801,3.05322895918016,4.27053527632743,11.341120274499,-9.61670592396532,17.8616619110107,17.4906063079834,17.1867217217218,17.2842063903809,0.0,0.0,0.0,0.0,8.56813044964248,2.60905361175537,0.0193531690426087,20.8158960058605,,,8,132350.18203678,11592.4611838367,1,135518.61,-12006.19,-99,P,rectangular_magnet,R02,1,I,2.0,J,-149.62078084344100,4.27053527632743,circular_magnet,Gre,1,TR,0.05655919482,0.0
3,C901027164800615,-132.93669982903300,146.95915109012100,198.151101375758,0.510642416897287,-0.835750565372898,1.34639298227019,10.1859598900394,-10.2866576592007,18.007453918457,17.3963069915771,17.1941250261226,16.9142150878906,0.0,0.0,0.0,0.0,9.68935253705459,8.48803901672363,0.0584026305602407,23.2832185093463,,,8,-128716.064851105,-139816.630979354,1,-132884.31,146988.5,-99,P,rectangular_magnet,R03,1,I,3.0,D,-119.2576553285740,1.34639298227019,circular_magnet,Mag,1,TL,0.0600504179599999,0.0
4,C901027164902648,-47.88205223800280,123.3187588670040,132.299784638882,3.27505007485254,-1.20007738907294,4.47512746392548,10.5476255764187,-10.1933749317059,18.6331996917725,17.7111263275146,17.2954036180263,17.0380535125732,0.0,0.0,0.0,0.0,9.81023658496269,2.47403597831726,0.0521409598921489,20.9210310642746,,,4,-46979.6197293791,-118734.734565531,1,-47930.31,123312.28,-99,P,rectangular_magnet,R04,1,I,4.0,R,82.35345301694510,4.47512746392548,circular_magnet,Gre,1,TR,0.04869073126,0.0
5,C901027165103652,76.86149794470170,117.95747103250700,140.749135519919,3.11533670284188,4.13535282085897,5.2631691891625,11.0871985200406,-10.1700990504252,16.6037368774414,15.9579410552979,15.8647323466335,15.4706125259399,0.0,0.0,0.0,0.0,10.1841976156082,4.59308767318726,0.0540944884473085,20.5113394137396,,,8,74963.8655291648,-113474.385396094,1,76784.62,117959.49,-99,P,rectangular_magnet,R05,1,I,5.0,B,91.50435516495880,5.2631691891625,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
6,C901027023205798,36.56079963512460,195.38321857242800,198.797414288046,2.67284665966659,4.52780003470495,4.42823193214123,10.9112943051444,-10.4912724955757,17.7650566101074,17.27854347229,17.0172939899253,16.9127464294434,0.0,0.0,0.0,0.0,9.02876565901487,4.26120519638062,0.0275749416892838,21.6690803938027,,,8,35209.512962639,-186059.584000114,1,36487.77,195420.2,-99,P,rectangular_magnet,R06,1,I,6.0,L,116.85716711546400,4.42823193214123,circular_magnet,Mag,1,TR,0.0818593524999998,0.0
7,C901027023104637,-33.48764554118170,174.9727574170660,178.169571940428,2.91153518519044,-1.38142995535639,4.29296514054683,10.6108117612657,-10.4080502895721,17.0745468139648,16.4218368530273,16.2309467074936,15.9179029464722,0.0,0.0,0.0,0.0,10.074065463682,4.41678047180176,0.0543598823101616,20.8902406045724,,,8,-32699.5419539615,-167251.365443287,1,-33538.04,174984.56,-99,P,rectangular_magnet,R07,1,I,7.0,C,103.18132198474700,4.29296514054683,circular_magnet,Yel,1,TR,0.05175811476,0.0
8,C901027306604154,-88.29707480900560,80.97528998502840,119.713174255008,-0.249129814801715,-0.742585320612664,0.493455505810949,10.3728628568822,-10.0132264586663,16.3218612670898,15.6172161102295,15.1112614818242,15.153546333313,0.0,0.0,0.0,0.0,9.39397812282809,13.2047996520996,0.0134615176537132,22.4637498735805,,,8,-86475.9943446182,-78021.179658595,1,-88195.43,80949.43,-99,P,rectangular_magnet,R08,1,I,8.0,N,-75.72591306098590,0.493455505810949,circular_magnet,Gre,1,TR,0.10488282044,0.0
9,C901027448702360,-53.35967440972220,15.324246182089500,55.4143440546741,-0.552614791439991,-0.279145050694105,6.0097155664337,10.5233162210846,-9.73336524120522,18.2468070983887,17.3604030609131,16.9672912269899,16.6805839538574,0.0,0.0,0.0,0.0,10.0472078734101,2.50238275527954,0.0587007331379148,20.5950464352874,,,1,-52473.5340348801,-14772.54451238,1,-53269.33,15268.53,-99,P,rectangular_magnet,R09,1,I,9.0,E,-58.33750475398630,6.0097155664337,circular_magnet,Blu,1,TR,0.1061433244000000,0.0
10,C901027590602115,-123.30810266364700,-19.221973150266800,124.791836991582,-1.05507287168613,0.154757610347163,5.07335482514629,10.2218058315584,-9.58515884354019,18.6346378326416,17.8351860046387,17.5918698905692,17.2834396362305,0.0,0.0,0.0,0.0,9.65458048708055,2.73376893997192,0.0558455530554056,21.2618697109496,,,1,-120614.882067806,18722.1013599164,1,-123300.44,-19235.49,-99,P,rectangular_magnet,R10,1,I,10.0,G,-29.54877737363690,5.07335482514629,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
11,C901027590601163,-134.09034604962000,-56.834561265027500,145.646118920321,2.30011869998797,0.400732283148661,1.8993864168393,10.1771263512845,-9.42537334971039,17.9308700561523,17.4435043334961,17.315502047153,17.1421070098877,0.0,0.0,0.0,0.0,9.10905183800063,4.78822708129883,0.0372100791869497,22.0872527082563,,,8,-130712.4446097,54833.6229654527,1,-134107.39,-56815.49,-99,P,rectangular_magnet,R11,1,I,11.0,I,138.21290611157200,1.8993864168393,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
12,C901027590503100,-172.96107463626700,-23.95353948511070,174.607881135487,-1.34510517045964,0.137874703004041,4.80020543371591,10.0126664468445,-9.56510399116607,17.17311668396,16.5817413330078,16.2461234975239,16.118745803833,0.0,0.0,0.0,0.0,9.13912013967261,3.00370097160339,0.0194796837868913,20.2128994898814,,,8,-167880.383013136,23254.4979964687,1,-172950.91,-23997.81,-99,P,rectangular_magnet,R12,1,I,12.0,M,-12.93115073143750,4.80020543371591,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
13,C901027875004299,-99.84893922182400,-139.20460121351200,171.309696653558,2.45574330280715,0.948372982012905,1.50737032079424,10.3270878020329,-9.07739077669629,18.4972648620605,17.6624279022217,17.3132647416298,17.0536327362061,0.0,0.0,0.0,0.0,9.89103141177345,2.22416925430298,0.059768790211757,20.6411417489858,,,1,-96821.1567405538,133477.684466638,1,-99874.54,-139183.65,-99,P,rectangular_magnet,R13,1,I,13.0,S,129.29627318163300,1.50737032079424,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
14,C901027732905104,-42.775351077078600,-112.78077216467600,120.593752176176,1.93434765683545,1.20808495012976,0.726262706705687,10.570654382491,-9.18620920386867,18.3496112823486,17.5228614807129,17.4604612818953,16.9511661529541,0.0,0.0,0.0,0.0,9.74162880226413,4.26762533187866,0.0562714785337448,21.9166675842515,,,1,-41775.109557044,108884.719925681,1,-42787.93,-112747.71,-99,P,rectangular_magnet,R14,1,I,14.0,Q,159.1700431523090,0.726262706705687,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
15,C901027591102535,177.95852229465300,-24.03626799408180,179.574369544179,4.57682630970424,3.00701941452995,1.56980689517429,11.5189247330321,-9.56570160919155,18.1832942962646,17.4508991241455,17.1103810368469,16.9406833648682,0.0,0.0,0.0,0.0,8.89543830533959,3.21920394897461,0.0196929384560895,21.2325162648113,,,8,172533.989665265,23119.4363227097,1,177950.78,-24093.03,-99,P,rectangular_magnet,R15,1,I,15.0,K,7.767168889511650,1.56980689517429,circular_magnet,Yel,1,TL,0.0572875941399999,0.0
