PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2024 11 18 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,06 23 59.42,-54 43 30.4 #Field centre
UTTIME,15 56 06.00 #Target observing time
UTDATE,2024 11 28 #Target observing date
PLATEID,A3391_A3395_T083
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901006085903665,-176.51006640030892,9.296281837680311,176.778555188468,2.07096994771302,-0.0528372090474196,2.12380715676044,94.7024247032774,-54.7599156585168,17.2804374694824,16.7135524749756,16.4024946295009,16.3186416625977,0.0,0.0,0.0,0.0,9.79690513040788,3.45433712005615,0.0516539812088012,20.6482507543036,,,8,-292709.617059309,-7868.33882479485,1,-176531.85,9336.14,-99,P,rectangular_magnet,R01,1,I,1.0,M,151.3421624976152,2.12380715676044,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
2,C901006253700081,-120.94148463366923,-135.60703159977032,181.702854438366,2.3809432667888,0.842415359221224,1.53852790756758,95.1209214275447,-54.1496470941067,18.9300022125244,17.9183216094971,17.3155746870712,17.1348648071289,0.0,0.0,0.0,0.0,9.88204232907455,3.22494053840637,0.0533231720328331,21.7038048487554,,,7,-198129.357374889,130052.356731875,1,-120952.74,-135596.32,-99,P,rectangular_magnet,R02,1,I,2.0,P,133.58199955291096,1.53852790756758,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
3,C901006253704007,-86.92097727140349,-110.77158748556684,140.817213818054,-1.06602382559605,0.905694147606761,4.31146733397677,95.3616133634049,-54.2525084659038,18.1535415649414,17.3491706848145,16.9601821861057,16.7788181304932,0.0,0.0,0.0,0.0,9.88572624723057,1.62725782394409,0.0549786165356636,19.6493272082019,,,7,-143732.979870497,106805.686705745,1,-86903.87,-110802.55,-99,P,rectangular_magnet,R03,1,I,3.0,Q,-28.9213339329562,4.31146733397677,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
4,C901006169606824,-70.96601704415907,-58.62006793822692,92.034622952478,-0.769992490224688,0.691545341910085,4.82164747504481,95.473906396978,-54.4735025175494,17.6244888305664,16.9227123260498,16.5115292308042,16.4111213684082,0.0,0.0,0.0,0.0,9.8363351572738,3.12500953674316,0.0497479252517223,20.6398437429834,,,8,-118354.754282981,56861.031033837,1,-70890.72,-58693.08,-99,P,rectangular_magnet,R04,1,I,4.0,N,-45.88268005335709,4.82164747504481,circular_magnet,Blu,1,TR,0.10488282044,0.0
5,C901005920505804,-8.629870302040729,113.07745254469398,113.399611033127,-0.0528036101515035,-1.49508017950002,1.44227656934851,95.9358327244334,-55.2084010366545,16.6603355407715,15.9557075500488,15.4702092512388,15.4424543380737,0.0,0.0,0.0,0.0,10.2958500915723,2.56425261497498,0.0539519786834716,19.2433862671521,,,8,-13959.4042780569,-109226.034283918,1,-8577.98,113074.71,-99,P,rectangular_magnet,R05,1,I,5.0,T,-86.97457599526467,1.44227656934851,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
6,C901005838409461,12.853965622272357,197.43670613455143,197.870531411613,0.266304983016007,4.64714380451865,1.90234648567694,96.0980019232507,-55.5569115283705,17.6837387084961,16.9449367523193,16.4951425307208,16.345874786377,0.0,0.0,0.0,0.0,9.90489138167699,3.37945055961609,0.0508161410689353,20.8320419201715,,,8,22690.8346546519,-187989.405411732,1,12900.94,197449.52,-99,P,rectangular_magnet,R06,1,I,6.0,R,-105.25815159012026,1.90234648567694,circular_magnet,Mag,1,TL,0.04869073126,0.0
7,C901005838507130,65.09687638024945,171.7559268379347,183.733223616817,0.181823254911137,4.34961477633598,2.11539378575475,96.487037252021,-55.4490829035715,16.9946479797363,16.1003150939941,15.651421584378,15.4197435379028,0.0,0.0,0.0,0.0,10.3889364253845,2.34661459922791,0.052703820168972,19.1953986170487,,,7,110612.818956744,-163620.136207163,1,65201.27,171775.12,-99,P,rectangular_magnet,R07,1,I,7.0,E,-100.4177051237395,2.11539378575475,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
8,C901005920702034,87.30037784755224,142.0644429786791,166.777834997739,0.0834967106710187,4.16109367923942,2.20558833861119,96.6516055057978,-55.3245723462334,18.6921977996826,18.0370216369629,17.6781228054444,17.6081523895264,0.0,0.0,0.0,0.0,8.98052645941358,3.46122980117798,0.0343295335769653,21.9760484903645,,,5,147805.244310306,-135480.750248753,1,87356.74,142069.16,-99,P,rectangular_magnet,R08,1,I,8.0,J,-94.7840091246743,2.20558833861119,circular_magnet,Yel,1,TL,0.05655919482,0.0
9,C901005920705915,113.57023230453376,101.4315318756968,152.342060084893,0.0609458311367179,3.87022569430782,2.47390544400848,96.8453108472199,-55.1519425106146,16.5282135009766,15.8204765319824,15.392846331136,15.2790679931641,0.0,0.0,0.0,0.0,10.1765262980728,5.72617387771606,0.0480697527527809,20.8526738708342,,,8,191582.651471688,-96466.4073988928,1,113660.17,101437.02,-99,P,rectangular_magnet,R09,1,I,9.0,D,-93.49193890305094,2.47390544400848,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
10,C901006003205044,70.66040296982544,71.4034217927534,100.477102837199,-0.0753953735540787,3.9319701444683,2.27581978915721,96.5270639597239,-55.0286904846583,17.6067924499512,16.8352451324463,16.340347355174,16.2485942840576,0.0,0.0,0.0,0.0,9.90756611547907,4.80250835418701,0.0495884791016578,21.485460459231,,,6,119658.854897604,-68611.449532768,1,70693.39,71400.93,-99,P,rectangular_magnet,R10,1,I,10.0,S,-85.68016330053905,2.27581978915721,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
11,C901006086402937,112.99168937906416,21.372081924139003,114.937864769143,3.93502607549085,3.32818568362917,0.606840391861682,96.8355323873529,-54.811920186634,16.8475322723389,15.8859205245972,15.3857198412916,15.0926151275635,0.0,0.0,0.0,0.0,10.4248060059424,6.45693731307983,0.0464276298880577,21.1789280568102,,,6,189372.719541751,-19621.3621792744,1,112942.77,21322.37,-99,P,rectangular_magnet,R11,1,I,11.0,C,44.539613600446614,0.606840391861682,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
12,C901006086407219,143.36055750832443,8.103305475794874,143.595301074967,4.12334952639921,3.19787964314827,0.925469883250938,97.0549793621547,-54.7531003256741,17.0699424743652,16.4074554443359,16.1845128486733,15.9366512298584,0.0,0.0,0.0,0.0,9.84540459313716,4.96114349365234,0.0473712626844644,21.1282390687508,,,8,238967.735846967,-6328.07360235778,1,143367.89,8078.28,-99,P,rectangular_magnet,R12,1,I,12.0,O,33.749474680058455,0.925469883250938,circular_magnet,Gre,1,TL,0.0167343919199998,0.02
13,C901006338607641,133.9161736737473,-154.82799028644448,204.733150403295,4.19161895601332,2.28354286429939,1.90807609171393,96.9549971518981,-54.0673735710895,16.6950397491455,15.684362411499,15.3738765703762,14.9289922714233,0.0,0.0,0.0,0.0,10.7470175449612,4.18816900253296,0.0594524556618856,20.0373580840881,,,6,216371.756328979,148646.172933775,1,133877.91,-154894.7,-99,P,rectangular_magnet,R13,1,I,13.0,G,29.8379244934045,1.90807609171393,circular_magnet,Mag,1,TL,0.0769044511799999,0.0
