PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 08 07 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 11 10.08,-56 43 39.7 #Field centre
UTTIME,12 57 53.00 #Target observing time
UTDATE,2023 08 11 #Target observing date
PLATEID,A3667_T050
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,901005561401662,54.480976930305985,-24.75748572787504,59.8331272235791,4.00224502970887,2.71453468402861,1.28771034568026,303.21794827115,-56.6216684933754,17.9132671356201,17.2043647766113,16.8798723607012,16.7052536010742,0.0,0.0,0.0,0.0,9.84706158034229,2.32563281059265,0.0550595372915267,20.2799451880349,,,8,96264.3092799109,23960.609388565,1,54459.41,-24782.57,-99,P,rectangular_magnet,R01,1,I,1.0,S,40.68825122047096,1.28771034568026,circular_magnet,Blu,1,TL,0.0330810095199999,0.0
2,901005561209083,-27.78043207455243,-76.45514283263024,81.3457243494125,1.91545151854823,1.22195242329455,0.693499095253681,302.579471340053,-56.3992311270567,18.6958274841309,17.8324642181396,17.4802298679155,17.2460803985596,0.0,0.0,0.0,0.0,9.74781112547918,1.97294735908508,0.0567149631679058,20.550916389076,,,1,-48031.4771480342,74231.4541765866,1,-27804.91,-76446.15,-99,P,rectangular_magnet,R02,1,I,2.0,O,160.2527121252619,0.693499095253681,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
3,901005561202471,-59.120195844753674,-65.78886719720077,88.4561397028211,-1.15007971285809,0.838896266379434,4.29420932794206,302.336341377619,-56.44375080396,17.2704887390137,16.6982307434082,16.3598411569768,16.3027019500732,0.0,0.0,0.0,0.0,9.77418469375019,2.74711394309998,0.0502699986100196,20.1354887911093,,,8,-102978.848658095,64170.0071964426,1,-59113.85,-65803.05,-99,P,rectangular_magnet,R03,1,I,3.0,K,-24.10528634961383,4.29420932794206,circular_magnet,Blu,1,TR,0.0155377488999999,0.0
4,901005402102299,-91.95605199503376,69.37771762322276,115.141573464492,5.88522400523117,-0.64646419579114,0.248502893842726,302.067954820766,-57.0200879964936,17.6492481231689,16.9102783203125,16.5998632109599,16.3593769073486,0.0,0.0,0.0,0.0,10.0811369750059,4.57648134231567,0.0630261898040771,21.4558114827623,,,8,-163634.210506768,-66082.1983161559,1,-91908.15,69357.58,-99,P,rectangular_magnet,R04,1,I,4.0,T,-67.19849698882439,0.248502893842726,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
5,901005323507612,-3.687783425743624,131.2829689441819,131.35376650525,2.9201503793768,-1.54214602671802,4.46229640609482,302.757357866987,-57.287268246273,17.0464515686035,16.0415649414062,15.5865795663671,15.2778635025024,0.0,0.0,0.0,0.0,10.6247434969636,4.77355718612671,0.0558127481490373,20.6786502715464,,,1,-7829.12206084677,-126464.934766289,1,-3762.81,131299.86,-99,P,rectangular_magnet,R05,1,I,5.0,G,102.68770771818316,4.46229640609482,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
6,901005323407378,-64.41260802721406,149.13980382346472,162.440432471087,0.268577132646696,-1.1637479148288,1.4323250474755,302.280500344668,-57.3582896484285,18.1610622406006,17.432933807373,16.4375320725074,17.014274597168,0.0,0.0,0.0,0.0,10.1293096114374,2.32817983627319,0.0568297356367111,20.5108911071518,,,8,-115598.922105119,-142515.771653444,1,-64310.27,149167.97,-99,P,rectangular_magnet,R06,1,I,6.0,E,-105.38833617438095,1.4323250474755,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
7,901005401903709,-199.39350536619196,48.1644930643266,205.147802647881,1.687125123564,-0.237273414139512,1.92439853770352,301.252520050001,-56.9171944081523,18.7036972045898,18.2253341674805,17.9950353316336,17.9588146209717,0.0,0.0,0.0,0.0,8.06771419194697,3.90523171424866,0.0144439153373241,22.4264428869329,,,8,-347922.468699843,-42828.2473510279,1,-199400.07,48220.67,-99,P,rectangular_magnet,R07,1,I,7.0,J,173.3348509092953,1.92439853770352,circular_magnet,Mag,1,TL,0.05655919482,0.0
8,901005481301412,-156.35646575132452,22.710949243984203,157.962064241971,-1.08881050619933,-0.143934325966385,5.33830912694664,301.577761174781,-56.8148749232379,19.0165252685547,18.4458255767822,16.5766918364382,18.0913352966309,0.0,0.0,0.0,0.0,8.64154811764125,6.4874472618103,0.0154245514422655,23.7490694603933,,,8,-274417.97449951,-19704.0437603727,1,-156328.63,22657.74,-99,P,rectangular_magnet,R08,1,I,8.0,I,-27.615753305275632,5.33830912694664,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
9,901005323608217,55.2538381298136,143.43506488987504,153.719416370981,-0.244005921294791,4.34417108123183,1.69500830465296,303.222213493207,-57.3374992147427,16.853832244873,16.1002559661865,15.9190597308311,15.5554141998291,0.0,0.0,0.0,0.0,10.2429384793593,8.14805698394775,0.0557106506669981,21.8984009359441,,,8,97228.249464748,-137817.133640449,1,55331.82,143415.65,-99,P,rectangular_magnet,R09,1,I,9.0,A,-76.01949053360715,1.69500830465296,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
10,901005323706918,109.04261695568898,128.91252468344118,168.816318718765,3.03366454796459,4.01055434046307,5.30629551468111,303.641426524513,-57.2733636765426,17.0881404876709,16.2230415344238,15.9087478762403,15.6181335449219,0.0,0.0,0.0,0.0,10.3905762411372,2.69299912452698,0.055515618994832,19.6170972772881,,,1,191970.39454001,-123322.502007217,1,108991.16,128918.1,-99,P,rectangular_magnet,R10,1,I,10.0,F,96.18382494316629,5.30629551468111,circular_magnet,Yel,1,TR,0.05175811476,0.0
11,901005402302870,28.12277488839233,78.92160851386058,83.7642507479515,3.34219090495646,4.37044053927511,5.25493567286094,303.010323332229,-57.0661322163726,18.321210861206,17.4697303771973,17.1598674669253,16.8903293609619,0.0,0.0,0.0,0.0,9.80137296778174,2.85987830162048,0.0523856058716774,20.9943428223764,,,1,49341.0730838515,-76488.1920088004,1,28088.11,78914.56,-99,P,rectangular_magnet,R11,1,I,11.0,Q,78.50656681898559,5.25493567286094,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
12,901005481806518,159.4585711807257,34.132626340624675,163.010762576332,4.19443647625932,3.35205139119888,0.842385085060434,304.028343135074,-56.8693326002137,17.5403823852539,16.9512920379639,17.0901144526153,16.5797634124756,0.0,0.0,0.0,0.0,9.71027766474788,5.51573610305786,0.0621243845671415,21.902184116965,,,8,279413.548526681,-32011.4787568989,1,159413.96,34054.34,-99,P,rectangular_magnet,R12,1,I,12.0,D,29.676492474616055,0.842385085060434,circular_magnet,Yel,1,TL,0.0901049863999998,0.0
13,901005481704581,91.50088416539596,-19.63554444401059,93.5640703942491,4.04638611018019,2.92976838910783,1.11661772107236,303.505474013239,-56.6432455553793,18.7119941711426,17.855094909668,17.599181603931,17.2833614349365,0.0,0.0,0.0,0.0,9.69367535883631,3.22687578201294,0.0559899993240833,21.6418808296025,,,1,161245.126991942,19084.1933756805,1,91472.82,-19671.26,-99,P,rectangular_magnet,R13,1,I,13.0,L,38.15915360631698,1.11661772107236,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
14,901005722500951,85.88953470430656,-168.0717819169643,188.743137176688,0.5933718970379,2.04336258743313,4.83319461678436,303.447363817515,-56.0177312121247,17.0697231292725,16.3598899841309,16.1743567633706,15.8498764038086,0.0,0.0,0.0,0.0,10.0951332514472,4.90853214263916,0.0529276728630065,21.057522862062,,,8,148112.222758408,160450.434951219,1,85910.74,-168057.48,-99,P,rectangular_magnet,R14,1,I,14.0,B,-123.99770538194292,4.83319461678436,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
