PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,21 58 34.32,-07 21 43.2 #Field centre
UTTIME,12 10 00.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,901028571601523,-80.04580129774817,144.49862786527092,165.204224864496,0.287296402628321,-1.06504651751431,1.35234292014263,329.298934117477,-7.97405067719599,18.9178466796875,18.0853309631348,17.6765372652972,17.4363765716553,0.0,0.0,0.0,0.0,9.7140269166792,2.61390733718872,0.0543267801403999,21.4146565839295,0.0,0.0,1,-77758.8894502135,-138325.964157153,1,-80035.42,144522.55,-99,P,rectangular_magnet,R01,1,I,1.0,O,-106.460871339894,1.35234292014263,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
2,901028857303739,-102.89971377643398,56.88191037464559,117.655318033426,1.92240058150312,-0.505573484689135,2.42797406619226,329.198870816379,-7.60422849524428,18.2837982177734,17.51145362854,17.0959704974058,16.8849983215332,0.0,0.0,0.0,0.0,9.92111448060248,3.03390264511108,0.0559409980774632,21.1643365132781,0.0,0.0,1,-100373.195498292,-54746.1510360675,1,-102936.27,56981.56,-99,P,rectangular_magnet,R02,1,I,2.0,E,159.854560146376,2.42797406619226,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
3,901029000204824,-146.51937697747218,-53.87861574967103,156.120669629065,2.54607145386043,0.352295215628702,2.19377623823173,329.015822104238,-7.13122895810981,17.5186767578125,17.0158958435059,16.8348618413847,16.7070846557617,0.0,0.0,0.0,0.0,9.73478024033249,2.58349823951721,0.0586698675656891,20.3198113749356,0.0,0.0,1,-141742.204442219,52151.7443563233,1,-146532.24,-53869.9,-99,P,rectangular_magnet,R03,1,I,3.0,P,124.12085135505984,2.19377623823173,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
4,901029143203656,-165.83806753791467,-75.85063094129289,182.380268348662,-1.41956425422291,0.429340005022449,4.43428104793423,328.93696804914,-7.03878991352669,17.2702102661133,16.8076972961426,16.7173870789613,16.4918956756592,0.0,0.0,0.0,0.0,9.72652284556207,4.30288743972778,0.0590611804000997,21.2193719049622,0.0,0.0,1,-159563.22089432,73042.9684321074,1,-165827.56,-75919.58,-99,P,rectangular_magnet,R04,1,I,4.0,C,-8.664959485391023,4.43428104793423,circular_magnet,Yel,1,TR,0.0697451148799999,0.0
5,901029143303823,-107.67987120790065,-107.63296176956116,152.246097717429,2.31579176476234,0.784675572249038,1.53111619251331,329.182392943312,-6.90314406339188,16.7237663269043,15.7938585281372,15.3916348876772,15.080545425415,0.0,0.0,0.0,0.0,10.6927518505719,2.94277048110962,0.065051916968198,19.3805151648241,0.0,0.0,1,-104097.19481137,103698.930562575,1,-107732.01,-107576.43,-99,P,rectangular_magnet,R05,1,I,5.0,G,137.31490564796516,1.53111619251331,circular_magnet,Yel,1,TL,0.0769044511799999,0.0
6,901029143602571,56.15504196009001,-70.03691638380826,89.8017653241048,4.12983740341915,2.24551761724988,1.88431978616928,329.88573259061,-7.06211323497878,18.0614471435547,17.5012435913086,17.1380627816194,17.0897674560547,0.0,0.0,0.0,0.0,9.70122158818924,2.36117386817932,0.0573400086376714,20.6097581135851,0.0,0.0,1,54857.5654779219,67771.8977839356,1,56097.34,-70124.5,-99,P,rectangular_magnet,R06,1,I,6.0,N,33.37774670881598,1.88431978616928,circular_magnet,Blu,1,TL,0.10488282044,0.0
7,901029000504965,22.65955581006315,-45.39681536890004,50.7475869703477,3.88397694894509,2.03308901203575,1.85088793690934,329.741452243678,-7.16699590040228,17.5949478149414,17.0446910858154,16.8989550266694,16.7030162811279,0.0,0.0,0.0,0.0,9.73951579253424,3.66891002655029,0.0576325005682516,21.1102510755103,0.0,0.0,1,22250.2070711952,44068.4153982244,1,22633.49,-45420.73,-99,P,rectangular_magnet,R07,1,I,7.0,Q,47.464513099347926,1.85088793690934,circular_magnet,Blu,1,TL,0.0353742283999999,0.0
8,901029000702899,121.24519028767152,-22.57417709160794,123.310111057683,4.29345590607842,2.95688039962329,1.33657550645513,330.164775307743,-7.26613413865276,16.094612121582,15.1454515457153,14.8314565412175,14.4019041061401,0.0,0.0,0.0,0.0,10.9546545830758,9.58787727355957,0.058850127548317,21.2969385592249,0.0,0.0,1,117921.219549915,21663.1735536169,1,121212.5,-22647.59,-99,P,rectangular_magnet,R08,1,I,8.0,A,24.003097056189745,1.33657550645513,circular_magnet,Gre,1,TL,0.0803623669799998,0.0
9,901029143606100,89.71518774264653,-95.44669577995629,130.979901622816,0.888726881739448,2.32593207024363,4.84598011867541,330.029571832926,-6.95588048992347,17.4610748291016,16.503978729248,16.0848310000306,15.7534923553467,0.0,0.0,0.0,0.0,10.4441584320626,4.26223564147949,0.0575518608093262,20.895040692972,0.0,0.0,1,87365.2342413905,91780.4981664357,1,89771.99,-95376.75,-99,P,rectangular_magnet,R09,1,I,9.0,D,-140.9202994634926,4.84598011867541,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
10,901029000802633,186.08888909614743,-36.54743091643493,189.667528995421,0.901785857451524,2.94790589310341,4.2370652715277,330.435281254433,-7.20887869647789,17.5631980895996,16.8806076049805,16.6437355716856,16.3717632293701,0.0,0.0,0.0,0.0,9.96932224306892,3.47298765182495,0.05877116,20.8269984826335,0.0,0.0,1,179055.563501953,34602.9034851373,1,186120.99,-36506.83,-99,P,rectangular_magnet,R10,1,I,10.0,F,-141.6685236565584,4.2370652715277,circular_magnet,Yel,1,TR,0.05175811476,0.0
