PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 01 07 # Date the tile was created/configured
OBS_TEMP,285.149994
ROBOT_TEMP,285.149994
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,06 01 39.39,-40 42 47.8 #Field centre
UTTIME,12 00 00.00 #Target observing time
UTDATE,2022 01 13 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,4492,-88.05741366732536,157.90951199694683,180.809238952386,3.38127685607834,-1.06196638882277,4.44324324490112,89.9176707087848,-41.3796687398586,0.0,15.6540613174438,0.0,0.0,0.0,0.0,0.0,0.0,10.4227633038327,3.9782030582428,0.0432131960988044,20.0388662934668,0.0,0.0,8,-112201.596791489,-150604.360626415,1,-88082.26,157903.44,-99,P,rectangular_magnet,R01,1,I,1.0,I,76.26710678144684,4.44324324490112,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
2,2770,-32.917044617574625,-159.88593264895337,163.200975204653,1.9374907995545,1.36760486438775,0.569885935166751,90.2317907065216,-40.0346642883605,0.0,17.0657424926758,0.0,0.0,0.0,0.0,0.0,0.0,9.90674986961676,2.68840789794922,0.047919999808073,20.6148835757499,0.0,0.0,8,-41210.4773029734,153366.645412166,1,-32933.33,-159843.53,-99,P,rectangular_magnet,R02,1,I,2.0,M,158.98995434009984,0.569885935166751,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
3,1657,20.596107821280395,-93.54989032696692,95.8281255856802,4.03946745922865,1.78701410956618,2.25245334966247,90.5297348822539,-40.3123753034559,0.0,15.5373611450195,0.0,0.0,0.0,0.0,0.0,0.0,10.4098935419938,5.91880798339844,0.0466661096300262,21.0251179425565,0.0,0.0,8,26124.9064125258,90603.956000606,1,20558.68,-93596.85,-99,P,rectangular_magnet,R03,1,I,3.0,B,38.55556310576458,2.25245334966247,circular_magnet,Gre,1,TL,0.0600504179599999,0.0
4,3531,-112.0244747330942,-63.70200684051797,128.811634277157,-0.473302896183664,0.517733256575786,5.29214915442014,89.7869426082679,-40.4395424160277,0.0,18.1152648925781,0.0,0.0,0.0,0.0,0.0,0.0,9.19874779933296,3.87184691429138,0.0437900014221668,22.5836267644352,0.0,0.0,8,-141746.147508307,61864.1885593846,1,-111930.0,-63750.39,-99,P,rectangular_magnet,R04,1,I,4.0,E,-62.8817416173577,5.29214915442014,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
5,876,-116.9005961084206,-148.30963854465293,188.845410776406,2.50589917455033,0.902802918215979,1.60309625633435,89.7686385090598,-40.085207930815,0.0,15.5919628143311,0.0,0.0,0.0,0.0,0.0,0.0,10.5577576009325,4.39502000808716,0.0454089496293389,20.1708289887297,0.0,0.0,8,-145882.873929355,141943.782217457,1,-116973.1,-148256.14,-99,P,rectangular_magnet,R05,1,I,5.0,D,126.42255341294936,1.60309625633435,circular_magnet,Yel,1,TL,0.0901049863999998,0.0
6,5763,-5.719895747894512,-133.9823511213263,134.168955656085,-1.22551930115254,1.52832746623626,3.52933853979079,90.3825584794392,-40.1419417829482,0.0,16.911506652832,0.0,0.0,0.0,0.0,0.0,0.0,9.8494900023577,4.86599397659302,0.0452300012111663,21.9986311220843,0.0,0.0,8,-7136.96062360134,129121.931635354,1,-5696.29,-134047.98,-99,P,rectangular_magnet,R06,1,I,6.0,C,-19.78291633213757,3.52933853979079,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
7,491,-68.36242062422485,33.48316111977843,76.0418920955154,-0.550244313356338,-0.455345450350983,6.18828644417423,90.0270405325302,-40.8559084002064,0.0,17.452844619751,0.0,0.0,0.0,0.0,0.0,0.0,9.18798447996284,7.41724586486816,0.0447648242115974,23.6850456989714,0.0,0.0,8,-87484.0166250265,-32234.5238650185,1,-68293.92,33441.14,-99,P,rectangular_magnet,R07,1,I,7.0,A,-58.473323143607786,6.18828644417423,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
8,3603,125.55373586965716,3.562396289649626,125.571678186542,4.13549739226735,3.16958335181072,0.965914040456636,91.1206569982997,-40.7262487675174,0.0,17.4298820495605,0.0,0.0,0.0,0.0,0.0,0.0,9.67852043735365,3.55626606941223,0.0480188839137554,21.6502774005473,0.0,0.0,8,159673.304638877,-2931.44687730327,1,125522.49,3514.38,-99,P,rectangular_magnet,R08,1,I,8.0,K,33.053453235722834,0.965914040456636,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
9,1934,-71.53866788710383,-155.79421448263648,171.496077724465,-1.29097945525717,1.14064009954528,3.85156575237714,90.0184050227754,-40.0519384354037,0.0,17.1444416046143,0.0,0.0,0.0,0.0,0.0,0.0,9.71712738712611,3.73632001876831,0.0422825847073177,21.5730744469749,0.0,0.0,8,-89435.6418296234,149462.688180405,1,-71516.06,-155872.89,-99,P,rectangular_magnet,R09,1,I,9.0,L,-16.032325775666266,3.85156575237714,circular_magnet,Yel,1,TR,0.0818593524999998,0.0
10,6646,79.0911385473867,-132.61480054501038,154.417060743348,3.75736818280039,2.10788558417936,1.64948259862102,90.8536061460797,-40.1486297971884,0.0,16.5531883239746,0.0,0.0,0.0,0.0,0.0,0.0,10.120957426488,3.28193688392639,0.046235654503107,20.5152925442701,0.0,0.0,8,99319.8120371584,127610.44041706,1,79005.52,-132675.38,-99,P,rectangular_magnet,R10,1,I,10.0,N,54.71866104879837,1.64948259862102,circular_magnet,Yel,1,TL,0.10488282044,0.0
11,5513,28.515240373729416,-185.2195802416029,187.411707829659,3.60036191184215,1.72338240205497,1.87697950978719,90.5712977293005,-39.9307267797403,0.0,15.243293762207,0.0,0.0,0.0,0.0,0.0,0.0,10.7628209780431,2.57493996620178,0.0435284466028828,18.5654956987987,0.0,0.0,8,35518.1098450524,176856.522360337,1,28485.58,-185234.23,-99,P,rectangular_magnet,R11,1,I,11.0,S,63.714457731792265,1.87697950978719,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
12,6355,137.4235885221181,-67.84171942092352,153.245695866229,4.03131061538792,2.68269350985768,1.34861710553024,91.1812765547142,-40.4223669419023,0.0,16.2053604125977,0.0,0.0,0.0,0.0,0.0,0.0,9.76408123888461,14.6535482406616,0.0409816317260265,23.5072162066625,0.0,0.0,8,173373.32438854,65745.8457117078,1,137391.0,-67881.93,-99,P,rectangular_magnet,R12,1,I,12.0,F,39.02291583198547,1.34861710553024,circular_magnet,Yel,1,TL,0.05175811476,0.0
13,564,-49.72589070688095,-143.38042246571928,151.796396121471,-1.22920609516684,1.23716596283298,3.81681324917977,90.1379474377627,-40.10293044735,0.0,15.8646039962769,0.0,0.0,0.0,0.0,0.0,0.0,10.546553420156,1.86512100696564,0.0443737698623684,18.4255847451537,0.0,0.0,8,-62419.0560424854,137938.493480526,1,-49709.58,-143426.3,-99,P,rectangular_magnet,R13,1,I,13.0,R,-19.57167859518381,3.81681324917977,circular_magnet,Yel,1,TL,0.04869073126,0.0
14,490,-133.23493188927063,-25.742587454402532,135.687555120813,-1.04932534557921,0.191106782010797,5.04275317958958,89.6665749196579,-40.600907502773,0.0,15.6299638748169,0.0,0.0,0.0,0.0,0.0,0.0,10.4232781018513,3.77336096763611,0.0439170487737887,19.825450046668,0.0,0.0,8,-168949.245134174,25395.678954931,1,-133217.31,-25773.26,-99,P,rectangular_magnet,R14,1,I,14.0,Q,-29.878086362204726,5.04275317958958,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
15,3580,-117.02519317978408,-122.10160823393464,169.125085627382,-0.748414384056147,0.807078605429635,4.7276923176938,89.7650780322077,-40.1934201835336,0.0,15.195164680481,0.0,0.0,0.0,0.0,0.0,0.0,9.86135900149969,21.5796051025391,0.0439799986779689,24.0383668050285,0.0,0.0,8,-146687.54169792,117487.813103052,1,-116968.84,-122153.94,-99,P,rectangular_magnet,R15,1,I,15.0,G,-47.11901446669947,4.7276923176938,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
16,819,16.050837899299296,-142.45914332687107,143.386401288887,3.72902750900057,1.68264218604304,2.04638532295753,90.5033814147448,-40.1068064332699,0.0,18.3820476531982,0.0,0.0,0.0,0.0,0.0,0.0,9.13527553546637,1.92181599140167,0.0428300015628337,21.2247023573358,0.0,0.0,8,20169.0227554572,137062.520662637,1,16003.76,-142490.49,-99,P,rectangular_magnet,R16,1,I,16.0,J,56.34246204608485,2.04638532295753,circular_magnet,Gre,1,RI,0.05655919482,0.0
17,3148,-4.628245851189267,-164.40656415133813,164.420773650897,1.74300265328908,1.54258964187676,0.200413011412322,90.3886643368951,-40.015857214824,0.0,14.8758783340454,0.0,0.0,0.0,0.0,0.0,0.0,10.8490913615947,3.54444098472595,0.0434511237753346,18.8854441339931,0.0,0.0,8,-5757.03683856315,157617.044031422,1,-4637.15,-164355.37,-99,P,rectangular_magnet,R17,1,I,17.0,T,170.13330428643118,0.200413011412322,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
18,1144,19.832169558059068,-208.06554154841112,209.032040320677,3.48188426545617,1.66577173404555,1.81611253141062,90.5229821496483,-39.838075952763,0.0,16.1874122619629,0.0,0.0,0.0,0.0,0.0,0.0,10.3387353207628,2.52045297622681,0.0463343352682225,19.5308501060758,0.0,0.0,8,24598.7888436559,197795.609257197,1,19823.07,-208089.98,-99,P,rectangular_magnet,R18,1,I,18.0,O,70.50272683635251,1.81611253141062,circular_magnet,Mag,1,TL,0.0167343919199998,0.02
19,1173,-38.66122377815464,-89.62951283197886,97.6224071988153,-1.12469570210444,1.16368380379182,3.99480580128333,90.1971274877935,-40.3291553611365,0.0,16.2497043609619,0.0,0.0,0.0,0.0,0.0,0.0,10.3843571429449,2.9072630405426,0.0532700009644031,19.9592659681317,0.0,0.0,8,-49044.3647355205,86811.6629647875,1,-38654.52,-89643.53,-99,P,rectangular_magnet,R19,1,I,19.0,P,-25.559683032912744,3.99480580128333,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
20,18798089,-94.26093460778657,178.14547236737175,201.547860763437,3.42988411225987,-1.08408520644232,4.51396931870219,89.884302,-41.461993,,16.1455,,,0.0,,,,0.0,0.0,0.0,0.0,1.07575807669964,-3.33518517997516,8,-119742.924976859,-169209.643418363,0,-94268.26,178143.3,-99,P,rectangular_magnet,R20,1,I,20.0,H,73.48211614853432,4.51396931870219,circular_magnet,Mag,1,TR,0.0076407166599999,0.0
21,28676674,47.29469630056031,-0.5676918859749368,47.3269870343676,-0.743177168062122,3.12904261335318,2.41096552576428,90.682388,-40.710466,,15.9803,,,0.0,,,,0.0,0.0,0.0,0.0,6.26127608796852,7.30582293000095,8,60624.5110231408,635.458581637266,0,47323.26,-593.94,-99,P,rectangular_magnet,R21,1,I,21.0,U,-47.41908483955552,2.41096552576428,circular_magnet,Blu,1,TR,0.0387923757399998,0.0
22,28333517,35.037424627300005,120.74525,125.735515660369,0.0,4.4297091691395,1.85347613804009,90.612852,-41.228113,,13.9249,,,,,,,,,,,7.32999311628893,-0.599546554946404,-99,44909.3750231409,-116352.763418364,2,35071.42,120745.25,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,-90.00000000000007,1.85347613804009,circular_magnet,Gre,1,TL,0.0339953727,0.0
