PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 10 36.11,-56 59 01.9 #Field centre
UTTIME,12 01 15.00 #Target observing time
UTDATE,2022 08 25 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,1346,65.92790669611209,-35.856264860288015,75.1448849021462,-0.0835233297996267,2.64403631813073,3.55562565924923,303.169311483675,-56.830312566555,0.0,15.7421226501465,0.0,0.0,0.0,0.0,0.0,0.0,10.7235324168683,2.28100395202637,0.0572511160622462,18.9002183942406,0.0,0.0,8,117260.116596908,34704.6879795866,1,66033.68,-35865.12,-99,P,rectangular_magnet,R01,1,I,1.0,E,-85.21446571160214,3.55562565924923,circular_magnet,Blu,1,TR,0.1061433243999999,0.0
2,2900,-153.6918354196644,-114.27280736687568,191.558544653823,-1.38793077471511,0.6397625980968,4.25549193436768,301.479197083327,-56.4924679463795,0.0,15.9906530380249,0.0,0.0,0.0,0.0,0.0,0.0,10.4120678911934,3.7902820110321,0.0533611997961998,20.32167236666,0.0,0.0,8,-264705.737881912,111057.572139234,1,-153675.45,-114361.41,-99,P,rectangular_magnet,R02,1,I,2.0,D,-10.477424352501544,4.25549193436768,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
3,4824,38.109676498466015,-9.84095239287712,39.3784541333976,-0.354285431166915,2.8893481041982,3.03955177181447,302.951481573707,-56.942001918113,0.0,17.2716217041016,0.0,0.0,0.0,0.0,0.0,0.0,9.93000939751714,1.62904894351959,0.0548601895570755,19.6235311385398,0.0,0.0,8,68030.556943979,9462.89452746279,1,38132.31,-9828.0,-99,P,rectangular_magnet,R03,1,I,3.0,O,-69.70094005116312,3.03955177181447,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
4,1029,1.6771713743498549,23.8093922314448,23.835893207583,-0.683374507154578,4.64012280253106,0.959687997493953,302.663232372073,-57.0863517983157,0.0,17.7838478088379,0.0,0.0,0.0,0.0,0.0,0.0,9.62483136366906,2.69087195396423,0.0528125073760747,21.3846970968049,0.0,0.0,8,2886.23737469129,-23160.1783983338,1,1721.03,23773.68,-99,P,rectangular_magnet,R04,1,I,4.0,J,-50.84552491321,0.959687997493953,circular_magnet,Blu,1,TL,0.05655919482,0.0
5,2294,146.68086851357106,12.43421731043574,147.179853142419,4.30404153606232,3.22581811609897,1.07822341996334,303.796246769913,-57.0342031942744,0.0,17.6112194061279,0.0,0.0,0.0,0.0,0.0,0.0,9.7887658789364,1.67114794254303,0.0523307546973228,20.1163968218219,0.0,0.0,8,258947.491286669,-11374.5938850049,1,146658.12,12381.64,-99,P,rectangular_magnet,R05,1,I,5.0,K,23.396585134625184,1.07822341996334,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
6,4306,62.48642440857199,-121.5632958236546,136.643949906869,0.854626642283418,2.04631277094245,5.09149917852056,303.13737675922,-56.4664240118674,0.0,17.581371307373,0.0,0.0,0.0,0.0,0.0,0.0,9.85515940124004,1.90789198875427,0.0570078864693641,20.4229053377737,0.0,0.0,8,110042.868870098,116943.501338973,1,62555.28,-121484.18,-99,P,rectangular_magnet,R06,1,I,6.0,N,-138.9664996622766,5.09149917852056,circular_magnet,Gre,1,TR,0.10488282044,0.0
7,6419,117.45539792390012,36.94734377320636,123.086220297042,4.21185341140644,3.44601954671533,0.765833864691107,303.572767693284,-57.1402904572709,0.0,16.7322444915771,0.0,0.0,0.0,0.0,0.0,0.0,9.95805219845119,5.53647184371948,0.0524089764803648,21.9971909471338,0.0,0.0,8,208441.219968563,-35350.3153222002,1,117426.58,36894.66,-99,P,rectangular_magnet,R07,1,I,7.0,B,28.67857559863299,0.765833864691107,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
8,3234,-9.59876028864362,-112.38728189385807,112.850228681879,-0.818205036001179,1.48612442608571,3.9788558450927,302.58057362383,-56.5028497353858,0.0,15.4189100265503,0.0,0.0,0.0,0.0,0.0,0.0,10.6857699910665,8.48307800292969,0.0590475463024142,21.6921815193097,0.0,0.0,8,-15794.6397280931,108711.287823821,1,-9543.83,-112445.94,-99,P,rectangular_magnet,R08,1,I,8.0,A,-43.12030466078284,3.9788558450927,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
9,4730,-114.80579559456253,-73.27431613140409,136.200586589189,-1.26649024228107,0.568177863370946,4.44851720152757,301.762715686102,-56.6660635781097,0.0,17.1129264831543,0.0,0.0,0.0,0.0,0.0,0.0,9.98072102260943,1.82330703735352,0.0529499500989913,19.8141262374107,0.0,0.0,8,-200630.533654758,71824.9593682183,1,-114801.14,-73289.14,-99,P,rectangular_magnet,R09,1,I,9.0,P,-17.43545432279359,4.44851720152757,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
10,152,72.58981299489088,-84.77065775103286,111.603798605166,0.702184156350828,2.27934826000695,4.70602120352346,303.21794827115,-56.6216684933754,0.0,17.0810852050781,0.0,0.0,0.0,0.0,0.0,0.0,9.84122287447837,3.08645701408386,0.0551331080496311,20.9540766026178,0.0,0.0,8,128252.030566182,81858.2485181775,1,72624.49,-84741.32,-99,P,rectangular_magnet,R10,1,I,10.0,M,-130.23218859985676,4.70602120352346,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
11,4080,41.71068333479839,-63.89751523388353,76.2880980129155,0.964966493972045,2.14971080952521,5.09844099162642,302.978859840391,-56.7104354261292,0.0,16.4961738586426,0.0,0.0,0.0,0.0,0.0,0.0,10.3066068532308,2.03277206420898,0.0520212781773134,19.3998189547349,0.0,0.0,8,74218.0452145686,61796.9217158061,1,41738.41,-63857.49,-99,P,rectangular_magnet,R11,1,I,11.0,R,-145.28850747613438,5.09844099162642,circular_magnet,Blu,1,TR,0.04869073126,0.0
12,3757,103.90020056829714,-62.07387669832979,121.0265092159,4.01120864097073,2.60285092144941,1.40835771952132,303.461087691401,-56.7181388436615,0.0,17.1300525665283,0.0,0.0,0.0,0.0,0.0,0.0,9.91279895163658,3.24094891548157,0.0500271320343017,21.1745753774174,0.0,0.0,8,183201.539543011,60055.9493535228,1,103883.7,-62093.42,-99,P,rectangular_magnet,R12,1,I,12.0,I,40.17467412597048,1.40835771952132,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
13,2768,111.29600984091564,5.827647283528674,111.468723608313,-1.11848333125698,3.19347720322388,1.97122477269872,303.524153324181,-57.0077572835782,0.0,15.8462362289429,0.0,0.0,0.0,0.0,0.0,0.0,10.6243364493902,2.57996988296509,0.0514305997676041,19.2131459299327,0.0,0.0,8,197454.372551257,-5397.81806766771,1,111318.72,5780.91,-99,P,rectangular_magnet,R13,1,I,13.0,T,-25.91562566324228,1.97122477269872,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
14,1798,105.60095209240568,-102.75256950697462,147.337110871528,0.862355787007785,2.37038546785687,4.7751556263305,303.469454050832,-56.546374493636,0.0,15.558032989502,0.0,0.0,0.0,0.0,0.0,0.0,10.8312160550372,3.04459095001221,0.0603513714283771,19.2821920726111,0.0,0.0,8,185092.336774293,98874.6924592854,1,105650.99,-102694.17,-99,P,rectangular_magnet,R14,1,I,14.0,G,-139.40934703422863,4.7751556263305,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
15,5121,-76.93638649042181,-131.3216414419656,152.227408747257,-1.45530073564076,1.04097691756138,3.78690765397744,302.063451295192,-56.4221604034181,0.0,16.5553569793701,0.0,0.0,0.0,0.0,0.0,0.0,10.1548843299148,3.12290000915527,0.0575649365782737,20.5123626930989,0.0,0.0,8,-132664.286000405,126947.076848513,1,-76932.31,-131356.78,-99,P,rectangular_magnet,R15,1,I,15.0,Q,-6.61740992550051,3.78690765397744,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
16,3015,-8.974048601209235,-55.12523488023289,55.8745153276313,-0.634361063782308,1.41024278582985,4.23858145756743,302.582496786628,-56.7467369641945,0.0,15.6698999404907,0.0,0.0,0.0,0.0,0.0,0.0,10.7867634776678,2.48423290252686,0.0574004195771302,18.9189523868474,0.0,0.0,8,-15360.0049358622,53592.7741130477,1,-8932.36,-55155.91,-99,P,rectangular_magnet,R16,1,I,16.0,F,-53.65378835784452,4.23858145756743,circular_magnet,Blu,1,TR,0.05175811476,0.0
17,1508,-129.18191075336412,-156.8894748928109,203.245693839913,2.6503494635776,0.881557487491246,1.76879197608635,301.67410080899,-56.3166196149225,0.0,17.4412288665771,0.0,0.0,0.0,0.0,0.0,0.0,9.83610463730557,3.03670692443848,0.0521608628332614,21.2174424862702,0.0,0.0,8,-220657.495881962,150799.295048522,1,-129254.09,-156850.86,-99,P,rectangular_magnet,R17,1,I,17.0,L,118.14616150224182,1.76879197608635,circular_magnet,Mag,1,TL,0.0818593524999998,0.0
18,1198,184.8883208617784,-35.25715695624305,188.223788091597,4.63944680003232,2.95298605868981,1.68646074134251,304.078752003324,-56.83031776997,0.0,16.2185649871826,0.0,0.0,0.0,0.0,0.0,0.0,10.4702756233532,2.11082100868225,0.0587147325277328,19.1383460619147,0.0,0.0,8,322793.674037601,34703.5120077982,1,184885.91,-35290.15,-99,P,rectangular_magnet,R18,1,I,18.0,S,4.179279082672849,1.68646074134251,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
19,5942,72.11260462611959,38.67433990003239,81.8791019797616,-0.270694599858214,3.63327193842891,2.37921876889246,303.219165371251,-57.1496587498723,0.0,17.5401611328125,0.0,0.0,0.0,0.0,0.0,0.0,9.68005834498274,4.86491394042969,0.0530696716159582,22.6691924934308,0.0,0.0,8,128527.095188977,-37467.5494501185,1,72179.81,38655.69,-99,P,rectangular_magnet,R19,1,I,19.0,C,-74.49034189114172,2.37921876889246,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
20,481583704,-6.903126857214112,187.5488540898773,187.678395828065,0.376030556640798,-1.53404424011214,1.91007479675294,302.588825,-57.775304,,14.2643,,,0.0,,,,0.0,0.0,0.0,0.0,12.2100082160017,-24.0796480885122,8,-13929.8287137258,-178863.375978988,0,-6896.02,187551.66,-99,P,rectangular_magnet,R20,1,I,20.0,H,-111.5449638634728,1.91007479675294,circular_magnet,Yel,1,TL,0.0076407166599999,0.0
21,481606453,61.79143096015499,186.333345313586,196.333563725993,0.277431161334802,4.39201997505913,2.16859649345526,303.132184,-57.769508,,15.6746,,,0.0,,,,0.0,0.0,0.0,0.0,2.33675183662788,-14.8737440332193,8,108869.305286276,-177553.479978988,0,61828.74,186343.97,-99,P,rectangular_magnet,R21,1,I,21.0,U,-105.89563464989718,2.16859649345526,circular_magnet,Mag,1,TL,0.0387923757399998,0.0
