PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 01 07 # Date the tile was created/configured
OBS_TEMP,285.149994
ROBOT_TEMP,285.149994
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,09 17 12.88,-01 01 59.7 #Field centre
UTTIME,12 00 00.00 #Target observing time
UTDATE,2022 01 13 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3592970,-45.97856561050285,186.5822791041724,192.187041481285,0.456855678841895,-1.32924788792366,1.78610356676555,139.10897613,-1.8203777,0.0,17.4784,0.0,0.0,0.0,0.0,0.0,0.0,10.045896,2.9110608,0.0555,21.112228,0.0,0.0,8,-44001.7874346918,-177889.905695918,1,-45972.37,186607.61,-99,P,rectangular_magnet,R01,1,I,1.0,O,-116.17590224422452,1.78610356676555,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
2,198584,179.4827693618687,-73.15405969721012,193.859916062827,0.705417091344552,2.75497928652428,4.23362311199986,140.06153236,-0.7248633,0.0,16.3292,0.0,0.0,0.0,0.0,0.0,0.0,10.729203,6.951093,0.06993,21.17204,0.0,0.0,8,171275.920545308,69696.3487040816,1,179551.37,-73095.64,-99,P,rectangular_magnet,R02,1,I,2.0,D,-130.41742213043756,4.23362311199986,circular_magnet,Yel,1,RI,0.0901049863999998,0.0
3,641922,183.6304698729197,33.98265484590615,186.731345371569,4.56054634371088,3.32431961271452,1.23622673099636,140.07943998,-1.17645778,0.0,18.4151,0.0,0.0,0.0,0.0,0.0,0.0,8.553685,4.684065,0.02893,23.669714,0.0,0.0,8,175323.042665305,-32364.0037759184,1,183622.61,33931.29,-99,P,rectangular_magnet,R03,1,I,3.0,T,8.699942231547737,1.23622673099636,circular_magnet,Yel,1,TL,0.0519627269999999,0.0
4,204833,85.06385932587513,-186.67902743607183,205.145789416794,0.432996174117524,1.9986338924033,4.71754758889381,139.66278831,-0.24736542,0.0,18.0674,0.0,0.0,0.0,0.0,0.0,0.0,9.701218,1.7819874,0.0551,21.07399,0.0,0.0,8,81159.7652453069,177610.869584082,1,85115.86,-186654.99,-99,P,rectangular_magnet,R04,1,I,4.0,K,-114.80885332224584,4.71754758889381,circular_magnet,Mag,1,TR,0.0572875941399999,0.0
5,3593274,11.050434548949523,192.42604623985932,192.791748666889,1.5443929357241,4.65503288544478,3.17254535745891,139.34966126,-1.84496622,0.0,16.4249,0.0,0.0,0.0,0.0,0.0,0.0,10.395048,2.2449257,0.05477,19.705725,0.0,0.0,8,10393.0519453088,-183446.911215918,1,11051.72,192474.72,-99,P,rectangular_magnet,R05,1,I,5.0,R,-178.4871971268101,3.17254535745891,circular_magnet,Yel,1,TR,0.04869073126,0.0
6,3912128,-78.70202004092997,47.03463735652916,91.695458195728,1.71221162371511,-0.538806304353222,2.25101792806833,138.96638081,-1.23466591,0.0,17.2073,0.0,0.0,0.0,0.0,0.0,0.0,10.132696,2.1174617,0.05441,21.564768,0.0,0.0,8,-76228.3297546914,-45519.0411559183,1,-78704.21,47050.02,-99,P,rectangular_magnet,R06,1,I,6.0,P,171.8975003278825,2.25101792806833,circular_magnet,Blu,1,RO,0.0155377488999999,0.0
7,3616371,-123.21574930979736,109.17320402040733,164.588002991738,-0.0527301049648115,-0.725216522981878,0.672486418017066,138.78042839,-1.49635506,0.0,17.1678,0.0,0.0,0.0,0.0,0.0,0.0,9.999405,2.4131715,0.05503,21.155294,0.0,0.0,8,-118253.576674693,-104660.789055918,1,-123170.39,109170.81,-99,P,rectangular_magnet,R07,1,I,7.0,M,-86.97878753223443,0.672486418017066,circular_magnet,Yel,1,TR,0.0454224428999999,0.0
8,3616612,-100.716773811972,111.0512054332247,149.936893847998,3.68029129175603,-0.833624908671075,4.5139162004271,138.8743482,-1.50537338,0.0,17.6356,0.0,0.0,0.0,0.0,0.0,0.0,9.890956,2.1621082,0.05522,21.66412,0.0,0.0,8,-97027.6996146955,-106698.929375918,1,-100787.04,111009.21,-99,P,rectangular_magnet,R08,1,I,8.0,L,59.134841603629866,4.5139162004271,circular_magnet,Yel,1,RO,0.0818593524999998,0.0
9,3891116,-19.239543095166365,138.6978915670735,140.130401614233,1.79879895587782,-1.4328930496192,3.23169200549702,139.22113365,-1.62414968,0.0,17.4467,0.0,0.0,0.0,0.0,0.0,0.0,10.028817,3.1660228,0.05359,21.65848,0.0,0.0,8,-18654.1879146894,-133542.373175918,1,-19263.25,138800.06,-99,P,rectangular_magnet,R09,1,I,9.0,N,166.93641163566195,3.23169200549702,circular_magnet,Gre,1,TR,0.10488282044,0.0
10,3913787,158.8147174412682,56.39414276951548,168.551106663144,1.22628866739006,3.48295017556502,4.02652379900462,139.97702625,-1.27233977,0.0,18.0179,0.0,0.0,0.0,0.0,0.0,0.0,8.262114,5.1024585,0.02597,23.3264,0.0,0.0,8,152177.539685306,-54033.3335159184,1,158825.89,56425.28,-99,P,rectangular_magnet,R10,1,I,10.0,S,-160.26116510617226,4.02652379900462,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
