PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 02 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,12 13 05.73,-02 20 09.9 #Field centre
UTTIME,12 00 00.00 #Target observing time
UTDATE,2022 02 28 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,179187,97.45139911168128,-92.29310286510902,134.1972149,0.941094337,2.383477851,4.840801793,183.689933,-1.94279371,0.0,16.7112,0.0,0.0,0.0,0.0,0.0,0.0,10.632065,2.0937657,0.07576,20.509808,0.0,0.0,8,94024.32755,88881.46149,1,97445.09,-92267.8,-99,P,rectangular_magnet,R01,1,I,1.0,O,-143.92073363376238,4.840801793,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
2,165767,-37.48643031545159,104.86328261760085,111.3419992,3.734672336,-1.22676183,4.961434166,183.1127524,-2.78410355,0.0,17.6446,0.0,0.0,0.0,0.0,0.0,0.0,9.530831,2.141463,0.0384,21.592123,0.0,0.0,8,-36418.48127,-101254.5623,1,-37554.31,104817.53,-99,P,rectangular_magnet,R02,1,I,2.0,L,56.0190372829359,4.961434166,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
3,131971,30.180022136457087,-38.03516005951421,48.55045723,3.740074416,2.240483827,1.499590589,183.4036899,-2.17249222,0.0,16.7601,0.0,0.0,0.0,0.0,0.0,0.0,8.91739,5.9248385,0.01921,22.693933,0.0,0.0,8,29333.38017,36969.59823,1,30137.26,-38064.32,-99,P,rectangular_magnet,R03,1,I,3.0,F,55.70952089834387,1.499590589,circular_magnet,Blu,1,TL,0.05175811476,0.0
4,172729,143.43202721369929,13.37827737390446,144.0406519,4.229033975,3.234447283,0.994586692,183.8847783,-2.39286196,0.0,15.6818,0.0,0.0,0.0,0.0,0.0,0.0,11.05649,6.45256,0.08886,23.406765,0.0,0.0,8,138059.3699,-12833.96301,1,143420.14,13355.63,-99,P,rectangular_magnet,R04,1,I,4.0,I,27.69420181506589,0.994586692,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
5,118730,143.35433146362294,141.34036847438708,201.3585955,0.083387336,3.919734641,2.446838002,183.8781794,-2.93118477,0.0,17.3366,0.0,0.0,0.0,0.0,0.0,0.0,9.413743,2.9807591,0.04458,21.362068,0.0,0.0,8,136568.0094,-134494.9181,1,143411.42,141345.14,-99,P,rectangular_magnet,R05,1,I,5.0,K,-94.77774241763932,2.446838002,circular_magnet,Mag,1,TR,0.0572875941399999,0.0
6,179180,77.15033226623194,-65.35831838547303,101.1213269,4.125684468,2.438067292,1.687617177,183.6045476,-2.05604197,0.0,15.0254,0.0,0.0,0.0,0.0,0.0,0.0,11.195746,6.855597,0.0791,22.360256,0.0,0.0,8,74727.22941,63287.35473,1,77111.72,-65416.4,-99,P,rectangular_magnet,R06,1,I,6.0,C,33.61569238092363,1.687617177,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
7,131890,-74.5409409137405,-11.423921379538758,75.39203846,-0.798602032,0.152430839,5.332152436,182.9540388,-2.28689299,0.0,18.6279,0.0,0.0,0.0,0.0,0.0,0.0,8.313488,2.9137728,0.02557,22.576807,0.0,0.0,8,-72287.76843,11115.02421,1,-74517.86,-11447.62,-99,P,rectangular_magnet,R07,1,I,7.0,S,-44.24347405582847,5.332152436,circular_magnet,Blu,1,TR,0.0330810095199999,0.0
8,179111,19.23157293391596,-78.61665686560909,80.90175636,1.441042695,1.810867463,5.91336054,183.3567112,-1.99925118,0.0,15.4802,0.0,0.0,0.0,0.0,0.0,0.0,10.74981,5.5570574,0.06793,21.790203,0.0,0.0,8,18716.20753,76122.07327,1,19236.15,-78581.58,-99,P,rectangular_magnet,R08,1,I,8.0,Q,-172.56566452165794,5.91336054,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
9,172433,-173.92519880641424,13.106753688610008,174.3926043,-1.355965137,-0.074721302,5.001941472,182.5364005,-2.39089771,0.0,16.4927,0.0,0.0,0.0,0.0,0.0,0.0,9.262244,6.6435866,0.02534,21.733465,0.0,0.0,8,-166674.0152,-12390.04251,1,-173905.99,13018.72,-99,P,rectangular_magnet,R09,1,I,9.0,D,-12.308920483021552,5.001941472,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
10,172519,-71.49644539381245,32.23468215573468,78.36779178,-0.576482029,-0.42344977,6.130153048,182.9671338,-2.4740363,0.0,15.6887,0.0,0.0,0.0,0.0,0.0,0.0,10.111688,8.056606,0.03917,21.223614,0.0,0.0,8,-69328.29391,-31179.36385,1,-71446.1,32201.95,-99,P,rectangular_magnet,R10,1,I,10.0,B,-56.97001277316167,6.130153048,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
