PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 07 22 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 44 00.00,+01 06 00.0 #Field centre
UTTIME,08 28 52.00 #Target observing time
UTDATE,2022 07 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,229163,-36.58761746927428,0.5553864335803916,36.5489565705014,-0.615143625135868,-0.0143757345330178,5.68241741657674,220.84274218,1.09811594,0.0,14.983,0.0,0.0,0.0,0.0,0.0,0.0,10.59,5.2,0.0381,20.22,0.0,0.0,1,-35540.2673200028,-425.797560000017,1,-36545.18,525.4,-99,P,rectangular_magnet,R01,1,I,1.0,T,-54.754866485337175,5.68241741657674,circular_magnet,Blu,1,TR,0.0519627269999999,0.0
2,229202,10.646624498023067,-16.83639493855683,19.863274937847,1.51993927658513,2.13669418467963,5.66643039908508,221.04611529,1.17220488,0.0,17.4876,0.0,0.0,0.0,0.0,0.0,0.0,8.538668,7.466441,0.02743,24.950455,0.0,0.0,1,10422.0555399975,16318.30288,1,10650.17,-16766.74,-99,P,rectangular_magnet,R02,1,I,2.0,C,-177.08610566449545,5.66643039908508,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
3,321022,-70.22515081785542,-126.666417341565,144.819273904581,2.43042289792714,1.06419111363478,1.36623178429236,220.702086,1.63976897,0.0,18.208,0.0,0.0,0.0,0.0,0.0,0.0,8.47,3.72,0.02635,21.8,0.0,0.0,1,-67328.5639999981,121987.78722,1,-70268.0,-126629.5,-99,P,rectangular_magnet,R03,1,I,3.0,J,130.74702551682,1.36623178429236,circular_magnet,Gre,1,TL,0.05655919482,0.0
4,251893,-20.887954959643743,-194.00627772870345,195.147829873639,-0.768881194252297,1.46367684311383,4.05062726981345,220.91387586,1.91923042,0.0,18.1289,0.0,0.0,0.0,0.0,0.0,0.0,10.28058,4.1739035,0.05862,22.480766,0.0,0.0,1,-19464.0556400022,185146.07492,1,-20864.18,-194029.28,-99,P,rectangular_magnet,R04,1,I,4.0,S,-45.946352622365,4.05062726981345,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
5,298516,-200.79112969045983,-52.28690271265389,207.472863203119,4.68184929986924,0.254851384710272,4.42699791515897,220.15550552,1.3220262,0.0,17.0192,0.0,0.0,0.0,0.0,0.0,0.0,9.687194,4.5399556,0.05017,22.348717,0.0,0.0,1,-190855.752480002,50177.9212,1,-200771.65,-52304.24,-99,P,rectangular_magnet,R05,1,I,5.0,O,1.74979480121317,4.42699791515897,circular_magnet,Mag,1,TR,0.0167343919199998,0.02
6,16863,-71.15223836866964,102.8778845895555,125.058867069873,0.112045770515042,-0.966121300062815,1.07816707057786,220.69559745,0.66173095,0.0,15.071,0.0,0.0,0.0,0.0,0.0,0.0,8.67,17.01,0.00607,21.56,0.0,0.0,1,-68794.9762999982,-99048.8053,1,-71095.31,102884.29,-99,P,rectangular_magnet,R06,1,I,6.0,K,-96.41974976280328,1.07816707057786,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
7,298789,189.24009280954448,-31.206122606919813,191.798902045758,-1.53428418449694,2.97808177047986,1.77081935220278,221.79893815,1.22969968,0.0,17.3798,0.0,0.0,0.0,0.0,0.0,0.0,9.740314,4.8465476,0.04968,21.798786,0.0,0.0,1,180560.0219,29312.12768,1,189240.66,-31221.65,-99,P,rectangular_magnet,R07,1,I,7.0,P,-2.0919916546540094,1.77081935220278,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
8,229289,147.31767765393678,-1.2468066305188674,147.282407275698,4.31163708976202,3.13246353422723,1.17917355553479,221.62643218,1.10413737,0.0,16.1344,0.0,0.0,0.0,0.0,0.0,0.0,10.81299,4.856887,0.07347,21.362253,0.0,0.0,1,141573.672679999,935.045619999956,1,147276.27,-1344.54,-99,P,rectangular_magnet,R08,1,I,8.0,E,22.961391964567355,1.17917355553479,circular_magnet,Gre,1,TL,0.1061433243999999,0.0
9,16948,24.498856804665635,73.93750903923075,77.8773829085107,3.36589212209045,4.39270956967094,5.2563678595991,221.10413229,0.78285742,0.0,16.901,0.0,0.0,0.0,0.0,0.0,0.0,8.89,5.21,0.02626,22.24,0.0,0.0,1,23533.897539999,-71674.22308,1,24473.92,73931.82,-99,P,rectangular_magnet,R09,1,I,9.0,I,77.14858710788482,5.2563678595991,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
10,240227,58.34355234683088,-72.22560703697482,92.793318168789,1.31385660411403,2.25105495316634,5.34598695812728,221.25093104,1.40853686,0.0,15.241,0.0,0.0,0.0,0.0,0.0,0.0,10.16,7.21,0.03384,21.3,0.0,0.0,1,56710.4150400027,69729.3303599999,1,58366.45,-72138.46,-99,P,rectangular_magnet,R10,1,I,10.0,D,-165.27843830112454,5.34598695812728,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
